"address","lon","lat"
"Suite 15, Level 7, Prince Of Wales Private Hospital, Barker Street, Randwick NSW 2031",151.2391449,-33.9180831
"401 Sussex St, Sydney NSW 2000",151.2043945,-33.8781932
"411/ 368 Sussex St, Sydney NSW 2000",151.2046972,-33.876426
"Room 103 Dixon House 413 Sussex St, Sydney NSW 2000",151.2043704,-33.8788458
"200 Cumberland St, The Rocks NSW 2000",151.2058865,-33.8623896
"Suite 443/ Level 5/ 311-315 Castlereagh St, Haymarket NSW 2000",151.2082197,-33.8792375
"Level 5/ Suite 443/ 311-315 Castlereagh St, Haymarket NSW 2000",151.2082197,-33.8792375
"5/ 168 Kent St, Millers Point NSW 2000",151.2042491,-33.8622084
"Ste 9/ 200 Cumberland St, The Rocks NSW 2000",151.2058865,-33.8623896
"905/ 168 Kent St, Millers Point NSW 2000",151.2042491,-33.8622084
"17 Argyle St, Millers Point NSW 2000",151.2037437,-33.8582511
"5/ 51 Lower Fort St, Dawes Point NSW 2000",151.2067086,-33.8568056
"398 Sussex St, Haymarket NSW 2000",151.2049286,-33.878003
"5th Floor 401 Sussex St, Haymarket NSW 2000",151.2043945,-33.8781932
"Level 5 401 Sussex St, Haymarket NSW 2000",151.2043945,-33.8781932
"683- 689 George St, Haymarket NSW 2000",151.2047685,-33.8797625
"Suite 3 102 Gloucester St, The Rocks NSW 2000",151.2070113,-33.8616126
"1st Floor/ 706 George St, Haymarket NSW 2000",151.2058868,-33.8783393
"764 George St, Haymarket NSW 2000",151.2053284,-33.8804614
"37 George St, The Rocks NSW 2000",151.2084703,-33.857507
"Room 521, Level 5, Sussex Specialist Centre, 401 Sussex St, Haymarket NSW 2000",151.2045041,-33.87849
"631 George St, Haymarket NSW 2000",151.2051887,-33.8784749
"14 Campbell St, Haymarket NSW 2000",151.2061887,-33.8792101
"8 Quay St, Haymarket NSW 2000",151.2033203,-33.8811018
"Suite 306 Level 3 451 Pitt St, Haymarket NSW 2000",151.2044328,-33.8900267
"St Vincent's Clinic Suite 601 438 Victoria St, Darlinghurst NSW 2010",151.2196908,-33.8809422
"Suite 904 438 Victoria St, Darlinghurst NSW 2010",151.2194827,-33.8808271
"Oddfellows Hall 51 Darling St, Balmain East NSW 2041",151.193504,-33.85731
"St Vincent's Clinic Suite 901b, Lvl 9/438 Victoria St, Darlinghurst NSW 2010",151.219344,-33.8811589
"102 Burton St, Darlinghurst NSW 2010",151.2187443,-33.8786887
"Level 3 26 College St, Darlinghurst NSW 2010",151.2125584,-33.8762161
"St Luke's Clinic, Hemsley House, 20 Roslyn St, Potts Point NSW 2011",151.2256627,-33.8744141
"2a Mona Rd Rd, Darling Point NSW 2027",151.233675,-33.8769331
"Suite 712 438 Victoria St, Darlinghurst NSW 2010",151.2194827,-33.8808271
"18-20 Darlinghurst Rd, Potts Point NSW 2011",151.2250946,-33.8732691
"63 Burton St, Darlinghurst NSW 2010",151.217707,-33.8790222
"99 Commonwealth St, Surry Hills NSW 2010",151.2107182,-33.8798172
"Suite 2 Level 6 75 Crown St, Woolloomooloo NSW 2011",151.2159691,-33.8736948
"438 Victoria St, Darlinghurst NSW 2010",151.2194827,-33.8808271
"2/ 5 Springfield Ave, Potts Point NSW 2011",151.2234479,-33.8727007
"370 Victoria Rd, Darlinghurst NSW 2010",151.2215869,-33.8786877
"St Vincents Clinic Level 5 438 Victoria St, Darlinghurst NSW 2010",151.2194234,-33.8812428
"407/ 438 Victoria St, Darlinghurst NSW 2010",151.2194827,-33.8808271
"Lvl 10/ 2- 14 Kings Cross Rd, Potts Point NSW 2011",151.2228518,-33.8755345
"Xavier Building, StVincents Hospital Level 6 403 Victoria St, Darlinghurst NSW 2010",151.2207522,-33.8805454
"354 Victoria St, Darlinghurst NSW 2010",151.2217689,-33.8779192
"Level 22 100 William St, East Sydney NSW 2010",151.2168923,-33.8740376
"Level 9 438 Victoria St, Darlinghurst NSW 2010",151.2194827,-33.8808271
"803/ 438 Victoria St, Darlinghurst NSW 2010",151.2194827,-33.8808271
"The Ivy Building St Margarets Level 1- 421 Bourke St, Surry Hills NSW 2010",151.2161285,-33.8823736
"168 Cathedral St, Woolloomooloo NSW 2011",151.2193362,-33.8726005
"121 Crown St, Darlinghurst NSW 2010",151.2157951,-33.8753628
"St.Vincent Clinic 438 Victoria St, Darlinghurst NSW 2010",151.219344,-33.8811589
"Suite 1008 St Vincents Clinic 438 Victoria St, Darlinghurst NSW 2010",151.219344,-33.8811589
"St Vincent's Clinic 438 Victoria St, Darlinghurst NSW 2010",151.219344,-33.8811589
"Cnr Cathedral and Farbes Sts, Woolloomooloo NSW 2011",151.2195947,-33.8728292
"64 Stanley St, Darlinghurst NSW 2010",151.21524,-33.8755759
"44- 50 McElhone St, Woolloomooloo NSW 2011",151.2220558,-33.8707402
"32A Oxford St, Darlinghurst NSW 2010",151.2136295,-33.8776574
"HHMP 32A Oxford St, Darlinghurst NSW 2010",151.2125209,-33.8762429
"32A Oxford St, Darlinghurst NSW 1300",151.2136295,-33.8776574
"1/ 32A Oxford St, Darlinghurst NSW 2010",151.2136295,-33.8776574
"90 Victoria St, Potts Point NSW 2011",151.2233599,-33.8705801
