,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
Eagleton,104.0,13.0,32.0,69.8,8.7,21.5,11342
Duns Creek,237.0,39.0,117.0,60.3,9.9,29.8,11326
Seaham,452.0,59.0,230.0,61.0,8.0,31.0,13510
Wallalong,424.0,63.0,230.0,59.1,8.8,32.1,14104
Brandy Hill,317.0,42.0,165.0,60.5,8.0,31.5,10548
Hinton,198.0,33.0,101.0,59.6,9.9,30.4,11916
Butterwick,78.0,10.0,29.0,66.7,8.5,24.8,10725
East Seaham,134.0,15.0,85.0,57.3,6.4,36.3,11362
Nelsons Plains,148.0,25.0,74.0,59.9,10.1,30.0,12924
Osterley (NSW),56.0,8.0,29.0,60.2,8.6,31.2,13099
Tea Gardens,1477.0,181.0,632.0,64.5,7.9,27.6,13779
North Arm Cove,188.0,33.0,115.0,56.0,9.8,34.2,12979
Bundabah,45.0,9.0,37.0,49.5,9.9,40.7,10668
Pindimar,137.0,38.0,88.0,52.1,14.4,33.5,13211
Hawks Nest,411.0,76.0,408.0,45.9,8.5,45.6,11873
Karuah,483.0,119.0,431.0,46.8,11.5,41.7,12076
Medowie,3668.0,730.0,2116.0,56.3,11.2,32.5,12554
Salt Ash,440.0,90.0,296.0,53.3,10.9,35.8,13467
Williamtown,228.0,32.0,249.0,44.8,6.3,48.9,14299
Twelve Mile Creek,43.0,11.0,63.0,36.8,9.4,53.8,13988
Swan Bay (Port Stephens - NSW),123.0,29.0,82.0,52.6,12.4,35.0,13704
Muswellbrook,3481.0,1128.0,3460.0,43.1,14.0,42.9,12868
Denman,584.0,172.0,497.0,46.6,13.7,39.7,11241
Gungal,103.0,16.0,52.0,60.2,9.4,30.4,11810
Martindale,68.0,9.0,33.0,61.8,8.2,30.0,12510
Castle Rock,58.0,20.0,45.0,47.2,16.3,36.6,10848
Aberdeen (NSW),677.0,201.0,542.0,47.7,14.2,38.2,10007
Wybong,48.0,14.0,19.0,59.3,17.3,23.5,14436
Sandy Hollow,44.0,17.0,44.0,41.9,16.2,41.9,13486
Muscle Creek,132.0,21.0,54.0,63.8,10.1,26.1,12867
McCullys Gap,114.0,22.0,50.0,61.3,11.8,26.9,12540
Scone,1867.0,452.0,1557.0,48.2,11.7,40.2,13503
Middle Brook,92.0,14.0,45.0,60.9,9.3,29.8,12600
Dartbrook,39.0,3.0,27.0,56.5,4.3,39.1,11217
Segenhoe,74.0,16.0,46.0,54.4,11.8,33.8,13517
Rouchel,74.0,10.0,20.0,71.2,9.6,19.2,13422
Murrurundi,329.0,81.0,296.0,46.6,11.5,41.9,12864
Blandford,69.0,23.0,51.0,48.3,16.1,35.7,10406
Wingen,96.0,26.0,43.0,58.2,15.8,26.1,14331
Parkville (NSW),99.0,33.0,66.0,50.0,16.7,33.3,13154
Upper Dartbrook,71.0,7.0,25.0,68.9,6.8,24.3,14022
Gundy,84.0,13.0,46.0,58.7,9.1,32.2,11809
Moonan Flat,54.0,3.0,27.0,64.3,3.6,32.1,12697
Niangala,62.0,8.0,20.0,68.9,8.9,22.2,12962
Merriwa (NSW),567.0,147.0,474.0,47.7,12.4,39.9,12585
Moobi,51.0,14.0,22.0,58.6,16.1,25.3,12688
Dapto,3838.0,835.0,3361.0,47.8,10.4,41.8,11202
Kanahooka,2302.0,305.0,1570.0,55.1,7.3,37.6,12055
Koonawarra,1047.0,307.0,1338.0,38.9,11.4,49.7,12187
Avondale (NSW),582.0,152.0,508.0,46.9,12.2,40.9,10116
Marshall Mount,61.0,3.0,38.0,59.8,2.9,37.3,12507
Haywards Bay,458.0,88.0,177.0,63.3,12.2,24.5,11880
Brownsville,174.0,17.0,210.0,43.4,4.2,52.4,10612
Horsley,3295.0,508.0,1995.0,56.8,8.8,34.4,11942
Wongawilli,54.0,14.0,38.0,50.9,13.2,35.8,14374
Kembla Grange,110.0,6.0,68.0,59.8,3.3,37.0,12092
Dombarton,82.0,0.0,26.0,75.9,0.0,24.1,11270
Port Kembla,1544.0,341.0,1820.0,41.7,9.2,49.1,13245
Coniston,699.0,148.0,814.0,42.1,8.9,49.0,11010
Unanderra,1664.0,372.0,1824.0,43.1,9.6,47.3,14008
Mount Kembla,445.0,69.0,248.0,58.4,9.1,32.5,12769
Kembla Heights,25.0,6.0,51.0,30.5,7.3,62.2,12093
Cordeaux Heights,2135.0,188.0,1207.0,60.5,5.3,34.2,11070
Farmborough Heights,1713.0,281.0,1019.0,56.9,9.3,33.8,11491
Berkeley,2360.0,550.0,2732.0,41.8,9.7,48.4,10303
Cringila,651.0,103.0,834.0,41.0,6.5,52.5,11116
Lake Heights,1307.0,270.0,1250.0,46.2,9.6,44.2,12248
Warrawong,1239.0,290.0,1835.0,36.8,8.6,54.5,14167
Windang,947.0,170.0,1005.0,44.6,8.0,47.4,14316
Primbee,555.0,116.0,582.0,44.3,9.3,46.4,13264
Mount Keira,698.0,77.0,424.0,58.2,6.4,35.4,12768
Bulli,2250.0,429.0,1601.0,52.6,10.0,37.4,10662
Bargo,1690.0,349.0,1167.0,52.7,10.9,36.4,10198
Yerrinbool,456.0,78.0,283.0,55.8,9.5,34.6,14510
Wilton (NSW),1315.0,250.0,542.0,62.4,11.9,25.7,14311
Pheasants Nest,270.0,42.0,157.0,57.6,9.0,33.5,13191
Albion Park,5019.0,945.0,3497.0,53.0,10.0,37.0,10025
Calderwood,69.0,16.0,36.0,57.0,13.2,29.8,10750
Tullimbar,251.0,28.0,90.0,68.0,7.6,24.4,13958
Yellow Rock (Shellharbour - NSW),79.0,8.0,72.0,49.7,5.0,45.3,14503
Albion Park Rail,2280.0,555.0,2147.0,45.8,11.1,43.1,10026
Kiama,2783.0,478.0,1933.0,53.6,9.2,37.2,12116
Kiama Heights,373.0,51.0,189.0,60.8,8.3,30.8,12118
Bombo,41.0,6.0,33.0,51.2,7.5,41.2,10458
Kiama Downs,2237.0,253.0,1166.0,61.2,6.9,31.9,12117
Minnamurra,349.0,36.0,183.0,61.4,6.3,32.2,12639
Gerringong,1565.0,237.0,886.0,58.2,8.8,33.0,11606
Jamberoo,720.0,107.0,405.0,58.4,8.7,32.9,11998
Werri Beach,245.0,34.0,140.0,58.5,8.1,33.4,14233
Gerroa,217.0,52.0,194.0,46.9,11.2,41.9,11607
Curramore (NSW),71.0,11.0,51.0,53.4,8.3,38.3,11174
Jerrara,55.0,10.0,23.0,62.5,11.4,26.1,12017
Toolijooa,34.0,8.0,28.0,48.6,11.4,40.0,13903
Foxground,66.0,16.0,25.0,61.7,15.0,23.4,11558
Flinders (NSW),2635.0,467.0,1643.0,55.5,9.8,34.6,11534
Shellharbour,1405.0,237.0,1027.0,52.6,8.9,38.5,13533
Shell Cove,2502.0,273.0,1120.0,64.2,7.0,28.8,13532
Barrack Point,252.0,43.0,185.0,52.5,9.0,38.5,10208
Dunmore (NSW),91.0,8.0,55.0,59.1,5.2,35.7,11323
Oak Flats,2377.0,471.0,2045.0,48.6,9.6,41.8,13053
Blackbutt (NSW),1315.0,187.0,1051.0,51.5,7.3,41.2,10391
Shellharbour City Centre,49.0,7.0,60.0,42.2,6.0,51.7,13534
Warilla,1774.0,493.0,2336.0,38.5,10.7,50.7,14151
Lake Illawarra,861.0,249.0,1323.0,35.4,10.2,54.4,12250
Barrack Heights,1983.0,420.0,1954.0,45.5,9.6,44.8,10207
Mount Warrigal,1840.0,315.0,1454.0,51.0,8.7,40.3,12801
Fairy Meadow,2274.0,528.0,2807.0,40.5,9.4,50.0,11484
Balgownie,2262.0,293.0,1659.0,53.7,7.0,39.4,10155
Gwynneville,744.0,144.0,1338.0,33.4,6.5,60.1,11825
North Wollongong,510.0,200.0,938.0,30.9,12.1,56.9,13017
Mount Ousley,651.0,106.0,442.0,54.3,8.8,36.9,12782
Mount Pleasant (NSW),609.0,80.0,305.0,61.3,8.0,30.7,12784
Tarrawanna,834.0,83.0,670.0,52.6,5.2,42.2,13769
Corrimal,2271.0,462.0,2147.0,46.5,9.5,44.0,11082
Towradgi,1074.0,224.0,1063.0,45.5,9.5,45.0,13929
Fernhill,329.0,50.0,418.0,41.3,6.3,52.4,11507
East Corrimal,1031.0,326.0,1174.0,40.7,12.9,46.4,11348
Bellambi,975.0,329.0,1672.0,32.8,11.1,56.2,10264
West Wollongong,1589.0,291.0,1699.0,44.4,8.1,47.5,14255
Keiraville,1037.0,142.0,1391.0,40.4,5.5,54.1,12085
Figtree,4726.0,552.0,3137.0,56.2,6.6,37.3,11515
Helensburgh,2437.0,496.0,1505.0,54.9,11.2,33.9,11890
Otford,142.0,38.0,93.0,52.0,13.9,34.1,13101
Stanwell Park,580.0,111.0,336.0,56.5,10.8,32.7,13653
Stanwell Tops,218.0,31.0,105.0,61.6,8.8,29.7,13654
Thirroul,2381.0,482.0,1481.0,54.8,11.1,34.1,13848
Austinmer,955.0,200.0,653.0,52.8,11.1,36.1,10108
Coledale,455.0,147.0,272.0,52.1,16.8,31.1,10966
Wombarra,326.0,93.0,226.0,50.5,14.4,35.0,14363
Scarborough (NSW),119.0,27.0,66.0,56.1,12.7,31.1,13500
Coalcliff,83.0,20.0,43.0,56.8,13.7,29.5,10944
Woonona,4502.0,762.0,3517.0,51.3,8.7,40.1,14416
Russell Vale,563.0,120.0,430.0,50.6,10.8,38.6,13448
Wollongong,4616.0,1552.0,7873.0,32.9,11.1,56.1,14358
Mount Saint Thomas,508.0,106.0,493.0,45.9,9.6,44.5,12791
Mangerton,1045.0,203.0,850.0,49.8,9.7,40.5,12468
Bulahdelah,496.0,101.0,450.0,47.4,9.6,43.0,10649
Wards River,60.0,17.0,60.0,43.8,12.4,43.8,14147
Stroud Road,94.0,10.0,68.0,54.7,5.8,39.5,13679
Stroud,348.0,71.0,222.0,54.3,11.1,34.6,13677
Girvan,66.0,14.0,55.0,48.9,10.4,40.7,11637
Nerong,51.0,8.0,38.0,52.6,8.2,39.2,12929
Allworth,49.0,12.0,54.0,42.6,10.4,47.0,10041
Bunyah,65.0,10.0,35.0,59.1,9.1,31.8,10690
Markwell,55.0,0.0,31.0,64.0,0.0,36.0,12493
Booral (NSW),149.0,29.0,114.0,51.0,9.9,39.0,10496
Limeburners Creek (Mid-Coast - NSW),126.0,27.0,77.0,54.8,11.7,33.5,12328
Forster (NSW),4909.0,970.0,4357.0,48.0,9.5,42.6,11550
Green Point (Mid-Coast - NSW),196.0,59.0,147.0,48.8,14.7,36.6,11755
Darawank,164.0,28.0,89.0,58.4,10.0,31.7,11203
Tarbuck Bay,65.0,11.0,61.0,47.4,8.0,44.5,13762
Nabiac,444.0,135.0,341.0,48.3,14.7,37.1,12885
Failford,238.0,29.0,135.0,59.2,7.2,33.6,11476
Coomba Park,219.0,49.0,173.0,49.7,11.1,39.2,11038
Smiths Lake,449.0,116.0,297.0,52.1,13.5,34.5,13563
Bungwahl,70.0,26.0,65.0,43.5,16.1,40.4,10687
Charlotte Bay,63.0,19.0,44.0,50.0,15.1,34.9,10887
Wootton,75.0,22.0,63.0,46.9,13.8,39.4,14417
Coolongolook,112.0,41.0,123.0,40.6,14.9,44.6,11032
Coomba Bay,50.0,6.0,43.0,50.5,6.1,43.4,11037
Minimbah,81.0,15.0,55.0,53.6,9.9,36.4,12636
Elizabeth Beach,86.0,19.0,54.0,54.1,11.9,34.0,11396
Blueys Beach,79.0,6.0,46.0,60.3,4.6,35.1,10420
Boomerang Beach,96.0,20.0,65.0,53.0,11.0,35.9,10487
Tuncurry,2180.0,377.0,2119.0,46.6,8.1,45.3,13969
South Kempsey,582.0,144.0,795.0,38.3,9.5,52.3,13588
West Kempsey,1077.0,305.0,1757.0,34.3,9.7,56.0,14247
Kempsey,70.0,33.0,225.0,21.3,10.1,68.6,12095
Frederickton,397.0,107.0,400.0,43.9,11.8,44.2,11561
Aldavilla,319.0,35.0,188.0,58.9,6.5,34.7,10028
Euroka,160.0,14.0,74.0,64.5,5.6,29.8,11464
Dondingalong,248.0,76.0,198.0,47.5,14.6,37.9,11272
Greenhill (NSW),168.0,40.0,221.0,39.2,9.3,51.5,11763
East Kempsey,350.0,122.0,450.0,38.0,13.2,48.8,11354
Verges Creek,102.0,9.0,59.0,60.0,5.3,34.7,14072
Yarravel,434.0,81.0,322.0,51.9,9.7,38.5,14483
Stuarts Point,211.0,75.0,298.0,36.1,12.8,51.0,13681
Barraganyatti,56.0,16.0,35.0,52.3,15.0,32.7,10209
Yarrahapinni,62.0,30.0,57.0,41.6,20.1,38.3,14474
Hat Head,111.0,29.0,106.0,45.1,11.8,43.1,11869
Kinchela,110.0,21.0,58.0,58.2,11.1,30.7,12140
Gladstone (NSW),136.0,22.0,103.0,52.1,8.4,39.5,11639
Smithtown,204.0,44.0,174.0,48.3,10.4,41.2,13564
Mungay Creek,24.0,7.0,50.0,29.6,8.6,61.7,12841
Willawarrin,52.0,22.0,61.0,38.5,16.3,45.2,14295
Temagog,77.0,18.0,85.0,42.8,10.0,47.2,13783
Turners Flat,49.0,20.0,36.0,46.7,19.0,34.3,13976
Millbank (NSW),23.0,14.0,47.0,27.4,16.7,56.0,12616
Hickeys Creek,44.0,15.0,38.0,45.4,15.5,39.2,11899
Belmore River,96.0,21.0,82.0,48.2,10.6,41.2,10280
Austral Eden,58.0,8.0,35.0,57.4,7.9,34.7,10110
Crescent Head,470.0,148.0,478.0,42.9,13.5,43.6,11114
Fishermans Reach,41.0,24.0,57.0,33.6,19.7,46.7,11524
Clybucca,49.0,7.0,59.0,42.6,6.1,51.3,10940
Bellimbopinni,35.0,6.0,31.0,48.6,8.3,43.1,10272
Collombatti,211.0,49.0,202.0,45.7,10.6,43.7,10979
Kundabung,233.0,65.0,128.0,54.7,15.3,30.0,12209
Sherwood (Kempsey - NSW),78.0,17.0,32.0,61.4,13.4,25.2,13537
Bellbrook,81.0,21.0,109.0,38.4,10.0,51.7,10270
Macksville,751.0,200.0,829.0,42.2,11.2,46.6,12430
North Macksville,228.0,34.0,192.0,50.2,7.5,42.3,12995
Way Way,99.0,22.0,51.0,57.6,12.8,29.7,14203
Scotts Head,306.0,87.0,239.0,48.4,13.8,37.8,13508
Gumma,207.0,28.0,119.0,58.5,7.9,33.6,11801
Nambucca Heads,1886.0,469.0,2380.0,39.8,9.9,50.3,12887
Hyland Park,147.0,45.0,142.0,44.0,13.5,42.5,11968
Bowraville,268.0,102.0,422.0,33.8,12.9,53.3,10537
Valla Beach,533.0,116.0,361.0,52.8,11.5,35.7,14068
South Arm (Nambucca - NSW),69.0,49.0,109.0,30.4,21.6,48.0,13575
Newee Creek,151.0,45.0,89.0,53.0,15.8,31.2,12952
Congarinni North,140.0,31.0,81.0,55.6,12.3,32.1,11006
Congarinni,142.0,31.0,54.0,62.6,13.7,23.8,11005
Talarm,94.0,24.0,55.0,54.3,13.9,31.8,13728
Warrell Creek,118.0,13.0,65.0,60.2,6.6,33.2,14170
Eungai Creek,137.0,42.0,116.0,46.4,14.2,39.3,11458
Eungai Rail,54.0,18.0,75.0,36.7,12.2,51.0,11459
Allgomera,40.0,13.0,45.0,40.8,13.3,45.9,10040
Yarranbella,62.0,16.0,52.0,47.7,12.3,40.0,14478
Utungun,80.0,7.0,39.0,63.5,5.6,31.0,14062
Upper Taylors Arm,40.0,11.0,39.0,44.4,12.2,43.3,14045
Taylors Arm,43.0,23.0,36.0,42.2,22.5,35.3,13776
Argents Hill,64.0,25.0,73.0,39.5,15.4,45.1,10079
Missabotti,94.0,39.0,73.0,45.6,18.9,35.4,12649
South West Rocks,1751.0,333.0,1396.0,50.3,9.6,40.1,13600
Arakoon,191.0,51.0,98.0,56.2,15.0,28.8,10069
Jerseyville,46.0,11.0,31.0,52.3,12.5,35.2,12022
Lord Howe Island,122.0,31.0,81.0,52.1,13.2,34.6,12387
Lake Cathie,1536.0,221.0,845.0,59.0,8.5,32.5,12243
Bonny Hills,1216.0,222.0,773.0,55.0,10.0,35.0,10470
North Haven (NSW),597.0,119.0,576.0,46.2,9.2,44.6,12992
Kendall,370.0,101.0,320.0,46.8,12.8,40.5,12096
West Haven,457.0,59.0,319.0,54.7,7.1,38.2,14245
Laurieton,766.0,124.0,710.0,47.9,7.8,44.4,12283
Kew (NSW),491.0,66.0,228.0,62.5,8.4,29.0,12109
Herons Creek,98.0,8.0,63.0,58.0,4.7,37.3,11897
Upsalls Creek,42.0,7.0,30.0,53.2,8.9,38.0,14049
Logans Crossing,73.0,7.0,27.0,68.2,6.5,25.2,12373
Lorne (NSW),106.0,26.0,68.0,53.0,13.0,34.0,12390
Lakewood,519.0,70.0,309.0,57.8,7.8,34.4,12259
Dunbogan,448.0,85.0,310.0,53.1,10.1,36.8,11310
Johns River,83.0,32.0,97.0,39.2,15.1,45.8,12037
Camden Head,65.0,17.0,36.0,55.1,14.4,30.5,10771
Port Macquarie,16004.0,3314.0,13518.0,48.7,10.1,41.2,13246
Lake Innes,177.0,37.0,90.0,58.2,12.2,29.6,12251
Fernbank Creek,64.0,7.0,32.0,62.1,6.8,31.1,11505
Riverside (NSW),100.0,30.0,94.0,44.6,13.4,42.0,13367
Thrumster,181.0,34.0,68.0,64.0,12.0,24.0,13852
North Shore (NSW),113.0,20.0,105.0,47.5,8.4,44.1,13006
Telegraph Point,237.0,49.0,157.0,53.5,11.1,35.4,13781
Blackmans Point,44.0,16.0,66.0,34.9,12.7,52.4,10395
Gum Scrub,55.0,15.0,24.0,58.5,16.0,25.5,11797
Cooperabung,123.0,25.0,64.0,58.0,11.8,30.2,11046
Rollands Plains,59.0,24.0,26.0,54.1,22.0,23.9,13392
Upper Rollands Plains,44.0,18.0,33.0,46.3,18.9,34.7,14043
Pembrooke,45.0,6.0,33.0,53.6,7.1,39.3,13180
Frazers Creek,80.0,12.0,41.0,60.2,9.0,30.8,11560
Mortons Creek,107.0,33.0,72.0,50.5,15.6,34.0,12731
Brombin,43.0,8.0,19.0,61.4,11.4,27.1,10593
Long Flat (NSW),37.0,6.0,38.0,45.7,7.4,46.9,12377
Byabarra,141.0,22.0,71.0,60.3,9.4,30.3,10727
Ellenborough,61.0,12.0,51.0,49.2,9.7,41.1,11401
Comboyne,171.0,43.0,127.0,50.1,12.6,37.2,10992
Wauchope,1840.0,552.0,2008.0,41.8,12.5,45.6,14197
Yippin Creek,70.0,22.0,62.0,45.5,14.3,40.3,14515
Rosewood (Port Macquarie-Hastings - NSW),107.0,10.0,64.0,59.1,5.5,35.4,13414
Beechwood,218.0,56.0,160.0,50.2,12.9,36.9,10248
Redbank (NSW),175.0,22.0,88.0,61.4,7.7,30.9,13336
Crosslands,226.0,50.0,95.0,60.9,13.5,25.6,11127
King Creek,695.0,117.0,309.0,62.0,10.4,27.6,12145
Sancrox,257.0,42.0,119.0,61.5,10.0,28.5,13471
Gloucester,1044.0,202.0,928.0,48.0,9.3,42.7,11685
Craven,60.0,19.0,23.0,58.8,18.6,22.5,11107
Stratford (NSW),37.0,19.0,54.0,33.6,17.3,49.1,13672
Forbesdale,81.0,10.0,34.0,64.8,8.0,27.2,11539
Barrington (NSW),166.0,35.0,79.0,59.3,12.5,28.2,10216
Bowman,50.0,9.0,34.0,53.8,9.7,36.6,10531
Diamond Beach,351.0,83.0,212.0,54.3,12.8,32.8,11251
Manning Point,83.0,17.0,84.0,45.1,9.2,45.7,12478
Mitchells Island,217.0,33.0,108.0,60.6,9.2,30.2,12652
Oxley Island,111.0,20.0,68.0,55.8,10.1,34.2,13109
Old Bar,1631.0,343.0,1242.0,50.7,10.7,38.6,13073
Black Head,412.0,42.0,216.0,61.5,6.3,32.2,10384
Red Head,220.0,43.0,128.0,56.3,11.0,32.7,13329
Rainbow Flat,322.0,36.0,167.0,61.3,6.9,31.8,13305
Hallidays Point,251.0,33.0,111.0,63.5,8.4,28.1,11832
Wallabi Point,288.0,57.0,148.0,58.4,11.6,30.0,14099
Koorainghat,80.0,22.0,46.0,54.1,14.9,31.1,12191
Tallwoods Village,369.0,41.0,126.0,68.8,7.6,23.5,13737
Taree,4754.0,1138.0,5665.0,41.1,9.8,49.0,13764
Cundletown,737.0,142.0,545.0,51.8,10.0,38.3,11161
Taree South,133.0,18.0,90.0,55.2,7.5,37.3,13765
Pampoolah,166.0,23.0,89.0,59.7,8.3,32.0,13142
Glenthorne,88.0,19.0,63.0,51.8,11.2,37.1,11680
Tinonee,391.0,110.0,302.0,48.7,13.7,37.6,13876
Harrington,1359.0,232.0,836.0,56.0,9.6,34.4,11858
Wherrol Flat,127.0,34.0,80.0,52.7,14.1,33.2,14271
Coopernook,186.0,31.0,168.0,48.3,8.1,43.6,11047
Moto,45.0,8.0,33.0,52.3,9.3,38.4,12742
Moorland (NSW),150.0,55.0,157.0,41.4,15.2,43.4,12714
Hannam Vale,76.0,19.0,40.0,56.3,14.1,29.6,11849
Stewarts River,47.0,20.0,30.0,48.5,20.6,30.9,13659
Upper Lansdowne,207.0,69.0,141.0,49.6,16.5,33.8,14033
Lansdowne (Mid-Coast - NSW),217.0,41.0,168.0,50.9,9.6,39.4,12273
Kundle Kundle,84.0,3.0,38.0,67.2,2.4,30.4,12211
Killabakh,110.0,25.0,63.0,55.6,12.6,31.8,12128
Cedar Party,161.0,15.0,90.0,60.5,5.6,33.8,10870
Marlee,77.0,31.0,46.0,50.0,20.1,29.9,12494
Elands,30.0,26.0,81.0,21.9,19.0,59.1,11388
Bobin,45.0,8.0,44.0,46.4,8.2,45.4,10427
Mount George (NSW),77.0,21.0,101.0,38.7,10.6,50.8,12761
Killawarra (NSW),70.0,6.0,41.0,59.8,5.1,35.0,12132
Burrell Creek,101.0,10.0,52.0,62.0,6.1,31.9,10709
Bootawa,63.0,12.0,38.0,55.8,10.6,33.6,10504
Mondrook,74.0,17.0,35.0,58.7,13.5,27.8,12676
Hillville,129.0,19.0,74.0,58.1,8.6,33.3,11913
Kimbriki,54.0,8.0,44.0,50.9,7.5,41.5,12139
Belbora,41.0,13.0,34.0,46.6,14.8,38.6,10256
Krambach,132.0,54.0,102.0,45.8,18.8,35.4,12202
Possum Brush,60.0,18.0,29.0,56.1,16.8,27.1,13251
Dyers Crossing,123.0,29.0,114.0,46.2,10.9,42.9,11338
Firefly,105.0,34.0,78.0,48.4,15.7,35.9,11521
Coralville,47.0,16.0,36.0,47.5,16.2,36.4,11064
Wingham,1755.0,373.0,1798.0,44.7,9.5,45.8,14332
Thurgoona,3044.0,726.0,1915.0,53.5,12.8,33.7,13856
East Albury,2004.0,473.0,1875.0,46.0,10.9,43.1,11344
Wirlinga,70.0,3.0,14.0,80.5,3.4,16.1,14337
North Albury,1560.0,492.0,2109.0,37.5,11.8,50.7,12977
Lavington,3838.0,915.0,4226.0,42.7,10.2,47.1,12287
Glenroy (Albury - NSW),1240.0,247.0,863.0,52.8,10.5,36.7,11678
Hamilton Valley,193.0,51.0,136.0,50.8,13.4,35.8,11842
Albury,1480.0,363.0,1465.0,44.7,11.0,44.3,10027
South Albury,303.0,113.0,596.0,29.9,11.2,58.9,13573
West Albury,1250.0,236.0,1168.0,47.1,8.9,44.0,14239
Splitters Creek,140.0,13.0,43.0,71.4,6.6,21.9,13610
Jindera,863.0,135.0,462.0,59.1,9.2,31.6,12032
Holbrook,585.0,116.0,450.0,50.8,10.1,39.1,11920
Table Top,645.0,65.0,246.0,67.5,6.8,25.7,13722
Little Billabong,48.0,23.0,17.0,54.5,26.1,19.3,12350
Gerogery,228.0,42.0,119.0,58.6,10.8,30.6,11605
Brocklesby,65.0,20.0,44.0,50.4,15.5,34.1,10584
Walla Walla,310.0,42.0,201.0,56.1,7.6,36.3,14097
Glenellen,70.0,6.0,28.0,67.3,5.8,26.9,11663
Burrumbuttock,148.0,32.0,77.0,57.6,12.5,30.0,10716
Walbundrie,60.0,14.0,28.0,58.8,13.7,27.5,14092
Morven (Greater Hume Shire - NSW),50.0,6.0,38.0,53.2,6.4,40.4,12737
Culcairn,515.0,91.0,388.0,51.8,9.2,39.0,11147
Henty (NSW),437.0,72.0,351.0,50.8,8.4,40.8,11892
Mullengandra,61.0,0.0,30.0,67.0,0.0,33.0,12823
Bowna,50.0,10.0,18.0,64.1,12.8,23.1,10534
Bungowannah,72.0,7.0,39.0,61.0,5.9,33.1,10686
Woomargama,70.0,11.0,45.0,55.6,8.7,35.7,14413
Springdale Heights,618.0,160.0,655.0,43.1,11.2,45.7,13622
Hay (NSW),739.0,158.0,679.0,46.9,10.0,43.1,11874
Hay South,148.0,22.0,80.0,59.2,8.8,32.0,11875
Gol Gol,633.0,101.0,285.0,62.1,9.9,28.0,11693
Buronga,387.0,101.0,306.0,48.7,12.7,38.5,10696
Wentworth (NSW),451.0,112.0,435.0,45.2,11.2,43.6,14225
Coomealla,265.0,62.0,212.0,49.2,11.5,39.3,11041
Dareton,123.0,44.0,189.0,34.6,12.4,53.1,11206
Curlwaa,159.0,31.0,90.0,56.8,11.1,32.1,11170
Euston,275.0,60.0,185.0,52.9,11.5,35.6,11468
Pomona (NSW),62.0,23.0,26.0,55.9,20.7,23.4,13240
Tooleybuc,104.0,20.0,52.0,59.1,11.4,29.5,13902
Balranald,425.0,115.0,389.0,45.7,12.4,41.9,10168
Corowa,1983.0,417.0,1552.0,50.2,10.6,39.3,11080
Mulwala,840.0,159.0,551.0,54.2,10.3,35.5,12830
Balldale,58.0,7.0,39.0,55.8,6.7,37.5,10159
Rand,76.0,6.0,67.0,51.0,4.0,45.0,13311
Oaklands,120.0,31.0,83.0,51.3,13.2,35.5,13059
Howlong,1038.0,192.0,708.0,53.6,9.9,36.5,11950
Urana,122.0,18.0,99.0,51.0,7.5,41.4,14052
Deniliquin,2478.0,616.0,2291.0,46.0,11.4,42.5,11237
Mayrung,50.0,16.0,26.0,54.3,17.4,28.3,12537
Mathoura,340.0,106.0,271.0,47.4,14.8,37.8,12522
Barham,549.0,104.0,409.0,51.7,9.8,38.5,10199
Wakool,123.0,27.0,84.0,52.6,11.5,35.9,14090
Moulamein,166.0,35.0,135.0,49.4,10.4,40.2,12743
Koraleigh,118.0,36.0,96.0,47.2,14.4,38.4,12195
Conargo,43.0,10.0,33.0,50.0,11.6,38.4,10998
Murray Downs,121.0,4.0,40.0,73.3,2.4,24.2,12852
Moama,2359.0,480.0,1433.0,55.2,11.2,33.5,12654
Warragoon,52.0,16.0,25.0,55.9,17.2,26.9,14159
Blighty,50.0,8.0,37.0,52.6,8.4,38.9,10412
Barooga,648.0,139.0,455.0,52.2,11.2,36.6,10205
Tocumwal,1030.0,171.0,682.0,54.7,9.1,36.2,13886
Finley,834.0,168.0,703.0,48.9,9.9,41.2,11520
Berrigan,408.0,98.0,353.0,47.5,11.4,41.1,10318
Jerilderie,361.0,80.0,255.0,51.9,11.5,36.6,12014
Armidale,6454.0,1691.0,6802.0,43.2,11.3,45.5,10085
Guyra,664.0,141.0,557.0,48.8,10.4,40.9,11822
South Guyra,99.0,20.0,114.0,42.5,8.6,48.9,13586
Llangothlin,47.0,6.0,29.0,57.3,7.3,35.4,12364
Ben Lomond (NSW),66.0,6.0,32.0,63.5,5.8,30.8,10286
Black Mountain (NSW),121.0,13.0,69.0,59.6,6.4,34.0,10387
Thalgarrah,85.0,7.0,36.0,66.4,5.5,28.1,13810
Hillgrove (Armidale Regional - NSW),67.0,9.0,38.0,58.8,7.9,33.3,11907
Ebor,53.0,23.0,50.0,42.1,18.3,39.7,11372
Uralla (NSW),937.0,201.0,827.0,47.7,10.2,42.1,14051
Saumarez Ponds,179.0,24.0,90.0,61.1,8.2,30.7,13495
Invergowrie,295.0,70.0,154.0,56.8,13.5,29.7,11983
Arding,106.0,6.0,49.0,65.8,3.7,30.4,10075
Castle Doyle,80.0,6.0,32.0,67.8,5.1,27.1,10846
Dangarsleigh,65.0,5.0,31.0,64.4,5.0,30.7,11200
Kellys Plains,72.0,8.0,32.0,64.3,7.1,28.6,12087
