,Preschool,Primary - Government,Primary - Catholic,Primary - other non Government,Secondary - Government,Secondary - Catholic,Secondary - other non Government,Technical or further education institution,University or tertiary institution,Other,Not stated,Preschool (%),Primary - Government (%),Primary - Catholic (%),Primary - other non Government (%),Secondary - Government (%),Secondary - Catholic (%),Secondary - other non Government (%),Technical or further education institution (%),University or tertiary institution (%),Other (%),Not stated (%),SSC_CODE
Arncliffe,134.0,506.0,110.0,57.0,347.0,99.0,49.0,283.0,873.0,159.0,758.0,4.0,15.0,3.3,1.7,10.3,2.9,1.5,8.4,25.9,4.7,22.5,10086
Wolli Creek,42.0,73.0,21.0,5.0,55.0,15.0,17.0,307.0,974.0,326.0,544.0,1.8,3.1,0.9,0.2,2.3,0.6,0.7,12.9,40.9,13.7,22.9,14353
Turrella,41.0,114.0,34.0,16.0,84.0,34.0,22.0,80.0,248.0,91.0,133.0,4.6,12.7,3.8,1.8,9.4,3.8,2.5,8.9,27.6,10.1,14.8,13982
Bardwell Valley,33.0,124.0,50.0,30.0,91.0,61.0,19.0,51.0,103.0,23.0,102.0,4.8,18.0,7.3,4.4,13.2,8.9,2.8,7.4,15.0,3.3,14.8,10196
Bardwell Park,41.0,126.0,52.0,14.0,66.0,74.0,22.0,24.0,116.0,16.0,78.0,6.5,20.0,8.3,2.2,10.5,11.8,3.5,3.8,18.4,2.5,12.4,10195
Bexley,342.0,968.0,374.0,162.0,728.0,383.0,125.0,324.0,1076.0,176.0,1729.0,5.4,15.2,5.9,2.5,11.4,6.0,2.0,5.1,16.8,2.8,27.1,10334
Kogarah,201.0,694.0,193.0,50.0,481.0,142.0,58.0,397.0,1413.0,305.0,839.0,4.2,14.5,4.0,1.0,10.1,3.0,1.2,8.3,29.6,6.4,17.6,12181
Bexley North,93.0,227.0,84.0,27.0,136.0,98.0,18.0,73.0,197.0,31.0,218.0,7.7,18.9,7.0,2.2,11.3,8.2,1.5,6.1,16.4,2.6,18.1,10335
Allawah,64.0,228.0,53.0,20.0,217.0,43.0,33.0,156.0,519.0,99.0,267.0,3.8,13.4,3.1,1.2,12.8,2.5,1.9,9.2,30.5,5.8,15.7,10038
Beverley Park,46.0,108.0,91.0,25.0,75.0,50.0,24.0,40.0,123.0,17.0,140.0,6.2,14.6,12.3,3.4,10.1,6.8,3.2,5.4,16.6,2.3,18.9,10330
Kogarah Bay,35.0,74.0,64.0,34.0,59.0,38.0,49.0,19.0,123.0,21.0,115.0,5.5,11.7,10.1,5.4,9.4,6.0,7.8,3.0,19.5,3.3,18.2,12182
Kyeemagh,17.0,28.0,28.0,14.0,14.0,20.0,13.0,6.0,27.0,0.0,91.0,6.6,10.9,10.9,5.4,5.4,7.8,5.0,2.3,10.5,0.0,35.3,12226
Brighton-le-Sands,110.0,340.0,116.0,52.0,175.0,144.0,76.0,161.0,360.0,112.0,798.0,4.5,13.9,4.7,2.1,7.2,5.9,3.1,6.6,14.7,4.6,32.7,10569
Rockdale,169.0,572.0,161.0,49.0,393.0,130.0,66.0,420.0,1620.0,411.0,984.0,3.4,11.5,3.2,1.0,7.9,2.6,1.3,8.4,32.6,8.3,19.8,13379
Monterey,67.0,213.0,74.0,54.0,132.0,81.0,57.0,76.0,184.0,31.0,276.0,5.4,17.1,5.9,4.3,10.6,6.5,4.6,6.1,14.8,2.5,22.2,12686
Banksia,69.0,156.0,81.0,18.0,113.0,56.0,20.0,67.0,199.0,52.0,231.0,6.5,14.7,7.6,1.7,10.6,5.3,1.9,6.3,18.7,4.9,21.8,10178
Sandringham (NSW),29.0,56.0,25.0,13.0,24.0,31.0,21.0,11.0,45.0,9.0,59.0,9.0,17.3,7.7,4.0,7.4,9.6,6.5,3.4,13.9,2.8,18.3,13478
Dolls Point,31.0,70.0,19.0,11.0,28.0,30.0,7.0,17.0,71.0,10.0,77.0,8.4,18.9,5.1,3.0,7.5,8.1,1.9,4.6,19.1,2.7,20.8,11267
Sans Souci,168.0,494.0,203.0,111.0,273.0,198.0,102.0,141.0,381.0,53.0,689.0,6.0,17.6,7.2,3.9,9.7,7.0,3.6,5.0,13.5,1.9,24.5,13489
Ramsgate,22.0,44.0,35.0,10.0,29.0,21.0,14.0,19.0,39.0,4.0,66.0,7.3,14.5,11.6,3.3,9.6,6.9,4.6,6.3,12.9,1.3,21.8,13309
Ramsgate Beach,22.0,84.0,9.0,3.0,50.0,16.0,11.0,17.0,54.0,10.0,166.0,5.0,19.0,2.0,0.7,11.3,3.6,2.5,3.8,12.2,2.3,37.6,13310
Concord,250.0,626.0,518.0,156.0,315.0,495.0,206.0,171.0,824.0,105.0,608.0,5.8,14.6,12.1,3.6,7.4,11.6,4.8,4.0,19.3,2.5,14.2,10999
Breakfast Point,53.0,109.0,43.0,56.0,53.0,43.0,50.0,45.0,197.0,27.0,252.0,5.7,11.7,4.6,6.0,5.7,4.6,5.4,4.8,21.2,2.9,27.2,10557
Cabarita (NSW),26.0,66.0,41.0,32.0,36.0,50.0,39.0,9.0,96.0,12.0,73.0,5.4,13.8,8.5,6.7,7.5,10.4,8.1,1.9,20.0,2.5,15.2,10736
Mortlake (NSW),12.0,29.0,26.0,20.0,20.0,15.0,9.0,16.0,43.0,6.0,90.0,4.2,10.1,9.1,7.0,7.0,5.2,3.1,5.6,15.0,2.1,31.5,12729
North Strathfield,62.0,211.0,69.0,24.0,118.0,56.0,44.0,119.0,435.0,65.0,386.0,3.9,13.3,4.3,1.5,7.4,3.5,2.8,7.5,27.4,4.1,24.3,13009
Concord West,96.0,288.0,247.0,38.0,146.0,198.0,58.0,76.0,383.0,46.0,252.0,5.3,15.8,13.5,2.1,8.0,10.8,3.2,4.2,21.0,2.5,13.8,11000
Sydney Olympic Park,9.0,22.0,3.0,3.0,20.0,0.0,13.0,41.0,198.0,35.0,314.0,1.4,3.3,0.5,0.5,3.0,0.0,2.0,6.2,30.1,5.3,47.7,13716
Liberty Grove,42.0,143.0,58.0,15.0,69.0,27.0,19.0,49.0,142.0,20.0,158.0,5.7,19.3,7.8,2.0,9.3,3.6,2.6,6.6,19.1,2.7,21.3,12315
Rhodes,115.0,184.0,33.0,33.0,149.0,37.0,44.0,353.0,2193.0,250.0,678.0,2.8,4.5,0.8,0.8,3.7,0.9,1.1,8.7,53.9,6.1,16.7,13358
Drummoyne,194.0,492.0,225.0,80.0,141.0,212.0,179.0,145.0,592.0,89.0,950.0,5.9,14.9,6.8,2.4,4.3,6.4,5.4,4.4,17.9,2.7,28.8,11293
Russell Lea,95.0,246.0,166.0,50.0,53.0,139.0,77.0,50.0,253.0,27.0,254.0,6.7,17.4,11.8,3.5,3.8,9.9,5.5,3.5,17.9,1.9,18.0,13447
Rodd Point,31.0,78.0,40.0,22.0,20.0,47.0,28.0,12.0,67.0,5.0,33.0,8.1,20.4,10.4,5.7,5.2,12.3,7.3,3.1,17.5,1.3,8.6,13391
Abbotsford (NSW),91.0,240.0,78.0,38.0,75.0,97.0,71.0,51.0,238.0,40.0,372.0,6.5,17.3,5.6,2.7,5.4,7.0,5.1,3.7,17.1,2.9,26.7,10003
Chiswick,44.0,98.0,30.0,26.0,24.0,40.0,23.0,23.0,132.0,13.0,211.0,6.6,14.8,4.5,3.9,3.6,6.0,3.5,3.5,19.9,2.0,31.8,10910
Five Dock,193.0,484.0,232.0,60.0,180.0,234.0,75.0,100.0,416.0,86.0,588.0,7.3,18.3,8.8,2.3,6.8,8.8,2.8,3.8,15.7,3.2,22.2,11530
Canada Bay,15.0,57.0,49.0,17.0,25.0,38.0,18.0,14.0,62.0,15.0,63.0,4.0,15.3,13.1,4.6,6.7,10.2,4.8,3.8,16.6,4.0,16.9,10785
Wareemba,27.0,83.0,36.0,7.0,22.0,47.0,14.0,21.0,95.0,7.0,73.0,6.2,19.2,8.3,1.6,5.1,10.9,3.2,4.9,22.0,1.6,16.9,14148
Balmain,204.0,432.0,176.0,145.0,142.0,123.0,183.0,108.0,546.0,68.0,924.0,6.7,14.2,5.8,4.8,4.7,4.0,6.0,3.5,17.9,2.2,30.3,10164
Birchgrove,59.0,163.0,62.0,50.0,45.0,43.0,73.0,27.0,178.0,23.0,262.0,6.0,16.5,6.3,5.1,4.6,4.4,7.4,2.7,18.1,2.3,26.6,10374
Woolwich,11.0,28.0,12.0,18.0,3.0,13.0,32.0,4.0,44.0,6.0,49.0,5.0,12.7,5.5,8.2,1.4,5.9,14.5,1.8,20.0,2.7,22.3,14412
Leichhardt (NSW),311.0,863.0,180.0,98.0,270.0,163.0,124.0,222.0,1007.0,119.0,1075.0,7.0,19.5,4.1,2.2,6.1,3.7,2.8,5.0,22.7,2.7,24.3,12297
Lilyfield,169.0,518.0,114.0,65.0,171.0,111.0,109.0,102.0,343.0,48.0,487.0,7.6,23.2,5.1,2.9,7.6,5.0,4.9,4.6,15.3,2.1,21.8,12325
Rozelle,152.0,460.0,101.0,66.0,129.0,105.0,97.0,91.0,417.0,76.0,736.0,6.3,18.9,4.2,2.7,5.3,4.3,4.0,3.7,17.2,3.1,30.3,13435
Ashfield (NSW),272.0,773.0,277.0,76.0,543.0,241.0,157.0,553.0,2516.0,497.0,1639.0,3.6,10.2,3.7,1.0,7.2,3.2,2.1,7.3,33.4,6.6,21.7,10098
Summer Hill (Inner West - NSW),115.0,443.0,44.0,26.0,120.0,54.0,114.0,133.0,609.0,77.0,514.0,5.1,19.7,2.0,1.2,5.3,2.4,5.1,5.9,27.1,3.4,22.9,13687
Hurlstone Park,61.0,230.0,102.0,9.0,139.0,81.0,31.0,76.0,290.0,42.0,287.0,4.5,17.1,7.6,0.7,10.3,6.0,2.3,5.6,21.5,3.1,21.3,11963
Ashbury,68.0,185.0,119.0,32.0,106.0,111.0,51.0,43.0,180.0,9.0,145.0,6.5,17.6,11.3,3.1,10.1,10.6,4.9,4.1,17.2,0.9,13.8,10093
Burwood (NSW),140.0,413.0,103.0,66.0,434.0,93.0,106.0,509.0,2830.0,391.0,1005.0,2.3,6.8,1.7,1.1,7.1,1.5,1.7,8.4,46.5,6.4,16.5,10718
Croydon (NSW),150.0,560.0,163.0,96.0,356.0,175.0,196.0,150.0,815.0,144.0,508.0,4.5,16.9,4.9,2.9,10.7,5.3,5.9,4.5,24.6,4.3,15.3,11134
Strathfield (NSW),270.0,671.0,328.0,326.0,692.0,346.0,486.0,628.0,2994.0,518.0,1623.0,3.0,7.6,3.7,3.7,7.8,3.9,5.5,7.1,33.7,5.8,18.3,13675
Croydon Park (NSW),160.0,459.0,376.0,69.0,325.0,353.0,77.0,184.0,681.0,75.0,525.0,4.9,14.0,11.4,2.1,9.9,10.7,2.3,5.6,20.7,2.3,16.0,11135
Enfield (NSW),28.0,95.0,83.0,13.0,82.0,95.0,27.0,44.0,195.0,29.0,132.0,3.4,11.5,10.1,1.6,10.0,11.5,3.3,5.3,23.7,3.5,16.0,11421
Burwood Heights,20.0,26.0,34.0,5.0,35.0,27.0,14.0,15.0,88.0,11.0,66.0,5.9,7.6,10.0,1.5,10.3,7.9,4.1,4.4,25.8,3.2,19.4,10719
Haberfield,95.0,345.0,158.0,103.0,122.0,231.0,174.0,65.0,374.0,39.0,299.0,4.7,17.2,7.9,5.1,6.1,11.5,8.7,3.2,18.7,1.9,14.9,11828
Homebush West,127.0,408.0,28.0,21.0,303.0,13.0,20.0,212.0,761.0,149.0,993.0,4.2,13.4,0.9,0.7,10.0,0.4,0.7,7.0,25.1,4.9,32.7,11930
Homebush (NSW),92.0,296.0,48.0,27.0,293.0,56.0,35.0,167.0,658.0,141.0,518.0,3.9,12.7,2.1,1.2,12.6,2.4,1.5,7.2,28.2,6.0,22.2,11929
Strathfield South,61.0,150.0,87.0,28.0,132.0,89.0,32.0,62.0,255.0,34.0,189.0,5.5,13.4,7.8,2.5,11.8,8.0,2.9,5.5,22.8,3.0,16.9,13676
Chatswood,431.0,1297.0,212.0,210.0,752.0,220.0,313.0,574.0,2403.0,380.0,1470.0,5.2,15.7,2.6,2.5,9.1,2.7,3.8,6.9,29.1,4.6,17.8,10892
North Willoughby,118.0,242.0,113.0,51.0,117.0,89.0,81.0,41.0,247.0,30.0,188.0,9.0,18.4,8.6,3.9,8.9,6.8,6.2,3.1,18.8,2.3,14.3,13016
Willoughby (NSW),174.0,504.0,137.0,100.0,159.0,118.0,123.0,67.0,335.0,40.0,279.0,8.5,24.8,6.7,4.9,7.8,5.8,6.0,3.3,16.5,2.0,13.7,14303
Artarmon,168.0,739.0,51.0,60.0,268.0,87.0,164.0,163.0,669.0,128.0,533.0,5.5,24.4,1.7,2.0,8.8,2.9,5.4,5.4,22.1,4.2,17.6,10090
Roseville,226.0,769.0,119.0,208.0,256.0,194.0,436.0,139.0,688.0,85.0,453.0,6.3,21.5,3.3,5.8,7.2,5.4,12.2,3.9,19.3,2.4,12.7,13412
Lane Cove North,206.0,598.0,117.0,59.0,232.0,149.0,108.0,217.0,774.0,127.0,592.0,6.5,18.8,3.7,1.9,7.3,4.7,3.4,6.8,24.3,4.0,18.6,12267
Chatswood West,26.0,111.0,25.0,10.0,63.0,21.0,26.0,23.0,101.0,14.0,52.0,5.5,23.5,5.3,2.1,13.3,4.4,5.5,4.9,21.4,3.0,11.0,10893
Lane Cove West,72.0,210.0,56.0,24.0,68.0,79.0,54.0,33.0,161.0,22.0,83.0,8.4,24.4,6.5,2.8,7.9,9.2,6.3,3.8,18.7,2.6,9.6,12268
Lane Cove,248.0,630.0,161.0,86.0,186.0,213.0,162.0,150.0,670.0,93.0,479.0,8.1,20.5,5.2,2.8,6.0,6.9,5.3,4.9,21.8,3.0,15.6,12266
Riverview (NSW),68.0,146.0,153.0,51.0,42.0,403.0,191.0,26.0,232.0,16.0,90.0,4.8,10.3,10.8,3.6,3.0,28.4,13.5,1.8,16.4,1.1,6.3,13370
Greenwich,102.0,294.0,53.0,55.0,75.0,121.0,151.0,80.0,389.0,31.0,328.0,6.1,17.5,3.2,3.3,4.5,7.2,9.0,4.8,23.2,1.8,19.5,11770
Northwood (NSW),14.0,51.0,18.0,24.0,6.0,38.0,52.0,5.0,51.0,5.0,71.0,4.2,15.2,5.4,7.2,1.8,11.3,15.5,1.5,15.2,1.5,21.2,13024
Longueville,42.0,66.0,80.0,63.0,21.0,107.0,86.0,28.0,148.0,17.0,64.0,5.8,9.1,11.1,8.7,2.9,14.8,11.9,3.9,20.5,2.4,8.9,12385
Linley Point,7.0,10.0,12.0,16.0,3.0,11.0,12.0,0.0,37.0,3.0,9.0,5.8,8.3,10.0,13.3,2.5,9.2,10.0,0.0,30.8,2.5,7.5,12341
St Leonards (NSW),64.0,122.0,12.0,22.0,50.0,20.0,27.0,101.0,407.0,68.0,408.0,4.9,9.4,0.9,1.7,3.8,1.5,2.1,7.8,31.3,5.2,31.4,13642
Naremburn,161.0,371.0,66.0,51.0,109.0,70.0,73.0,76.0,337.0,53.0,342.0,9.4,21.7,3.9,3.0,6.4,4.1,4.3,4.4,19.7,3.1,20.0,12898
Cammeray,143.0,434.0,61.0,56.0,99.0,72.0,78.0,97.0,354.0,66.0,382.0,7.8,23.6,3.3,3.0,5.4,3.9,4.2,5.3,19.2,3.6,20.7,10778
Castle Cove,63.0,196.0,34.0,34.0,50.0,51.0,104.0,18.0,148.0,22.0,105.0,7.6,23.8,4.1,4.1,6.1,6.2,12.6,2.2,17.9,2.7,12.7,10845
Castlecrag,53.0,172.0,75.0,104.0,66.0,79.0,169.0,26.0,185.0,16.0,135.0,4.9,15.9,6.9,9.6,6.1,7.3,15.6,2.4,17.1,1.5,12.5,10849
Northbridge (NSW),153.0,478.0,120.0,153.0,90.0,198.0,277.0,42.0,348.0,45.0,276.0,7.0,21.9,5.5,7.0,4.1,9.1,12.7,1.9,16.0,2.1,12.7,13022
Middle Cove,23.0,95.0,19.0,35.0,35.0,36.0,60.0,20.0,78.0,3.0,62.0,4.9,20.4,4.1,7.5,7.5,7.7,12.9,4.3,16.7,0.6,13.3,12602
Willoughby East,57.0,178.0,51.0,36.0,39.0,41.0,65.0,12.0,106.0,12.0,60.0,8.7,27.1,7.8,5.5,5.9,6.2,9.9,1.8,16.1,1.8,9.1,14304
Hornsby Heights,144.0,555.0,99.0,52.0,295.0,151.0,80.0,117.0,334.0,25.0,147.0,7.2,27.8,5.0,2.6,14.8,7.6,4.0,5.9,16.7,1.3,7.4,11937
Mount Colah,140.0,567.0,121.0,46.0,313.0,130.0,64.0,131.0,395.0,32.0,221.0,6.5,26.2,5.6,2.1,14.5,6.0,3.0,6.1,18.3,1.5,10.2,12750
Asquith,58.0,248.0,82.0,34.0,157.0,43.0,35.0,72.0,174.0,22.0,126.0,5.5,23.6,7.8,3.2,14.9,4.1,3.3,6.9,16.6,2.1,12.0,10103
Hornsby,436.0,1423.0,221.0,79.0,863.0,189.0,160.0,587.0,1360.0,224.0,1021.0,6.6,21.7,3.4,1.2,13.1,2.9,2.4,8.9,20.7,3.4,15.6,11936
Mount Kuring-Gai,31.0,134.0,16.0,16.0,84.0,27.0,27.0,33.0,86.0,9.0,68.0,5.8,25.2,3.0,3.0,15.8,5.1,5.1,6.2,16.2,1.7,12.8,12772
Cowan,15.0,58.0,0.0,5.0,49.0,3.0,6.0,25.0,28.0,4.0,30.0,6.7,26.0,0.0,2.2,22.0,1.3,2.7,11.2,12.6,1.8,13.5,11097
Berowra,95.0,352.0,97.0,52.0,246.0,102.0,71.0,91.0,247.0,27.0,130.0,6.3,23.3,6.4,3.4,16.3,6.8,4.7,6.0,16.4,1.8,8.6,10308
Brooklyn (NSW),4.0,29.0,0.0,11.0,41.0,11.0,7.0,6.0,27.0,3.0,49.0,2.1,15.4,0.0,5.9,21.8,5.9,3.7,3.2,14.4,1.6,26.1,10599
Berowra Heights,133.0,426.0,132.0,36.0,275.0,104.0,53.0,107.0,208.0,18.0,133.0,8.2,26.2,8.1,2.2,16.9,6.4,3.3,6.6,12.8,1.1,8.2,10310
Dangar Island,4.0,26.0,0.0,3.0,6.0,0.0,0.0,7.0,14.0,3.0,34.0,4.1,26.8,0.0,3.1,6.2,0.0,0.0,7.2,14.4,3.1,35.1,11199
Normanhurst,106.0,364.0,88.0,51.0,246.0,235.0,109.0,79.0,329.0,30.0,187.0,5.8,20.0,4.8,2.8,13.5,12.9,6.0,4.3,18.0,1.6,10.3,12976
Thornleigh,198.0,650.0,108.0,79.0,403.0,149.0,122.0,132.0,469.0,61.0,346.0,7.3,23.9,4.0,2.9,14.8,5.5,4.5,4.9,17.3,2.2,12.7,13850
Westleigh,117.0,319.0,59.0,60.0,199.0,117.0,91.0,59.0,295.0,21.0,122.0,8.0,21.9,4.0,4.1,13.6,8.0,6.2,4.0,20.2,1.4,8.4,14260
Wahroonga,331.0,849.0,231.0,565.0,379.0,292.0,1089.0,190.0,1118.0,109.0,843.0,5.5,14.2,3.9,9.4,6.3,4.9,18.2,3.2,18.6,1.8,14.1,14085
Waitara,153.0,412.0,46.0,21.0,164.0,37.0,30.0,135.0,310.0,55.0,306.0,9.2,24.7,2.8,1.3,9.8,2.2,1.8,8.1,18.6,3.3,18.3,14086
East Killara,44.0,216.0,25.0,50.0,210.0,24.0,91.0,47.0,267.0,13.0,102.0,4.0,19.8,2.3,4.6,19.3,2.2,8.4,4.3,24.5,1.2,9.4,11355
Killara (NSW),171.0,663.0,90.0,232.0,455.0,94.0,479.0,127.0,834.0,64.0,400.0,4.7,18.4,2.5,6.4,12.6,2.6,13.3,3.5,23.1,1.8,11.1,12129
Lindfield,200.0,652.0,119.0,189.0,262.0,167.0,397.0,121.0,740.0,84.0,388.0,6.0,19.6,3.6,5.7,7.9,5.0,12.0,3.6,22.3,2.5,11.7,12339
Gordon (NSW),139.0,468.0,49.0,119.0,374.0,58.0,295.0,103.0,631.0,57.0,456.0,5.1,17.0,1.8,4.3,13.6,2.1,10.7,3.7,23.0,2.1,16.6,11718
East Lindfield,66.0,338.0,32.0,82.0,163.0,67.0,173.0,37.0,239.0,19.0,107.0,5.0,25.5,2.4,6.2,12.3,5.1,13.1,2.8,18.1,1.4,8.1,11357
Roseville Chase,32.0,124.0,22.0,54.0,34.0,40.0,74.0,20.0,89.0,12.0,43.0,5.9,22.8,4.0,9.9,6.2,7.4,13.6,3.7,16.4,2.2,7.9,13413
Pymble,229.0,714.0,118.0,341.0,234.0,174.0,670.0,123.0,830.0,82.0,422.0,5.8,18.1,3.0,8.7,5.9,4.4,17.0,3.1,21.1,2.1,10.7,13281
West Pymble,158.0,460.0,110.0,80.0,199.0,116.0,218.0,49.0,363.0,25.0,121.0,8.3,24.2,5.8,4.2,10.5,6.1,11.5,2.6,19.1,1.3,6.4,14250
St Ives (NSW),371.0,1105.0,193.0,500.0,460.0,245.0,698.0,206.0,1034.0,105.0,600.0,6.7,20.0,3.5,9.1,8.3,4.4,12.7,3.7,18.7,1.9,10.9,13639
St Ives Chase,65.0,300.0,28.0,54.0,106.0,68.0,126.0,30.0,186.0,21.0,97.0,6.0,27.8,2.6,5.0,9.8,6.3,11.7,2.8,17.2,1.9,9.0,13640
Turramurra,225.0,768.0,143.0,313.0,303.0,196.0,519.0,113.0,783.0,96.0,418.0,5.8,19.8,3.7,8.1,7.8,5.1,13.4,2.9,20.2,2.5,10.8,13980
South Turramurra,78.0,295.0,36.0,38.0,170.0,43.0,91.0,31.0,170.0,13.0,122.0,7.2,27.1,3.3,3.5,15.6,4.0,8.4,2.9,15.6,1.2,11.2,13598
North Turramurra,48.0,226.0,36.0,72.0,84.0,54.0,152.0,40.0,186.0,20.0,452.0,3.5,16.5,2.6,5.3,6.1,3.9,11.1,2.9,13.6,1.5,33.0,13013
Warrawee,51.0,148.0,17.0,88.0,73.0,25.0,236.0,29.0,242.0,19.0,127.0,4.8,14.0,1.6,8.3,6.9,2.4,22.4,2.7,22.9,1.8,12.0,14165
North Wahroonga,33.0,125.0,26.0,51.0,50.0,32.0,104.0,19.0,120.0,16.0,41.0,5.3,20.3,4.2,8.3,8.1,5.2,16.9,3.1,19.4,2.6,6.6,13015
Cremorne Point,33.0,105.0,6.0,21.0,26.0,18.0,33.0,25.0,144.0,19.0,217.0,5.1,16.2,0.9,3.2,4.0,2.8,5.1,3.9,22.3,2.9,33.5,11113
Cremorne (NSW),187.0,449.0,107.0,106.0,154.0,89.0,196.0,161.0,618.0,101.0,764.0,6.4,15.3,3.6,3.6,5.3,3.0,6.7,5.5,21.1,3.4,26.1,11112
Neutral Bay,149.0,416.0,42.0,62.0,116.0,54.0,88.0,139.0,620.0,105.0,928.0,5.5,15.3,1.5,2.3,4.3,2.0,3.2,5.1,22.8,3.9,34.1,12934
Crows Nest (NSW),81.0,176.0,38.0,10.0,78.0,39.0,27.0,102.0,293.0,44.0,391.0,6.3,13.8,3.0,0.8,6.1,3.0,2.1,8.0,22.9,3.4,30.6,11131
Wollstonecraft,133.0,271.0,42.0,40.0,97.0,59.0,62.0,122.0,497.0,68.0,498.0,7.0,14.3,2.2,2.1,5.1,3.1,3.3,6.5,26.3,3.6,26.4,14359
Waverton,41.0,92.0,24.0,22.0,29.0,22.0,49.0,39.0,226.0,27.0,196.0,5.3,12.0,3.1,2.9,3.8,2.9,6.4,5.1,29.5,3.5,25.6,14202
North Sydney,83.0,235.0,33.0,39.0,69.0,41.0,207.0,96.0,542.0,70.0,709.0,3.9,11.1,1.6,1.8,3.2,1.9,9.7,4.5,25.5,3.3,33.4,13010
Mosman,505.0,1111.0,377.0,812.0,431.0,386.0,1091.0,256.0,1604.0,215.0,2071.0,5.7,12.5,4.3,9.2,4.9,4.4,12.3,2.9,18.1,2.4,23.4,12738
Kirribilli,29.0,43.0,28.0,15.0,21.0,16.0,19.0,47.0,253.0,25.0,362.0,3.4,5.0,3.3,1.7,2.4,1.9,2.2,5.5,29.5,2.9,42.2,12173
Kurraba Point,20.0,45.0,18.0,18.0,15.0,17.0,33.0,11.0,81.0,8.0,114.0,5.3,11.8,4.7,4.7,3.9,4.5,8.7,2.9,21.3,2.1,30.0,12217
Milsons Point,12.0,30.0,11.0,17.0,14.0,15.0,29.0,5.0,119.0,16.0,217.0,2.5,6.2,2.3,3.5,2.9,3.1,6.0,1.0,24.5,3.3,44.7,12629
McMahons Point,29.0,34.0,14.0,19.0,15.0,17.0,37.0,29.0,150.0,24.0,217.0,5.0,5.8,2.4,3.2,2.6,2.9,6.3,5.0,25.6,4.1,37.1,12547
Lavender Bay,11.0,8.0,7.0,7.0,3.0,6.0,11.0,10.0,73.0,10.0,90.0,4.7,3.4,3.0,3.0,1.3,2.5,4.7,4.2,30.9,4.2,38.1,12285
Seaforth (NSW),216.0,632.0,139.0,155.0,161.0,204.0,249.0,70.0,382.0,42.0,287.0,8.5,24.9,5.5,6.1,6.3,8.0,9.8,2.8,15.1,1.7,11.3,13509
Balgowlah Heights,97.0,328.0,68.0,74.0,67.0,114.0,173.0,30.0,155.0,19.0,127.0,7.7,26.2,5.4,5.9,5.4,9.1,13.8,2.4,12.4,1.5,10.1,10154
Clontarf (NSW),30.0,111.0,16.0,60.0,30.0,52.0,126.0,15.0,100.0,10.0,83.0,4.7,17.5,2.5,9.5,4.7,8.2,19.9,2.4,15.8,1.6,13.1,10935
Balgowlah,202.0,524.0,135.0,82.0,154.0,138.0,159.0,104.0,351.0,70.0,486.0,8.4,21.8,5.6,3.4,6.4,5.7,6.6,4.3,14.6,2.9,20.2,10153
Manly (NSW),226.0,577.0,139.0,95.0,167.0,180.0,228.0,235.0,777.0,222.0,1502.0,5.2,13.3,3.2,2.2,3.8,4.1,5.2,5.4,17.9,5.1,34.5,12475
Fairlight,127.0,326.0,53.0,54.0,93.0,82.0,106.0,57.0,269.0,55.0,313.0,8.3,21.2,3.5,3.5,6.1,5.3,6.9,3.7,17.5,3.6,20.4,11482
Avalon Beach,226.0,743.0,68.0,109.0,491.0,177.0,172.0,149.0,366.0,60.0,472.0,7.5,24.5,2.2,3.6,16.2,5.8,5.7,4.9,12.1,2.0,15.6,10111
Palm Beach (NSW),18.0,59.0,10.0,13.0,38.0,11.0,30.0,22.0,44.0,12.0,123.0,4.7,15.5,2.6,3.4,10.0,2.9,7.9,5.8,11.6,3.2,32.4,13132
Whale Beach,5.0,6.0,0.0,9.0,5.0,0.0,8.0,0.0,10.0,3.0,24.0,7.1,8.6,0.0,12.9,7.1,0.0,11.4,0.0,14.3,4.3,34.3,14267
Clareville,12.0,45.0,5.0,12.0,19.0,8.0,19.0,5.0,26.0,7.0,27.0,6.5,24.3,2.7,6.5,10.3,4.3,10.3,2.7,14.1,3.8,14.6,10923
Scotland Island,7.0,47.0,4.0,21.0,35.0,3.0,17.0,14.0,15.0,0.0,36.0,3.5,23.6,2.0,10.6,17.6,1.5,8.5,7.0,7.5,0.0,18.1,13505
Elanora Heights,120.0,366.0,57.0,89.0,142.0,93.0,105.0,70.0,168.0,38.0,148.0,8.6,26.2,4.1,6.4,10.2,6.7,7.5,5.0,12.0,2.7,10.6,11389
Ingleside,11.0,39.0,19.0,17.0,20.0,23.0,25.0,17.0,45.0,4.0,72.0,3.8,13.4,6.5,5.8,6.8,7.9,8.6,5.8,15.4,1.4,24.7,11979
Bayview (NSW),40.0,98.0,40.0,77.0,86.0,43.0,99.0,34.0,132.0,20.0,279.0,4.2,10.3,4.2,8.1,9.1,4.5,10.4,3.6,13.9,2.1,29.4,10237
Church Point,16.0,34.0,9.0,25.0,11.0,8.0,39.0,12.0,35.0,3.0,62.0,6.3,13.4,3.5,9.8,4.3,3.1,15.4,4.7,13.8,1.2,24.4,10915
Lovett Bay,0.0,9.0,0.0,3.0,6.0,0.0,0.0,3.0,4.0,0.0,49.0,0.0,12.2,0.0,4.1,8.1,0.0,0.0,4.1,5.4,0.0,66.2,12397
