,School Education,"Cafes, Restaurants and Takeaway Food Services",Building Installation Services,Road Freight Transport,Residential Building Construction,Legal and Accounting Services,Depository Financial Intermediation,Auxiliary Finance and Investment Services,Hospitals,Public Order and Safety Services,Defence,"Architectural, Engineering and Technical Services",Tertiary Education,"Building Cleaning, Pest Control and Gardening Services",Residential Care Services,Basic Ferrous Metal Manufacturing,Supermarket and Grocery Stores,Computer System Design and Related Services,"Clothing, Footwear and Personal Accessory Retailing",Coal Mining,Allied Health Services,Management and Related Consulting Services,State Government Administration,Building Completion Services,Accommodation,Other Machinery and Equipment Wholesaling,Medical Services,Pharmaceutical and Other Store-Based Retailing,Other Social Assistance Services,Child Care Services,Furniture Manufacturing,Specialised Food Retailing,Advertising Services,Air and Space Transport,Meat and Meat Product Manufacturing,Personal Care Services,Converted Paper Product Manufacturing,Real Estate Services,Printing and Printing Support Services,"Newspaper, Periodical, Book and Directory Publishing",Employment Services,"Furniture, Floor Covering and Other Goods Wholesaling",Automotive Repair and Maintenance,Veterinary Services,Road Passenger Transport,Local Government Administration,"Cement, Lime, Plaster and Concrete Product Manufacturing",Telecommunications Services,Specialised Machinery and Equipment Manufacturing,Recreational Goods Retailing,"Adult, Community and Other Education",Property Operators,Building Structure Services,Fruit and Vegetable Processing,Fertiliser and Pesticide Manufacturing,Polymer Product Manufacturing,Other Goods and Equipment Rental and Hiring,Sports and Physical Recreation Activities,Postal and Courier Pick-up and Delivery Services,Horse and Dog Racing Activities,"Pubs, Taverns and Bars",Rail Passenger Transport,School Education (%),"Cafes, Restaurants and Takeaway Food Services (%)",Building Installation Services (%),Road Freight Transport (%),Residential Building Construction (%),Legal and Accounting Services (%),Depository Financial Intermediation (%),Auxiliary Finance and Investment Services (%),Hospitals (%),Public Order and Safety Services (%),Defence (%),"Architectural, Engineering and Technical Services (%)",Tertiary Education (%),"Building Cleaning, Pest Control and Gardening Services (%)",Residential Care Services (%),Basic Ferrous Metal Manufacturing (%),Supermarket and Grocery Stores (%),Computer System Design and Related Services (%),"Clothing, Footwear and Personal Accessory Retailing (%)",Coal Mining (%),Allied Health Services (%),Management and Related Consulting Services (%),State Government Administration (%),Building Completion Services (%),Accommodation (%),Other Machinery and Equipment Wholesaling (%),Medical Services (%),Pharmaceutical and Other Store-Based Retailing (%),Other Social Assistance Services (%),Child Care Services (%),Furniture Manufacturing (%),Specialised Food Retailing (%),Advertising Services (%),Air and Space Transport (%),Meat and Meat Product Manufacturing (%),Personal Care Services (%),Converted Paper Product Manufacturing (%),Real Estate Services (%),Printing and Printing Support Services (%),"Newspaper, Periodical, Book and Directory Publishing (%)",Employment Services (%),"Furniture, Floor Covering and Other Goods Wholesaling (%)",Automotive Repair and Maintenance (%),Veterinary Services (%),Road Passenger Transport (%),Local Government Administration (%),"Cement, Lime, Plaster and Concrete Product Manufacturing (%)",Telecommunications Services (%),Specialised Machinery and Equipment Manufacturing (%),Recreational Goods Retailing (%),"Adult, Community and Other Education (%)",Property Operators (%),Building Structure Services (%),Fruit and Vegetable Processing (%),Fertiliser and Pesticide Manufacturing (%),Polymer Product Manufacturing (%),Other Goods and Equipment Rental and Hiring (%),Sports and Physical Recreation Activities (%),Postal and Courier Pick-up and Delivery Services (%),Horse and Dog Racing Activities (%),"Pubs, Taverns and Bars (%)",Rail Passenger Transport (%)
Lake Heights,,72,,,,,,,36,,,,,31,,76,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,3.0,,,,,2.6,,6.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Illawarra,38,51,,,,,,,,,,,,,51,54,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,4.6,,,,,,,,,,,,,4.6,4.9,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakelands,48,50,,,,,25,,32,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,6.1,,,,,3.0,,3.9,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakemba,,382,,,,,,,130,,,,,,159,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,,,,,,,,,7.5,,,,,,,2.6,,,,,,3.1,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,
Lalor Park,78,94,,98,,,,,108,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.2,,3.4,,,,,3.7,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambton,138,103,,,,,,,185,,,,85,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,4.3,,,,,,,7.7,,,,3.6,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove,195,,,,,217,183,,184,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,4.3,3.6,,3.6,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove North,181,,,,,200,186,,205,,,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,3.8,3.5,,3.9,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove West,,,,,,45,47,42,41,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.3,3.8,3.7,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansvale,39,33,,36,27,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.5,,3.8,2.9,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapstone,49,19,,,,,,,18,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,11.2,4.4,,,,,,,4.1,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,
Lavender Bay,18,,,,,38,,23,,,,,18,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,7.1,,4.3,,,,,3.4,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leichhardt,292,,,,,321,,,289,,,222,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,4.1,,,3.7,,,2.9,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonay,87,35,31,,36,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,2.7,2.4,,2.8,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethbridge Park,35,59,,58,,,,,,,,,,,35,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.6,,4.5,,,,,,,,,,,2.7,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leumeah,208,175,,131,,,,,118,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.0,,3.0,,,,,2.7,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewisham,55,,,,,65,,,68,,,44,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,4.3,,,4.5,,,2.9,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Grove,,41,,,,38,41,,48,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,3.5,3.7,,4.4,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidcombe,,485,,,,,244,,231,,,,,222,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,3.3,,3.1,,,,,3.0,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilli Pilli,38,23,,,,25,,,,,,,,,,,,,,,,,,,,,23,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,3.5,,,,3.8,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilyfield,145,,,,,132,,,148,,,131,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,3.6,,,4.0,,,3.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindfield,164,,,,,238,138,150,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,6.0,3.5,3.8,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linley Point,,,,,,11,,,,,,7,,,,,,,8,,10,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,3.3,,,,,,,3.8,,4.7,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisarow,112,101,,,,,,,109,67,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.1,,,,,,,4.4,2.7,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Bay,55,,,,,43,,,54,,79,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,3.2,,,4.0,,5.9,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool,194,287,,,226,,,,346,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.7,,,2.9,,,,4.5,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loftus,120,76,56,,,,,,75,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,3.8,2.8,,,,,,3.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Jetty,98,87,,,,,,,,,,,,,101,,70,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.1,,,,,,,,,,,,,4.7,,3.3,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Point,9,10,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,4,,,,,,,,,,,,,,,,8.1,9.0,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,3.6,,,,,,,,,,,,,,,
Longueville,,,,,,75,,44,34,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,4.4,3.4,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,
Lugarno,179,74,74,,,93,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,2.7,2.7,,,3.4,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lurnea,90,102,,89,74,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.7,,3.2,2.7,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Fields,151,214,,152,,,,,,,,,,,157,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.3,,3.0,,,,,,,,,,,3.1,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Hills,84,71,43,,,,,,87,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.2,2.6,,,,,,5.2,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Links,32,21,,,,28,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,3.4,,,,4.5,3.2,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Park,,112,,,,,,,,,,,162,,,,,182,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,5.7,,,,,6.4,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,
Malabar,91,,47,,,,,,52,56,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,3.2,,,,,,3.6,3.8,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangerton,89,62,,,,,,,60,,,,56,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,5.0,,,,,,,4.8,,,,4.5,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manly,,317,,,,425,309,380,,,,,,,,,,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,5.0,3.7,4.5,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manly Vale,119,127,,,,85,,,,,,,,,,,,124,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.0,,,,2.7,,,,,,,,,,,,3.9,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marayong,92,137,,81,,,,,105,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.4,,2.6,,,,,3.4,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mardi,52,77,,,,,,,48,56,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,5.0,,,,,,,3.1,3.7,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marks Point,25,35,19,,,,,,21,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,5.2,2.8,,,,,,3.1,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmong Point,10,14,,,,,,,16,,,,,,13,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.9,,,,,,,4.5,,,,,,3.7,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maroubra,523,560,,,,488,,,528,,,,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.1,,,,3.5,,,3.8,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marrickville,446,561,,,,308,,,425,,,,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.6,,,,2.5,,,3.5,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsfield,198,252,,,,,,,,,,,285,,,,,301,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.4,,,,,,,,,,,5.0,,,,,5.2,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,119,167,,,,,,,182,,,,,,113,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.3,,,,,,,4.6,,,,,,2.9,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryville,29,31,,,,,,,42,,29,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.0,,,,,,,5.4,,3.7,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mascot,,256,,,,,163,,180,,,,,,,,,164,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,3.0,,3.4,,,,,,,,,3.1,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matraville,167,153,,,,95,,,148,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.7,,,,2.3,,,3.5,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfield,152,234,,,,,,,170,,,,154,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,5.7,,,,,,,4.1,,,,3.7,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfield East,40,41,,,,,,,38,,,,28,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,5.1,,,,,,,4.7,,,,3.5,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfield West,38,36,,,,,,,38,,,,,,35,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,4.9,,,,,,,5.1,,,,,,4.7,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mays Hill,11,17,,,,9,,,9,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,5.3,,,,2.8,,,2.8,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahons Point,,,,,,82,,66,,,,58,44,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,4.5,,,,4.0,3.0,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadowbank,,98,,,,77,83,,65,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,3.5,3.8,,3.0,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melrose Park,34,,23,,,25,,,20,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,3.2,,,3.4,,,2.8,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menai,375,176,,,,,159,,159,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,3.1,,,,,2.8,,2.8,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merewether,364,308,,,,,,,305,,,222,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,5.3,,,,,,,5.3,,,3.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merewether Heights,42,,,,,27,,,38,,,31,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,4.1,,,5.7,,,4.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrylands,290,493,,,290,,269,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.9,,,2.9,,2.7,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrylands West,73,99,,61,,,79,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.2,,2.6,,,3.3,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Cove,24,,,,,40,,,,,,29,24,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,6.4,,,,,,4.7,3.9,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miller,,29,,28,19,,,,21,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,4.0,2.7,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millers Point,,,,,,68,60,65,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.3,7.9,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,
Milperra,112,48,62,64,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,2.4,3.1,3.2,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milsons Point,,,,,,70,57,70,,,,39,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,5.2,6.4,,,,3.6,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minchinbury,89,125,,102,,,,,83,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.5,,3.7,,,,,3.0,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minmi,15,17,,,,,,,14,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,4.3,4.9,,,,,,,4.0,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,
Minto,134,147,,144,,,,,,,,,,,130,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.5,,3.4,,,,,,,,,,,3.1,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miranda,316,257,,,,,,,262,192,,,,,,,,,,,,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.7,,,,,,,3.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mona Vale,247,155,,,141,139,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.0,,,2.8,2.7,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,67,74,,,,58,57,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.7,,,,2.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moorebank,162,98,,119,,,,,102,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,2.7,,3.3,,,,,2.8,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortdale,231,199,,,,146,160,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.9,,,,2.9,3.2,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortlake,17,23,,,,19,,,22,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.5,,,,4.5,,,5.2,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosman,,,,,,887,545,751,,,,430,,,,,,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,4.0,5.6,,,,3.2,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Annan,333,221,,160,,,,,,200,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,3.9,,2.8,,,,,,3.6,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Colah,216,142,,,,,,,160,,,107,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,3.6,,,,,,,4.1,,,2.7,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Druitt,,232,,181,,,,,184,,,,,,172,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,3.2,,,,,3.2,,,,,,3.0,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
