,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Pennant Hills,51.0,37.0,26.0,--,--,--
Penrith,49.0,30.0,41.0,--,--,--
Penrose (Wollongong - NSW),51.0,40.0,36.0,--,--,--
Penshurst (NSW),47.0,34.0,34.0,--,--,--
Petersham,44.0,35.0,34.0,--,--,--
Phillip Bay,53.0,45.0,33.0,--,--,--
Picnic Point,50.0,41.0,26.0,--,--,--
Plumpton (NSW),45.0,37.0,24.0,--,--,--
Point Clare,52.0,43.0,48.0,--,--,--
Point Frederick,56.0,32.0,48.0,--,--,--
Point Piper,59.0,44.0,38.0,--,--,--
Port Kembla,55.0,37.0,42.0,--,--,--
Potts Point,40.0,33.0,37.0,--,--,--
Prairiewood,55.0,41.0,29.0,--,--,--
Prestons,43.0,36.0,24.0,--,--,--
Primbee,54.0,38.0,44.0,--,--,--
Prospect (NSW),49.0,36.0,27.0,--,--,--
Punchbowl (Canterbury - NSW),47.0,39.0,28.0,--,--,--
Putney,51.0,42.0,28.0,--,--,--
Pyrmont,40.0,32.0,31.0,--,--,--
Quakers Hill,44.0,33.0,26.0,--,--,--
Queens Park (NSW),49.0,39.0,38.0,--,--,--
Raby,49.0,34.0,25.0,--,--,--
Ramsgate,51.0,39.0,39.0,--,--,--
Ramsgate Beach,51.0,38.0,53.0,--,--,--
Rankin Park,56.0,37.0,32.0,--,--,--
Redfern,44.0,36.0,36.0,--,--,--
Redhead,53.0,36.0,44.0,--,--,--
Regents Park (NSW),47.0,39.0,31.0,--,--,--
Regentville,50.0,29.0,23.0,--,--,--
Revesby Heights,48.0,39.0,28.0,--,--,--
Rhodes,33.0,27.0,26.0,--,--,--
Riverstone,49.0,35.0,34.0,--,--,--
Riverview (Lane Cove - NSW),50.0,44.0,24.0,--,--,--
Riverwood,50.0,35.0,41.0,--,--,--
Rockdale,41.0,30.0,29.0,--,--,--
Rocky Point (NSW),48.0,44.0,26.0,--,--,--
Rodd Point,51.0,43.0,33.0,--,--,--
Rooty Hill,47.0,35.0,27.0,--,--,--
Rose Bay (NSW),49.0,34.0,37.0,--,--,--
Rosebery (NSW),48.0,32.0,31.0,--,--,--
Roseville,50.0,42.0,26.0,--,--,--
Roseville Chase,51.0,46.0,26.0,--,--,--
Rouse Hill,42.0,37.0,25.0,--,--,--
Rozelle,42.0,36.0,37.0,--,--,--
Ruse,53.0,36.0,31.0,--,--,--
Rushcutters Bay,42.0,34.0,37.0,--,--,--
Russell Lea,49.0,38.0,34.0,--,--,--
Russell Vale,51.0,44.0,38.0,--,--,--
Rydalmere,47.0,37.0,35.0,--,--,--
Ryde,47.0,35.0,34.0,--,--,--
San Remo (NSW),50.0,35.0,35.0,--,--,--
Sandringham (NSW),51.0,45.0,45.0,--,--,--
Sans Souci,52.0,43.0,44.0,--,--,--
