,Worked full-time,Worked part-time,Away from work,Unemployed,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),SSC_CODE
Central Tilba,60.0,64.0,4.0,0.0,46.9,50.0,3.1,0.0,10877
North Narooma,100.0,86.0,17.0,11.0,46.7,40.2,7.9,5.1,12998
Akolele,13.0,11.0,0.0,0.0,54.2,45.8,0.0,0.0,10023
Mystery Bay,34.0,23.0,0.0,0.0,59.6,40.4,0.0,0.0,12883
Goulburn,5894.0,3037.0,546.0,700.0,57.9,29.8,5.4,6.9,11725
Run-o-Waters,140.0,83.0,14.0,11.0,56.5,33.5,5.6,4.4,13440
Marulan,302.0,159.0,36.0,30.0,57.3,30.2,6.8,5.7,12513
Windellama,79.0,40.0,9.0,15.0,55.2,28.0,6.3,10.5,14318
Bigga,67.0,22.0,0.0,4.0,72.0,23.7,0.0,4.3,10346
Tirrannaville,79.0,39.0,8.0,0.0,62.7,31.0,6.3,0.0,13883
Lake Bathurst,62.0,20.0,3.0,6.0,68.1,22.0,3.3,6.6,12239
Quialigo,68.0,33.0,5.0,3.0,62.4,30.3,4.6,2.8,13297
Laggan,112.0,62.0,8.0,4.0,60.2,33.3,4.3,2.2,12235
Grabben Gullen,62.0,37.0,7.0,4.0,56.4,33.6,6.4,3.6,11731
Parkesbourne,59.0,25.0,5.0,5.0,62.8,26.6,5.3,5.3,13152
Yarra,55.0,35.0,9.0,3.0,53.9,34.3,8.8,2.9,14468
Crookwell,649.0,388.0,70.0,50.0,56.1,33.5,6.1,4.3,11123
Bungonia,93.0,49.0,10.0,18.0,54.7,28.8,5.9,10.6,10685
Collector,108.0,42.0,6.0,6.0,66.7,25.9,3.7,3.7,10972
Middle Arm,122.0,58.0,8.0,5.0,63.2,30.1,4.1,2.6,12599
Taralga,124.0,70.0,9.0,12.0,57.7,32.6,4.2,5.6,13759
Tarlo,39.0,23.0,12.0,0.0,52.7,31.1,16.2,0.0,13767
Wayo,45.0,18.0,4.0,0.0,67.2,26.9,6.0,0.0,14204
Kingsdale,55.0,31.0,3.0,0.0,61.8,34.8,3.4,0.0,12155
Bannister (NSW),43.0,25.0,0.0,0.0,63.2,36.8,0.0,0.0,10183
Brayton,37.0,21.0,9.0,5.0,51.4,29.2,12.5,6.9,10554
Greenwich Park,20.0,19.0,3.0,0.0,47.6,45.2,7.1,0.0,11771
Tallong,178.0,127.0,30.0,20.0,50.1,35.8,8.5,5.6,13733
