,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Grasmere,974.0,338.0,203.0,325.0,56.6,19.6,11.8,18.9,11739
Camden,1819.0,742.0,273.0,476.0,68.6,27.9,10.3,17.9,10770
Camden Park (NSW),1305.0,692.0,230.0,326.0,78.7,41.9,13.9,19.7,10772
Cawdor (NSW),268.0,104.0,44.0,78.0,73.6,28.7,12.2,21.8,10863
Camden South,2812.0,1323.0,501.0,764.0,78.8,37.1,14.1,21.5,10773
Harrington Park,5958.0,3128.0,898.0,1177.0,76.1,39.9,11.5,15.0,11859
Elderslie (Camden - NSW),3396.0,1699.0,528.0,838.0,74.8,37.4,11.6,18.4,11391
Narellan,2078.0,908.0,366.0,437.0,71.5,31.2,12.6,15.0,12896
Kirkham,425.0,181.0,79.0,131.0,77.4,32.8,14.4,23.8,12171
Mount Annan,6618.0,3359.0,929.0,1325.0,76.0,38.5,10.7,15.2,12745
Currans Hill,2845.0,1511.0,448.0,481.0,73.2,39.0,11.5,12.4,11175
Gregory Hills,2629.0,1395.0,346.0,427.0,71.4,37.9,9.4,11.6,11774
Narellan Vale,4106.0,2021.0,679.0,779.0,74.4,36.7,12.3,14.1,12897
Spring Farm (NSW),2426.0,1344.0,268.0,423.0,77.2,42.9,8.5,13.5,13612
Airds,1042.0,529.0,353.0,203.0,48.6,24.6,16.5,9.5,10022
Bradbury (NSW),4725.0,2134.0,988.0,976.0,68.5,31.0,14.3,14.2,10543
St Helens Park,3417.0,1718.0,575.0,636.0,68.8,34.6,11.6,12.8,13637
Wedderburn (NSW),363.0,161.0,80.0,70.0,72.2,32.0,15.9,13.8,14209
Woodbine (NSW),1436.0,639.0,258.0,289.0,66.5,29.7,12.0,13.4,14378
Campbelltown (NSW),6545.0,2598.0,1197.0,1403.0,63.3,25.1,11.6,13.6,10780
