,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Mardi,1925.0,927.0,343.0,446.0,67.4,32.4,12.0,15.6,12488
Tacoma South,158.0,54.0,21.0,29.0,73.5,25.6,10.0,13.9,13725
Hamlyn Terrace,3184.0,1583.0,590.0,710.0,68.7,34.2,12.7,15.3,11843
Woongarrah,2843.0,1546.0,495.0,604.0,74.1,40.2,12.9,15.7,14415
Warnervale,362.0,169.0,68.0,80.0,72.0,33.7,13.6,15.8,14154
Wallarah,189.0,73.0,41.0,33.0,64.5,25.4,14.5,11.4,14109
Wadalba,1512.0,801.0,247.0,307.0,72.3,38.3,11.8,14.7,14080
Watanobbi,2065.0,905.0,434.0,436.0,68.5,30.1,14.5,14.5,14181
Tacoma,352.0,173.0,68.0,82.0,71.1,34.4,13.7,16.5,13724
Llanarth (NSW),1364.0,665.0,181.0,443.0,80.2,39.2,10.7,26.1,12362
South Bathurst,876.0,342.0,153.0,238.0,67.5,26.5,11.8,18.3,13577
Bathurst,4077.0,1265.0,647.0,1229.0,67.6,21.0,10.7,20.4,10231
Robin Hill,602.0,233.0,115.0,229.0,82.0,31.8,15.5,31.2,13375
West Bathurst,2053.0,873.0,377.0,574.0,71.4,30.3,13.1,20.0,14241
Mitchell (NSW),279.0,51.0,39.0,151.0,21.8,4.0,3.0,11.8,12650
Gormans Hill,365.0,143.0,65.0,81.0,54.9,21.5,9.8,12.4,11720
Abercrombie,669.0,306.0,104.0,229.0,80.1,36.9,12.5,27.5,10004
Eglinton (NSW),1329.0,641.0,244.0,365.0,77.3,37.2,14.1,21.2,11386
Windradyne,1686.0,713.0,300.0,414.0,73.7,31.2,13.1,18.1,14324
Raglan (NSW),705.0,362.0,136.0,172.0,77.4,39.5,14.9,18.8,13304
White Rock (NSW),423.0,226.0,67.0,153.0,75.4,40.3,11.9,27.1,14275
Kelso (NSW),4838.0,2284.0,794.0,1302.0,70.9,33.5,11.6,19.1,12090
O'Connell (NSW),359.0,126.0,53.0,145.0,79.4,27.8,11.5,31.5,13052
Brewongle,76.0,22.0,7.0,14.0,68.5,21.4,6.8,13.2,10564
Trunkey Creek,68.0,33.0,20.0,25.0,68.7,33.0,19.2,25.8,13942
Perthville,381.0,162.0,70.0,125.0,75.7,32.1,14.2,25.3,13189
Sofala,67.0,19.0,9.0,31.0,58.3,16.7,8.6,28.4,13569
Wattle Flat (NSW),141.0,41.0,34.0,53.0,62.9,18.3,15.0,23.3,14191
Peel,170.0,72.0,30.0,50.0,77.6,33.5,14.0,23.5,13174
Limekilns,69.0,27.0,11.0,28.0,82.1,30.0,12.5,31.1,12330
Clear Creek,80.0,25.0,19.0,24.0,77.7,26.0,18.8,25.3,10925
Rockley,103.0,36.0,11.0,43.0,65.2,22.6,7.0,26.4,13380
Georges Plains,125.0,44.0,25.0,52.0,62.2,21.5,12.7,25.1,11602
Duramana,152.0,51.0,24.0,44.0,87.4,29.8,14.0,24.7,11330
Billywillinga,117.0,50.0,21.0,43.0,77.5,33.3,14.1,27.6,10357
Mount Rankin,235.0,103.0,39.0,75.0,75.1,33.6,12.5,24.0,12786
Rock Forest,126.0,66.0,26.0,50.0,75.4,40.0,16.4,30.3,13377
Evans Plains,98.0,49.0,17.0,29.0,80.3,41.2,13.3,22.7,11470
The Lagoon,123.0,56.0,24.0,32.0,72.8,33.7,14.1,19.2,13828
Wisemans Creek,70.0,25.0,6.0,22.0,75.3,25.8,6.5,23.9,14343
Yetholme,139.0,64.0,30.0,46.0,74.7,34.8,16.5,25.0,14513
Meadow Flat,194.0,83.0,26.0,63.0,80.8,35.0,10.8,25.8,12549
Tarana,95.0,46.0,19.0,52.0,72.0,32.9,14.5,38.8,13760
Glanmire (NSW),113.0,40.0,19.0,31.0,79.6,29.0,14.0,22.6,11640
Napoleon Reef,111.0,33.0,15.0,34.0,82.2,24.6,11.9,27.2,12893
Oberon,1704.0,669.0,327.0,487.0,64.2,25.2,12.3,18.3,13068
Black Springs (NSW),113.0,57.0,23.0,27.0,60.4,30.0,12.3,14.5,10389
Condobolin,1657.0,725.0,300.0,651.0,61.2,26.7,11.1,24.0,11002
Tullamore,236.0,77.0,44.0,109.0,65.9,21.5,12.4,30.6,13954
Lake Cargelligo,699.0,294.0,122.0,339.0,60.8,25.6,10.7,29.6,12242
Tullibigeal,114.0,56.0,29.0,88.0,62.6,30.4,15.5,47.6,13957
Ungarie,290.0,118.0,78.0,149.0,65.5,26.9,17.9,34.2,14011
Euabalong,91.0,40.0,6.0,24.0,66.4,28.8,4.5,17.8,11449
Fifield,58.0,37.0,14.0,27.0,61.1,37.8,14.7,27.6,11514
Tottenham (NSW),226.0,66.0,34.0,96.0,60.6,17.7,9.0,25.6,13923
Cowra,5402.0,1964.0,1051.0,1783.0,65.4,23.8,12.7,21.6,11099
Canowindra,1225.0,464.0,239.0,564.0,67.6,25.6,13.2,31.1,10796
Woodstock (Cowra - NSW),386.0,117.0,79.0,137.0,64.4,19.6,13.3,23.1,14394
Gooloogong,225.0,86.0,43.0,86.0,70.8,27.7,13.5,27.1,11709
Mandurama,198.0,57.0,52.0,63.0,64.9,19.3,17.2,20.8,12467
Wattamondara,133.0,42.0,34.0,50.0,80.1,25.0,20.2,29.9,14190
Darbys Falls,146.0,38.0,22.0,41.0,64.3,17.1,10.0,18.7,11205
Billimari,71.0,28.0,13.0,35.0,61.2,22.4,10.9,28.0,10354
Moorbel,127.0,63.0,31.0,55.0,70.2,34.2,18.0,30.1,12709
Forbes (NSW),4366.0,1692.0,796.0,1645.0,64.7,25.1,11.8,24.4,11536
Eugowra,443.0,141.0,99.0,202.0,67.3,21.3,15.0,30.6,11454
Warroo (NSW),77.0,38.0,6.0,33.0,80.2,38.4,6.1,33.0,14175
Bedgerabong,79.0,27.0,13.0,38.0,70.5,25.2,12.1,35.2,10247
Grenfell,1472.0,509.0,268.0,707.0,67.9,23.5,12.4,32.7,11776
Greenethorpe,108.0,39.0,27.0,40.0,54.5,19.7,13.7,19.8,11760
Quandialla,102.0,36.0,24.0,47.0,63.4,23.5,14.9,29.9,13290
Caragabal,95.0,55.0,19.0,48.0,69.3,38.5,14.1,34.3,10806
Parkes (NSW),5951.0,2506.0,1105.0,2083.0,66.0,27.8,12.3,23.1,13151
Cookamidgera,88.0,33.0,20.0,24.0,66.2,25.2,14.5,17.5,11016
Peak Hill (NSW),555.0,167.0,125.0,239.0,59.9,17.8,13.4,25.5,13166
Trundle,357.0,126.0,80.0,192.0,63.8,22.2,14.3,33.9,13940
Bogan Gate,133.0,41.0,24.0,44.0,58.8,18.1,11.0,19.5,10438
Alectown,99.0,41.0,31.0,51.0,71.2,29.9,21.2,35.9,10029
West Wyalong,1604.0,647.0,306.0,727.0,63.9,25.9,12.2,29.0,14256
Wyalong,360.0,153.0,56.0,139.0,68.6,29.2,10.7,26.1,14431
Weethalle,125.0,44.0,27.0,61.0,58.7,20.3,12.7,28.8,14215
Tallimba,87.0,43.0,11.0,49.0,60.8,29.9,8.2,34.5,13732
Barellan,280.0,121.0,56.0,166.0,66.2,28.5,13.1,39.0,10197
Ardlethan,249.0,78.0,50.0,137.0,55.1,16.8,11.1,30.1,10076
Ariah Park,268.0,126.0,61.0,184.0,70.5,33.2,16.0,47.4,10081
Barmedman,216.0,84.0,48.0,105.0,60.3,23.5,13.5,29.6,10202
Beckom,62.0,37.0,24.0,45.0,65.3,38.1,24.2,47.9,10244
South Bowenfels,683.0,306.0,156.0,239.0,73.8,32.7,16.8,25.7,13578
Marrangaroo,284.0,130.0,67.0,100.0,34.1,15.9,8.1,12.1,12502
Lithgow,2817.0,1018.0,562.0,744.0,63.8,23.0,12.7,16.8,12347
Bowenfels,894.0,399.0,177.0,235.0,55.8,24.9,11.1,14.6,10529
Rydal,112.0,39.0,16.0,44.0,65.1,22.3,9.3,25.3,13452
Pottery Estate,67.0,31.0,6.0,16.0,62.0,28.2,5.3,14.5,13254
Oakey Park,189.0,69.0,30.0,65.0,65.4,24.4,10.8,22.7,13055
Morts Estate,342.0,157.0,71.0,91.0,68.8,31.3,14.1,18.1,12732
Hermitage Flat,205.0,73.0,48.0,49.0,69.7,25.0,16.3,16.7,11895
McKellars Park,138.0,59.0,11.0,37.0,75.4,31.7,5.9,19.4,12544
South Littleton,156.0,80.0,29.0,49.0,67.0,34.6,12.6,21.7,13590
Littleton,459.0,180.0,96.0,134.0,69.5,27.1,14.4,20.2,12360
Vale Of Clwydd,245.0,112.0,44.0,61.0,63.5,29.2,11.5,15.6,14064
Portland (NSW),1254.0,506.0,270.0,357.0,62.4,25.1,13.4,17.7,13250
Lidsdale,203.0,101.0,36.0,64.0,58.2,29.5,10.4,18.7,12318
Wallerawang,1015.0,438.0,178.0,279.0,65.8,28.4,11.6,18.1,14114
Little Hartley,342.0,96.0,58.0,90.0,78.4,22.5,13.4,21.0,12352
Hartley (NSW),238.0,105.0,44.0,79.0,68.6,30.4,12.8,22.9,11861
Clarence,125.0,34.0,24.0,42.0,71.0,19.8,14.0,25.5,10919
Glen Davis,57.0,14.0,12.0,28.0,64.8,16.1,13.3,31.8,11646
Cullen Bullen,105.0,46.0,19.0,46.0,44.3,19.4,8.0,19.8,11148
Megalong Valley,85.0,36.0,18.0,38.0,72.0,28.6,15.0,30.6,12557
Kanimbla (NSW),96.0,22.0,20.0,39.0,84.2,19.5,17.2,32.2,12065
Capertee,78.0,29.0,13.0,25.0,66.1,23.8,10.7,21.4,10802
Running Stream,85.0,21.0,25.0,31.0,71.4,18.3,21.2,25.6,13441
Mudgee,5815.0,2570.0,796.0,1721.0,68.4,30.2,9.4,20.2,12812
Putta Bucca,139.0,45.0,17.0,56.0,74.7,25.1,9.6,30.9,13278
Bombira,210.0,81.0,44.0,92.0,78.4,30.1,16.3,33.9,10457
Burrundulla,75.0,30.0,13.0,30.0,67.6,28.0,11.3,28.0,10717
Spring Flat,116.0,39.0,15.0,47.0,73.9,24.1,9.6,29.2,13613
Kandos,656.0,209.0,163.0,231.0,58.2,18.6,14.5,20.6,12057
Rylstone,547.0,179.0,98.0,195.0,69.4,23.1,12.6,25.0,13457
Ilford,101.0,33.0,23.0,36.0,65.6,21.2,14.5,22.9,11971
Clandulla,94.0,38.0,29.0,36.0,58.0,25.0,18.5,22.5,10916
Charbon,63.0,34.0,18.0,23.0,59.4,30.4,16.7,20.7,10883
Lue,104.0,27.0,22.0,31.0,67.5,17.1,14.6,20.7,12420
Gulgong,1284.0,516.0,225.0,409.0,65.1,26.3,11.5,20.8,11794
Dunedoo,586.0,213.0,100.0,289.0,58.8,21.5,10.1,29.2,11316
Leadville,62.0,37.0,17.0,42.0,49.6,28.7,13.5,30.9,12290
Cassilis (NSW),161.0,63.0,24.0,84.0,68.2,25.8,9.8,34.6,10844
Tallawang,70.0,24.0,6.0,17.0,50.0,18.6,4.7,12.7,13731
Beryl,66.0,30.0,4.0,23.0,66.0,28.8,4.0,22.5,10327
Stubbo,127.0,54.0,24.0,29.0,71.3,29.2,13.0,16.1,13682
Cope,52.0,27.0,13.0,12.0,57.8,28.1,14.4,12.2,11057
Yarrawonga (NSW),220.0,76.0,40.0,56.0,64.3,22.1,11.8,16.4,14486
Piambong,89.0,35.0,16.0,33.0,67.9,28.2,12.4,26.2,13197
Cooks Gap,272.0,102.0,48.0,69.0,63.3,23.4,11.1,16.0,11018
Frog Rock,84.0,36.0,4.0,23.0,69.4,27.9,3.4,19.3,11570
Cooyal,70.0,18.0,12.0,31.0,75.3,21.2,12.8,36.9,11055
St Fillans,148.0,58.0,25.0,44.0,74.4,29.4,12.6,21.9,13634
Eurunderee,97.0,44.0,24.0,43.0,74.6,34.9,18.5,33.3,11467
Budgee Budgee (NSW),112.0,47.0,6.0,44.0,70.4,30.5,3.9,27.8,10641
Kains Flat,109.0,40.0,14.0,29.0,77.3,28.6,10.1,21.3,12049
Menah,80.0,30.0,14.0,28.0,71.4,26.1,12.1,24.3,12566
Grattai,200.0,65.0,28.0,59.0,76.9,25.4,10.7,22.8,11741
Hargraves,148.0,46.0,28.0,47.0,67.9,21.0,13.0,21.1,11854
Windeyer (NSW),106.0,16.0,24.0,28.0,64.6,9.7,15.1,16.9,14322
Bocoble,78.0,28.0,13.0,19.0,66.1,23.9,11.1,15.6,10432
Mount Frome,79.0,28.0,17.0,34.0,68.7,25.5,15.6,30.6,12760
Buckaroo,92.0,29.0,16.0,41.0,83.6,25.7,14.4,35.0,10630
Blayney,1804.0,796.0,329.0,553.0,67.1,29.7,12.2,20.6,10410
Millthorpe,706.0,341.0,104.0,260.0,75.2,36.1,11.0,27.5,12623
Carcoar,175.0,47.0,31.0,88.0,66.3,17.5,11.7,32.8,10808
Lyndhurst (Blayney - NSW),228.0,84.0,41.0,57.0,77.6,28.4,13.3,19.0,12426
Forest Reefs,288.0,151.0,59.0,114.0,77.4,40.6,16.0,30.8,11547
Neville,151.0,42.0,25.0,58.0,71.6,20.3,12.4,28.0,12937
Barry (Blayney - NSW),96.0,50.0,20.0,31.0,70.6,36.0,16.0,23.5,10218
Newbridge (NSW),109.0,37.0,9.0,42.0,72.2,23.4,5.9,25.9,12948
Orange,20677.0,9178.0,3397.0,5971.0,69.0,30.6,11.3,19.9,13092
Clifton Grove,561.0,228.0,92.0,198.0,82.5,33.9,13.6,29.3,10934
Cumnock,255.0,86.0,52.0,116.0,70.1,23.8,14.4,32.4,11159
Cudal,304.0,149.0,69.0,116.0,69.4,33.9,15.5,25.9,11140
Molong,1389.0,636.0,262.0,528.0,69.1,31.6,13.1,26.2,12671
Manildra,407.0,169.0,55.0,141.0,66.5,27.8,9.1,23.0,12473
Cargo,339.0,149.0,50.0,102.0,75.7,33.7,11.2,22.9,10813
Spring Terrace,77.0,28.0,10.0,27.0,79.4,30.4,10.5,28.7,13620
Springside (NSW),198.0,84.0,35.0,74.0,84.3,35.6,14.8,31.5,13626
Spring Hill (Cabonne - NSW),268.0,145.0,47.0,82.0,74.4,39.8,12.9,22.2,13615
Guyong,62.0,34.0,10.0,20.0,64.6,34.7,10.2,20.2,11821
Emu Swamp,106.0,40.0,18.0,46.0,80.9,28.6,13.3,33.1,11419
Lewis Ponds,93.0,37.0,5.0,33.0,75.6,31.9,4.3,26.2,12312
Lucknow (NSW),177.0,83.0,32.0,44.0,70.8,32.7,12.8,18.0,12418
Spring Creek (NSW),85.0,35.0,10.0,26.0,74.6,31.8,9.3,23.4,13611
Huntley (Orange - NSW),92.0,30.0,17.0,39.0,71.9,22.2,13.4,30.2,11958
Canobolas,316.0,135.0,45.0,109.0,80.4,33.9,11.5,27.7,10793
Clergate,118.0,54.0,18.0,31.0,70.2,31.8,10.6,18.8,10929
March,71.0,35.0,12.0,20.0,76.3,41.7,13.8,21.7,12486
Summer Hill Creek,128.0,63.0,18.0,50.0,77.6,37.3,10.6,30.3,13688
Mullion Creek,322.0,156.0,42.0,99.0,75.9,36.8,9.9,23.3,12826
Nashdale,246.0,98.0,29.0,87.0,79.4,31.5,9.5,28.4,12913
Windera (NSW),180.0,96.0,20.0,64.0,86.1,45.3,9.3,30.3,14319
Lidster,176.0,66.0,27.0,78.0,70.7,26.7,11.2,31.7,12319
Borenore,264.0,103.0,35.0,102.0,71.7,27.9,9.4,27.4,10513
Yeoval,203.0,77.0,36.0,93.0,57.8,22.1,10.3,26.6,14507
Grafton,5553.0,2248.0,1133.0,1718.0,65.2,26.4,13.3,20.1,11733
Rushforth,130.0,64.0,27.0,32.0,72.6,34.4,14.1,16.8,13446
Great Marlow,103.0,47.0,14.0,41.0,71.0,32.4,9.9,29.7,11745
South Grafton,3110.0,1289.0,746.0,866.0,63.8,26.5,15.3,17.8,13582
Junction Hill,869.0,327.0,172.0,297.0,76.5,28.8,15.1,25.9,12045
Carrs Creek,68.0,29.0,23.0,24.0,62.4,26.4,21.3,24.5,10834
Tucabia,210.0,64.0,46.0,55.0,64.2,19.9,13.8,16.9,13945
Ulmarra,444.0,159.0,97.0,116.0,67.9,24.3,14.9,17.8,14004
Ramornie,113.0,31.0,21.0,31.0,69.8,17.8,12.7,18.0,13308
Nymboida,191.0,48.0,36.0,85.0,73.7,17.8,13.7,32.1,13048
Blaxlands Creek,85.0,26.0,19.0,23.0,76.6,23.4,17.3,21.3,10408
Glenreagh,505.0,193.0,86.0,153.0,72.5,27.7,12.2,21.8,11675
Wells Crossing,84.0,36.0,22.0,14.0,63.6,27.1,15.9,10.6,14223
Kungala,92.0,29.0,23.0,22.0,71.9,21.8,18.4,17.2,12212
Wooli,262.0,63.0,49.0,101.0,71.2,16.9,13.5,26.9,14403
Halfway Creek,139.0,47.0,32.0,24.0,70.9,23.7,16.2,11.8,11831
Copmanhurst,173.0,48.0,55.0,44.0,69.2,19.1,21.5,17.3,11060
Whiteman Creek,92.0,23.0,24.0,27.0,69.2,17.0,16.9,20.3,14277
The Whiteman,83.0,31.0,19.0,17.0,78.3,29.2,17.9,16.3,13843
Waterview Heights,789.0,316.0,176.0,245.0,73.7,29.3,16.3,22.7,14186
Lawrence (NSW),608.0,183.0,122.0,199.0,68.0,20.4,13.5,22.2,12288
Eatonsville,123.0,43.0,22.0,46.0,68.3,24.9,12.5,25.8,11370
Seelands,240.0,78.0,28.0,72.0,68.2,21.9,7.9,20.4,13515
Mountain View (NSW),82.0,45.0,19.0,31.0,59.9,31.2,13.3,21.5,12808
Southgate,117.0,32.0,17.0,31.0,73.6,19.6,11.2,19.3,13604
Lower Southgate,72.0,31.0,15.0,22.0,72.0,31.3,14.9,21.2,12413
Ashby Heights,137.0,41.0,19.0,28.0,68.5,21.2,9.5,14.7,10095
Tullymorgan,77.0,28.0,18.0,23.0,69.4,25.5,16.4,20.0,13960
Ashby (NSW),231.0,53.0,49.0,66.0,80.2,17.9,16.7,22.5,10094
South Arm (Clarence Valley - NSW),138.0,44.0,35.0,39.0,67.0,21.2,17.1,18.5,13574
Woodford Island,140.0,47.0,25.0,38.0,70.0,24.2,12.7,19.4,14384
Brushgrove,126.0,38.0,27.0,44.0,71.6,21.5,15.6,25.3,10622
Elland,194.0,56.0,31.0,62.0,67.4,19.4,10.8,21.0,11399
Coutts Crossing,592.0,250.0,113.0,166.0,72.8,30.4,13.8,20.2,11094
Kremnos,113.0,34.0,21.0,27.0,73.9,22.1,14.0,17.4,12204
Lanitza,176.0,75.0,44.0,46.0,72.4,30.4,17.7,19.0,12270
Braunstone,172.0,46.0,34.0,58.0,67.7,17.8,13.5,23.3,10550
Glenugie,120.0,46.0,18.0,29.0,65.9,26.7,10.1,16.3,11681
Clarenza,334.0,122.0,61.0,135.0,71.7,26.8,13.1,29.1,10922
Swan Creek (NSW),65.0,36.0,10.0,37.0,71.4,40.4,11.1,45.1,13706
Pillar Valley,181.0,52.0,46.0,38.0,70.4,20.2,17.4,14.4,13204
Minnie Water,143.0,39.0,19.0,47.0,72.2,19.7,10.0,23.2,12640
Tyndale,90.0,29.0,23.0,18.0,60.8,19.9,15.0,11.8,13997
Ilarwill,153.0,43.0,25.0,62.0,81.8,22.5,12.9,33.0,11970
Yamba (NSW),3600.0,959.0,713.0,1097.0,67.9,18.1,13.5,20.7,14458
Gulmarrad,1045.0,336.0,190.0,302.0,76.6,24.7,13.9,22.1,11795
Angourie,150.0,47.0,33.0,44.0,79.4,25.1,17.1,23.7,10059
Brooms Head,147.0,31.0,31.0,37.0,71.7,15.3,15.3,18.7,10603
Wooloweyah,288.0,84.0,50.0,94.0,80.9,24.1,14.4,26.8,14411
Woombah,514.0,117.0,100.0,133.0,68.4,15.5,13.4,17.7,14414
Maclean,1450.0,414.0,284.0,514.0,62.8,18.0,12.3,22.3,12431
Iluka (NSW),1002.0,220.0,226.0,325.0,65.5,14.4,14.8,21.3,11975
Harwood,181.0,67.0,33.0,54.0,73.6,26.8,13.1,21.5,11865
Chatsworth (NSW),107.0,40.0,30.0,34.0,78.7,28.2,20.8,24.6,10894
Townsend,470.0,199.0,97.0,138.0,67.0,28.0,13.7,19.4,13928
Palmers Channel,79.0,41.0,14.0,37.0,76.0,41.0,15.1,35.9,13135
James Creek,148.0,46.0,21.0,33.0,79.1,24.5,11.2,17.6,11999
Palmers Island,275.0,110.0,35.0,74.0,72.2,28.5,9.1,19.2,13136
Bellingen,2280.0,974.0,396.0,928.0,77.9,33.2,13.5,31.8,10273
Brierfield,203.0,81.0,43.0,63.0,79.3,31.4,16.9,24.7,10568
Fernmount,230.0,95.0,36.0,86.0,77.4,32.0,11.8,28.3,11509
Darkwood,115.0,42.0,27.0,36.0,83.9,29.8,19.9,27.1,11210
Thora,193.0,78.0,31.0,54.0,73.7,29.4,11.7,20.8,13849
Gleniffer,250.0,76.0,37.0,95.0,77.9,23.5,11.8,29.9,11668
Valery,90.0,37.0,10.0,33.0,87.4,33.6,9.3,29.7,14066
Kalang,177.0,60.0,24.0,66.0,77.0,26.5,10.8,28.7,12050
Coffs Harbour,14272.0,5142.0,2486.0,3981.0,67.1,24.2,11.7,18.7,10959
North Boambee Valley,1031.0,420.0,181.0,308.0,61.8,25.2,10.9,18.5,12983
Coramba,491.0,183.0,71.0,158.0,73.5,27.2,10.6,23.5,11065
Nana Glen,619.0,246.0,108.0,180.0,73.7,29.0,12.7,21.3,12889
Upper Orara,480.0,183.0,73.0,162.0,73.1,27.8,11.2,24.6,14041
Bucca (NSW),322.0,113.0,52.0,90.0,72.4,25.8,11.8,20.2,10625
Karangi,329.0,154.0,66.0,128.0,72.6,33.9,14.4,28.4,12072
Megan,99.0,23.0,9.0,24.0,72.8,16.3,6.5,17.8,12558
Ulong,109.0,44.0,28.0,36.0,61.6,23.4,15.0,19.7,14005
Lowanna,193.0,53.0,41.0,60.0,65.2,18.2,14.0,20.3,12398
Dorrigo,747.0,224.0,140.0,280.0,72.5,21.8,13.6,27.3,11278
Deer Vale,82.0,38.0,12.0,29.0,70.7,31.4,10.4,24.8,11232
Fernbrook,94.0,19.0,19.0,29.0,83.2,16.8,16.8,26.6,11506
Hernani,71.0,33.0,11.0,33.0,75.5,32.7,11.1,33.7,11896
Bostobrick,91.0,43.0,24.0,36.0,85.0,39.1,21.2,34.0,10516
North Dorrigo,121.0,27.0,29.0,50.0,74.2,17.4,17.0,30.1,12989
Sapphire Beach,1291.0,488.0,190.0,364.0,76.7,29.0,11.3,21.7,13491
Emerald Beach,1405.0,537.0,239.0,345.0,79.7,30.4,13.5,19.6,11411
Korora,1557.0,578.0,232.0,440.0,77.5,28.8,11.5,21.9,12197
Moonee Beach,1188.0,494.0,189.0,309.0,80.2,33.4,12.7,20.8,12703
Toormina,3345.0,1283.0,659.0,885.0,66.4,25.5,13.1,17.6,13912
Boambee East,3072.0,1238.0,529.0,830.0,73.4,29.5,12.6,19.8,10422
Boambee,1049.0,428.0,191.0,316.0,76.6,31.4,14.0,23.2,10421
Sawtell,2273.0,836.0,410.0,773.0,74.1,27.3,13.4,25.2,13498
Bonville,1568.0,609.0,303.0,477.0,76.0,29.5,14.6,23.0,10474
Bundagen,84.0,30.0,19.0,50.0,72.4,25.2,16.7,44.2,10669
Mylestom,203.0,78.0,52.0,95.0,68.4,25.7,17.3,31.4,12875
Raleigh,387.0,149.0,92.0,139.0,68.3,26.3,16.2,24.7,13307
Urunga,1796.0,539.0,354.0,572.0,68.7,20.7,13.6,21.9,14061
Repton,413.0,162.0,83.0,139.0,79.9,31.2,15.9,26.8,13352
Valla,578.0,212.0,99.0,195.0,75.5,27.7,13.0,25.7,14067
Woolgoolga,2769.0,1007.0,567.0,800.0,62.0,22.6,12.7,17.9,14402
Safety Beach (NSW),623.0,220.0,100.0,174.0,81.0,28.5,12.9,22.6,13462
Sandy Beach,1304.0,522.0,260.0,264.0,73.3,29.3,14.6,14.8,13479
Upper Corindi,91.0,29.0,22.0,30.0,68.4,21.8,15.9,24.2,14020
Corindi Beach,963.0,428.0,174.0,219.0,73.2,32.9,13.3,16.8,11073
Red Rock,251.0,88.0,37.0,72.0,71.3,25.1,10.9,20.5,13334
Arrawarra,308.0,54.0,57.0,84.0,63.0,11.0,11.7,17.1,10088
Arrawarra Headland,330.0,128.0,69.0,106.0,71.1,27.5,14.9,22.9,10089
Mullaway,341.0,133.0,52.0,107.0,76.1,29.6,11.6,24.1,12822
Bourke,743.0,328.0,150.0,318.0,50.6,22.4,10.2,21.7,10522
Wanaaring,46.0,25.0,12.0,25.0,45.1,23.8,11.4,24.0,14126
North Bourke,128.0,57.0,16.0,57.0,57.9,25.2,7.3,26.1,12985
Enngonia,58.0,20.0,10.0,33.0,55.8,18.3,9.1,30.6,11426
Brewarrina,469.0,192.0,94.0,127.0,53.0,21.7,10.7,14.4,10563
Cobar,1979.0,868.0,268.0,701.0,63.8,28.0,8.6,22.5,10949
Coonamble,1216.0,466.0,285.0,383.0,55.9,21.4,13.0,17.6,11044
Gulargambone,262.0,76.0,67.0,119.0,55.7,16.1,14.3,25.4,11792
Quambone,80.0,29.0,20.0,29.0,61.1,21.8,15.3,21.8,13287
Nyngan,1063.0,423.0,161.0,416.0,61.7,24.7,9.4,24.2,13049
Nevertire,102.0,35.0,19.0,57.0,70.3,25.9,13.5,39.6,12936
Warren,681.0,269.0,122.0,284.0,61.6,24.3,11.1,25.7,14171
Hermidale,68.0,29.0,19.0,32.0,62.4,25.7,16.8,29.9,11894
Ravenswood (NSW),200.0,72.0,39.0,89.0,47.8,17.0,9.3,21.5,13321
Cumborah,105.0,35.0,30.0,61.0,49.3,16.5,14.0,28.9,11158
Goodooga,93.0,40.0,12.0,33.0,48.7,21.1,6.5,17.7,11702
Carinda,89.0,33.0,22.0,36.0,65.4,24.8,15.8,29.0,10814
Pilliga,96.0,44.0,27.0,43.0,58.5,26.8,16.5,26.4,13205
Come By Chance,71.0,21.0,12.0,22.0,77.2,21.9,12.0,24.2,10993
Walgett,823.0,336.0,168.0,313.0,51.0,20.8,10.4,19.3,14096
Burren Junction,143.0,51.0,17.0,66.0,65.6,23.4,7.9,31.3,10710
Lightning Ridge,1081.0,319.0,243.0,390.0,55.9,16.4,12.6,20.1,12320
Collarenebri,306.0,110.0,42.0,125.0,61.4,22.0,8.4,24.7,10969
Rowena,89.0,34.0,9.0,42.0,60.1,21.8,5.8,28.8,13431
Broken Hill,9249.0,3625.0,1923.0,2737.0,62.3,24.4,13.0,18.4,10592
White Cliffs,68.0,37.0,14.0,39.0,61.8,32.7,13.0,33.6,14274
Menindee,238.0,70.0,44.0,91.0,52.5,15.3,9.7,19.9,12571
Wilcannia,287.0,98.0,39.0,78.0,49.1,16.8,6.7,13.3,14290
Tibooburra,74.0,20.0,11.0,41.0,68.5,17.5,9.3,35.7,13860
Pooncarie,86.0,34.0,14.0,28.0,60.1,23.9,9.9,19.6,13242
Ivanhoe (NSW),127.0,35.0,13.0,57.0,46.2,12.4,4.7,20.9,11991
Baradine,391.0,136.0,100.0,148.0,62.2,21.4,15.6,23.5,10190
Coonabarabran,1711.0,612.0,393.0,740.0,63.7,22.8,14.6,27.6,11043
Binnaway,316.0,81.0,60.0,123.0,58.7,14.9,11.1,22.4,10372
Mendooran,313.0,110.0,63.0,132.0,69.2,24.7,14.1,29.5,12570
Coolah,670.0,258.0,115.0,296.0,64.7,25.0,11.1,28.5,11024
Bugaldie,80.0,16.0,13.0,40.0,67.2,14.0,11.5,33.1,10646
Ulamambri,115.0,38.0,23.0,53.0,63.9,21.2,12.7,29.9,14001
Tambar Springs,98.0,25.0,20.0,42.0,63.2,15.9,12.6,27.3,13743
Merrygoen,64.0,26.0,16.0,40.0,65.3,25.5,16.2,38.5,12587
