,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Manilla,115.0,125.0,50.0,315.0,194.0,86.0,403.0,7.0,0.0,374.0,7.0,370.0,5.5,6.0,2.4,15.1,9.3,4.1,19.3,0.3,0.0,17.9,0.3,17.7,12474
Daruka,113.0,97.0,30.0,129.0,61.0,17.0,78.0,4.0,0.0,40.0,0.0,38.0,18.2,15.6,4.8,20.8,9.8,2.7,12.6,0.6,0.0,6.5,0.0,6.1,11218
Moore Creek,318.0,185.0,91.0,339.0,194.0,54.0,230.0,3.0,0.0,111.0,0.0,142.0,18.6,10.8,5.3,19.8,11.3,3.2,13.5,0.2,0.0,6.5,0.0,8.3,12710
Hallsville,61.0,46.0,24.0,74.0,39.0,11.0,71.0,0.0,0.0,44.0,0.0,44.0,13.9,10.5,5.5,16.9,8.9,2.5,16.2,0.0,0.0,10.0,0.0,10.0,11835
Nundle,47.0,30.0,9.0,48.0,38.0,5.0,64.0,0.0,0.0,77.0,0.0,79.0,11.9,7.6,2.3,12.2,9.6,1.3,16.2,0.0,0.0,19.5,0.0,20.0,13043
Ogunbil,18.0,14.0,0.0,24.0,11.0,4.0,18.0,0.0,0.0,12.0,0.0,17.0,15.0,11.7,0.0,20.0,9.2,3.3,15.0,0.0,0.0,10.0,0.0,14.2,13071
Dungowan,35.0,24.0,10.0,71.0,25.0,11.0,54.0,0.0,0.0,35.0,0.0,28.0,11.9,8.2,3.4,24.2,8.5,3.8,18.4,0.0,0.0,11.9,0.0,9.6,11321
Piallamore,32.0,12.0,7.0,42.0,11.0,3.0,41.0,0.0,0.0,19.0,0.0,25.0,16.9,6.3,3.7,22.2,5.8,1.6,21.7,0.0,0.0,10.1,0.0,13.2,13195
Woolomin,24.0,11.0,4.0,42.0,22.0,15.0,35.0,0.0,0.0,30.0,0.0,36.0,10.5,4.8,1.8,18.4,9.6,6.6,15.4,0.0,0.0,13.2,0.0,15.8,14408
Warral,47.0,31.0,16.0,49.0,34.0,18.0,52.0,0.0,0.0,40.0,3.0,36.0,13.9,9.2,4.7,14.5,10.1,5.3,15.4,0.0,0.0,11.8,0.9,10.7,14163
Timbumburi,18.0,15.0,4.0,16.0,14.0,3.0,16.0,0.0,0.0,11.0,0.0,13.0,15.4,12.8,3.4,13.7,12.0,2.6,13.7,0.0,0.0,9.4,0.0,11.1,13870
Windale,64.0,90.0,48.0,317.0,205.0,146.0,570.0,13.0,0.0,640.0,15.0,435.0,2.4,3.4,1.8,12.1,7.8,5.6,21.7,0.5,0.0,24.4,0.6,16.6,14315
Jewells,318.0,183.0,77.0,419.0,177.0,62.0,330.0,3.0,0.0,205.0,0.0,120.0,16.1,9.3,3.9,21.2,9.0,3.1,16.7,0.2,0.0,10.4,0.0,6.1,12024
Belmont North,635.0,428.0,220.0,1006.0,518.0,170.0,893.0,9.0,0.0,529.0,7.0,487.0,12.5,8.4,4.3,19.8,10.2,3.3,17.6,0.2,0.0,10.4,0.1,9.6,10277
Belmont (NSW),796.0,499.0,192.0,1073.0,632.0,222.0,986.0,11.0,0.0,742.0,16.0,615.0,13.3,8.3,3.2,17.9,10.6,3.7,16.5,0.2,0.0,12.4,0.3,10.3,10276
Floraville,269.0,152.0,51.0,257.0,173.0,66.0,220.0,0.0,0.0,107.0,0.0,74.0,19.0,10.7,3.6,18.1,12.2,4.7,15.5,0.0,0.0,7.5,0.0,5.2,11535
Blacksmiths,158.0,116.0,52.0,311.0,159.0,52.0,272.0,0.0,0.0,247.0,0.0,150.0,10.1,7.4,3.3,20.0,10.2,3.3,17.5,0.0,0.0,15.9,0.0,9.6,10396
Pelican (NSW),48.0,69.0,22.0,174.0,72.0,32.0,169.0,0.0,0.0,84.0,0.0,55.0,6.4,9.2,2.9,23.2,9.6,4.3,22.5,0.0,0.0,11.2,0.0,7.3,13178
Marks Point,174.0,115.0,31.0,310.0,138.0,51.0,296.0,0.0,0.0,173.0,8.0,169.0,11.4,7.6,2.0,20.4,9.1,3.4,19.5,0.0,0.0,11.4,0.5,11.1,12492
Belmont South,71.0,59.0,24.0,176.0,102.0,41.0,187.0,0.0,0.0,133.0,3.0,72.0,7.9,6.6,2.7,19.7,11.4,4.6,20.9,0.0,0.0,14.9,0.3,8.1,10278
Kahibah,439.0,185.0,84.0,343.0,194.0,60.0,277.0,0.0,0.0,173.0,4.0,120.0,22.5,9.5,4.3,17.6,9.9,3.1,14.2,0.0,0.0,8.9,0.2,6.2,12048
Charlestown (NSW),2259.0,1035.0,383.0,1737.0,1352.0,331.0,1409.0,15.0,0.0,922.0,36.0,789.0,21.3,9.7,3.6,16.3,12.7,3.1,13.3,0.1,0.0,8.7,0.3,7.4,10885
Whitebridge,438.0,215.0,81.0,356.0,226.0,56.0,311.0,4.0,0.0,193.0,12.0,144.0,20.8,10.2,3.8,16.9,10.7,2.7,14.7,0.2,0.0,9.2,0.6,6.8,14276
Gateshead,135.0,140.0,82.0,432.0,241.0,86.0,545.0,3.0,0.0,450.0,13.0,253.0,5.5,5.7,3.4,17.7,9.8,3.5,22.3,0.1,0.0,18.4,0.5,10.3,11594
Dudley,582.0,208.0,57.0,277.0,197.0,68.0,189.0,0.0,0.0,117.0,4.0,142.0,30.6,11.0,3.0,14.6,10.4,3.6,10.0,0.0,0.0,6.2,0.2,7.5,11300
Highfields (NSW),165.0,61.0,28.0,121.0,81.0,17.0,59.0,0.0,0.0,61.0,0.0,48.0,24.8,9.2,4.2,18.2,12.2,2.6,8.9,0.0,0.0,9.2,0.0,7.2,11902
Garden Suburb,379.0,140.0,50.0,222.0,195.0,46.0,196.0,3.0,0.0,115.0,5.0,164.0,24.0,8.9,3.2,14.1,12.4,2.9,12.4,0.2,0.0,7.3,0.3,10.4,11587
Cardiff (NSW),670.0,371.0,219.0,882.0,546.0,178.0,778.0,6.0,3.0,529.0,11.0,362.0,14.2,7.9,4.6,18.7,11.6,3.8,16.5,0.1,0.1,11.2,0.2,7.7,10809
Hillsborough (Lake Macquarie - NSW),75.0,54.0,19.0,101.0,59.0,20.0,96.0,0.0,0.0,55.0,0.0,25.0,14.2,10.2,3.6,19.1,11.2,3.8,18.1,0.0,0.0,10.4,0.0,4.7,11909
Warners Bay,1123.0,593.0,219.0,1046.0,675.0,205.0,956.0,7.0,0.0,659.0,16.0,530.0,18.0,9.5,3.5,16.7,10.8,3.3,15.3,0.1,0.0,10.5,0.3,8.5,14153
Argenton,67.0,60.0,31.0,199.0,113.0,41.0,237.0,4.0,0.0,202.0,3.0,126.0,6.2,5.5,2.9,18.4,10.4,3.8,21.9,0.4,0.0,18.7,0.3,11.6,10078
Glendale (NSW),307.0,193.0,101.0,506.0,288.0,84.0,439.0,3.0,0.0,323.0,4.0,194.0,12.2,7.7,4.0,20.2,11.5,3.3,17.5,0.1,0.0,12.9,0.2,7.7,11658
Elermore Vale,874.0,358.0,154.0,718.0,515.0,143.0,639.0,11.0,0.0,501.0,24.0,418.0,19.4,7.9,3.4,15.9,11.4,3.2,14.2,0.2,0.0,11.1,0.5,9.3,11394
Macquarie Hills,446.0,248.0,143.0,485.0,370.0,95.0,386.0,4.0,0.0,159.0,7.0,121.0,17.6,9.8,5.6,19.1,14.6,3.7,15.2,0.2,0.0,6.3,0.3,4.8,12434
Kotara,763.0,371.0,130.0,499.0,383.0,91.0,384.0,0.0,0.0,211.0,8.0,187.0,24.4,11.9,4.2,16.0,12.3,2.9,12.3,0.0,0.0,6.8,0.3,6.0,12200
Cardiff Heights,264.0,105.0,44.0,176.0,139.0,37.0,140.0,0.0,0.0,138.0,3.0,121.0,21.8,8.7,3.6,14.5,11.5,3.1,11.5,0.0,0.0,11.4,0.2,10.0,10810
Cardiff South,275.0,191.0,111.0,440.0,284.0,87.0,395.0,3.0,0.0,237.0,3.0,148.0,12.2,8.4,4.9,19.5,12.6,3.8,17.5,0.1,0.0,10.5,0.1,6.5,10811
New Lambton Heights,751.0,219.0,65.0,197.0,243.0,47.0,164.0,0.0,0.0,90.0,0.0,115.0,38.6,11.2,3.3,10.1,12.5,2.4,8.4,0.0,0.0,4.6,0.0,5.9,12943
Rankin Park,538.0,231.0,77.0,284.0,195.0,73.0,229.0,0.0,0.0,148.0,5.0,122.0,26.9,11.6,3.9,14.2,9.8,3.7,11.5,0.0,0.0,7.4,0.3,6.1,13315
Tingira Heights,231.0,136.0,55.0,334.0,205.0,73.0,277.0,0.0,0.0,164.0,4.0,156.0,13.7,8.1,3.3,19.8,12.2,4.3,16.5,0.0,0.0,9.7,0.2,9.3,13875
Mount Hutton (NSW),353.0,286.0,96.0,504.0,316.0,109.0,484.0,3.0,0.0,425.0,4.0,290.0,11.8,9.6,3.2,16.9,10.6,3.7,16.2,0.1,0.0,14.2,0.1,9.7,12766
Eleebana,1264.0,529.0,163.0,676.0,504.0,168.0,577.0,3.0,0.0,309.0,0.0,275.0,27.2,11.4,3.5,14.5,10.8,3.6,12.4,0.1,0.0,6.6,0.0,5.9,11393
Redhead,598.0,266.0,86.0,456.0,287.0,89.0,407.0,0.0,0.0,294.0,3.0,285.0,20.9,9.3,3.0,15.9,10.0,3.1,14.2,0.0,0.0,10.3,0.1,10.0,13340
Caves Beach,585.0,325.0,117.0,606.0,351.0,124.0,567.0,5.0,0.0,332.0,9.0,232.0,17.3,9.6,3.5,18.0,10.4,3.7,16.8,0.1,0.0,9.8,0.3,6.9,10862
Nords Wharf,124.0,84.0,22.0,143.0,87.0,16.0,100.0,0.0,0.0,53.0,0.0,50.0,17.5,11.8,3.1,20.1,12.3,2.3,14.1,0.0,0.0,7.5,0.0,7.0,12975
Swansea (NSW),314.0,274.0,133.0,879.0,396.0,148.0,874.0,3.0,0.0,706.0,16.0,556.0,7.1,6.2,3.0,19.9,9.0,3.4,19.8,0.1,0.0,16.0,0.4,12.6,13711
Swansea Heads,90.0,45.0,20.0,104.0,45.0,19.0,76.0,0.0,0.0,48.0,0.0,39.0,17.6,8.8,3.9,20.4,8.8,3.7,14.9,0.0,0.0,9.4,0.0,7.6,13712
Catherine Hill Bay,25.0,3.0,11.0,23.0,14.0,4.0,18.0,0.0,0.0,16.0,0.0,13.0,18.0,2.2,7.9,16.5,10.1,2.9,12.9,0.0,0.0,11.5,0.0,9.4,10857
Cams Wharf,18.0,10.0,3.0,15.0,16.0,6.0,21.0,0.0,0.0,6.0,0.0,3.0,16.7,9.3,2.8,13.9,14.8,5.6,19.4,0.0,0.0,5.6,0.0,2.8,10784
Murrays Beach,164.0,64.0,15.0,69.0,35.0,13.0,50.0,0.0,0.0,14.0,0.0,21.0,35.6,13.9,3.3,15.0,7.6,2.8,10.8,0.0,0.0,3.0,0.0,4.6,12854
Valentine,1070.0,537.0,182.0,712.0,556.0,122.0,574.0,0.0,0.0,323.0,3.0,240.0,23.8,11.9,4.0,15.8,12.4,2.7,12.7,0.0,0.0,7.2,0.1,5.3,14065
Croudace Bay,79.0,46.0,11.0,83.0,40.0,10.0,60.0,0.0,0.0,52.0,0.0,34.0,18.0,10.5,2.5,18.9,9.1,2.3,13.7,0.0,0.0,11.9,0.0,7.8,11128
Speers Point,522.0,307.0,105.0,471.0,311.0,85.0,375.0,11.0,0.0,282.0,0.0,223.0,18.6,10.9,3.7,16.8,11.1,3.0,13.4,0.4,0.0,10.1,0.0,8.0,13605
Lakelands (NSW),278.0,144.0,50.0,159.0,156.0,40.0,166.0,3.0,0.0,70.0,3.0,59.0,23.5,12.2,4.2,13.5,13.2,3.4,14.0,0.3,0.0,5.9,0.3,5.0,12256
Boolaroo,84.0,67.0,34.0,177.0,97.0,39.0,189.0,4.0,0.0,115.0,3.0,62.0,9.4,7.5,3.8,19.9,10.9,4.4,21.2,0.4,0.0,12.9,0.3,7.0,10482
Booragul,94.0,72.0,34.0,188.0,97.0,51.0,198.0,0.0,0.0,180.0,3.0,93.0,9.1,7.0,3.3,18.3,9.4,5.0,19.2,0.0,0.0,17.5,0.3,9.0,10495
Fennell Bay,163.0,111.0,57.0,271.0,148.0,46.0,236.0,0.0,0.0,174.0,0.0,130.0,11.8,8.0,4.1,19.6,10.7,3.3,17.1,0.0,0.0,12.6,0.0,9.4,11500
Marmong Point,114.0,64.0,32.0,124.0,54.0,26.0,107.0,0.0,0.0,43.0,0.0,38.0,18.1,10.2,5.1,19.7,8.6,4.1,17.0,0.0,0.0,6.8,0.0,6.0,12498
Woodrising,81.0,68.0,32.0,181.0,134.0,51.0,198.0,0.0,0.0,96.0,8.0,55.0,8.8,7.4,3.5,19.6,14.5,5.5,21.5,0.0,0.0,10.4,0.9,6.0,14391
Bolton Point,198.0,129.0,65.0,259.0,169.0,78.0,291.0,4.0,0.0,208.0,0.0,261.0,11.5,7.5,3.8,15.0,9.8,4.5,16.9,0.2,0.0,12.1,0.0,15.1,10449
Teralba,106.0,110.0,53.0,266.0,117.0,62.0,225.0,0.0,0.0,168.0,0.0,201.0,7.9,8.2,4.0,19.9,8.7,4.6,16.8,0.0,0.0,12.5,0.0,15.0,13793
Fassifern (NSW),61.0,34.0,24.0,105.0,52.0,19.0,79.0,0.0,0.0,67.0,3.0,57.0,11.7,6.5,4.6,20.2,10.0,3.7,15.2,0.0,0.0,12.9,0.6,11.0,11495
Balcolyn,122.0,84.0,30.0,153.0,68.0,32.0,127.0,0.0,0.0,75.0,4.0,62.0,15.6,10.7,3.8,19.5,8.7,4.1,16.2,0.0,0.0,9.6,0.5,7.9,10145
Yarrawonga Park,42.0,33.0,17.0,64.0,30.0,8.0,46.0,0.0,0.0,31.0,0.0,38.0,13.2,10.4,5.3,20.1,9.4,2.5,14.5,0.0,0.0,9.7,0.0,11.9,14487
Mirrabooka (NSW),92.0,65.0,21.0,128.0,62.0,21.0,93.0,0.0,0.0,63.0,0.0,41.0,15.1,10.7,3.4,21.0,10.2,3.4,15.2,0.0,0.0,10.3,0.0,6.7,12647
Sunshine (NSW),67.0,33.0,14.0,68.0,35.0,13.0,49.0,0.0,0.0,32.0,0.0,29.0,19.5,9.6,4.1,19.8,10.2,3.8,14.3,0.0,0.0,9.3,0.0,8.5,13694
Silverwater (Lake Macquarie - NSW),43.0,28.0,10.0,48.0,29.0,5.0,47.0,0.0,0.0,20.0,0.0,15.0,17.6,11.5,4.1,19.7,11.9,2.0,19.3,0.0,0.0,8.2,0.0,6.1,13546
Bonnells Bay,382.0,318.0,114.0,514.0,318.0,122.0,495.0,3.0,0.0,300.0,4.0,254.0,13.0,10.8,3.9,17.5,10.8,4.1,16.8,0.1,0.0,10.2,0.1,8.6,10468
Brightwaters,102.0,89.0,31.0,151.0,77.0,29.0,114.0,0.0,0.0,57.0,0.0,60.0,13.7,12.0,4.2,20.4,10.4,3.9,15.4,0.0,0.0,7.7,0.0,8.1,10570
Morisset Park,103.0,57.0,26.0,123.0,49.0,19.0,86.0,0.0,0.0,52.0,0.0,36.0,17.5,9.7,4.4,20.8,8.3,3.2,14.6,0.0,0.0,8.8,0.0,6.1,12724
Windermere Park,61.0,44.0,29.0,102.0,38.0,27.0,95.0,0.0,0.0,71.0,0.0,40.0,11.6,8.4,5.5,19.5,7.3,5.2,18.1,0.0,0.0,13.5,0.0,7.6,14321
Edgeworth,328.0,340.0,216.0,1002.0,529.0,185.0,1022.0,6.0,0.0,789.0,8.0,445.0,6.5,6.8,4.3,20.0,10.5,3.7,20.4,0.1,0.0,15.7,0.2,8.9,11381
Cameron Park,959.0,550.0,319.0,1118.0,779.0,208.0,880.0,5.0,0.0,429.0,9.0,426.0,16.4,9.4,5.5,19.1,13.3,3.6,15.1,0.1,0.0,7.3,0.2,7.3,10775
Cooranbong,895.0,475.0,171.0,682.0,505.0,127.0,526.0,7.0,0.0,369.0,5.0,559.0,19.9,10.6,3.8,15.2,11.2,2.8,11.7,0.2,0.0,8.2,0.1,12.4,11052
Wyee,145.0,150.0,64.0,382.0,179.0,75.0,402.0,0.0,0.0,345.0,3.0,196.0,7.3,7.5,3.2,19.2,9.0,3.8,20.2,0.0,0.0,17.3,0.2,9.8,14438
Morisset,272.0,189.0,86.0,433.0,286.0,104.0,461.0,3.0,0.0,418.0,31.0,448.0,9.6,6.6,3.0,15.2,10.1,3.7,16.2,0.1,0.0,14.7,1.1,15.7,12723
Wyee Point,89.0,87.0,45.0,195.0,100.0,37.0,181.0,0.0,0.0,82.0,0.0,59.0,9.9,9.7,5.0,21.8,11.2,4.1,20.2,0.0,0.0,9.2,0.0,6.6,14439
Mandalong,45.0,23.0,12.0,73.0,39.0,17.0,49.0,0.0,0.0,31.0,0.0,41.0,13.0,6.6,3.5,21.0,11.2,4.9,14.1,0.0,0.0,8.9,0.0,11.8,12465
Dora Creek,157.0,110.0,40.0,283.0,152.0,53.0,246.0,0.0,0.0,152.0,3.0,154.0,11.2,7.8,2.9,20.2,10.8,3.8,17.5,0.0,0.0,10.8,0.2,11.0,11277
Eraring,43.0,22.0,5.0,31.0,19.0,0.0,18.0,0.0,0.0,14.0,0.0,16.0,24.9,12.7,2.9,17.9,11.0,0.0,10.4,0.0,0.0,8.1,0.0,9.2,11429
Martinsville,93.0,30.0,13.0,43.0,28.0,10.0,30.0,0.0,0.0,13.0,0.0,39.0,29.2,9.4,4.1,13.5,8.8,3.1,9.4,0.0,0.0,4.1,0.0,12.3,12512
Blackalls Park,246.0,188.0,90.0,442.0,254.0,84.0,383.0,5.0,0.0,293.0,12.0,170.0,10.9,8.4,4.0,19.7,11.3,3.7,17.0,0.2,0.0,13.0,0.5,7.6,10390
Toronto,568.0,317.0,134.0,742.0,474.0,203.0,808.0,4.0,0.0,650.0,15.0,656.0,12.0,6.7,2.8,15.7,10.0,4.3,17.1,0.1,0.0,13.7,0.3,13.9,13918
Kilaben Bay,244.0,138.0,44.0,201.0,120.0,34.0,157.0,0.0,0.0,88.0,3.0,80.0,21.1,12.0,3.8,17.4,10.4,2.9,13.6,0.0,0.0,7.6,0.3,6.9,12125
Coal Point,399.0,195.0,57.0,232.0,164.0,44.0,168.0,0.0,0.0,59.0,0.0,105.0,26.7,13.0,3.8,15.5,11.0,2.9,11.2,0.0,0.0,3.9,0.0,7.0,10943
Awaba,38.0,25.0,12.0,57.0,33.0,24.0,55.0,0.0,0.0,39.0,4.0,18.0,12.6,8.3,4.0,18.9,10.9,7.9,18.2,0.0,0.0,12.9,1.3,6.0,10118
Carey Bay,141.0,64.0,17.0,100.0,68.0,25.0,117.0,0.0,0.0,116.0,4.0,94.0,18.4,8.3,2.2,13.0,8.9,3.3,15.2,0.0,0.0,15.1,0.5,12.2,10812
Buttaba,146.0,85.0,42.0,177.0,105.0,29.0,130.0,0.0,0.0,80.0,0.0,46.0,16.8,9.8,4.8,20.4,12.1,3.3,15.0,0.0,0.0,9.2,0.0,5.3,10723
Fishing Point,166.0,120.0,32.0,164.0,98.0,31.0,131.0,0.0,0.0,65.0,0.0,46.0,18.7,13.5,3.6,18.5,11.0,3.5,14.8,0.0,0.0,7.3,0.0,5.2,11526
Rathmines,242.0,168.0,54.0,349.0,169.0,56.0,233.0,3.0,0.0,157.0,0.0,102.0,15.2,10.5,3.4,21.9,10.6,3.5,14.6,0.2,0.0,9.8,0.0,6.4,13319
Wangi Wangi,371.0,276.0,83.0,436.0,224.0,70.0,356.0,4.0,0.0,246.0,0.0,204.0,15.8,11.7,3.5,18.5,9.5,3.0,15.1,0.2,0.0,10.5,0.0,8.7,14135
Arcadia Vale,124.0,109.0,66.0,241.0,132.0,31.0,163.0,3.0,0.0,115.0,0.0,80.0,11.3,9.9,6.0,21.9,12.0,2.8,14.8,0.3,0.0,10.5,0.0,7.3,10073
Balmoral (Lake Macquarie - NSW),93.0,66.0,31.0,136.0,58.0,15.0,90.0,0.0,0.0,50.0,0.0,23.0,15.9,11.3,5.3,23.3,9.9,2.6,15.4,0.0,0.0,8.6,0.0,3.9,10166
Holmesville,67.0,62.0,56.0,243.0,97.0,42.0,225.0,0.0,0.0,171.0,3.0,101.0,6.2,5.7,5.2,22.5,9.0,3.9,20.9,0.0,0.0,15.8,0.3,9.4,11924
Barnsley,67.0,102.0,60.0,349.0,134.0,66.0,314.0,4.0,0.0,155.0,0.0,88.0,4.8,7.3,4.3,25.1,9.7,4.8,22.6,0.3,0.0,11.2,0.0,6.3,10204
Seahampton,23.0,19.0,12.0,49.0,24.0,7.0,40.0,0.0,0.0,30.0,0.0,12.0,10.6,8.7,5.5,22.5,11.0,3.2,18.3,0.0,0.0,13.8,0.0,5.5,13511
West Wallsend,173.0,135.0,69.0,399.0,175.0,74.0,328.0,3.0,0.0,232.0,0.0,134.0,9.7,7.6,3.9,22.4,9.8,4.2,18.4,0.2,0.0,13.0,0.0,7.5,14253
Killingworth (NSW),44.0,44.0,25.0,137.0,64.0,22.0,109.0,0.0,0.0,59.0,5.0,25.0,8.2,8.2,4.7,25.6,12.0,4.1,20.4,0.0,0.0,11.0,0.9,4.7,12137
Wakefield,14.0,6.0,7.0,27.0,12.0,0.0,15.0,0.0,0.0,19.0,0.0,8.0,13.3,5.7,6.7,25.7,11.4,0.0,14.3,0.0,0.0,18.1,0.0,7.6,14088
Adamstown Heights,1229.0,451.0,136.0,564.0,559.0,101.0,455.0,4.0,0.0,307.0,14.0,215.0,29.3,10.8,3.2,13.5,13.3,2.4,10.9,0.1,0.0,7.3,0.3,5.1,10017
Adamstown,1169.0,466.0,189.0,729.0,730.0,154.0,602.0,3.0,0.0,405.0,20.0,298.0,23.8,9.5,3.8,14.8,14.8,3.1,12.2,0.1,0.0,8.2,0.4,6.1,10016
Kotara South,197.0,92.0,21.0,141.0,91.0,26.0,104.0,0.0,0.0,75.0,4.0,63.0,23.1,10.8,2.5,16.5,10.7,3.0,12.2,0.0,0.0,8.8,0.5,7.4,12201
Woodberry,96.0,104.0,74.0,377.0,270.0,106.0,545.0,4.0,0.0,436.0,6.0,274.0,4.1,4.4,3.2,16.1,11.5,4.5,23.2,0.2,0.0,18.6,0.3,11.7,14377
Beresfield,166.0,150.0,99.0,492.0,314.0,114.0,561.0,3.0,0.0,408.0,12.0,237.0,6.3,5.7,3.8,18.7,11.9,4.3,21.3,0.1,0.0,15.5,0.5,9.0,10301
Tarro,55.0,76.0,50.0,245.0,151.0,48.0,316.0,0.0,0.0,257.0,0.0,130.0,4.0,5.6,3.7,17.9,11.1,3.5,23.1,0.0,0.0,18.8,0.0,9.5,13771
Hexham (NSW),3.0,3.0,0.0,16.0,12.0,7.0,21.0,0.0,0.0,33.0,0.0,11.0,2.9,2.9,0.0,15.7,11.8,6.9,20.6,0.0,0.0,32.4,0.0,10.8,11898
Hamilton South,829.0,242.0,95.0,322.0,381.0,92.0,367.0,3.0,0.0,382.0,23.0,346.0,26.1,7.6,3.0,10.1,12.0,2.9,11.5,0.1,0.0,12.0,0.7,10.9,11841
Broadmeadow,342.0,112.0,53.0,168.0,197.0,38.0,176.0,0.0,0.0,96.0,6.0,89.0,26.3,8.6,4.1,12.9,15.2,2.9,13.5,0.0,0.0,7.4,0.5,6.9,10578
Hamilton East,298.0,77.0,18.0,62.0,114.0,21.0,71.0,0.0,0.0,44.0,9.0,62.0,37.7,9.7,2.3,7.8,14.4,2.7,9.0,0.0,0.0,5.6,1.1,7.8,11839
Newcastle West,166.0,54.0,23.0,52.0,89.0,15.0,50.0,0.0,0.0,28.0,0.0,94.0,28.3,9.2,3.9,8.9,15.2,2.6,8.5,0.0,0.0,4.8,0.0,16.0,12951
Hamilton North,162.0,66.0,45.0,118.0,94.0,15.0,82.0,3.0,0.0,54.0,0.0,53.0,23.1,9.4,6.4,16.8,13.4,2.1,11.7,0.4,0.0,7.7,0.0,7.5,11840
Hamilton (NSW),1115.0,335.0,117.0,441.0,577.0,95.0,333.0,0.0,0.0,271.0,11.0,353.0,29.9,9.0,3.1,11.8,15.5,2.5,8.9,0.0,0.0,7.3,0.3,9.5,11838
New Lambton,2126.0,818.0,268.0,1077.0,1040.0,253.0,967.0,6.0,0.0,701.0,19.0,547.0,26.4,10.2,3.3,13.4,12.9,3.1,12.0,0.1,0.0,8.7,0.2,6.8,12942
Lambton,986.0,343.0,146.0,568.0,516.0,129.0,516.0,0.0,0.0,356.0,13.0,277.0,24.9,8.6,3.7,14.3,13.0,3.3,13.0,0.0,0.0,9.0,0.3,7.0,12264
Jesmond,510.0,161.0,67.0,228.0,562.0,61.0,301.0,12.0,0.0,303.0,48.0,208.0,20.4,6.4,2.7,9.1,22.5,2.4,12.1,0.5,0.0,12.1,1.9,8.3,12023
Maryland (Newcastle - NSW),783.0,490.0,265.0,1146.0,821.0,233.0,1098.0,0.0,3.0,661.0,19.0,351.0,12.9,8.1,4.4,18.9,13.5,3.8,18.1,0.0,0.0,10.9,0.3,5.8,12514
Fletcher (NSW),855.0,371.0,200.0,592.0,524.0,154.0,454.0,0.0,0.0,217.0,6.0,188.0,23.4,10.1,5.5,16.2,14.3,4.2,12.4,0.0,0.0,5.9,0.2,5.1,11533
Minmi,48.0,47.0,23.0,136.0,77.0,28.0,114.0,0.0,0.0,57.0,0.0,21.0,8.6,8.4,4.1,24.2,13.7,5.0,20.3,0.0,0.0,10.2,0.0,3.7,12638
Warabrook,350.0,161.0,73.0,195.0,241.0,49.0,222.0,0.0,0.0,160.0,15.0,220.0,20.3,9.3,4.2,11.3,13.9,2.8,12.8,0.0,0.0,9.3,0.9,12.7,14140
Mayfield West,263.0,133.0,61.0,282.0,208.0,54.0,248.0,0.0,0.0,159.0,4.0,122.0,16.7,8.4,3.9,17.9,13.2,3.4,15.7,0.0,0.0,10.1,0.3,7.7,12536
Mayfield (Newcastle - NSW),1568.0,673.0,351.0,1119.0,1106.0,241.0,1078.0,12.0,0.0,732.0,38.0,760.0,19.9,8.6,4.5,14.2,14.1,3.1,13.7,0.2,0.0,9.3,0.5,9.7,12530
Mayfield East,367.0,121.0,64.0,207.0,184.0,30.0,179.0,0.0,0.0,135.0,16.0,119.0,25.1,8.3,4.4,14.2,12.6,2.1,12.3,0.0,0.0,9.2,1.1,8.1,12534
Merewether Heights,392.0,125.0,36.0,103.0,105.0,33.0,79.0,3.0,0.0,61.0,0.0,107.0,36.3,11.6,3.3,9.5,9.7,3.1,7.3,0.3,0.0,5.6,0.0,9.9,12574
Merewether,3168.0,941.0,271.0,1021.0,1255.0,269.0,798.0,3.0,0.0,457.0,29.0,604.0,34.8,10.3,3.0,11.2,13.8,3.0,8.8,0.0,0.0,5.0,0.3,6.6,12573
The Junction,310.0,88.0,20.0,104.0,140.0,22.0,73.0,0.0,0.0,52.0,3.0,69.0,33.8,9.6,2.2,11.4,15.3,2.4,8.0,0.0,0.0,5.7,0.3,7.5,13827
Cooks Hill,1221.0,287.0,94.0,298.0,437.0,82.0,235.0,4.0,0.0,170.0,14.0,295.0,38.2,9.0,2.9,9.3,13.7,2.6,7.4,0.1,0.0,5.3,0.4,9.2,11019
Bar Beach,414.0,86.0,30.0,78.0,162.0,38.0,84.0,0.0,0.0,58.0,3.0,124.0,37.5,7.8,2.7,7.1,14.7,3.4,7.6,0.0,0.0,5.3,0.3,11.2,10187
Newcastle,1017.0,225.0,83.0,208.0,316.0,64.0,181.0,3.0,0.0,72.0,0.0,370.0,38.9,8.6,3.2,8.0,12.1,2.4,6.9,0.1,0.0,2.8,0.0,14.1,12949
The Hill,781.0,127.0,58.0,159.0,272.0,50.0,89.0,0.0,0.0,39.0,3.0,121.0,44.8,7.3,3.3,9.1,15.6,2.9,5.1,0.0,0.0,2.2,0.2,6.9,13826
