,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Barrack Heights,790.0,603.0,694.0,14.0,65.0,36.5,27.8,32.0,0.6,3.0,10207
Mount Warrigal,703.0,506.0,449.0,10.0,31.0,41.4,29.8,26.4,0.6,1.8,12801
Fairy Meadow,935.0,640.0,1171.0,15.0,70.0,33.0,22.6,41.4,0.5,2.5,11484
Balgownie,945.0,620.0,410.0,7.0,47.0,46.6,30.6,20.2,0.3,2.3,10155
Gwynneville,272.0,167.0,560.0,3.0,17.0,26.7,16.4,55.0,0.3,1.7,11825
North Wollongong,173.0,126.0,578.0,4.0,27.0,19.1,13.9,63.7,0.4,3.0,13017
Mount Ousley,271.0,204.0,72.0,0.0,9.0,48.7,36.7,12.9,0.0,1.6,12782
Mount Pleasant (NSW),215.0,200.0,34.0,0.0,5.0,47.4,44.1,7.5,0.0,1.1,12784
Tarrawanna,310.0,181.0,215.0,32.0,33.0,40.2,23.5,27.9,4.2,4.3,13769
Corrimal,943.0,766.0,766.0,33.0,71.0,36.6,29.7,29.7,1.3,2.8,11082
Towradgi,444.0,340.0,355.0,43.0,42.0,36.3,27.8,29.0,3.5,3.4,13929
Fernhill,113.0,87.0,218.0,0.0,16.0,26.0,20.0,50.2,0.0,3.7,11507
East Corrimal,416.0,369.0,555.0,0.0,25.0,30.5,27.0,40.7,0.0,1.8,11348
Bellambi,321.0,341.0,859.0,21.0,45.0,20.2,21.5,54.1,1.3,2.8,10264
West Wollongong,574.0,532.0,668.0,3.0,48.0,31.5,29.2,36.6,0.2,2.6,14255
Keiraville,465.0,255.0,417.0,24.0,39.0,38.8,21.2,34.8,2.0,3.2,12085
Figtree,1723.0,1479.0,639.0,35.0,96.0,43.4,37.2,16.1,0.9,2.4,11515
Helensburgh,591.0,1104.0,272.0,9.0,27.0,29.5,55.1,13.6,0.4,1.3,11890
Otford,46.0,55.0,13.0,0.0,5.0,38.7,46.2,10.9,0.0,4.2,13101
Stanwell Park,177.0,177.0,65.0,11.0,14.0,39.9,39.9,14.6,2.5,3.2,13653
Stanwell Tops,60.0,65.0,22.0,0.0,0.0,40.8,44.2,15.0,0.0,0.0,13654
Thirroul,836.0,793.0,420.0,18.0,48.0,39.5,37.5,19.9,0.9,2.3,13848
Austinmer,363.0,310.0,174.0,3.0,20.0,41.7,35.6,20.0,0.3,2.3,10108
Coledale,139.0,184.0,69.0,7.0,12.0,33.8,44.8,16.8,1.7,2.9,10966
Wombarra,126.0,128.0,53.0,0.0,3.0,40.6,41.3,17.1,0.0,1.0,14363
Scarborough (NSW),33.0,44.0,18.0,0.0,0.0,34.7,46.3,18.9,0.0,0.0,13500
Coalcliff,30.0,29.0,5.0,0.0,0.0,46.9,45.3,7.8,0.0,0.0,10944
Woonona,1610.0,1588.0,1101.0,40.0,106.0,36.2,35.7,24.8,0.9,2.4,14416
Russell Vale,201.0,217.0,110.0,3.0,13.0,36.9,39.9,20.2,0.6,2.4,13448
Wollongong,1855.0,1208.0,4224.0,118.0,339.0,24.0,15.6,54.5,1.5,4.4,14358
Mount Saint Thomas,158.0,234.0,142.0,4.0,13.0,28.7,42.5,25.8,0.7,2.4,12791
Mangerton,341.0,353.0,321.0,4.0,21.0,32.8,33.9,30.9,0.4,2.0,12468
Bulahdelah,281.0,136.0,114.0,7.0,29.0,49.6,24.0,20.1,1.2,5.1,10649
Wards River,31.0,24.0,14.0,0.0,3.0,43.1,33.3,19.4,0.0,4.2,14147
Stroud Road,26.0,24.0,17.0,0.0,7.0,35.1,32.4,23.0,0.0,9.5,13679
Stroud,148.0,115.0,57.0,4.0,10.0,44.3,34.4,17.1,1.2,3.0,13677
Girvan,28.0,31.0,9.0,0.0,3.0,39.4,43.7,12.7,0.0,4.2,11637
Nerong,30.0,15.0,4.0,0.0,0.0,61.2,30.6,8.2,0.0,0.0,12929
Allworth,34.0,29.0,11.0,0.0,4.0,43.6,37.2,14.1,0.0,5.1,10041
Bunyah,32.0,16.0,4.0,0.0,3.0,58.2,29.1,7.3,0.0,5.5,10690
Markwell,21.0,10.0,16.0,0.0,3.0,42.0,20.0,32.0,0.0,6.0,12493
Booral (NSW),53.0,62.0,16.0,0.0,0.0,40.5,47.3,12.2,0.0,0.0,10496
Limeburners Creek (Mid-Coast - NSW),44.0,54.0,7.0,0.0,3.0,40.7,50.0,6.5,0.0,2.8,12328
Forster (NSW),2697.0,1180.0,1639.0,81.0,201.0,46.5,20.4,28.3,1.4,3.5,11550
Green Point (Mid-Coast - NSW),94.0,73.0,44.0,0.0,7.0,43.1,33.5,20.2,0.0,3.2,11755
Darawank,65.0,49.0,12.0,5.0,4.0,48.1,36.3,8.9,3.7,3.0,11203
Tarbuck Bay,33.0,32.0,3.0,3.0,0.0,46.5,45.1,4.2,4.2,0.0,13762
Nabiac,198.0,151.0,82.0,0.0,15.0,44.4,33.9,18.4,0.0,3.4,12885
Failford,144.0,53.0,15.0,5.0,10.0,63.4,23.3,6.6,2.2,4.4,11476
Coomba Park,146.0,79.0,28.0,0.0,10.0,55.5,30.0,10.6,0.0,3.8,11038
Smiths Lake,194.0,164.0,85.0,4.0,15.0,42.0,35.5,18.4,0.9,3.2,13563
Bungwahl,43.0,23.0,22.0,0.0,0.0,48.9,26.1,25.0,0.0,0.0,10687
Charlotte Bay,24.0,21.0,9.0,0.0,8.0,38.7,33.9,14.5,0.0,12.9,10887
Wootton,49.0,13.0,17.0,0.0,12.0,53.8,14.3,18.7,0.0,13.2,14417
Coolongolook,60.0,45.0,25.0,7.0,4.0,42.6,31.9,17.7,5.0,2.8,11032
Coomba Bay,31.0,21.0,3.0,0.0,0.0,56.4,38.2,5.5,0.0,0.0,11037
Minimbah,33.0,26.0,8.0,0.0,3.0,47.1,37.1,11.4,0.0,4.3,12636
Elizabeth Beach,37.0,27.0,17.0,0.0,5.0,43.0,31.4,19.8,0.0,5.8,11396
Blueys Beach,47.0,10.0,19.0,0.0,3.0,59.5,12.7,24.1,0.0,3.8,10420
Boomerang Beach,35.0,36.0,36.0,0.0,0.0,32.7,33.6,33.6,0.0,0.0,10487
Tuncurry,1397.0,440.0,795.0,26.0,126.0,50.2,15.8,28.6,0.9,4.5,13969
South Kempsey,263.0,223.0,235.0,3.0,50.0,34.0,28.8,30.4,0.4,6.5,13588
West Kempsey,604.0,401.0,727.0,4.0,67.0,33.5,22.2,40.3,0.2,3.7,14247
Kempsey,53.0,34.0,106.0,0.0,13.0,25.7,16.5,51.5,0.0,6.3,12095
Frederickton,169.0,143.0,121.0,3.0,17.0,37.3,31.6,26.7,0.7,3.8,11561
Aldavilla,127.0,101.0,21.0,0.0,6.0,49.8,39.6,8.2,0.0,2.4,10028
Euroka,56.0,49.0,8.0,0.0,3.0,48.3,42.2,6.9,0.0,2.6,11464
Dondingalong,127.0,99.0,20.0,6.0,14.0,47.7,37.2,7.5,2.3,5.3,11272
Greenhill (NSW),67.0,61.0,72.0,0.0,3.0,33.0,30.0,35.5,0.0,1.5,11763
East Kempsey,172.0,144.0,176.0,3.0,22.0,33.3,27.9,34.0,0.6,4.3,11354
Verges Creek,28.0,32.0,6.0,0.0,3.0,40.6,46.4,8.7,0.0,4.3,14072
Yarravel,174.0,166.0,35.0,0.0,9.0,45.3,43.2,9.1,0.0,2.3,14483
Stuarts Point,150.0,60.0,115.0,0.0,3.0,45.7,18.3,35.1,0.0,0.9,13681
Barraganyatti,27.0,11.0,10.0,0.0,3.0,52.9,21.6,19.6,0.0,5.9,10209
Yarrahapinni,50.0,13.0,14.0,0.0,3.0,62.5,16.2,17.5,0.0,3.8,14474
Hat Head,86.0,25.0,25.0,0.0,5.0,61.0,17.7,17.7,0.0,3.5,11869
Kinchela,56.0,30.0,18.0,0.0,0.0,53.8,28.8,17.3,0.0,0.0,12140
Gladstone (NSW),83.0,43.0,20.0,0.0,5.0,55.0,28.5,13.2,0.0,3.3,11639
Smithtown,95.0,79.0,44.0,3.0,12.0,40.8,33.9,18.9,1.3,5.2,13564
Mungay Creek,31.0,13.0,3.0,0.0,0.0,66.0,27.7,6.4,0.0,0.0,12841
Willawarrin,31.0,27.0,14.0,0.0,0.0,43.1,37.5,19.4,0.0,0.0,14295
Temagog,47.0,36.0,10.0,0.0,0.0,50.5,38.7,10.8,0.0,0.0,13783
Turners Flat,16.0,26.0,4.0,0.0,0.0,34.8,56.5,8.7,0.0,0.0,13976
Millbank (NSW),24.0,13.0,5.0,0.0,3.0,53.3,28.9,11.1,0.0,6.7,12616
Hickeys Creek,26.0,12.0,7.0,0.0,0.0,57.8,26.7,15.6,0.0,0.0,11899
Belmore River,40.0,30.0,23.0,0.0,4.0,41.2,30.9,23.7,0.0,4.1,10280
Austral Eden,23.0,14.0,9.0,0.0,0.0,50.0,30.4,19.6,0.0,0.0,10110
Crescent Head,246.0,155.0,161.0,11.0,34.0,40.5,25.5,26.5,1.8,5.6,11114
Fishermans Reach,22.0,11.0,28.0,0.0,6.0,32.8,16.4,41.8,0.0,9.0,11524
Clybucca,23.0,22.0,12.0,0.0,4.0,37.7,36.1,19.7,0.0,6.6,10940
Bellimbopinni,19.0,10.0,9.0,0.0,0.0,50.0,26.3,23.7,0.0,0.0,10272
Collombatti,104.0,76.0,23.0,5.0,7.0,48.4,35.3,10.7,2.3,3.3,10979
Kundabung,67.0,93.0,25.0,0.0,5.0,35.3,48.9,13.2,0.0,2.6,12209
Sherwood (Kempsey - NSW),32.0,22.0,3.0,0.0,3.0,53.3,36.7,5.0,0.0,5.0,13537
Bellbrook,55.0,22.0,39.0,0.0,4.0,45.8,18.3,32.5,0.0,3.3,10270
Macksville,408.0,233.0,296.0,7.0,37.0,41.6,23.8,30.2,0.7,3.8,12430
North Macksville,135.0,54.0,43.0,0.0,15.0,54.7,21.9,17.4,0.0,6.1,12995
Way Way,45.0,39.0,10.0,0.0,3.0,46.4,40.2,10.3,0.0,3.1,14203
Scotts Head,160.0,81.0,103.0,0.0,13.0,44.8,22.7,28.9,0.0,3.6,13508
Gumma,91.0,58.0,12.0,0.0,5.0,54.8,34.9,7.2,0.0,3.0,11801
Nambucca Heads,1229.0,456.0,973.0,27.0,105.0,44.1,16.3,34.9,1.0,3.8,12887
Hyland Park,72.0,50.0,50.0,3.0,9.0,39.1,27.2,27.2,1.6,4.9,11968
Bowraville,177.0,113.0,119.0,4.0,21.0,40.8,26.0,27.4,0.9,4.8,10537
Valla Beach,298.0,141.0,110.0,0.0,15.0,52.8,25.0,19.5,0.0,2.7,14068
South Arm (Nambucca - NSW),59.0,21.0,43.0,4.0,4.0,45.0,16.0,32.8,3.1,3.1,13575
Newee Creek,77.0,49.0,9.0,0.0,8.0,53.8,34.3,6.3,0.0,5.6,12952
Congarinni North,66.0,37.0,10.0,4.0,6.0,53.7,30.1,8.1,3.3,4.9,11006
Congarinni,64.0,34.0,13.0,0.0,0.0,57.7,30.6,11.7,0.0,0.0,11005
Talarm,44.0,33.0,5.0,0.0,0.0,53.7,40.2,6.1,0.0,0.0,13728
Warrell Creek,41.0,30.0,15.0,0.0,4.0,45.6,33.3,16.7,0.0,4.4,14170
Eungai Creek,55.0,61.0,26.0,3.0,4.0,36.9,40.9,17.4,2.0,2.7,11458
Eungai Rail,34.0,28.0,12.0,3.0,0.0,44.2,36.4,15.6,3.9,0.0,11459
Allgomera,27.0,15.0,3.0,0.0,0.0,60.0,33.3,6.7,0.0,0.0,10040
Yarranbella,41.0,13.0,12.0,0.0,3.0,59.4,18.8,17.4,0.0,4.3,14478
Utungun,25.0,18.0,9.0,0.0,0.0,48.1,34.6,17.3,0.0,0.0,14062
Upper Taylors Arm,26.0,17.0,3.0,0.0,3.0,53.1,34.7,6.1,0.0,6.1,14045
Taylors Arm,21.0,16.0,9.0,0.0,3.0,42.9,32.7,18.4,0.0,6.1,13776
Argents Hill,42.0,22.0,20.0,0.0,5.0,47.2,24.7,22.5,0.0,5.6,10079
Missabotti,57.0,34.0,13.0,0.0,3.0,53.3,31.8,12.1,0.0,2.8,12649
South West Rocks,1019.0,379.0,524.0,10.0,44.0,51.6,19.2,26.5,0.5,2.2,13600
Arakoon,101.0,48.0,18.0,0.0,3.0,59.4,28.2,10.6,0.0,1.8,10069
Jerseyville,19.0,10.0,11.0,0.0,0.0,47.5,25.0,27.5,0.0,0.0,12022
Lord Howe Island,48.0,29.0,42.0,3.0,13.0,35.6,21.5,31.1,2.2,9.6,12387
Lake Cathie,641.0,388.0,250.0,4.0,30.0,48.8,29.6,19.0,0.3,2.3,12243
Bonny Hills,541.0,369.0,183.0,3.0,18.0,48.6,33.1,16.4,0.3,1.6,10470
North Haven (NSW),397.0,97.0,240.0,0.0,41.0,51.2,12.5,31.0,0.0,5.3,12992
Kendall,165.0,141.0,63.0,3.0,14.0,42.7,36.5,16.3,0.8,3.6,12096
West Haven,271.0,91.0,58.0,54.0,21.0,54.7,18.4,11.7,10.9,4.2,14245
Laurieton,541.0,97.0,267.0,40.0,58.0,53.9,9.7,26.6,4.0,5.8,12283
Kew (NSW),230.0,107.0,36.0,0.0,11.0,59.9,27.9,9.4,0.0,2.9,12109
Herons Creek,27.0,27.0,22.0,0.0,3.0,34.2,34.2,27.8,0.0,3.8,11897
Upsalls Creek,18.0,17.0,7.0,0.0,0.0,42.9,40.5,16.7,0.0,0.0,14049
Logans Crossing,29.0,21.0,3.0,0.0,4.0,50.9,36.8,5.3,0.0,7.0,12373
Lorne (NSW),53.0,29.0,8.0,0.0,0.0,58.9,32.2,8.9,0.0,0.0,12390
Lakewood,281.0,107.0,84.0,3.0,10.0,57.9,22.1,17.3,0.6,2.1,12259
Dunbogan,263.0,94.0,70.0,0.0,17.0,59.2,21.2,15.8,0.0,3.8,11310
Johns River,46.0,43.0,21.0,0.0,0.0,41.8,39.1,19.1,0.0,0.0,12037
Camden Head,38.0,10.0,17.0,0.0,3.0,55.9,14.7,25.0,0.0,4.4,10771
Port Macquarie,7070.0,4497.0,5559.0,409.0,555.0,39.1,24.9,30.7,2.3,3.1,13246
Lake Innes,64.0,39.0,23.0,0.0,0.0,50.8,31.0,18.3,0.0,0.0,12251
Fernbank Creek,20.0,13.0,10.0,0.0,0.0,46.5,30.2,23.3,0.0,0.0,11505
Riverside (NSW),48.0,31.0,22.0,0.0,3.0,46.2,29.8,21.2,0.0,2.9,13367
Thrumster,30.0,90.0,8.0,0.0,0.0,23.4,70.3,6.2,0.0,0.0,13852
North Shore (NSW),47.0,46.0,35.0,0.0,6.0,35.1,34.3,26.1,0.0,4.5,13006
Telegraph Point,84.0,96.0,29.0,0.0,5.0,39.3,44.9,13.6,0.0,2.3,13781
Blackmans Point,33.0,22.0,11.0,0.0,0.0,50.0,33.3,16.7,0.0,0.0,10395
Gum Scrub,19.0,16.0,6.0,0.0,0.0,46.3,39.0,14.6,0.0,0.0,11797
Cooperabung,25.0,46.0,13.0,0.0,3.0,28.7,52.9,14.9,0.0,3.4,11046
Rollands Plains,20.0,26.0,8.0,0.0,0.0,37.0,48.1,14.8,0.0,0.0,13392
Upper Rollands Plains,22.0,9.0,8.0,0.0,0.0,56.4,23.1,20.5,0.0,0.0,14043
Pembrooke,21.0,18.0,3.0,0.0,0.0,50.0,42.9,7.1,0.0,0.0,13180
Frazers Creek,31.0,27.0,5.0,0.0,3.0,47.0,40.9,7.6,0.0,4.5,11560
Mortons Creek,45.0,38.0,10.0,0.0,5.0,45.9,38.8,10.2,0.0,5.1,12731
Brombin,16.0,16.0,7.0,0.0,0.0,41.0,41.0,17.9,0.0,0.0,10593
Long Flat (NSW),20.0,13.0,6.0,4.0,3.0,43.5,28.3,13.0,8.7,6.5,12377
Byabarra,50.0,43.0,8.0,0.0,3.0,48.1,41.3,7.7,0.0,2.9,10727
Ellenborough,28.0,14.0,14.0,0.0,4.0,46.7,23.3,23.3,0.0,6.7,11401
Comboyne,78.0,54.0,40.0,3.0,5.0,43.3,30.0,22.2,1.7,2.8,10992
Wauchope,847.0,660.0,753.0,30.0,82.0,35.7,27.8,31.7,1.3,3.5,14197
Yippin Creek,29.0,29.0,16.0,0.0,3.0,37.7,37.7,20.8,0.0,3.9,14515
Rosewood (Port Macquarie-Hastings - NSW),44.0,21.0,8.0,4.0,0.0,57.1,27.3,10.4,5.2,0.0,13414
Beechwood,98.0,79.0,34.0,0.0,6.0,45.2,36.4,15.7,0.0,2.8,10248
Redbank (NSW),67.0,49.0,12.0,0.0,3.0,51.1,37.4,9.2,0.0,2.3,13336
Crosslands,74.0,76.0,39.0,0.0,4.0,38.3,39.4,20.2,0.0,2.1,11127
King Creek,209.0,246.0,30.0,0.0,8.0,42.4,49.9,6.1,0.0,1.6,12145
Sancrox,95.0,66.0,31.0,0.0,0.0,49.5,34.4,16.1,0.0,0.0,13471
Gloucester,566.0,268.0,360.0,3.0,46.0,45.5,21.6,29.0,0.2,3.7,11685
Craven,21.0,5.0,18.0,0.0,3.0,44.7,10.6,38.3,0.0,6.4,11107
Stratford (NSW),28.0,14.0,18.0,0.0,0.0,46.7,23.3,30.0,0.0,0.0,13672
Forbesdale,26.0,8.0,16.0,0.0,0.0,52.0,16.0,32.0,0.0,0.0,11539
Barrington (NSW),89.0,35.0,13.0,0.0,4.0,63.1,24.8,9.2,0.0,2.8,10216
Bowman,33.0,11.0,3.0,0.0,0.0,70.2,23.4,6.4,0.0,0.0,10531
Diamond Beach,149.0,87.0,94.0,3.0,0.0,44.7,26.1,28.2,0.9,0.0,11251
Manning Point,77.0,9.0,19.0,3.0,3.0,69.4,8.1,17.1,2.7,2.7,12478
Mitchells Island,85.0,52.0,28.0,0.0,0.0,51.5,31.5,17.0,0.0,0.0,12652
Oxley Island,48.0,29.0,22.0,3.0,0.0,47.1,28.4,21.6,2.9,0.0,13109
Old Bar,785.0,428.0,495.0,20.0,55.0,44.0,24.0,27.8,1.1,3.1,13073
Black Head,179.0,56.0,80.0,66.0,7.0,46.1,14.4,20.6,17.0,1.8,10384
Red Head,108.0,63.0,41.0,0.0,5.0,49.8,29.0,18.9,0.0,2.3,13329
Rainbow Flat,120.0,98.0,10.0,3.0,4.0,51.1,41.7,4.3,1.3,1.7,13305
Hallidays Point,95.0,78.0,21.0,0.0,3.0,48.2,39.6,10.7,0.0,1.5,11832
Wallabi Point,105.0,86.0,55.0,0.0,9.0,41.2,33.7,21.6,0.0,3.5,14099
Koorainghat,41.0,18.0,4.0,3.0,3.0,59.4,26.1,5.8,4.3,4.3,12191
Tallwoods Village,147.0,91.0,30.0,0.0,0.0,54.9,34.0,11.2,0.0,0.0,13737
Taree,2318.0,1471.0,2401.0,59.0,226.0,35.8,22.7,37.1,0.9,3.5,13764
Cundletown,305.0,241.0,152.0,4.0,33.0,41.5,32.8,20.7,0.5,4.5,11161
Taree South,64.0,33.0,25.0,0.0,9.0,48.9,25.2,19.1,0.0,6.9,13765
Pampoolah,75.0,40.0,16.0,0.0,9.0,53.6,28.6,11.4,0.0,6.4,13142
Glenthorne,36.0,27.0,18.0,0.0,0.0,44.4,33.3,22.2,0.0,0.0,11680
Tinonee,157.0,166.0,75.0,0.0,9.0,38.6,40.8,18.4,0.0,2.2,13876
Harrington,786.0,217.0,297.0,5.0,42.0,58.4,16.1,22.0,0.4,3.1,11858
Wherrol Flat,66.0,34.0,12.0,3.0,0.0,57.4,29.6,10.4,2.6,0.0,14271
Coopernook,92.0,67.0,36.0,0.0,3.0,46.5,33.8,18.2,0.0,1.5,11047
Moto,17.0,12.0,12.0,0.0,3.0,38.6,27.3,27.3,0.0,6.8,12742
Moorland (NSW),82.0,65.0,36.0,3.0,11.0,41.6,33.0,18.3,1.5,5.6,12714
Hannam Vale,40.0,23.0,8.0,0.0,0.0,56.3,32.4,11.3,0.0,0.0,11849
Stewarts River,17.0,19.0,3.0,3.0,0.0,40.5,45.2,7.1,7.1,0.0,13659
Upper Lansdowne,102.0,67.0,31.0,0.0,5.0,49.8,32.7,15.1,0.0,2.4,14033
Lansdowne (Mid-Coast - NSW),111.0,76.0,24.0,0.0,4.0,51.6,35.3,11.2,0.0,1.9,12273
Kundle Kundle,26.0,24.0,9.0,0.0,0.0,44.1,40.7,15.3,0.0,0.0,12211
Killabakh,52.0,30.0,10.0,0.0,0.0,56.5,32.6,10.9,0.0,0.0,12128
Cedar Party,86.0,29.0,12.0,3.0,4.0,64.2,21.6,9.0,2.2,3.0,10870
Marlee,31.0,26.0,15.0,0.0,0.0,43.1,36.1,20.8,0.0,0.0,12494
Elands,52.0,9.0,20.0,4.0,3.0,59.1,10.2,22.7,4.5,3.4,11388
Bobin,37.0,14.0,7.0,0.0,0.0,63.8,24.1,12.1,0.0,0.0,10427
Mount George (NSW),52.0,29.0,14.0,0.0,5.0,52.0,29.0,14.0,0.0,5.0,12761
Killawarra (NSW),27.0,19.0,8.0,0.0,0.0,50.0,35.2,14.8,0.0,0.0,12132
Burrell Creek,42.0,27.0,15.0,0.0,3.0,48.3,31.0,17.2,0.0,3.4,10709
Bootawa,30.0,21.0,7.0,0.0,0.0,51.7,36.2,12.1,0.0,0.0,10504
Mondrook,37.0,18.0,11.0,0.0,3.0,53.6,26.1,15.9,0.0,4.3,12676
Hillville,46.0,43.0,16.0,0.0,3.0,42.6,39.8,14.8,0.0,2.8,11913
Kimbriki,25.0,22.0,9.0,0.0,0.0,44.6,39.3,16.1,0.0,0.0,12139
Belbora,22.0,14.0,9.0,0.0,0.0,48.9,31.1,20.0,0.0,0.0,10256
Krambach,70.0,47.0,27.0,0.0,0.0,48.6,32.6,18.8,0.0,0.0,12202
Possum Brush,18.0,11.0,13.0,0.0,0.0,42.9,26.2,31.0,0.0,0.0,13251
Dyers Crossing,66.0,51.0,17.0,0.0,3.0,48.2,37.2,12.4,0.0,2.2,11338
Firefly,53.0,31.0,16.0,0.0,0.0,53.0,31.0,16.0,0.0,0.0,11521
Coralville,19.0,8.0,18.0,0.0,5.0,38.0,16.0,36.0,0.0,10.0,11064
Wingham,899.0,614.0,473.0,8.0,58.0,43.8,29.9,23.1,0.4,2.8,14332
Thurgoona,654.0,1317.0,708.0,35.0,46.0,23.7,47.7,25.7,1.3,1.7,13856
East Albury,740.0,790.0,803.0,55.0,57.0,30.3,32.3,32.8,2.2,2.3,11344
Wirlinga,15.0,24.0,9.0,0.0,0.0,31.2,50.0,18.8,0.0,0.0,14337
North Albury,673.0,683.0,924.0,11.0,89.0,28.3,28.7,38.8,0.5,3.7,12977
Lavington,1542.0,1425.0,1957.0,37.0,153.0,30.2,27.9,38.3,0.7,3.0,12287
Glenroy (Albury - NSW),412.0,450.0,276.0,15.0,24.0,35.0,38.2,23.4,1.3,2.0,11678
Hamilton Valley,36.0,83.0,56.0,0.0,4.0,20.1,46.4,31.3,0.0,2.2,11842
Albury,674.0,485.0,739.0,12.0,50.0,34.4,24.7,37.7,0.6,2.6,10027
South Albury,128.0,127.0,358.0,4.0,15.0,20.3,20.1,56.6,0.6,2.4,13573
West Albury,566.0,384.0,437.0,33.0,55.0,38.4,26.0,29.6,2.2,3.7,14239
Splitters Creek,41.0,47.0,3.0,3.0,0.0,43.6,50.0,3.2,3.2,0.0,13610
Jindera,226.0,347.0,97.0,5.0,19.0,32.6,50.0,14.0,0.7,2.7,12032
Holbrook,280.0,188.0,156.0,7.0,30.0,42.4,28.4,23.6,1.1,4.5,11920
Table Top,161.0,222.0,24.0,3.0,13.0,38.1,52.5,5.7,0.7,3.1,13722
Little Billabong,14.0,13.0,16.0,3.0,0.0,30.4,28.3,34.8,6.5,0.0,12350
Gerogery,64.0,96.0,24.0,3.0,7.0,33.0,49.5,12.4,1.5,3.6,11605
Brocklesby,23.0,28.0,16.0,0.0,0.0,34.3,41.8,23.9,0.0,0.0,10584
Walla Walla,141.0,103.0,45.0,4.0,9.0,46.7,34.1,14.9,1.3,3.0,14097
Glenellen,17.0,23.0,3.0,0.0,0.0,39.5,53.5,7.0,0.0,0.0,11663
Burrumbuttock,52.0,53.0,19.0,0.0,3.0,40.9,41.7,15.0,0.0,2.4,10716
Walbundrie,24.0,21.0,13.0,0.0,0.0,41.4,36.2,22.4,0.0,0.0,14092
Morven (Greater Hume Shire - NSW),24.0,18.0,6.0,0.0,0.0,50.0,37.5,12.5,0.0,0.0,12737
Culcairn,214.0,179.0,121.0,6.0,13.0,40.2,33.6,22.7,1.1,2.4,11147
Henty (NSW),239.0,103.0,101.0,12.0,25.0,49.8,21.5,21.0,2.5,5.2,11892
Bowna,18.0,13.0,0.0,0.0,0.0,58.1,41.9,0.0,0.0,0.0,10534
Bungowannah,25.0,21.0,9.0,0.0,0.0,45.5,38.2,16.4,0.0,0.0,10686
Woomargama,26.0,30.0,6.0,0.0,0.0,41.9,48.4,9.7,0.0,0.0,14413
Springdale Heights,250.0,239.0,278.0,0.0,23.0,31.6,30.3,35.2,0.0,2.9,13622
Hay (NSW),362.0,199.0,272.0,4.0,43.0,41.1,22.6,30.9,0.5,4.9,11874
Hay South,60.0,25.0,38.0,3.0,8.0,44.8,18.7,28.4,2.2,6.0,11875
Gol Gol,192.0,224.0,79.0,0.0,13.0,37.8,44.1,15.6,0.0,2.6,11693
Buronga,119.0,184.0,106.0,6.0,14.0,27.7,42.9,24.7,1.4,3.3,10696
Wentworth (NSW),258.0,124.0,168.0,11.0,27.0,43.9,21.1,28.6,1.9,4.6,14225
Coomealla,83.0,86.0,73.0,0.0,12.0,32.7,33.9,28.7,0.0,4.7,11041
Dareton,90.0,21.0,76.0,0.0,10.0,45.7,10.7,38.6,0.0,5.1,11206
Curlwaa,62.0,52.0,22.0,0.0,4.0,44.3,37.1,15.7,0.0,2.9,11170
Euston,100.0,80.0,64.0,0.0,6.0,40.0,32.0,25.6,0.0,2.4,11468
Pomona (NSW),23.0,15.0,11.0,3.0,3.0,41.8,27.3,20.0,5.5,5.5,13240
Tooleybuc,45.0,23.0,22.0,0.0,3.0,48.4,24.7,23.7,0.0,3.2,13902
Balranald,217.0,107.0,169.0,0.0,21.0,42.2,20.8,32.9,0.0,4.1,10168
Corowa,939.0,625.0,558.0,16.0,89.0,42.2,28.1,25.1,0.7,4.0,11080
Mulwala,400.0,235.0,196.0,13.0,39.0,45.3,26.6,22.2,1.5,4.4,12830
Balldale,30.0,19.0,3.0,0.0,0.0,57.7,36.5,5.8,0.0,0.0,10159
Rand,44.0,22.0,8.0,4.0,4.0,53.7,26.8,9.8,4.9,4.9,13311
Oaklands,64.0,29.0,23.0,3.0,11.0,49.2,22.3,17.7,2.3,8.5,13059
Howlong,438.0,369.0,210.0,6.0,27.0,41.7,35.1,20.0,0.6,2.6,11950
Urana,66.0,36.0,24.0,0.0,4.0,50.8,27.7,18.5,0.0,3.1,14052
Deniliquin,1174.0,896.0,870.0,13.0,98.0,38.5,29.4,28.5,0.4,3.2,11237
Mayrung,21.0,10.0,11.0,0.0,4.0,45.7,21.7,23.9,0.0,8.7,12537
Mathoura,196.0,116.0,65.0,3.0,21.0,48.9,28.9,16.2,0.7,5.2,12522
Barham,323.0,127.0,159.0,5.0,23.0,50.7,19.9,25.0,0.8,3.6,10199
Wakool,72.0,33.0,20.0,0.0,4.0,55.8,25.6,15.5,0.0,3.1,14090
Moulamein,97.0,38.0,45.0,0.0,7.0,51.9,20.3,24.1,0.0,3.7,12743
Koraleigh,42.0,41.0,27.0,0.0,5.0,36.5,35.7,23.5,0.0,4.3,12195
Conargo,14.0,10.0,14.0,3.0,0.0,34.1,24.4,34.1,7.3,0.0,10998
Murray Downs,42.0,24.0,13.0,0.0,4.0,50.6,28.9,15.7,0.0,4.8,12852
Moama,932.0,722.0,552.0,46.0,69.0,40.2,31.1,23.8,2.0,3.0,12654
Warragoon,15.0,10.0,7.0,0.0,0.0,46.9,31.2,21.9,0.0,0.0,14159
