,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
Bega,"1,503",950,466,"1,096",,,180,,,,,,,,,,,,,,,,,,,,,,,,,32.3,20.4,10.0,23.5,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,10253
Tathra,627,318,156,356,,,95,,,,,,,,,,,,,,,,,,,,,,,,,37.5,19.0,9.3,21.3,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,13774
Kalaru,255,136,92,117,,,26,,,,,,,,,,,,,,,,,,,,,,,,,36.3,19.3,13.1,16.6,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,12051
Wallagoot,230,72,72,85,,,19,,,,,,,,,,,,,,,,,,,,,,,,,44.7,14.0,14.0,16.5,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,14103
Bournda,62,21,40,17,,,,,,,4,,,,,,,,,,,,,,,,,,,,,41.3,14.0,26.7,11.3,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,10524
Black Range (NSW),75,50,35,25,,,,,,,9,,,,,,,,,,,,,,,,,,,,,35.7,23.8,16.7,11.9,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,10388
Tarraganda,79,82,16,107,,,14,,,,,,,,,,,,,,,,,,,,,,,,,23.6,24.5,4.8,31.9,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,13768
Kanoona,52,27,5,44,,,6,,,,,,,,,,,,,,,,,,,,,,,,,38.0,19.7,3.6,32.1,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,12066
Toothdale,66,28,26,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,16.3,15.1,19.8,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,13914
Wolumla,239,125,63,176,,,34,,,,,,,,,,,,,,,,,,,,,,,,,34.8,18.2,9.2,25.6,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,14362
South Wolumla,61,37,14,33,,,9,,,,,,,,,,,,,,,,,,,,,,,,,36.7,22.3,8.4,19.9,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,13602
Wyndham (NSW),160,43,60,54,,,17,,,,,,,,,,,,,,,,,,,,,,,,,43.2,11.6,16.2,14.6,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,14443
Kiah,56,21,22,22,15,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,14.2,14.9,14.9,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,12115
Towamba,102,31,21,49,11,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,13.8,9.3,21.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,13927
Lochiel (NSW),171,47,23,72,,,10,,,,,,,,,,,,,,,,,,,,,,,,,49.4,13.6,6.6,20.8,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,12367
Nethercote,143,60,38,55,,,16,,,,,,,,,,,,,,,,,,,,,,,,,42.6,17.9,11.3,16.4,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,12932
Candelo,251,113,72,163,18,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,16.8,10.7,24.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,10788
Tantawangalo,48,35,38,22,,,,,,,,,9,,,,,,,,,,,,,,,,,,,31.6,23.0,25.0,14.5,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,13753
Bemboka,208,104,59,100,33,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,18.1,10.3,17.4,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,10284
Quaama,121,36,27,69,,,,,,,6,,,,,,,,,,,,,,,,,,,,,43.1,12.8,9.6,24.6,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,13285
