,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Scone,483.0,1571.0,73.0,22.7,73.9,3.4,13503
Middle Brook,11.0,63.0,0.0,14.9,85.1,0.0,12600
Dartbrook,6.0,33.0,0.0,15.4,84.6,0.0,11217
Segenhoe,11.0,40.0,0.0,21.6,78.4,0.0,13517
Rouchel,5.0,43.0,0.0,10.4,89.6,0.0,13422
Murrurundi,118.0,282.0,6.0,29.1,69.5,1.5,12864
Blandford,14.0,69.0,0.0,16.9,83.1,0.0,10406
Wingen,10.0,77.0,0.0,11.5,88.5,0.0,14331
Parkville (NSW),22.0,76.0,0.0,22.4,77.6,0.0,13154
Upper Dartbrook,19.0,32.0,0.0,37.3,62.7,0.0,14022
Gundy,17.0,47.0,3.0,25.4,70.1,4.5,11809
Moonan Flat,12.0,35.0,0.0,25.5,74.5,0.0,12697
Niangala,6.0,44.0,3.0,11.3,83.0,5.7,12962
Merriwa (NSW),174.0,457.0,26.0,26.5,69.6,4.0,12585
Moobi,10.0,38.0,0.0,20.8,79.2,0.0,12688
Dapto,679.0,3145.0,126.0,17.2,79.6,3.2,11202
Kanahooka,341.0,1663.0,65.0,16.5,80.4,3.1,12055
Koonawarra,230.0,1019.0,39.0,17.9,79.1,3.0,12187
Avondale (NSW),109.0,498.0,28.0,17.2,78.4,4.4,10116
Marshall Mount,16.0,31.0,0.0,34.0,66.0,0.0,12507
Haywards Bay,19.0,292.0,5.0,6.0,92.4,1.6,11880
Brownsville,61.0,164.0,5.0,26.5,71.3,2.2,10612
Horsley,173.0,2345.0,37.0,6.8,91.8,1.4,11942
Kembla Grange,7.0,64.0,7.0,9.0,82.1,9.0,12092
Dombarton,0.0,41.0,0.0,0.0,100.0,0.0,11270
Port Kembla,577.0,1243.0,72.0,30.5,65.7,3.8,13245
Coniston,152.0,658.0,28.0,18.1,78.5,3.3,11010
Unanderra,536.0,1441.0,73.0,26.1,70.3,3.6,14008
Mount Kembla,28.0,300.0,4.0,8.4,90.4,1.2,12769
Kembla Heights,8.0,35.0,3.0,17.4,76.1,6.5,12093
Cordeaux Heights,92.0,1290.0,24.0,6.5,91.7,1.7,11070
Farmborough Heights,103.0,1228.0,16.0,7.6,91.2,1.2,11491
Berkeley,694.0,1948.0,117.0,25.2,70.6,4.2,10303
Cringila,199.0,459.0,39.0,28.6,65.9,5.6,11116
Lake Heights,364.0,986.0,40.0,26.2,70.9,2.9,12248
Warrawong,645.0,1046.0,75.0,36.5,59.2,4.2,14167
Windang,380.0,768.0,58.0,31.5,63.7,4.8,14316
Primbee,151.0,450.0,18.0,24.4,72.7,2.9,13264
Mount Keira,41.0,504.0,5.0,7.5,91.6,0.9,12768
Bulli,263.0,1748.0,39.0,12.8,85.3,1.9,10662
Bargo,218.0,1205.0,42.0,14.9,82.3,2.9,10198
Yerrinbool,55.0,323.0,10.0,14.2,83.2,2.6,14510
Wilton (NSW),51.0,860.0,3.0,5.6,94.1,0.3,14311
Pheasants Nest,24.0,163.0,9.0,12.2,83.2,4.6,13191
Albion Park,521.0,3642.0,82.0,12.3,85.8,1.9,10025
Tullimbar,6.0,170.0,0.0,3.4,96.6,0.0,13958
Albion Park Rail,391.0,1958.0,74.0,16.1,80.8,3.1,10026
Kiama,391.0,2290.0,59.0,14.3,83.6,2.2,12116
Kiama Heights,24.0,263.0,9.0,8.1,88.9,3.0,12118
Kiama Downs,113.0,1547.0,23.0,6.7,91.9,1.4,12117
Minnamurra,26.0,260.0,10.0,8.8,87.8,3.4,12639
Gerringong,174.0,1141.0,34.0,12.9,84.6,2.5,11606
Jamberoo,56.0,513.0,11.0,9.7,88.4,1.9,11998
Werri Beach,23.0,175.0,0.0,11.6,88.4,0.0,14233
Gerroa,29.0,192.0,8.0,12.7,83.8,3.5,11607
Curramore (NSW),5.0,49.0,0.0,9.3,90.7,0.0,11174
Jerrara,0.0,39.0,0.0,0.0,100.0,0.0,12017
Toolijooa,3.0,24.0,0.0,11.1,88.9,0.0,13903
Foxground,3.0,47.0,3.0,5.7,88.7,5.7,11558
Flinders (NSW),222.0,1873.0,45.0,10.4,87.5,2.1,11534
Shellharbour,222.0,1027.0,31.0,17.3,80.2,2.4,13533
Shell Cove,81.0,1587.0,12.0,4.8,94.5,0.7,13532
Barrack Point,45.0,196.0,6.0,18.2,79.4,2.4,10208
Dunmore (NSW),7.0,57.0,0.0,10.9,89.1,0.0,11323
Oak Flats,418.0,1850.0,48.0,18.0,79.9,2.1,13053
Blackbutt (NSW),184.0,959.0,32.0,15.7,81.6,2.7,10391
Warilla,669.0,1648.0,100.0,27.7,68.2,4.1,14151
Lake Illawarra,390.0,912.0,66.0,28.5,66.7,4.8,12250
Barrack Heights,452.0,1649.0,62.0,20.9,76.2,2.9,10207
Mount Warrigal,276.0,1389.0,36.0,16.2,81.7,2.1,12801
Fairy Meadow,582.0,2177.0,68.0,20.6,77.0,2.4,11484
Balgownie,303.0,1672.0,54.0,14.9,82.4,2.7,10155
Gwynneville,142.0,866.0,20.0,13.8,84.2,1.9,11825
North Wollongong,155.0,716.0,25.0,17.3,79.9,2.8,13017
Mount Ousley,82.0,465.0,12.0,14.7,83.2,2.1,12782
Mount Pleasant (NSW),39.0,414.0,9.0,8.4,89.6,1.9,12784
Tarrawanna,164.0,584.0,27.0,21.2,75.4,3.5,13769
Corrimal,523.0,1992.0,70.0,20.2,77.1,2.7,11082
Towradgi,274.0,916.0,40.0,22.3,74.5,3.3,13929
Fernhill,145.0,281.0,14.0,33.0,63.9,3.2,11507
East Corrimal,240.0,1100.0,21.0,17.6,80.8,1.5,11348
Bellambi,375.0,1160.0,43.0,23.8,73.5,2.7,10264
West Wollongong,294.0,1495.0,40.0,16.1,81.7,2.2,14255
Keiraville,147.0,1010.0,36.0,12.3,84.7,3.0,12085
Figtree,571.0,3300.0,98.0,14.4,83.1,2.5,11515
Helensburgh,162.0,1808.0,30.0,8.1,90.4,1.5,11890
Otford,0.0,118.0,3.0,0.0,97.5,2.5,13101
Stanwell Park,25.0,411.0,11.0,5.6,91.9,2.5,13653
Stanwell Tops,9.0,140.0,5.0,5.8,90.9,3.2,13654
Thirroul,235.0,1834.0,39.0,11.1,87.0,1.9,13848
Austinmer,62.0,799.0,14.0,7.1,91.3,1.6,10108
Coledale,34.0,364.0,14.0,8.3,88.3,3.4,10966
Wombarra,28.0,279.0,3.0,9.0,90.0,1.0,14363
Coalcliff,4.0,61.0,0.0,6.2,93.8,0.0,10944
Woonona,663.0,3689.0,99.0,14.9,82.9,2.2,14416
Russell Vale,84.0,450.0,13.0,15.4,82.3,2.4,13448
Wollongong,1253.0,6144.0,338.0,16.2,79.4,4.4,14358
Mount Saint Thomas,100.0,439.0,17.0,18.0,79.0,3.1,12791
Mangerton,151.0,860.0,23.0,14.6,83.2,2.2,12468
Bulahdelah,168.0,375.0,22.0,29.7,66.4,3.9,10649
Wards River,25.0,50.0,3.0,32.1,64.1,3.8,14147
Stroud Road,15.0,66.0,7.0,17.0,75.0,8.0,13679
Stroud,71.0,246.0,13.0,21.5,74.5,3.9,13677
Girvan,20.0,50.0,0.0,28.6,71.4,0.0,11637
Nerong,20.0,32.0,0.0,38.5,61.5,0.0,12929
Allworth,22.0,46.0,3.0,31.0,64.8,4.2,10041
Bunyah,12.0,44.0,0.0,21.4,78.6,0.0,10690
Markwell,15.0,32.0,3.0,30.0,64.0,6.0,12493
Booral (NSW),28.0,109.0,0.0,20.4,79.6,0.0,10496
Limeburners Creek (Mid-Coast - NSW),18.0,88.0,0.0,17.0,83.0,0.0,12328
Forster (NSW),1346.0,4253.0,200.0,23.2,73.3,3.4,11550
Green Point (Mid-Coast - NSW),33.0,175.0,4.0,15.6,82.5,1.9,11755
Darawank,21.0,109.0,9.0,15.1,78.4,6.5,11203
Tarbuck Bay,9.0,66.0,0.0,12.0,88.0,0.0,13762
Nabiac,78.0,356.0,13.0,17.4,79.6,2.9,12885
Failford,39.0,170.0,8.0,18.0,78.3,3.7,11476
Coomba Park,57.0,199.0,4.0,21.9,76.5,1.5,11038
Smiths Lake,50.0,400.0,13.0,10.8,86.4,2.8,13563
Bungwahl,16.0,77.0,0.0,17.2,82.8,0.0,10687
Charlotte Bay,4.0,48.0,3.0,7.3,87.3,5.5,10887
Wootton,17.0,58.0,7.0,20.7,70.7,8.5,14417
Coolongolook,34.0,106.0,5.0,23.4,73.1,3.4,11032
Minimbah,9.0,54.0,0.0,14.3,85.7,0.0,12636
Elizabeth Beach,14.0,69.0,4.0,16.1,79.3,4.6,11396
Blueys Beach,16.0,62.0,0.0,20.5,79.5,0.0,10420
Boomerang Beach,13.0,89.0,3.0,12.4,84.8,2.9,10487
Tuncurry,854.0,1811.0,115.0,30.7,65.1,4.1,13969
South Kempsey,221.0,517.0,45.0,28.2,66.0,5.7,13588
West Kempsey,630.0,1092.0,85.0,34.9,60.4,4.7,14247
Kempsey,77.0,111.0,12.0,38.5,55.5,6.0,12095
Frederickton,105.0,330.0,12.0,23.5,73.8,2.7,11561
Aldavilla,56.0,196.0,7.0,21.6,75.7,2.7,10028
Euroka,13.0,101.0,0.0,11.4,88.6,0.0,11464
Dondingalong,51.0,201.0,7.0,19.7,77.6,2.7,11272
Greenhill (NSW),66.0,140.0,9.0,30.7,65.1,4.2,11763
East Kempsey,136.0,361.0,24.0,26.1,69.3,4.6,11354
Verges Creek,13.0,61.0,3.0,16.9,79.2,3.9,14072
Yarravel,81.0,302.0,6.0,20.8,77.6,1.5,14483
Stuarts Point,101.0,235.0,5.0,29.6,68.9,1.5,13681
Barraganyatti,11.0,34.0,3.0,22.9,70.8,6.2,10209
Yarrahapinni,15.0,64.0,3.0,18.3,78.0,3.7,14474
Hat Head,37.0,95.0,3.0,27.4,70.4,2.2,11869
Kinchela,24.0,74.0,3.0,23.8,73.3,3.0,12140
Gladstone (NSW),46.0,94.0,4.0,31.9,65.3,2.8,11639
Smithtown,62.0,164.0,9.0,26.4,69.8,3.8,13564
Mungay Creek,14.0,31.0,0.0,31.1,68.9,0.0,12841
Willawarrin,21.0,49.0,0.0,30.0,70.0,0.0,14295
Temagog,29.0,71.0,0.0,29.0,71.0,0.0,13783
Turners Flat,4.0,44.0,0.0,8.3,91.7,0.0,13976
Millbank (NSW),19.0,29.0,3.0,37.3,56.9,5.9,12616
Hickeys Creek,8.0,39.0,4.0,15.7,76.5,7.8,11899
Belmore River,27.0,66.0,4.0,27.8,68.0,4.1,10280
Austral Eden,10.0,42.0,0.0,19.2,80.8,0.0,10110
Crescent Head,110.0,463.0,29.0,18.3,76.9,4.8,11114
Fishermans Reach,21.0,48.0,3.0,29.2,66.7,4.2,11524
Clybucca,7.0,39.0,4.0,14.0,78.0,8.0,10940
Bellimbopinni,8.0,26.0,4.0,21.1,68.4,10.5,10272
Collombatti,50.0,154.0,3.0,24.2,74.4,1.4,10979
Kundabung,25.0,161.0,9.0,12.8,82.6,4.6,12209
Bellbrook,30.0,88.0,8.0,23.8,69.8,6.3,10270
Macksville,271.0,671.0,42.0,27.5,68.2,4.3,12430
North Macksville,69.0,162.0,15.0,28.0,65.9,6.1,12995
Way Way,11.0,75.0,3.0,12.4,84.3,3.4,14203
Scotts Head,68.0,282.0,10.0,18.9,78.3,2.8,13508
Gumma,30.0,131.0,5.0,18.1,78.9,3.0,11801
Nambucca Heads,830.0,1860.0,98.0,29.8,66.7,3.5,12887
Hyland Park,26.0,142.0,5.0,15.0,82.1,2.9,11968
Bowraville,111.0,308.0,20.0,25.3,70.2,4.6,10537
Valla Beach,78.0,472.0,19.0,13.7,83.0,3.3,14068
South Arm (Nambucca - NSW),39.0,85.0,5.0,30.2,65.9,3.9,13575
Newee Creek,21.0,114.0,3.0,15.2,82.6,2.2,12952
Congarinni North,18.0,98.0,6.0,14.8,80.3,4.9,11006
Congarinni,16.0,89.0,0.0,15.2,84.8,0.0,11005
Talarm,10.0,71.0,3.0,11.9,84.5,3.6,13728
Warrell Creek,14.0,79.0,3.0,14.6,82.3,3.1,14170
Eungai Creek,19.0,123.0,3.0,13.1,84.8,2.1,11458
Eungai Rail,19.0,49.0,0.0,27.9,72.1,0.0,11459
Allgomera,12.0,37.0,0.0,24.5,75.5,0.0,10040
Yarranbella,14.0,49.0,3.0,21.2,74.2,4.5,14478
Utungun,11.0,48.0,0.0,18.6,81.4,0.0,14062
Upper Taylors Arm,9.0,38.0,3.0,18.0,76.0,6.0,14045
Taylors Arm,14.0,34.0,3.0,27.5,66.7,5.9,13776
Argents Hill,25.0,51.0,7.0,30.1,61.4,8.4,10079
Missabotti,30.0,83.0,6.0,25.2,69.7,5.0,12649
South West Rocks,473.0,1454.0,48.0,23.9,73.6,2.4,13600
Arakoon,24.0,152.0,3.0,13.4,84.9,1.7,10069
Jerseyville,10.0,35.0,0.0,22.2,77.8,0.0,12022
Lord Howe Island,10.0,118.0,9.0,7.3,86.1,6.6,12387
Lake Cathie,193.0,1086.0,36.0,14.7,82.6,2.7,12243
Bonny Hills,123.0,965.0,28.0,11.0,86.5,2.5,10470
North Haven (NSW),244.0,492.0,35.0,31.6,63.8,4.5,12992
Kendall,65.0,309.0,15.0,16.7,79.4,3.9,12096
West Haven,120.0,351.0,17.0,24.6,71.9,3.5,14245
Laurieton,336.0,612.0,51.0,33.6,61.3,5.1,12283
Kew (NSW),48.0,328.0,8.0,12.5,85.4,2.1,12109
Herons Creek,14.0,62.0,3.0,17.7,78.5,3.8,11897
Logans Crossing,7.0,41.0,0.0,14.6,85.4,0.0,12373
Lorne (NSW),15.0,75.0,4.0,16.0,79.8,4.3,12390
Lakewood,110.0,374.0,7.0,22.4,76.2,1.4,12259
Dunbogan,100.0,330.0,12.0,22.6,74.7,2.7,11310
Johns River,17.0,92.0,0.0,15.6,84.4,0.0,12037
Camden Head,12.0,53.0,0.0,18.5,81.5,0.0,10771
Port Macquarie,3279.0,14273.0,532.0,18.1,78.9,2.9,13246
Lake Innes,17.0,116.0,0.0,12.8,87.2,0.0,12251
Fernbank Creek,5.0,36.0,0.0,12.2,87.8,0.0,11505
Riverside (NSW),15.0,93.0,5.0,13.3,82.3,4.4,13367
Thrumster,13.0,118.0,0.0,9.9,90.1,0.0,13852
North Shore (NSW),22.0,104.0,6.0,16.7,78.8,4.5,13006
Telegraph Point,36.0,169.0,8.0,16.9,79.3,3.8,13781
Blackmans Point,19.0,39.0,3.0,31.1,63.9,4.9,10395
Gum Scrub,3.0,34.0,3.0,7.5,85.0,7.5,11797
Cooperabung,8.0,81.0,0.0,9.0,91.0,0.0,11046
Rollands Plains,9.0,40.0,0.0,18.4,81.6,0.0,13392
Pembrooke,10.0,31.0,0.0,24.4,75.6,0.0,13180
Frazers Creek,11.0,56.0,3.0,15.7,80.0,4.3,11560
Mortons Creek,10.0,84.0,0.0,10.6,89.4,0.0,12731
Long Flat (NSW),12.0,33.0,0.0,26.7,73.3,0.0,12377
Byabarra,17.0,82.0,3.0,16.7,80.4,2.9,10727
Ellenborough,12.0,42.0,4.0,20.7,72.4,6.9,11401
Comboyne,35.0,140.0,3.0,19.7,78.7,1.7,10992
Wauchope,629.0,1678.0,66.0,26.5,70.7,2.8,14197
Yippin Creek,12.0,60.0,3.0,16.0,80.0,4.0,14515
Rosewood (Port Macquarie-Hastings - NSW),10.0,67.0,0.0,13.0,87.0,0.0,13414
Beechwood,50.0,163.0,3.0,23.1,75.5,1.4,10248
Redbank (NSW),14.0,110.0,0.0,11.3,88.7,0.0,13336
Crosslands,19.0,167.0,0.0,10.2,89.8,0.0,11127
King Creek,35.0,456.0,8.0,7.0,91.4,1.6,12145
Sancrox,14.0,177.0,0.0,7.3,92.7,0.0,13471
Gloucester,368.0,840.0,43.0,29.4,67.1,3.4,11685
Stratford (NSW),13.0,45.0,0.0,22.4,77.6,0.0,13672
Forbesdale,10.0,45.0,0.0,18.2,81.8,0.0,11539
Barrington (NSW),27.0,109.0,10.0,18.5,74.7,6.8,10216
Diamond Beach,33.0,300.0,7.0,9.7,88.2,2.1,11251
Manning Point,36.0,67.0,9.0,32.1,59.8,8.0,12478
Mitchells Island,33.0,136.0,0.0,19.5,80.5,0.0,12652
Oxley Island,20.0,84.0,0.0,19.2,80.8,0.0,13109
Old Bar,352.0,1384.0,53.0,19.7,77.4,3.0,13073
Black Head,52.0,321.0,6.0,13.7,84.7,1.6,10384
Red Head,20.0,185.0,5.0,9.5,88.1,2.4,13329
Rainbow Flat,32.0,205.0,0.0,13.5,86.5,0.0,13305
Hallidays Point,23.0,167.0,3.0,11.9,86.5,1.6,11832
Wallabi Point,21.0,227.0,6.0,8.3,89.4,2.4,14099
Tallwoods Village,19.0,248.0,0.0,7.1,92.9,0.0,13737
Taree,1751.0,4486.0,238.0,27.0,69.3,3.7,13764
Cundletown,124.0,583.0,30.0,16.8,79.1,4.1,11161
Taree South,23.0,104.0,6.0,17.3,78.2,4.5,13765
Pampoolah,20.0,120.0,7.0,13.6,81.6,4.8,13142
Tinonee,53.0,343.0,13.0,13.0,83.9,3.2,13876
Harrington,306.0,1005.0,43.0,22.6,74.2,3.2,11858
Wherrol Flat,25.0,92.0,3.0,20.8,76.7,2.5,14271
Coopernook,59.0,147.0,5.0,28.0,69.7,2.4,11047
Moto,7.0,33.0,6.0,15.2,71.7,13.0,12742
Moorland (NSW),43.0,146.0,10.0,21.6,73.4,5.0,12714
Hannam Vale,11.0,64.0,0.0,14.7,85.3,0.0,11849
Stewarts River,8.0,37.0,0.0,17.8,82.2,0.0,13659
Upper Lansdowne,43.0,158.0,4.0,21.0,77.1,2.0,14033
Lansdowne (Mid-Coast - NSW),42.0,163.0,4.0,20.1,78.0,1.9,12273
Kundle Kundle,9.0,50.0,0.0,15.3,84.7,0.0,12211
Killabakh,17.0,75.0,0.0,18.5,81.5,0.0,12128
Cedar Party,34.0,99.0,0.0,25.6,74.4,0.0,10870
Elands,29.0,58.0,3.0,32.2,64.4,3.3,11388
Bobin,11.0,40.0,3.0,20.4,74.1,5.6,10427
Mount George (NSW),29.0,73.0,6.0,26.9,67.6,5.6,12761
Burrell Creek,18.0,67.0,3.0,20.5,76.1,3.4,10709
Mondrook,11.0,53.0,0.0,17.2,82.8,0.0,12676
Hillville,15.0,85.0,0.0,15.0,85.0,0.0,11913
Kimbriki,7.0,44.0,0.0,13.7,86.3,0.0,12139
Belbora,15.0,34.0,0.0,30.6,69.4,0.0,10256
Krambach,39.0,113.0,3.0,25.2,72.9,1.9,12202
Dyers Crossing,33.0,102.0,0.0,24.4,75.6,0.0,11338
Firefly,20.0,84.0,5.0,18.3,77.1,4.6,11521
Coralville,4.0,34.0,5.0,9.3,79.1,11.6,11064
Wingham,557.0,1439.0,54.0,27.2,70.2,2.6,14332
Thurgoona,204.0,2508.0,50.0,7.4,90.8,1.8,13856
East Albury,364.0,2009.0,63.0,14.9,82.5,2.6,11344
Wirlinga,4.0,38.0,0.0,9.5,90.5,0.0,14337
North Albury,610.0,1681.0,97.0,25.5,70.4,4.1,12977
Lavington,1232.0,3712.0,154.0,24.2,72.8,3.0,12287
Glenroy (Albury - NSW),143.0,1005.0,27.0,12.2,85.5,2.3,11678
Hamilton Valley,20.0,167.0,3.0,10.5,87.9,1.6,11842
Albury,308.0,1610.0,47.0,15.7,81.9,2.4,10027
South Albury,165.0,446.0,26.0,25.9,70.0,4.1,13573
West Albury,254.0,1170.0,47.0,17.3,79.5,3.2,14239
Splitters Creek,0.0,91.0,0.0,0.0,100.0,0.0,13610
Jindera,64.0,617.0,14.0,9.2,88.8,2.0,12032
Holbrook,183.0,445.0,24.0,28.1,68.3,3.7,11920
Table Top,27.0,391.0,12.0,6.3,90.9,2.8,13722
Gerogery,38.0,150.0,8.0,19.4,76.5,4.1,11605
Brocklesby,18.0,43.0,3.0,28.1,67.2,4.7,10584
Walla Walla,75.0,212.0,8.0,25.4,71.9,2.7,14097
Glenellen,3.0,42.0,0.0,6.7,93.3,0.0,11663
Burrumbuttock,23.0,100.0,8.0,17.6,76.3,6.1,10716
Walbundrie,14.0,45.0,0.0,23.7,76.3,0.0,14092
Morven (Greater Hume Shire - NSW),4.0,42.0,3.0,8.2,85.7,6.1,12737
Culcairn,123.0,396.0,14.0,23.1,74.3,2.6,11147
Henty (NSW),124.0,330.0,23.0,26.0,69.2,4.8,11892
Bungowannah,12.0,43.0,0.0,21.8,78.2,0.0,10686
Woomargama,20.0,47.0,0.0,29.9,70.1,0.0,14413
Springdale Heights,176.0,600.0,16.0,22.2,75.8,2.0,13622
Hay (NSW),295.0,556.0,39.0,33.1,62.5,4.4,11874
Hay South,38.0,97.0,12.0,25.9,66.0,8.2,11875
Gol Gol,71.0,436.0,12.0,13.7,84.0,2.3,11693
Buronga,86.0,327.0,11.0,20.3,77.1,2.6,10696
Wentworth (NSW),189.0,367.0,24.0,32.6,63.3,4.1,14225
Coomealla,67.0,180.0,14.0,25.7,69.0,5.4,11041
Dareton,69.0,111.0,7.0,36.9,59.4,3.7,11206
Curlwaa,24.0,105.0,10.0,17.3,75.5,7.2,11170
Euston,66.0,183.0,9.0,25.6,70.9,3.5,11468
Tooleybuc,25.0,66.0,3.0,26.6,70.2,3.2,13902
Balranald,157.0,329.0,22.0,30.9,64.8,4.3,10168
Corowa,529.0,1610.0,89.0,23.7,72.3,4.0,11080
Mulwala,215.0,625.0,30.0,24.7,71.8,3.4,12830
Balldale,15.0,44.0,0.0,25.4,74.6,0.0,10159
Rand,23.0,59.0,4.0,26.7,68.6,4.7,13311
Oaklands,41.0,93.0,3.0,29.9,67.9,2.2,13059
Howlong,225.0,793.0,30.0,21.5,75.7,2.9,11950
Urana,43.0,89.0,3.0,31.9,65.9,2.2,14052
Deniliquin,766.0,2177.0,100.0,25.2,71.5,3.3,11237
Mayrung,10.0,41.0,4.0,18.2,74.5,7.3,12537
Mathoura,125.0,271.0,18.0,30.2,65.5,4.3,12522
Barham,203.0,417.0,19.0,31.8,65.3,3.0,10199
Wakool,37.0,88.0,9.0,27.6,65.7,6.7,14090
Moulamein,64.0,119.0,6.0,33.9,63.0,3.2,12743
Koraleigh,36.0,75.0,3.0,31.6,65.8,2.6,12195
Conargo,13.0,34.0,0.0,27.7,72.3,0.0,10998
Murray Downs,3.0,72.0,4.0,3.8,91.1,5.1,12852
Moama,465.0,1794.0,63.0,20.0,77.3,2.7,12654
Barooga,121.0,518.0,27.0,18.2,77.8,4.1,10205
Tocumwal,249.0,794.0,43.0,22.9,73.1,4.0,13886
Finley,251.0,689.0,35.0,25.7,70.7,3.6,11520
Berrigan,123.0,352.0,19.0,24.9,71.3,3.8,10318
Jerilderie,109.0,271.0,15.0,27.6,68.6,3.8,12014
Armidale,1307.0,6562.0,217.0,16.2,81.2,2.7,10085
Guyra,243.0,475.0,18.0,33.0,64.5,2.4,11822
South Guyra,38.0,80.0,0.0,32.2,67.8,0.0,13586
Llangothlin,19.0,28.0,0.0,40.4,59.6,0.0,12364
Black Mountain (NSW),14.0,86.0,0.0,14.0,86.0,0.0,10387
Thalgarrah,18.0,51.0,0.0,26.1,73.9,0.0,13810
Hillgrove (Armidale Regional - NSW),25.0,43.0,3.0,35.2,60.6,4.2,11907
Ebor,16.0,49.0,4.0,23.2,71.0,5.8,11372
Uralla (NSW),274.0,780.0,38.0,25.1,71.4,3.5,14051
Saumarez Ponds,14.0,121.0,3.0,10.1,87.7,2.2,13495
Invergowrie,24.0,243.0,5.0,8.8,89.3,1.8,11983
Arding,12.0,63.0,0.0,16.0,84.0,0.0,10075
Castle Doyle,3.0,49.0,3.0,5.5,89.1,5.5,10846
Kellys Plains,3.0,60.0,0.0,4.8,95.2,0.0,12087
Yarrowyck,7.0,40.0,0.0,14.9,85.1,0.0,14492
Kentucky,12.0,48.0,4.0,18.8,75.0,6.2,12102
Kentucky South,16.0,34.0,0.0,32.0,68.0,0.0,12103
Balala,9.0,29.0,3.0,22.0,70.7,7.3,10144
Rocky River (Uralla - NSW),20.0,84.0,3.0,18.7,78.5,2.8,13390
Walcha,270.0,669.0,36.0,27.7,68.6,3.7,14093
Woolbrook,14.0,44.0,0.0,24.1,75.9,0.0,14400
Yarrowitch,25.0,39.0,6.0,35.7,55.7,8.6,14491
Stonehenge (NSW),4.0,43.0,0.0,8.5,91.5,0.0,13665
Glen Innes,711.0,1636.0,96.0,29.1,67.0,3.9,11649
Emmaville,80.0,139.0,10.0,34.9,60.7,4.4,11414
Deepwater (NSW),53.0,131.0,12.0,27.0,66.8,6.1,11231
Red Range,24.0,44.0,3.0,33.8,62.0,4.2,13333
Inverell,1196.0,3099.0,170.0,26.8,69.4,3.8,11981
Ashford (NSW),92.0,154.0,16.0,35.1,58.8,6.1,10099
Tingha,102.0,174.0,10.0,35.7,60.8,3.5,13874
Yetman,23.0,51.0,3.0,29.9,66.2,3.9,14514
Bundarra,72.0,168.0,12.0,28.6,66.7,4.8,10671
Gilgai,58.0,171.0,5.0,24.8,73.1,2.1,11618
Bukkulla,10.0,40.0,0.0,20.0,80.0,0.0,10648
Oakwood (NSW),13.0,46.0,3.0,21.0,74.2,4.8,13061
Nullamanna,15.0,32.0,4.0,29.4,62.7,7.8,13032
Elsmore,48.0,37.0,6.0,52.7,40.7,6.6,11408
Bingara,252.0,323.0,28.0,41.8,53.6,4.6,10365
Gravesend,22.0,89.0,5.0,19.0,76.7,4.3,11742
Auburn Vale,4.0,33.0,3.0,10.0,82.5,7.5,10107
Gum Flat,12.0,53.0,3.0,17.6,77.9,4.4,11796
Delungra,66.0,153.0,6.0,29.3,68.0,2.7,11234
Warialda,192.0,391.0,31.0,31.3,63.7,5.0,14149
Yallaroi,4.0,29.0,0.0,12.1,87.9,0.0,14456
Warialda Rail,17.0,28.0,0.0,37.8,62.2,0.0,14150
Upper Horton,19.0,34.0,3.0,33.9,60.7,5.4,14029
Tabulam,71.0,108.0,8.0,38.0,57.8,4.3,13723
Tenterfield,450.0,1143.0,57.0,27.3,69.3,3.5,13792
Drake,45.0,94.0,3.0,31.7,66.2,2.1,11290
Legume,22.0,40.0,3.0,33.8,61.5,4.6,12296
Urbenville,50.0,64.0,4.0,42.4,54.2,3.4,14057
Woodenbong,45.0,110.0,7.0,27.8,67.9,4.3,14382
Jennings,17.0,44.0,3.0,26.6,68.8,4.7,12008
Moree,889.0,2211.0,179.0,27.1,67.4,5.5,12722
Pallamallawa,55.0,95.0,7.0,35.0,60.5,4.5,13131
Garah,33.0,63.0,10.0,31.1,59.4,9.4,11586
Boomi,21.0,45.0,5.0,29.6,63.4,7.0,10489
Ashley,31.0,87.0,8.0,24.6,69.0,6.3,10100
Boggabilla,125.0,149.0,9.0,44.2,52.7,3.2,10441
North Star,21.0,52.0,7.0,26.2,65.0,8.8,13008
Mungindi (NSW),67.0,137.0,17.0,30.3,62.0,7.7,12843
Gurley,17.0,59.0,3.0,21.5,74.7,3.8,11817
Biniguy,12.0,25.0,0.0,32.4,67.6,0.0,10369
Bellata,39.0,79.0,8.0,31.0,62.7,6.3,10266
Narrabri,673.0,1953.0,96.0,24.7,71.7,3.5,12903
Wee Waa,219.0,466.0,30.0,30.6,65.2,4.2,14211
Merah North,7.0,47.0,0.0,13.0,87.0,0.0,12572
Tarriaro,8.0,29.0,3.0,20.0,72.5,7.5,13770
Bohena Creek,8.0,40.0,0.0,16.7,83.3,0.0,10444
Jacks Creek,13.0,31.0,0.0,29.5,70.5,0.0,11993
Gwabegar,26.0,28.0,5.0,44.1,47.5,8.5,11823
Gunnedah,979.0,2537.0,118.0,26.9,69.8,3.2,11812
Curlewis (NSW),62.0,212.0,7.0,22.1,75.4,2.5,11169
Boggabri,134.0,279.0,12.0,31.5,65.6,2.8,10442
Carroll,24.0,73.0,9.0,22.6,68.9,8.5,10832
