,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Campbelltown (NSW),1006.0,3526.0,163.0,21.4,75.1,3.5,10780
Leumeah,559.0,2783.0,101.0,16.2,80.8,2.9,12308
Blair Athol (NSW),47.0,699.0,18.0,6.2,91.5,2.4,10400
Raby,168.0,1673.0,36.0,9.0,89.1,1.9,13303
Eagle Vale,233.0,1507.0,30.0,13.2,85.1,1.7,11341
Eschol Park,98.0,741.0,19.0,11.4,86.4,2.2,11441
Blairmount,16.0,95.0,6.0,13.7,81.2,5.1,10401
Kearns,71.0,742.0,18.0,8.5,89.3,2.2,12079
Claymore,208.0,382.0,22.0,34.0,62.4,3.6,10924
Holsworthy,68.0,1336.0,23.0,4.8,93.6,1.6,11926
Ingleburn,782.0,4072.0,135.0,15.7,81.6,2.7,11978
Macquarie Links,18.0,355.0,7.0,4.7,93.4,1.8,12435
Denham Court,48.0,498.0,14.0,8.6,88.9,2.5,11235
Bardia,26.0,419.0,19.0,5.6,90.3,4.1,10194
Edmondson Park,40.0,531.0,7.0,6.9,91.9,1.2,11383
Ruse,203.0,1613.0,45.0,10.9,86.7,2.4,13443
Kentlyn,30.0,173.0,6.0,14.4,82.8,2.9,12101
Minto Heights,12.0,83.0,8.0,11.7,80.6,7.8,12643
Macquarie Fields,827.0,3412.0,153.0,18.8,77.7,3.5,12433
Glenfield (NSW),318.0,2515.0,70.0,11.0,86.6,2.4,11664
Long Point (Campbelltown - NSW),9.0,47.0,3.0,15.3,79.7,5.1,12381
St Andrews (NSW),199.0,1536.0,40.0,11.2,86.5,2.3,13631
Bow Bowing,44.0,438.0,12.0,8.9,88.7,2.4,10526
Minto,570.0,3142.0,113.0,14.9,82.1,3.0,12642
Rosemeadow,354.0,1988.0,66.0,14.7,82.6,2.7,13410
Ambarvale,375.0,1849.0,82.0,16.3,80.2,3.6,10049
Menangle Park,14.0,70.0,0.0,16.7,83.3,0.0,12569
Gilead,11.0,117.0,0.0,8.6,91.4,0.0,11617
Glen Alpine,62.0,1229.0,14.0,4.8,94.2,1.1,11645
Englorie Park,15.0,125.0,4.0,10.4,86.8,2.8,11423
Yanderra,24.0,172.0,6.0,11.9,85.1,3.0,14461
Douglas Park,37.0,378.0,17.0,8.6,87.5,3.9,11283
Razorback,22.0,276.0,11.0,7.1,89.3,3.6,13328
Appin (NSW),76.0,695.0,16.0,9.7,88.3,2.0,10063
