,Separate house,"Semi-detached, row or terrace house, townhouse etc",Flat or apartment,Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)",Flat or apartment (%),Other dwelling (%),SSC_CODE
Swansea Heads,185.0,12.0,0.0,0.0,93.9,6.1,0.0,0.0,13712
Cams Wharf,23.0,33.0,0.0,0.0,41.1,58.9,0.0,0.0,10784
Valentine,1744.0,218.0,9.0,0.0,88.3,11.0,0.5,0.0,14065
Croudace Bay,184.0,8.0,0.0,0.0,95.8,4.2,0.0,0.0,11128
Speers Point,1034.0,204.0,38.0,0.0,81.0,16.0,3.0,0.0,13605
Lakelands (NSW),448.0,32.0,0.0,0.0,92.8,6.6,0.0,0.0,12256
Boolaroo,389.0,8.0,9.0,0.0,95.8,2.0,2.2,0.0,10482
Booragul,399.0,25.0,43.0,0.0,84.9,5.3,9.1,0.0,10495
Fennell Bay,568.0,25.0,31.0,0.0,91.0,4.0,5.0,0.0,11500
Marmong Point,249.0,22.0,3.0,5.0,89.2,7.9,1.1,1.8,12498
Woodrising,375.0,3.0,0.0,0.0,99.2,0.8,0.0,0.0,14391
Bolton Point,644.0,56.0,43.0,0.0,86.7,7.5,5.8,0.0,10449
Teralba,466.0,54.0,12.0,45.0,80.8,9.4,2.1,7.8,13793
Fassifern (NSW),191.0,28.0,6.0,0.0,84.9,12.4,2.7,0.0,11495
Balcolyn,346.0,0.0,10.0,0.0,97.2,0.0,2.8,0.0,10145
Mirrabooka (NSW),266.0,3.0,3.0,0.0,97.8,1.1,1.1,0.0,12647
Sunshine (NSW),165.0,3.0,3.0,0.0,96.5,1.8,1.8,0.0,13694
Silverwater (Lake Macquarie - NSW),99.0,3.0,0.0,0.0,97.1,2.9,0.0,0.0,13546
Bonnells Bay,1310.0,18.0,0.0,0.0,98.6,1.4,0.0,0.0,10468
Brightwaters,322.0,0.0,3.0,0.0,99.1,0.0,0.9,0.0,10570
Morisset Park,228.0,12.0,0.0,0.0,95.0,5.0,0.0,0.0,12724
Windermere Park,265.0,3.0,0.0,0.0,98.9,1.1,0.0,0.0,14321
Edgeworth,2075.0,237.0,36.0,0.0,88.4,10.1,1.5,0.0,11381
Cameron Park,2324.0,33.0,0.0,0.0,98.5,1.4,0.0,0.0,10775
