,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
Windale,756.0,312.0,23.0,65.5,27.0,2.0
Windang,660.0,369.0,17.0,59.8,33.5,1.5
Winmalee,1739.0,305.0,30.0,82.0,14.4,1.4
Winston Hills,2523.0,369.0,50.0,84.1,12.3,1.7
Wollongong,2887.0,2548.0,667.0,43.6,38.5,10.1
Wollstonecraft,1841.0,1344.0,407.0,47.4,34.6,10.5
Wombarra,211.0,55.0,16.0,69.9,18.2,5.3
Woodbine,713.0,62.0,19.0,87.8,7.6,2.3
Woodcroft,1220.0,88.0,19.0,89.8,6.5,1.4
Woodpark,355.0,48.0,12.0,84.3,11.4,2.9
Woodrising,408.0,54.0,10.0,85.0,11.3,2.1
Woollahra,1567.0,951.0,245.0,47.2,28.7,7.4
Woolloomooloo,598.0,595.0,99.0,37.8,37.6,6.3
Woolooware,1949.0,514.0,46.0,75.6,19.9,1.8
Woolwich,221.0,68.0,3.0,70.6,21.7,1.0
Woonona,2650.0,873.0,62.0,72.4,23.9,1.7
Woronora,501.0,57.0,14.0,85.3,9.7,2.4
Woronora Heights,769.0,27.0,3.0,96.0,3.4,0.4
Woy Woy,2572.0,1469.0,133.0,59.9,34.2,3.1
Woy Woy Bay,138.0,44.0,6.0,68.3,21.8,3.0
Wyoming,2413.0,685.0,63.0,74.1,21.0,1.9
Wyong,845.0,425.0,40.0,62.8,31.6,3.0
Wyongah,487.0,114.0,8.0,78.0,18.3,1.3
Yagoona,3593.0,854.0,83.0,76.9,18.3,1.8
Yarrawarrah,398.0,18.0,0.0,94.3,4.3,0.0
Yattalunga,140.0,41.0,4.0,74.1,21.7,2.1
Yennora,292.0,132.0,6.0,65.0,29.4,1.3
Yowie Bay,1023.0,170.0,13.0,83.1,13.8,1.1
Zetland,137.0,60.0,20.0,55.5,24.3,8.1
