,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
The Lagoon,1517.0,--,--,--,90.8,9.2,13828
Wisemans Creek,1300.0,--,--,--,90.2,9.8,14343
Yetholme,1400.0,--,--,--,95.9,4.1,14513
Meadow Flat,1720.0,--,--,--,95.7,4.3,12549
Tarana,1582.0,--,--,--,100.0,0.0,13760
Glanmire (NSW),1810.0,--,--,--,92.2,7.8,11640
Napoleon Reef,1509.0,--,--,--,94.1,5.9,12893
Oberon,1408.0,--,--,--,95.4,4.6,13068
Black Springs (NSW),1343.0,--,--,--,100.0,0.0,10389
Condobolin,997.0,--,--,--,97.6,2.4,11002
Tullamore,560.0,--,--,--,97.8,2.2,13954
Lake Cargelligo,867.0,--,--,--,96.8,3.2,12242
Tullibigeal,800.0,--,--,--,96.3,3.7,13957
Ungarie,542.0,--,--,--,98.5,1.5,14011
Euabalong,391.0,--,--,--,100.0,0.0,11449
Fifield,810.0,--,--,--,100.0,0.0,11514
Tottenham (NSW),655.0,--,--,--,98.0,2.0,13923
Cowra,1200.0,--,--,--,95.5,4.5,11099
Canowindra,1083.0,--,--,--,95.2,4.8,10796
Woodstock (Cowra - NSW),867.0,--,--,--,93.8,6.2,14394
Gooloogong,975.0,--,--,--,93.9,6.1,11709
Mandurama,1263.0,--,--,--,97.0,3.0,12467
Wattamondara,910.0,--,--,--,96.3,3.7,14190
Darbys Falls,1083.0,--,--,--,95.1,4.9,11205
Billimari,780.0,--,--,--,90.9,9.1,10354
Moorbel,1200.0,--,--,--,95.8,4.2,12709
Forbes (NSW),1164.0,--,--,--,95.5,4.5,11536
Eugowra,1083.0,--,--,--,94.7,5.3,11454
Bedgerabong,715.0,--,--,--,100.0,0.0,10247
Grenfell,975.0,--,--,--,96.8,3.2,11776
Greenethorpe,600.0,--,--,--,95.8,4.2,11760
Quandialla,433.0,--,--,--,100.0,0.0,13290
Parkes (NSW),1300.0,--,--,--,96.5,3.5,13151
Peak Hill (NSW),769.0,--,--,--,97.1,2.9,13166
Trundle,726.0,--,--,--,97.9,2.1,13940
Bogan Gate,815.0,--,--,--,96.1,3.9,10438
Alectown,1430.0,--,--,--,95.3,4.7,10029
West Wyalong,1082.0,--,--,--,97.0,3.0,14256
Wyalong,1083.0,--,--,--,97.0,3.0,14431
Weethalle,845.0,--,--,--,100.0,0.0,14215
Tallimba,0.0,--,--,--,100.0,0.0,13732
Barellan,693.0,--,--,--,97.2,2.8,10197
Ardlethan,607.0,--,--,--,96.4,3.6,10076
Ariah Park,650.0,--,--,--,100.0,0.0,10081
Barmedman,650.0,--,--,--,94.6,5.4,10202
Beckom,560.0,--,--,--,92.1,7.9,10244
South Bowenfels,2000.0,--,--,--,94.9,5.1,13578
Marrangaroo,1985.0,--,--,--,93.7,6.3,12502
Lithgow,1300.0,--,--,--,96.7,3.3,12347
Bowenfels,1375.0,--,--,--,96.8,3.2,10529
Rydal,1300.0,--,--,--,93.1,6.9,13452
Pottery Estate,1129.0,--,--,--,100.0,0.0,13254
Oakey Park,1083.0,--,--,--,94.6,5.4,13055
Morts Estate,1203.0,--,--,--,92.0,8.0,12732
Hermitage Flat,945.0,--,--,--,95.1,4.9,11895
McKellars Park,1610.0,--,--,--,100.0,0.0,12544
Littleton,1300.0,--,--,--,97.1,2.9,12360
Vale Of Clwydd,1268.0,--,--,--,94.8,5.2,14064
Portland (NSW),1200.0,--,--,--,95.1,4.9,13250
