,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
East Hills,1247.0,141.0,1111.0,49.9,5.6,44.5
East Killara,1324.0,56.0,837.0,59.7,2.5,37.8
East Lindfield,1583.0,93.0,815.0,63.5,3.7,32.7
East Ryde,1061.0,79.0,562.0,62.3,4.6,33.0
Eastern Creek,255.0,52.0,264.0,44.7,9.1,46.2
Eastlakes,2438.0,229.0,2473.0,47.4,4.5,48.1
Eastwood (NSW),6599.0,458.0,5692.0,51.8,3.6,44.6
Edensor Park,3962.0,163.0,3237.0,53.8,2.2,44.0
Edgecliff,470.0,262.0,806.0,30.6,17.0,52.4
Edgeworth,2250.0,473.0,1894.0,48.7,10.2,41.0
Elanora Heights,1712.0,149.0,890.0,62.2,5.4,32.4
Elderslie (Camden - NSW),1740.0,261.0,1098.0,56.1,8.4,35.4
Eleebana,2631.0,232.0,1301.0,63.2,5.6,31.2
Elermore Vale,2091.0,268.0,1475.0,54.5,7.0,38.5
Elizabeth Bay,769.0,955.0,2272.0,19.2,23.9,56.9
Emerton,566.0,104.0,921.0,35.6,6.5,57.9
Empire Bay,881.0,159.0,604.0,53.6,9.7,36.7
Emu Heights (NSW),1322.0,203.0,921.0,54.0,8.3,37.7
Emu Plains,3203.0,473.0,2211.0,54.4,8.0,37.6
Enfield (NSW),1036.0,83.0,965.0,49.7,4.0,46.3
Engadine,7461.0,808.0,4016.0,60.7,6.6,32.7
Enmore (Marrickville - NSW),733.0,522.0,1395.0,27.7,19.7,52.6
Epping (NSW),8835.0,590.0,6704.0,54.8,3.7,41.6
Erina,1766.0,153.0,1451.0,52.4,4.5,43.1
Ermington,3582.0,370.0,3086.0,50.9,5.3,43.8
Erskine Park,2655.0,336.0,1910.0,54.2,6.9,39.0
Erskineville,1471.0,1534.0,2685.0,25.9,27.0,47.2
Eschol Park,936.0,176.0,787.0,49.3,9.3,41.4
Ettalong Beach,1290.0,363.0,1856.0,36.8,10.3,52.9
Fairfield (NSW),6111.0,339.0,6425.0,47.5,2.6,49.9
Fairfield East,1677.0,149.0,1810.0,46.1,4.1,49.8
Fairfield Heights,2312.0,161.0,2536.0,46.2,3.2,50.6
Fairfield West,4122.0,288.0,3660.0,51.1,3.6,45.4
Fairlight,2011.0,579.0,1556.0,48.5,14.0,37.5
Fairy Meadow,2207.0,412.0,2521.0,42.9,8.0,49.0
Farmborough Heights,1796.0,220.0,994.0,59.7,7.3,33.0
Faulconbridge,1607.0,278.0,1094.0,53.9,9.3,36.7
Fennell Bay,574.0,95.0,480.0,50.0,8.3,41.8
Figtree,4572.0,450.0,2729.0,59.0,5.8,35.2
Five Dock,3366.0,587.0,2794.0,49.9,8.7,41.4
Fletcher (NSW),1203.0,135.0,497.0,65.6,7.4,27.1
Flinders (NSW),2178.0,254.0,1190.0,60.1,7.0,32.9
Floraville,655.0,70.0,397.0,58.4,6.2,35.4
Forest Lodge,634.0,369.0,1164.0,29.3,17.0,53.7
Forestville (NSW),3379.0,261.0,2010.0,59.8,4.6,35.6
Forresters Beach,1016.0,162.0,653.0,55.5,8.8,35.7
Frenchs Forest,6073.0,454.0,3051.0,63.4,4.7,31.9
Garden Suburb,832.0,99.0,502.0,58.1,6.9,35.0
Gateshead,1018.0,286.0,1288.0,39.3,11.0,49.7
Georges Hall,3626.0,188.0,2368.0,58.7,3.0,38.3
