,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
North Tamworth,1133.0,733.0,81.0,58.2,37.6,4.2,13011
Tamworth,27.0,39.0,5.0,38.0,54.9,7.0,13746
East Tamworth,1373.0,627.0,61.0,66.6,30.4,3.0,11363
Oxley Vale,924.0,297.0,36.0,73.5,23.6,2.9,13111
Nemingha,183.0,66.0,10.0,70.7,25.5,3.9,12926
Westdale (Tamworth Regional - NSW),670.0,135.0,26.0,80.6,16.2,3.1,14259
Kootingal,598.0,182.0,28.0,74.0,22.5,3.5,12194
Duri,131.0,45.0,5.0,72.4,24.9,2.8,11332
Bithramere,48.0,12.0,3.0,76.2,19.0,4.8,10381
Winton (NSW),54.0,20.0,3.0,70.1,26.0,3.9,14336
Somerton (NSW),62.0,28.0,0.0,68.9,31.1,0.0,13572
Bective,52.0,11.0,0.0,82.5,17.5,0.0,10245
Attunga,167.0,37.0,3.0,80.7,17.9,1.4,10105
Tintinhull,110.0,31.0,0.0,78.0,22.0,0.0,13879
Loomberah,145.0,24.0,0.0,85.8,14.2,0.0,12386
Moonbi,278.0,112.0,8.0,69.8,28.1,2.0,12699
Bendemeer,123.0,67.0,3.0,63.7,34.7,1.6,10289
Watsons Creek (NSW),25.0,21.0,0.0,54.3,45.7,0.0,14188
Halls Creek (NSW),33.0,8.0,3.0,75.0,18.2,6.8,11834
Barraba,339.0,251.0,19.0,55.7,41.2,3.1,10206
Upper Manilla,36.0,15.0,0.0,70.6,29.4,0.0,14037
Manilla,622.0,333.0,17.0,64.0,34.3,1.7,12474
Daruka,221.0,27.0,8.0,86.3,10.5,3.1,11218
Moore Creek,626.0,63.0,3.0,90.5,9.1,0.4,12710
Hallsville,155.0,29.0,3.0,82.9,15.5,1.6,11835
Nundle,117.0,81.0,9.0,56.5,39.1,4.3,13043
Ogunbil,49.0,13.0,0.0,79.0,21.0,0.0,13071
Dungowan,108.0,24.0,0.0,81.8,18.2,0.0,11321
Piallamore,75.0,11.0,0.0,87.2,12.8,0.0,13195
Woolomin,76.0,23.0,3.0,74.5,22.5,2.9,14408
Warral,109.0,28.0,7.0,75.7,19.4,4.9,14163
Timbumburi,43.0,4.0,0.0,91.5,8.5,0.0,13870
Windale,800.0,500.0,43.0,59.6,37.2,3.2,14315
Jewells,718.0,147.0,17.0,81.4,16.7,1.9,12024
Belmont North,1735.0,459.0,31.0,78.0,20.6,1.4,10277
Belmont (NSW),1908.0,953.0,82.0,64.8,32.4,2.8,10276
Floraville,517.0,91.0,7.0,84.1,14.8,1.1,11535
Blacksmiths,507.0,241.0,18.0,66.2,31.5,2.3,10396
Pelican (NSW),249.0,89.0,5.0,72.6,25.9,1.5,13178
Marks Point,498.0,294.0,23.0,61.1,36.1,2.8,12492
Belmont South,295.0,115.0,7.0,70.7,27.6,1.7,10278
Kahibah,674.0,293.0,12.0,68.8,29.9,1.2,12048
Charlestown (NSW),3581.0,1224.0,179.0,71.8,24.6,3.6,10885
Whitebridge,732.0,193.0,23.0,77.2,20.4,2.4,14276
Gateshead,792.0,319.0,31.0,69.4,27.9,2.7,11594
Dudley,662.0,162.0,13.0,79.1,19.4,1.6,11300
Highfields (NSW),226.0,80.0,14.0,70.6,25.0,4.4,11902
Garden Suburb,516.0,87.0,11.0,84.0,14.2,1.8,11587
Cardiff (NSW),1562.0,601.0,77.0,69.7,26.8,3.4,10809
Hillsborough (Lake Macquarie - NSW),185.0,35.0,3.0,83.0,15.7,1.3,11909
Warners Bay,2105.0,844.0,56.0,70.0,28.1,1.9,14153
Argenton,348.0,161.0,22.0,65.5,30.3,4.1,10078
Glendale (NSW),832.0,336.0,40.0,68.9,27.8,3.3,11658
Elermore Vale,1504.0,487.0,60.0,73.3,23.7,2.9,11394
Macquarie Hills,944.0,133.0,12.0,86.7,12.2,1.1,12434
Kotara,1112.0,297.0,50.0,76.2,20.4,3.4,12200
Cardiff Heights,367.0,145.0,11.0,70.2,27.7,2.1,10810
Cardiff South,764.0,273.0,33.0,71.4,25.5,3.1,10811
New Lambton Heights,690.0,119.0,9.0,84.4,14.5,1.1,12943
Rankin Park,733.0,149.0,25.0,80.8,16.4,2.8,13315
Tingira Heights,568.0,106.0,13.0,82.7,15.4,1.9,13875
Mount Hutton (NSW),901.0,410.0,49.0,66.2,30.1,3.6,12766
Eleebana,1633.0,318.0,28.0,82.5,16.1,1.4,11393
Redhead,895.0,419.0,31.0,66.5,31.2,2.3,13340
Caves Beach,1160.0,267.0,16.0,80.4,18.5,1.1,10862
Nords Wharf,243.0,59.0,7.0,78.6,19.1,2.3,12975
Swansea (NSW),1350.0,777.0,61.0,61.7,35.5,2.8,13711
Swansea Heads,169.0,29.0,3.0,84.1,14.4,1.5,13712
Catherine Hill Bay,42.0,18.0,3.0,66.7,28.6,4.8,10857
Cams Wharf,40.0,11.0,0.0,78.4,21.6,0.0,10784
Murrays Beach,194.0,16.0,0.0,92.4,7.6,0.0,12854
Valentine,1614.0,344.0,27.0,81.3,17.3,1.4,14065
Croudace Bay,156.0,29.0,0.0,84.3,15.7,0.0,11128
Speers Point,910.0,336.0,35.0,71.0,26.2,2.7,13605
Lakelands (NSW),404.0,76.0,3.0,83.6,15.7,0.6,12256
Boolaroo,267.0,123.0,20.0,65.1,30.0,4.9,10482
Booragul,323.0,139.0,6.0,69.0,29.7,1.3,10495
Fennell Bay,463.0,151.0,10.0,74.2,24.2,1.6,11500
Marmong Point,203.0,70.0,5.0,73.0,25.2,1.8,12498
Woodrising,304.0,63.0,13.0,80.0,16.6,3.4,14391
Bolton Point,534.0,194.0,25.0,70.9,25.8,3.3,10449
Teralba,386.0,184.0,14.0,66.1,31.5,2.4,13793
Fassifern (NSW),167.0,58.0,6.0,72.3,25.1,2.6,11495
Balcolyn,267.0,83.0,8.0,74.6,23.2,2.2,10145
Yarrawonga Park,115.0,30.0,0.0,79.3,20.7,0.0,14487
Mirrabooka (NSW),205.0,60.0,11.0,74.3,21.7,4.0,12647
Sunshine (NSW),119.0,41.0,9.0,70.4,24.3,5.3,13694
Silverwater (Lake Macquarie - NSW),84.0,19.0,3.0,79.2,17.9,2.8,13546
Bonnells Bay,1019.0,280.0,37.0,76.3,21.0,2.8,10468
Brightwaters,258.0,62.0,11.0,77.9,18.7,3.3,10570
Morisset Park,210.0,23.0,9.0,86.8,9.5,3.7,12724
Windermere Park,195.0,61.0,9.0,73.6,23.0,3.4,14321
Edgeworth,1684.0,618.0,48.0,71.7,26.3,2.0,11381
Cameron Park,2106.0,193.0,63.0,89.2,8.2,2.7,10775
Cooranbong,1389.0,436.0,46.0,74.2,23.3,2.5,11052
Wyee,587.0,210.0,17.0,72.1,25.8,2.1,14438
Morisset,771.0,510.0,44.0,58.2,38.5,3.3,12723
Wyee Point,317.0,51.0,0.0,86.1,13.9,0.0,14439
Mandalong,106.0,20.0,3.0,82.2,15.5,2.3,12465
Dora Creek,456.0,179.0,20.0,69.6,27.3,3.1,11277
Eraring,58.0,15.0,0.0,79.5,20.5,0.0,11429
Martinsville,101.0,15.0,3.0,84.9,12.6,2.5,12512
Blackalls Park,739.0,275.0,23.0,71.3,26.5,2.2,10390
Toronto,1454.0,647.0,64.0,67.2,29.9,3.0,13918
Kilaben Bay,410.0,99.0,3.0,80.1,19.3,0.6,12125
Coal Point,508.0,128.0,5.0,79.3,20.0,0.8,10943
Awaba,105.0,21.0,3.0,81.4,16.3,2.3,10118
Carey Bay,215.0,129.0,6.0,61.4,36.9,1.7,10812
Buttaba,306.0,69.0,12.0,79.1,17.8,3.1,10723
Fishing Point,307.0,89.0,3.0,76.9,22.3,0.8,11526
Rathmines,556.0,157.0,16.0,76.3,21.5,2.2,13319
Wangi Wangi,794.0,285.0,30.0,71.6,25.7,2.7,14135
Arcadia Vale,404.0,93.0,6.0,80.3,18.5,1.2,10073
Balmoral (Lake Macquarie - NSW),210.0,47.0,8.0,79.2,17.7,3.0,10166
Holmesville,377.0,76.0,9.0,81.6,16.5,1.9,11924
Barnsley,481.0,90.0,15.0,82.1,15.4,2.6,10204
Seahampton,84.0,16.0,7.0,78.5,15.0,6.5,13511
West Wallsend,633.0,167.0,26.0,76.6,20.2,3.1,14253
Killingworth (NSW),194.0,20.0,3.0,89.4,9.2,1.4,12137
Wakefield,37.0,6.0,0.0,86.0,14.0,0.0,14088
Adamstown Heights,1497.0,357.0,46.0,78.8,18.8,2.4,10017
Adamstown,1521.0,722.0,155.0,63.4,30.1,6.5,10016
Kotara South,302.0,101.0,11.0,72.9,24.4,2.7,12201
Woodberry,782.0,241.0,34.0,74.0,22.8,3.2,14377
Beresfield,861.0,355.0,45.0,68.3,28.2,3.6,10301
Tarro,446.0,190.0,21.0,67.9,28.9,3.2,13771
Hexham (NSW),32.0,18.0,0.0,64.0,36.0,0.0,11898
Hamilton South,939.0,564.0,73.0,59.6,35.8,4.6,11841
Broadmeadow,390.0,227.0,55.0,58.0,33.8,8.2,10578
Hamilton East,251.0,89.0,24.0,69.0,24.5,6.6,11839
Newcastle West,99.0,150.0,42.0,34.0,51.5,14.4,12951
Hamilton North,225.0,108.0,37.0,60.8,29.2,10.0,11840
Hamilton (NSW),986.0,582.0,207.0,55.5,32.8,11.7,11838
New Lambton,2638.0,1219.0,141.0,66.0,30.5,3.5,12942
Lambton,1286.0,592.0,76.0,65.8,30.3,3.9,12264
Jesmond,569.0,350.0,166.0,52.4,32.3,15.3,12023
Maryland (Newcastle - NSW),2097.0,469.0,53.0,80.1,17.9,2.0,12514
Fletcher (NSW),1363.0,100.0,31.0,91.2,6.7,2.1,11533
Minmi,201.0,34.0,9.0,82.4,13.9,3.7,12638
Warabrook,485.0,169.0,41.0,69.8,24.3,5.9,14140
Mayfield West,451.0,257.0,63.0,58.5,33.3,8.2,12536
Mayfield (Newcastle - NSW),2240.0,1279.0,286.0,58.9,33.6,7.5,12530
Mayfield East,424.0,230.0,52.0,60.1,32.6,7.4,12534
Merewether Heights,390.0,78.0,9.0,81.8,16.4,1.9,12574
Merewether,2720.0,1261.0,321.0,63.2,29.3,7.5,12573
The Junction,259.0,149.0,31.0,59.0,33.9,7.1,13827
Cooks Hill,803.0,603.0,198.0,50.1,37.6,12.3,11019
Bar Beach,269.0,207.0,34.0,52.7,40.6,6.7,10187
Newcastle,627.0,563.0,107.0,48.3,43.4,8.2,12949
The Hill,433.0,339.0,131.0,48.0,37.5,14.5,13826
Newcastle East,226.0,175.0,43.0,50.9,39.4,9.7,12950
Carrington (Newcastle - NSW),461.0,293.0,83.0,55.1,35.0,9.9,10830
Shortland,952.0,464.0,151.0,60.8,29.6,9.6,13542
Birmingham Gardens,443.0,226.0,167.0,53.0,27.0,20.0,10377
Sandgate (NSW),33.0,26.0,7.0,50.0,39.4,10.6,13474
North Lambton,784.0,287.0,151.0,64.2,23.5,12.4,12993
Stockton (NSW),1002.0,456.0,49.0,66.5,30.3,3.3,13662
Fern Bay,791.0,344.0,35.0,67.6,29.4,3.0,11501
Fullerton Cove,181.0,30.0,3.0,84.6,14.0,1.4,11575
Wallsend,3203.0,1446.0,256.0,65.3,29.5,5.2,14118
Georgetown (NSW),519.0,229.0,51.0,65.0,28.7,6.4,11603
Waratah West,678.0,267.0,155.0,61.6,24.3,14.1,14142
Waratah (NSW),1002.0,646.0,142.0,56.0,36.1,7.9,14141
Wickham (NSW),263.0,162.0,56.0,54.7,33.7,11.6,14285
Maryville,389.0,183.0,59.0,61.6,29.0,9.4,12518
Tighes Hill,396.0,190.0,58.0,61.5,29.5,9.0,13863
Islington,441.0,280.0,106.0,53.3,33.9,12.8,11990
Ballina,2007.0,1687.0,146.0,52.3,43.9,3.8,10162
West Ballina,831.0,378.0,41.0,66.5,30.2,3.3,14240
East Ballina,1570.0,606.0,93.0,69.2,26.7,4.1,11345
Skennars Head,314.0,89.0,17.0,74.8,21.2,4.0,13554
Alstonville,1540.0,715.0,52.0,66.8,31.0,2.3,10046
Wollongbar,806.0,223.0,20.0,76.8,21.3,1.9,14357
Wardell,193.0,80.0,9.0,68.4,28.4,3.2,14144
East Wardell,82.0,19.0,6.0,76.6,17.8,5.6,11365
Empire Vale,49.0,12.0,0.0,80.3,19.7,0.0,11416
Meerschaum Vale,105.0,20.0,4.0,81.4,15.5,3.1,12556
Dalwood (Ballina - NSW),65.0,16.0,0.0,80.2,19.8,0.0,11195
Marom Creek,35.0,5.0,3.0,81.4,11.6,7.0,12499
Rous,65.0,14.0,0.0,82.3,17.7,0.0,13427
Pimlico (NSW),80.0,27.0,3.0,72.7,24.5,2.7,13207
Coolgardie (NSW),34.0,3.0,0.0,91.9,8.1,0.0,11031
Keith Hall,36.0,10.0,3.0,73.5,20.4,6.1,12086
Uralba,73.0,10.0,0.0,88.0,12.0,0.0,14050
Tuckombil,72.0,12.0,0.0,85.7,14.3,0.0,13947
Fernleigh,76.0,13.0,3.0,82.6,14.1,3.3,11508
Tintenbar,205.0,35.0,12.0,81.3,13.9,4.8,13878
Cumbalum,422.0,40.0,12.0,89.0,8.4,2.5,11154
Brooklet,67.0,15.0,7.0,75.3,16.9,7.9,10598
Knockrow,53.0,18.0,3.0,71.6,24.3,4.1,12178
Newrybar,129.0,29.0,6.0,78.7,17.7,3.7,12957
Alstonvale,130.0,18.0,3.0,86.1,11.9,2.0,10045
Teven,74.0,14.0,3.0,81.3,15.4,3.3,13807
Pearces Creek,46.0,14.0,4.0,71.9,21.9,6.2,13170
Rous Mill,57.0,15.0,3.0,76.0,20.0,4.0,13428
Ewingsdale,183.0,55.0,24.0,69.8,21.0,9.2,11474
Eureka (NSW),90.0,25.0,5.0,75.0,20.8,4.2,11461
Coorabell,101.0,40.0,11.0,66.4,26.3,7.2,11051
Possum Creek,69.0,17.0,4.0,76.7,18.9,4.4,13252
Bangalow,519.0,151.0,41.0,73.0,21.2,5.8,10174
Coopers Shoot,70.0,24.0,0.0,74.5,25.5,0.0,11049
Skinners Shoot,19.0,13.0,7.0,48.7,33.3,17.9,13556
Nashua,69.0,22.0,3.0,73.4,23.4,3.2,12914
Federal (NSW),181.0,49.0,13.0,74.5,20.2,5.3,11499
Binna Burra (NSW),51.0,10.0,0.0,83.6,16.4,0.0,10371
Brunswick Heads,409.0,304.0,50.0,53.6,39.8,6.6,10621
Ocean Shores,1349.0,534.0,126.0,67.1,26.6,6.3,13070
Tyagarah,32.0,14.0,6.0,61.5,26.9,11.5,13993
New Brighton,72.0,47.0,8.0,56.7,37.0,6.3,12939
South Golden Beach,199.0,65.0,24.0,69.1,22.6,8.3,13581
Wooyung,27.0,24.0,5.0,48.2,42.9,8.9,14418
Byron Bay,992.0,615.0,239.0,53.7,33.3,12.9,10733
Suffolk Park,881.0,270.0,145.0,68.0,20.8,11.2,13684
Broken Head,65.0,18.0,14.0,67.0,18.6,14.4,10591
Woodburn (Richmond Valley - NSW),183.0,84.0,9.0,66.3,30.4,3.3,14379
Broadwater (Richmond Valley - NSW),168.0,76.0,8.0,66.7,30.2,3.2,10580
Rileys Hill,52.0,7.0,3.0,83.9,11.3,4.8,13364
Evans Head,745.0,433.0,50.0,60.7,35.3,4.1,11469
Bungawalbin,26.0,19.0,0.0,57.8,42.2,0.0,10683
New Italy,45.0,17.0,0.0,72.6,27.4,0.0,12941
Swan Bay (Richmond Valley - NSW),65.0,12.0,3.0,81.2,15.0,3.8,13705
Doonbah,63.0,35.0,3.0,62.4,34.7,3.0,11274
Lennox Head,1760.0,435.0,100.0,76.7,19.0,4.4,12303
Myocum,242.0,81.0,31.0,68.4,22.9,8.8,12877
Billinudgel,53.0,23.0,6.0,64.6,28.0,7.3,10355
Yelgun,25.0,12.0,3.0,62.5,30.0,7.5,14499
The Pocket,69.0,23.0,0.0,75.0,25.0,0.0,13834
Main Arm,134.0,45.0,17.0,68.4,23.0,8.7,12445
Upper Main Arm,44.0,44.0,13.0,43.6,43.6,12.9,14035
Mullumbimby,871.0,401.0,66.0,65.1,30.0,4.9,12828
Mullumbimby Creek,124.0,45.0,7.0,70.5,25.6,4.0,12829
Wilsons Creek,89.0,37.0,15.0,63.1,26.2,10.6,14310
Goonengerry,91.0,50.0,13.0,59.1,32.5,8.4,11712
Huonbrook,23.0,21.0,3.0,48.9,44.7,6.4,11962
Yorklea,102.0,29.0,9.0,72.9,20.7,6.4,14517
Casino,2692.0,1398.0,125.0,63.9,33.2,3.0,10843
North Casino,268.0,27.0,3.0,89.9,9.1,1.0,12987
Fairy Hill,108.0,28.0,0.0,79.4,20.6,0.0,11483
Bonalbo,83.0,58.0,10.0,55.0,38.4,6.6,10463
Coraki,295.0,119.0,20.0,68.0,27.4,4.6,11063
Dobies Bight,36.0,8.0,0.0,81.8,18.2,0.0,11262
Backmede,37.0,3.0,0.0,92.5,7.5,0.0,10130
Stratheden,62.0,14.0,0.0,81.6,18.4,0.0,13674
Spring Grove,121.0,21.0,9.0,80.1,13.9,6.0,13614
McKees Hill,89.0,16.0,0.0,84.8,15.2,0.0,12543
Tatham,58.0,19.0,0.0,75.3,24.7,0.0,13773
West Coraki,29.0,5.0,0.0,85.3,14.7,0.0,14243
Ellangowan (NSW),85.0,24.0,3.0,75.9,21.4,2.7,11400
Leeville,69.0,7.0,0.0,90.8,9.2,0.0,12295
Goonellabah,3286.0,1401.0,188.0,67.4,28.7,3.9,11711
Eden Creek,42.0,22.0,3.0,62.7,32.8,4.5,11376
West Wiangaree,31.0,13.0,0.0,70.5,29.5,0.0,14254
Doubtful Creek,36.0,13.0,0.0,73.5,26.5,0.0,11282
Kyogle,505.0,330.0,34.0,58.1,38.0,3.9,12229
Cedar Point,51.0,12.0,4.0,76.1,17.9,6.0,10871
Geneva,191.0,82.0,8.0,68.0,29.2,2.8,11599
Upper Horseshoe Creek,31.0,8.0,0.0,79.5,20.5,0.0,14028
Barkers Vale,41.0,26.0,4.0,57.7,36.6,5.6,10201
Wadeville,41.0,34.0,4.0,51.9,43.0,5.1,14082
Lillian Rock,43.0,38.0,0.0,53.1,46.9,0.0,12323
New Park,35.0,18.0,0.0,66.0,34.0,0.0,12945
Homeleigh,33.0,10.0,4.0,70.2,21.3,8.5,11931
Cawongla,42.0,28.0,3.0,57.5,38.4,4.1,10864
Green Pigeon,35.0,21.0,0.0,62.5,37.5,0.0,11752
East Lismore,1121.0,641.0,97.0,60.3,34.5,5.2,11358
Lismore (NSW),739.0,530.0,97.0,54.1,38.8,7.1,12344
Lismore Heights,559.0,286.0,45.0,62.8,32.1,5.1,12345
South Lismore,399.0,224.0,53.0,59.0,33.1,7.8,13589
Girards Hill,309.0,219.0,39.0,54.5,38.6,6.9,11631
Monaltrie,56.0,23.0,7.0,65.1,26.7,8.1,12674
North Lismore,180.0,94.0,21.0,61.0,31.9,7.1,12994
Loftville,39.0,92.0,5.0,28.7,67.6,3.7,12372
Modanville,168.0,38.0,8.0,78.5,17.8,3.7,12655
Clunes (NSW),249.0,52.0,10.0,80.1,16.7,3.2,10939
Terania Creek,46.0,23.0,9.0,59.0,29.5,11.5,13794
The Channon,97.0,37.0,4.0,70.3,26.8,2.9,13816
Koonorigan,92.0,24.0,5.0,76.0,19.8,4.1,12188
Rosebank,113.0,31.0,7.0,74.8,20.5,4.6,13401
Corndale (NSW),95.0,24.0,5.0,76.6,19.4,4.0,11076
East Coraki,61.0,16.0,3.0,76.2,20.0,3.8,11347
Tregeagle,126.0,24.0,3.0,82.4,15.7,2.0,13933
Wyrallah,123.0,17.0,7.0,83.7,11.6,4.8,14449
South Gundurimba,94.0,21.0,5.0,78.3,17.5,4.2,13585
Caniaba,170.0,32.0,0.0,84.2,15.8,0.0,10790
Blakebrook,42.0,12.0,0.0,77.8,22.2,0.0,10402
Goolmangar,45.0,15.0,7.0,67.2,22.4,10.4,11708
Keerrong,37.0,7.0,3.0,78.7,14.9,6.4,12083
Tullera,77.0,18.0,4.0,77.8,18.2,4.0,13956
Bexhill,140.0,28.0,3.0,81.9,16.4,1.8,10333
Richmond Hill (NSW),250.0,43.0,3.0,84.5,14.5,1.0,13361
Boat Harbour (Lismore - NSW),37.0,4.0,0.0,90.2,9.8,0.0,10424
McLeans Ridges,154.0,10.0,0.0,93.9,6.1,0.0,12545
Eltham (NSW),99.0,13.0,0.0,88.4,11.6,0.0,11409
Nimbin,302.0,266.0,49.0,48.9,43.1,7.9,12965
Stony Chute,40.0,26.0,0.0,60.6,39.4,0.0,13667
Blue Knob,48.0,46.0,9.0,46.6,44.7,8.7,10416
Tuntable Creek,51.0,28.0,3.0,62.2,34.1,3.7,13971
Coffee Camp,61.0,15.0,5.0,75.3,18.5,6.2,10958
Tucki Tucki,42.0,6.0,0.0,87.5,12.5,0.0,13946
Larnook,84.0,49.0,0.0,63.2,36.8,0.0,12279
Georgica,66.0,25.0,5.0,68.8,26.0,5.2,11604
Jiggi,100.0,33.0,3.0,73.5,24.3,2.2,12026
Leycester,37.0,9.0,3.0,75.5,18.4,6.1,12314
Dunoon,176.0,73.0,6.0,69.0,28.6,2.4,11325
Numulgi,57.0,10.0,3.0,81.4,14.3,4.3,13041
Fingal Head,139.0,52.0,10.0,69.2,25.9,5.0,11519
Casuarina (NSW),709.0,114.0,25.0,83.6,13.4,2.9,10851
Kingscliff,1935.0,781.0,109.0,68.5,27.6,3.9,12154
Chinderah,368.0,401.0,17.0,46.8,51.0,2.2,10905
Cudgen,228.0,42.0,9.0,81.7,15.1,3.2,11143
Murwillumbah,1743.0,826.0,96.0,65.4,31.0,3.6,12866
South Murwillumbah,261.0,117.0,20.0,65.6,29.4,5.0,13593
Bray Park (NSW),207.0,80.0,13.0,69.0,26.7,4.3,10552
Smiths Creek (Tweed - NSW),72.0,34.0,4.0,65.5,30.9,3.6,13562
Mount Burrell,49.0,39.0,10.0,50.0,39.8,10.2,12749
Pumpenbil,48.0,22.0,0.0,68.6,31.4,0.0,13272
Tumbulgum,111.0,27.0,5.0,77.6,18.9,3.5,13964
Limpinwood,63.0,23.0,5.0,69.2,25.3,5.5,12333
Tyalgum,133.0,43.0,9.0,71.9,23.2,4.9,13994
Byangum,33.0,15.0,0.0,68.8,31.2,0.0,10729
Eungella (NSW),76.0,20.0,3.0,76.8,20.2,3.0,11460
Crystal Creek (NSW),64.0,20.0,6.0,71.1,22.2,6.7,11138
Chillingham,67.0,21.0,4.0,72.8,22.8,4.3,10904
Stokers Siding,175.0,47.0,10.0,75.4,20.3,4.3,13664
Numinbah,26.0,15.0,0.0,63.4,36.6,0.0,13040
Upper Crystal Creek,55.0,21.0,3.0,69.6,26.6,3.8,14021
Nobbys Creek,78.0,20.0,3.0,77.2,19.8,3.0,12968
Dungay,67.0,11.0,0.0,85.9,14.1,0.0,11318
Kynnumboon,39.0,11.0,5.0,70.9,20.0,9.1,12228
Dunbible,94.0,21.0,8.0,76.4,17.1,6.5,11309
Fernvale (NSW),73.0,14.0,3.0,81.1,15.6,3.3,11511
Kielvale,80.0,15.0,0.0,84.2,15.8,0.0,12122
Reserve Creek,30.0,12.0,0.0,71.4,28.6,0.0,13353
Tygalgah,30.0,17.0,0.0,63.8,36.2,0.0,13996
Eviron,50.0,4.0,4.0,86.2,6.9,6.9,11472
Condong,82.0,15.0,4.0,81.2,14.9,4.0,11003
Farrants Hill,36.0,14.0,0.0,72.0,28.0,0.0,11493
Clothiers Creek,68.0,10.0,3.0,84.0,12.3,3.7,10936
Nunderi,179.0,38.0,8.0,79.6,16.9,3.6,13042
Uki,170.0,57.0,9.0,72.0,24.2,3.8,14000
Bogangar,798.0,283.0,47.0,70.7,25.1,4.2,10439
Mooball,51.0,11.0,3.0,78.5,16.9,4.6,12687
Cabarita Beach,30.0,7.0,0.0,81.1,18.9,0.0,10737
Pottsville,1829.0,431.0,69.0,78.5,18.5,3.0,13257
Crabbes Creek,69.0,30.0,4.0,67.0,29.1,3.9,11102
Upper Burringbar,65.0,31.0,10.0,61.3,29.2,9.4,14015
Burringbar,214.0,71.0,12.0,72.1,23.9,4.0,10713
Hastings Point,189.0,128.0,6.0,58.5,39.6,1.9,11868
Round Mountain,38.0,3.0,3.0,86.4,6.8,6.8,13425
Cudgera Creek,86.0,19.0,3.0,79.6,17.6,2.8,11144
Tweed Heads,2055.0,1419.0,178.0,56.3,38.9,4.9,13984
Tweed Heads West,1546.0,919.0,123.0,59.7,35.5,4.8,13986
Piggabeen,79.0,17.0,4.0,79.0,17.0,4.0,13202
Bilambil Heights,900.0,244.0,48.0,75.5,20.5,4.0,10348
Cobaki,51.0,4.0,0.0,92.7,7.3,0.0,10947
Bilambil,103.0,30.0,6.0,74.1,21.6,4.3,10347
Carool,44.0,10.0,3.0,77.2,17.5,5.3,10822
Glengarrie,27.0,25.0,3.0,49.1,45.5,5.5,11666
Banora Point,4399.0,1777.0,203.0,69.0,27.9,3.2,10185
Terranora,793.0,99.0,18.0,87.1,10.9,2.0,13802
North Tumbulgum,62.0,20.0,10.0,67.4,21.7,10.9,13012
Tweed Heads South,1887.0,1253.0,136.0,57.6,38.2,4.2,13985
Griffith (NSW),4338.0,1598.0,223.0,70.4,25.9,3.6,11782
Yoogali,294.0,52.0,6.0,83.5,14.8,1.7,14516
Bilbul,139.0,38.0,0.0,78.5,21.5,0.0,10349
Yenda (NSW),392.0,135.0,8.0,73.3,25.2,1.5,14504
Beelbangera,115.0,27.0,0.0,81.0,19.0,0.0,10251
Myall Park (NSW),50.0,9.0,4.0,79.4,14.3,6.3,12873
Hillston,354.0,146.0,22.0,67.8,28.0,4.2,11912
Rankins Springs,48.0,18.0,0.0,72.7,27.3,0.0,13316
Whitton,119.0,60.0,3.0,65.4,33.0,1.6,14280
Tharbogang,120.0,19.0,0.0,86.3,13.7,0.0,13811
Hanwood,312.0,71.0,19.0,77.6,17.7,4.7,11850
Coleambally,316.0,139.0,4.0,68.8,30.3,0.9,10964
Darlington Point,306.0,101.0,18.0,72.0,23.8,4.2,11215
Carrathool,58.0,19.0,3.0,72.5,23.8,3.8,10827
Goolgowi,105.0,43.0,7.0,67.7,27.7,4.5,11705
Merriwagga,25.0,20.0,0.0,55.6,44.4,0.0,12586
Nericon,77.0,19.0,0.0,80.2,19.8,0.0,12927
Lake Wyangan,242.0,42.0,4.0,84.0,14.6,1.4,12255
Murrami,61.0,17.0,0.0,78.2,21.8,0.0,12850
Leeton,2143.0,888.0,70.0,69.1,28.6,2.3,12293
Yanco,154.0,84.0,7.0,62.9,34.3,2.9,14460
Merungle Hill,61.0,13.0,0.0,82.4,17.6,0.0,12590
Narrandera,1050.0,552.0,42.0,63.9,33.6,2.6,12906
Grong Grong,54.0,30.0,3.0,62.1,34.5,3.4,11784
Boree Creek,58.0,16.0,3.0,75.3,20.8,3.9,10512
Tumbarumba,483.0,226.0,15.0,66.7,31.2,2.1,13961
Khancoban,76.0,45.0,3.0,61.3,36.3,2.4,12111
Rosewood (Snowy Valleys - NSW),54.0,17.0,5.0,71.1,22.4,6.6,13415
Humula,36.0,16.0,5.0,63.2,28.1,8.8,11952
Tumut,1587.0,730.0,43.0,67.2,30.9,1.8,13966
Batlow,335.0,167.0,19.0,64.3,32.1,3.6,10232
Talbingo,57.0,38.0,0.0,60.0,40.0,0.0,13730
Bombowlee,79.0,22.0,0.0,78.2,21.8,0.0,10459
Lacmalac,39.0,13.0,3.0,70.9,23.6,5.5,12231
Mundongo,67.0,4.0,0.0,94.4,5.6,0.0,12840
Adelong,252.0,125.0,0.0,66.8,33.2,0.0,10018
Cootamundra,1794.0,878.0,65.0,65.5,32.1,2.4,11053
Stockinbingal,100.0,46.0,0.0,68.5,31.5,0.0,13660
Wallendbeen,78.0,21.0,0.0,78.8,21.2,0.0,14113
Gundagai,427.0,225.0,16.0,63.9,33.7,2.4,11803
South Gundagai,225.0,74.0,5.0,74.0,24.3,1.6,13584
Coolac,49.0,20.0,0.0,71.0,29.0,0.0,11022
