,0-4 years,5-14 years,15-24 years,25-54 years,55-64 years,65 years and over,0-4 years (%),5-14 years (%),15-24 years (%),25-54 years (%),55-64 years (%),65 years and over (%)
Waterloo,209.0,519.0,608.0,1913.0,708.0,1209.0,4.0,10.1,11.8,37.0,13.7,23.4
Watsons Bay,32.0,63.0,123.0,309.0,67.0,69.0,4.9,9.6,18.8,47.2,10.2,10.6
Wattle Grove,1238.0,1747.0,1195.0,4779.0,371.0,255.0,12.9,18.2,12.5,49.9,3.9,2.7
Waverley,173.0,292.0,341.0,1602.0,299.0,842.0,4.9,8.2,9.6,45.1,8.4,23.7
Waverton,125.0,194.0,413.0,1737.0,332.0,379.0,3.9,6.1,13.0,54.6,10.4,11.9
Wentworthville,768.0,1198.0,1233.0,4452.0,713.0,1180.0,8.0,12.6,12.9,46.7,7.5,12.4
Werrington,296.0,488.0,695.0,1552.0,252.0,218.0,8.5,13.9,19.8,44.3,7.2,6.2
Werrington County,257.0,641.0,822.0,1886.0,288.0,208.0,6.3,15.6,20.0,45.9,7.0,5.1
Werrington Downs,287.0,687.0,626.0,1679.0,151.0,133.0,8.1,19.3,17.6,47.2,4.2,3.7
West Gosford,86.0,170.0,167.0,581.0,134.0,496.0,5.3,10.4,10.2,35.5,8.2,30.3
West Hoxton,529.0,880.0,632.0,2353.0,204.0,129.0,11.2,18.6,13.4,49.8,4.3,2.7
West Pennant Hills,852.0,2779.0,2677.0,6785.0,1470.0,1305.0,5.4,17.5,16.9,42.8,9.3,8.2
West Pymble,373.0,757.0,541.0,1849.0,439.0,747.0,7.9,16.1,11.5,39.3,9.3,15.9
West Ryde,663.0,1221.0,1387.0,5201.0,872.0,1399.0,6.2,11.4,12.9,48.4,8.1,13.0
West Wallsend,124.0,284.0,213.0,669.0,136.0,212.0,7.6,17.4,13.0,40.9,8.3,13.0
West Wollongong,291.0,486.0,718.0,1881.0,383.0,704.0,6.5,10.9,16.1,42.2,8.6,15.8
Westleigh,221.0,662.0,682.0,1696.0,549.0,316.0,5.4,16.0,16.5,41.1,13.3,7.7
Westmead,752.0,1092.0,1300.0,4857.0,661.0,1350.0,7.5,10.9,13.0,48.5,6.6,13.5
Wetherill Park,361.0,951.0,1215.0,2853.0,568.0,441.0,5.6,14.9,19.0,44.6,8.9,6.9
Whalan,459.0,1092.0,849.0,2293.0,693.0,473.0,7.8,18.6,14.5,39.1,11.8,8.1
Whitebridge,174.0,437.0,303.0,1058.0,211.0,247.0,7.2,18.0,12.5,43.5,8.7,10.2
Wickham,33.0,58.0,134.0,306.0,41.0,89.0,5.1,9.0,20.7,47.3,6.3,13.8
Wiley Park,815.0,1329.0,1276.0,3859.0,629.0,718.0,9.4,15.4,14.8,44.7,7.3,8.3
Willmot,271.0,507.0,369.0,1018.0,246.0,129.0,10.7,20.0,14.6,40.2,9.7,5.1
Willoughby,402.0,600.0,556.0,2624.0,476.0,735.0,7.5,11.1,10.3,48.7,8.8,13.6
Willoughby East,167.0,257.0,144.0,766.0,142.0,191.0,10.0,15.4,8.6,46.0,8.5,11.5
Windale,216.0,508.0,363.0,1153.0,291.0,396.0,7.4,17.3,12.4,39.4,9.9,13.5
Windang,134.0,240.0,200.0,873.0,383.0,536.0,5.7,10.1,8.5,36.9,16.2,22.7
Winmalee,455.0,1092.0,952.0,2747.0,503.0,568.0,7.2,17.3,15.1,43.5,8.0,9.0
Winston Hills,569.0,1094.0,1191.0,3887.0,1197.0,946.0,6.4,12.3,13.4,43.7,13.5,10.6
