,School Education,"Cafes, Restaurants and Takeaway Food Services",Road Freight Transport,Residential Building Construction,Legal and Accounting Services,Hospitals,Auxiliary Finance and Investment Services,Depository Financial Intermediation,Public Order and Safety Services,Defence,Tertiary Education,Manufacturing,Residential Care Services,"Building Cleaning, Pest Control and Gardening Services",Basic Ferrous Metal Manufacturing,Supermarket and Grocery Stores,Computer System Design and Related Services,"Architectural, Engineering and Technical Services",Building Installation Services,Local Government Administration,"Pubs, Taverns and Bars",Air and Space Transport,Building Completion Services,Medical Services,Real Estate Services,Other Social Assistance Services,Other Machinery and Equipment Wholesaling,Employment Services,Automotive Repair and Maintenance,Postal and Courier Pick-up and Delivery Services,State Government Administration,Coal Mining,Polymer Product Manufacturing,Pharmaceutical and Other Store-Based Retailing,Department Stores,Health Care and Social Assistance,Advertising Services,Religious Services,Specialised Food Retailing,"Grocery, Liquor and Tobacco Product Wholesaling",Clothing and Footwear Manufacturing,Converted Paper Product Manufacturing,Accommodation,Clubs,Management and Related Consulting Services,"Clothing, Footwear and Personal Accessory Retailing",Allied Health Services,Meat and Meat Product Manufacturing,Timber and Hardware Goods Wholesaling,"Furniture, Floor Covering and Other Goods Wholesaling",Central Government Administration,Food Retailing,Horse and Dog Racing Activities,Land Development and Site Preparation Services,Personal Care Services,Transport Equipment Manufacturing,Petroleum and Coal Product Manufacturing,Road Passenger Transport,"Adult, Community and Other Education",Structural Metal Product Manufacturing,Telecommunications Services,Property Operators,Electrical and Electronic Goods Retailing,Mushroom and Vegetable Growing,Other Wood Product Manufacturing,Building Structure Services,Other Transport Support Services,Furniture Manufacturing,Rail Passenger Transport,Heavy and Civil Engineering Construction,School Education (%),"Cafes, Restaurants and Takeaway Food Services (%)",Road Freight Transport (%),Residential Building Construction (%),Legal and Accounting Services (%),Hospitals (%),Auxiliary Finance and Investment Services (%),Depository Financial Intermediation (%),Public Order and Safety Services (%),Defence (%),Tertiary Education (%),Manufacturing (%),Residential Care Services (%),"Building Cleaning, Pest Control and Gardening Services (%)",Basic Ferrous Metal Manufacturing (%),Supermarket and Grocery Stores (%),Computer System Design and Related Services (%),"Architectural, Engineering and Technical Services (%)",Building Installation Services (%),Local Government Administration (%),"Pubs, Taverns and Bars (%)",Air and Space Transport (%),Building Completion Services (%),Medical Services (%),Real Estate Services (%),Other Social Assistance Services (%),Other Machinery and Equipment Wholesaling (%),Employment Services (%),Automotive Repair and Maintenance (%),Postal and Courier Pick-up and Delivery Services (%),State Government Administration (%),Coal Mining (%),Polymer Product Manufacturing (%),Pharmaceutical and Other Store-Based Retailing (%),Department Stores (%),Health Care and Social Assistance (%),Advertising Services (%),Religious Services (%),Specialised Food Retailing (%),"Grocery, Liquor and Tobacco Product Wholesaling (%)",Clothing and Footwear Manufacturing (%),Converted Paper Product Manufacturing (%),Accommodation (%),Clubs (%),Management and Related Consulting Services (%),"Clothing, Footwear and Personal Accessory Retailing (%)",Allied Health Services (%),Meat and Meat Product Manufacturing (%),Timber and Hardware Goods Wholesaling (%),"Furniture, Floor Covering and Other Goods Wholesaling (%)",Central Government Administration (%),Food Retailing (%),Horse and Dog Racing Activities (%),Land Development and Site Preparation Services (%),Personal Care Services (%),Transport Equipment Manufacturing (%),Petroleum and Coal Product Manufacturing (%),Road Passenger Transport (%),"Adult, Community and Other Education (%)",Structural Metal Product Manufacturing (%),Telecommunications Services (%),Property Operators (%),Electrical and Electronic Goods Retailing (%),Mushroom and Vegetable Growing (%),Other Wood Product Manufacturing (%),Building Structure Services (%),Other Transport Support Services (%),Furniture Manufacturing (%),Rail Passenger Transport (%),Heavy and Civil Engineering Construction (%)
Figtree,329,165,,,,183,,,,,197,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,3.5,,,,3.8,,,,,4.1,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Dock,166,135,,,157,123,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.4,,,4.0,3.1,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fletcher,38,29,,,,61,,,,,33,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,2.9,,,,6.0,,,,,3.3,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flinders,53,64,,,,65,,,,,,,,,152,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.5,,,,3.6,,,,,,,,,8.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floraville,40,17,,,,28,,,,,24,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,2.4,,,,4.0,,,,,3.4,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Lodge,50,67,,,62,57,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.6,,,4.3,3.9,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forestville,165,113,,,102,,,,,,,,,,,,123,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.1,,,2.8,,,,,,,,,,,,3.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forresters Beach,84,34,,33,,45,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,3.0,,2.9,,4.0,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenchs Forest,302,195,,,190,,,,,,,,,,,,239,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.0,,,2.9,,,,,,,,,,,,3.7,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Suburb,63,24,,,,38,,,,,27,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,3.0,,,,4.7,,,,,3.4,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateshead,33,50,,,,60,,,,,,,39,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.1,,,,5.0,,,,,,,3.2,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georges Hall,174,111,108,,,81,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.0,2.9,,,2.2,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,37,41,,,,48,,,,,24,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.7,,,,5.5,,,,,2.8,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girraween,68,51,48,,,77,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,2.8,2.6,,,4.2,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladesville,217,169,,,194,205,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.0,,,3.5,3.7,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glebe,158,208,,,242,163,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.9,,,4.5,3.0,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Alpine,145,108,,,82,76,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,4.3,,,3.3,3.0,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenbrook,288,79,,,71,114,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,2.9,,,2.6,4.2,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,52,42,34,,,51,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.3,2.7,,,4.1,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendenning,,,65,,,74,,56,54,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.4,,2.6,2.5,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfield,136,96,82,,,69,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,3.3,2.9,,,2.4,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenhaven,174,86,,,117,77,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,2.7,,,3.6,2.4,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenmore Park,446,333,296,,,325,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.3,2.9,,,3.2,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenning Valley,55,24,,,,33,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,5.7,2.5,,,,3.4,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,
Glenwood,281,227,,,,250,,212,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.2,,,,3.5,,3.0,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,119,96,,,150,,111,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.5,,,5.5,,4.1,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorokan,82,102,,,,82,,,,,,,84,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.1,,,,3.3,,,,,,,3.4,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gosford,42,51,,,38,116,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.6,,,2.7,8.2,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granville,,372,,212,,206,,,,,,,,,,192,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,2.7,,2.6,,,,,,,,,,2.4,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grays Point,104,46,,,55,50,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,3.0,,,3.6,3.3,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Point,152,98,,,,116,,,,,,,76,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,3.5,,,,4.2,,,,,,,2.7,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Valley,129,153,152,,,123,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.2,3.2,,,2.6,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenacre,214,305,180,187,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.1,2.4,2.5,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield Park,56,65,61,,,57,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.0,2.9,,,2.7,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich,,,,,156,128,,,,,87,,,,,,108,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,,,,,3.4,,,,,,4.2,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greystanes,495,348,279,,,307,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,3.6,2.9,,,3.2,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guildford,116,160,99,124,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.0,2.5,3.1,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guildford West,45,,69,,,47,,44,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,4.1,,,2.8,,2.6,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwynneville,75,64,,,,31,,,,,91,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,6.3,,,,3.0,,,,,8.9,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymea,139,100,,,,115,,,,,,,,,,,,,85,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,2.8,,,,3.2,,,,,,,,,,,,,2.4,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymea Bay,247,133,,,141,,,,,,,,,,,,,,114,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,3.4,,,3.6,,,,,,,,,,,,,,2.9,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haberfield,189,145,,,143,97,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,4.8,,,4.7,3.2,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halekulani,32,30,,,,23,,,,,,,21,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.9,,,,3.0,,,,,,,2.7,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,87,86,,,,84,,,,,91,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.0,,,,4.9,,,,,5.3,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton East,38,25,,,18,24,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5.4,,,3.9,5.2,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton North,24,,,,,24,,,,,15,,,,,,,,,,14,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,5.7,,,,,3.6,,,,,,,,,,3.3,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton South,91,59,,,62,91,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,4.0,,,4.2,6.2,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammondville,62,49,45,,,42,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.6,3.3,,,3.1,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrington Park,160,,104,,,84,,,83,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,3.4,,,2.8,,,2.7,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Park,,184,,,,84,,77,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,2.7,,2.5,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassall Grove,,61,68,,,67,,55,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.5,,,3.5,,2.9,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haymarket,,312,,,59,,,,,,,,,61,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,,,3.4,,,,,,,,,3.5,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heathcote,161,120,,,73,98,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,4.0,,,2.5,3.3,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebersham,69,57,72,,,,,,,,,,,49,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.9,3.6,,,,,,,,,,,2.5,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heckenberg,22,37,31,20,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4.4,3.7,2.4,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henley,10,12,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.9,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highfields,27,,,,,15,,10,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,8.5,,,,,4.7,,3.1,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,
Hillsborough,16,19,,,,13,,,,,,,,,,19,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,5.7,,,,3.9,,,,,,,,,,5.7,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsdale,,111,49,,,106,,,,,50,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,2.1,,,4.6,,,,,2.2,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinchinbrook,133,132,145,,,140,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,3.1,,,3.0,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmesville,,,,,,25,,,,,,18,,,,34,,,18,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,2.5,,,,4.8,,,2.5,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holsworthy,78,,62,,,84,,,44,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,2.7,,,3.6,,,1.9,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homebush,104,136,,,90,108,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,4.5,,,3.0,3.6,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homebush West,48,123,,,,58,,56,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,6.5,,,,3.1,,3.0,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horningsea Park,69,47,58,,,51,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,2.9,3.6,,,3.2,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsby,392,315,,,,479,,,,,,,242,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.2,,,,4.9,,,,,,,2.5,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsby Heights,206,76,,,,141,,,,,,,,,,,113,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,2.3,,,,4.3,,,,,,,,,,,3.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsley,110,135,,,,113,,,101,,,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,4.1,,,,3.5,,,3.1,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoxton Park,49,38,63,,,63,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,2.4,3.9,,,3.9,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunters Hill,160,,,,185,107,110,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,5.1,3.0,3.1,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntleys Point,,,,,8,,,,,,,,,,,,,,6,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,5.6,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,5.6,,,,,,,,,,,,,,,,,,
Hurlstone Park,114,74,,,,79,,,,,78,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.2,,,,3.4,,,,,3.4,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurstville,232,710,,,322,251,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,6.9,,,3.1,2.4,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
