,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Kings Langley,831.0,1495.0,309.0,35.0,31.1,56.0,11.6,1.3,12149
Toongabbie (NSW),1090.0,2124.0,545.0,64.0,28.5,55.6,14.3,1.7,13907
Prospect (NSW),379.0,694.0,196.0,19.0,29.4,53.9,15.2,1.5,13266
Glenwood (NSW),915.0,2956.0,446.0,37.0,21.0,67.9,10.2,0.8,11682
Parklea,139.0,442.0,78.0,7.0,20.9,66.4,11.7,1.1,13153
Stanhope Gardens,571.0,1614.0,257.0,24.0,23.2,65.5,10.4,1.0,13649
Kellyville Ridge,584.0,1905.0,248.0,13.0,21.2,69.3,9.0,0.5,12089
The Ponds,710.0,2247.0,247.0,16.0,22.0,69.8,7.7,0.5,13835
Riverstone,566.0,912.0,420.0,45.0,29.1,46.9,21.6,2.3,13368
Schofields,376.0,772.0,194.0,20.0,27.6,56.7,14.2,1.5,13502
Shanes Park,28.0,52.0,18.0,3.0,27.7,51.5,17.8,3.0,13524
Marsden Park,95.0,112.0,35.0,5.0,38.5,45.3,14.2,2.0,12505
Colebee,136.0,357.0,34.0,3.0,25.7,67.4,6.4,0.6,10965
Bidwill (NSW),191.0,315.0,511.0,26.0,18.3,30.2,49.0,2.5,10340
Hebersham,330.0,678.0,406.0,24.0,22.9,47.1,28.2,1.7,11886
Dharruk,188.0,328.0,196.0,16.0,25.8,45.1,26.9,2.2,11248
Blackett,181.0,312.0,323.0,28.0,21.4,37.0,38.3,3.3,10392
Emerton,130.0,223.0,172.0,17.0,24.0,41.1,31.7,3.1,11413
Glendenning,244.0,888.0,235.0,16.0,17.6,64.2,17.0,1.2,11659
Dean Park,217.0,451.0,151.0,12.0,26.1,54.3,18.2,1.4,11224
Plumpton (NSW),434.0,1491.0,380.0,32.0,18.6,63.8,16.3,1.4,13230
Oakhurst (NSW),367.0,1104.0,325.0,21.0,20.2,60.8,17.9,1.2,13058
Hassall Grove,209.0,713.0,208.0,19.0,18.2,62.1,18.1,1.7,11866
Shalvey,198.0,353.0,306.0,23.0,22.5,40.1,34.8,2.6,13523
Willmot,139.0,180.0,247.0,21.0,23.7,30.7,42.1,3.6,14302
Tregear,192.0,309.0,360.0,28.0,21.6,34.8,40.5,3.1,13934
Lethbridge Park,274.0,404.0,437.0,24.0,24.1,35.5,38.4,2.1,12307
Ropes Crossing,471.0,1001.0,181.0,15.0,28.2,60.0,10.9,0.9,13397
Mount Druitt,924.0,2352.0,828.0,93.0,22.0,56.0,19.7,2.2,12756
Whalan,322.0,551.0,531.0,26.0,22.5,38.5,37.1,1.8,14266
Eastern Creek,58.0,111.0,40.0,3.0,27.4,52.4,18.9,1.4,11366
Minchinbury,338.0,921.0,249.0,21.0,22.1,60.2,16.3,1.4,12633
Rooty Hill,933.0,2113.0,627.0,52.0,25.0,56.7,16.8,1.4,13395
Botany,845.0,1497.0,450.0,54.0,29.7,52.6,15.8,1.9,10517
Mascot,1583.0,1543.0,460.0,123.0,42.7,41.6,12.4,3.3,12519
Eastlakes,484.0,874.0,314.0,56.0,28.0,50.6,18.2,3.2,11368
Rosebery (NSW),1110.0,1079.0,313.0,79.0,43.0,41.8,12.1,3.1,13405
Pagewood,261.0,540.0,163.0,23.0,26.4,54.7,16.5,2.3,13125
Daceyville,86.0,62.0,77.0,10.0,36.6,26.4,32.8,4.3,11185
Hillsdale,444.0,642.0,296.0,40.0,31.2,45.1,20.8,2.8,11911
Eastgardens,57.0,133.0,23.0,3.0,26.4,61.6,10.6,1.4,11367
Matraville,729.0,1316.0,481.0,48.0,28.3,51.1,18.7,1.9,12524
Marrickville,2575.0,2556.0,1067.0,180.0,40.4,40.1,16.7,2.8,12504
Petersham,814.0,764.0,264.0,39.0,43.3,40.6,14.0,2.1,13190
Dulwich Hill,1346.0,1431.0,582.0,74.0,39.2,41.7,17.0,2.2,11303
Newtown (NSW),1735.0,972.0,309.0,107.0,55.6,31.1,9.9,3.4,12960
Lewisham (NSW),335.0,293.0,103.0,17.0,44.8,39.2,13.8,2.3,12313
Stanmore (NSW),820.0,712.0,224.0,58.0,45.2,39.3,12.3,3.2,13650
Camperdown (NSW),1228.0,456.0,152.0,63.0,64.7,24.0,8.0,3.3,10781
Enmore (Inner West - NSW),400.0,303.0,100.0,23.0,48.4,36.7,12.1,2.8,11425
St Peters (NSW),398.0,251.0,92.0,21.0,52.2,32.9,12.1,2.8,13644
Sydenham (NSW),112.0,105.0,43.0,9.0,41.6,39.0,16.0,3.3,13714
Tempe,291.0,437.0,153.0,19.0,32.3,48.6,17.0,2.1,13785
Darlinghurst,1611.0,356.0,137.0,48.0,74.9,16.5,6.4,2.2,11212
Erskineville,1222.0,576.0,191.0,45.0,60.1,28.3,9.4,2.2,11439
Alexandria,1283.0,572.0,154.0,55.0,62.2,27.7,7.5,2.7,10030
Glebe (NSW),1225.0,672.0,401.0,90.0,51.3,28.1,16.8,3.8,11641
Forest Lodge,553.0,351.0,82.0,40.0,53.9,34.2,8.0,3.9,11546
Annandale (NSW),943.0,994.0,256.0,40.0,42.2,44.5,11.5,1.8,10061
Darlington (Sydney - NSW),231.0,102.0,34.0,15.0,60.5,26.7,8.9,3.9,11214
Potts Point,1037.0,135.0,90.0,45.0,79.3,10.3,6.9,3.4,13256
Elizabeth Bay,822.0,153.0,62.0,9.0,78.6,14.6,5.9,0.9,11395
Sydney,2008.0,558.0,261.0,233.0,65.6,18.2,8.5,7.6,13715
Woolloomooloo,490.0,113.0,146.0,26.0,63.2,14.6,18.8,3.4,14406
Rushcutters Bay,355.0,78.0,33.0,9.0,74.7,16.4,6.9,1.9,13444
Pyrmont,1826.0,819.0,341.0,110.0,59.0,26.5,11.0,3.6,13284
Ultimo,706.0,261.0,127.0,86.0,59.8,22.1,10.8,7.3,14006
Redfern,1592.0,585.0,288.0,103.0,62.0,22.8,11.2,4.0,13339
Eveleigh,51.0,40.0,69.0,4.0,31.1,24.4,42.1,2.4,11471
Chippendale,941.0,157.0,87.0,105.0,72.9,12.2,6.7,8.1,10907
Surry Hills,2286.0,545.0,236.0,106.0,72.0,17.2,7.4,3.3,13699
Haymarket,615.0,219.0,75.0,110.0,60.4,21.5,7.4,10.8,11877
Dawes Point,77.0,26.0,8.0,0.0,69.4,23.4,7.2,0.0,11222
Millers Point,281.0,74.0,24.0,5.0,73.2,19.3,6.2,1.3,12619
Barangaroo,19.0,4.0,8.0,0.0,61.3,12.9,25.8,0.0,10191
Balmain East,267.0,209.0,46.0,3.0,50.9,39.8,8.8,0.6,10165
The Rocks (Sydney - NSW),78.0,44.0,8.0,3.0,58.6,33.1,6.0,2.3,13840
Waterloo (NSW),1861.0,562.0,453.0,135.0,61.8,18.7,15.0,4.5,14183
Zetland,1387.0,559.0,217.0,97.0,61.4,24.7,9.6,4.3,14524
Beaconsfield (NSW),122.0,90.0,29.0,4.0,49.8,36.7,11.8,1.6,10239
Bronte,670.0,857.0,159.0,17.0,39.3,50.3,9.3,1.0,10594
Tamarama,187.0,168.0,23.0,4.0,49.0,44.0,6.0,1.0,13741
Bondi,1106.0,783.0,218.0,53.0,51.2,36.2,10.1,2.5,10464
Bondi Beach,1384.0,784.0,260.0,42.0,56.0,31.7,10.5,1.7,10465
North Bondi,784.0,1114.0,250.0,23.0,36.1,51.3,11.5,1.1,12984
Waverley (NSW),364.0,411.0,137.0,17.0,39.2,44.2,14.7,1.8,14200
Bondi Junction,1001.0,727.0,270.0,62.0,48.6,35.3,13.1,3.0,10467
Queens Park (NSW),259.0,424.0,99.0,15.0,32.5,53.2,12.4,1.9,13294
Centennial Park (NSW),284.0,178.0,57.0,15.0,53.2,33.3,10.7,2.8,10873
Darling Point,632.0,282.0,112.0,22.0,60.3,26.9,10.7,2.1,11211
Edgecliff,323.0,168.0,54.0,10.0,58.2,30.3,9.7,1.8,11379
Double Bay,592.0,365.0,139.0,31.0,52.5,32.4,12.3,2.8,11281
Bellevue Hill,1046.0,1264.0,312.0,46.0,39.2,47.4,11.7,1.7,10271
Rose Bay (NSW),1031.0,1193.0,339.0,63.0,39.3,45.4,12.9,2.4,13398
Paddington (NSW),1462.0,1101.0,311.0,69.0,49.7,37.4,10.6,2.3,13115
Point Piper,193.0,143.0,45.0,11.0,49.2,36.5,11.5,2.8,13233
Vaucluse,777.0,1336.0,290.0,41.0,31.8,54.7,11.9,1.7,14071
Dover Heights,335.0,589.0,99.0,16.0,32.2,56.7,9.5,1.5,11284
Watsons Bay,70.0,97.0,17.0,0.0,38.0,52.7,9.2,0.0,14187
Woollahra,834.0,717.0,236.0,44.0,45.5,39.2,12.9,2.4,14404
Clovelly,512.0,621.0,145.0,24.0,39.3,47.7,11.1,1.8,10938
South Coogee,340.0,714.0,242.0,24.0,25.8,54.1,18.3,1.8,13579
Coogee (NSW),1691.0,1409.0,369.0,72.0,47.8,39.8,10.4,2.0,11015
La Perouse,37.0,36.0,39.0,12.0,29.8,29.0,31.5,9.7,12230
Little Bay,458.0,529.0,120.0,11.0,41.0,47.3,10.7,1.0,12349
Malabar,291.0,467.0,162.0,17.0,31.1,49.8,17.3,1.8,12453
Chifley (NSW),215.0,484.0,137.0,9.0,25.4,57.3,16.2,1.1,10901
Phillip Bay,54.0,100.0,20.0,6.0,30.0,55.6,11.1,3.3,13193
Kensington (NSW),1170.0,993.0,317.0,136.0,44.7,38.0,12.1,5.2,12099
Kingsford (NSW),1139.0,1356.0,446.0,169.0,36.6,43.6,14.3,5.4,12156
Maroubra,2741.0,3557.0,1196.0,257.0,35.4,45.9,15.4,3.3,12501
Randwick,2948.0,3022.0,906.0,214.0,41.6,42.6,12.8,3.0,13312
Georges Hall,641.0,1271.0,384.0,34.0,27.5,54.5,16.5,1.5,11601
Bass Hill,524.0,1225.0,448.0,43.0,23.4,54.7,20.0,1.9,10224
Yagoona,1024.0,2385.0,886.0,94.0,23.3,54.3,20.2,2.1,14453
Villawood,267.0,618.0,369.0,36.0,20.7,47.9,28.6,2.8,14074
Greenacre,1132.0,3421.0,1097.0,109.0,19.7,59.4,19.0,1.9,11757
Potts Hill,68.0,127.0,22.0,9.0,30.1,56.2,9.7,4.0,13255
Milperra,367.0,578.0,144.0,5.0,33.5,52.8,13.2,0.5,12625
Revesby,1052.0,1875.0,718.0,84.0,28.2,50.3,19.3,2.3,13355
Condell Park,702.0,1627.0,552.0,50.0,24.0,55.5,18.8,1.7,11001
Bankstown,1907.0,4050.0,1667.0,188.0,24.4,51.8,21.3,2.4,10180
Mount Lewis,69.0,168.0,56.0,3.0,23.3,56.8,18.9,1.0,12774
Punchbowl (Canterbury-Bankstown - NSW),1048.0,2760.0,943.0,125.0,21.5,56.6,19.3,2.6,13273
Padstow,1067.0,1822.0,625.0,76.0,29.7,50.8,17.4,2.1,13120
Padstow Heights,325.0,468.0,125.0,8.0,35.1,50.5,13.5,0.9,13121
Panania,907.0,1809.0,593.0,61.0,26.9,53.7,17.6,1.8,13144
East Hills,247.0,434.0,129.0,17.0,29.9,52.5,15.6,2.1,11351
Picnic Point,512.0,952.0,231.0,19.0,29.9,55.5,13.5,1.1,13199
Revesby Heights,118.0,256.0,69.0,10.0,26.0,56.5,15.2,2.2,13356
Birrong,180.0,423.0,172.0,23.0,22.6,53.0,21.6,2.9,10379
Belmore,945.0,1569.0,690.0,90.0,28.7,47.6,20.9,2.7,10279
Belfield,444.0,903.0,303.0,26.0,26.5,53.9,18.1,1.6,10257
Campsie,2270.0,2899.0,1106.0,185.0,35.1,44.9,17.1,2.9,10782
Canterbury (NSW),736.0,843.0,328.0,39.0,37.8,43.3,16.9,2.0,10797
Clemton Park,118.0,233.0,67.0,6.0,27.8,55.0,15.8,1.4,10928
Earlwood,1491.0,2499.0,710.0,74.0,31.2,52.3,14.9,1.6,11343
Kingsgrove,1044.0,1738.0,596.0,71.0,30.3,50.4,17.3,2.1,12158
Riverwood,981.0,1368.0,667.0,80.0,31.7,44.2,21.5,2.6,13371
Roselands,742.0,1645.0,518.0,62.0,25.0,55.4,17.5,2.1,13409
Beverly Hills,802.0,1418.0,458.0,72.0,29.2,51.6,16.7,2.6,10331
Narwee,449.0,761.0,244.0,30.0,30.3,51.3,16.4,2.0,12912
Lakemba,887.0,2383.0,540.0,92.0,22.7,61.1,13.8,2.4,12257
Wiley Park,621.0,1401.0,413.0,64.0,24.8,56.1,16.5,2.6,14293
Hurstville,2830.0,3395.0,1214.0,231.0,36.9,44.3,15.8,3.0,11964
Carlton (NSW),1022.0,1400.0,443.0,60.0,34.9,47.9,15.1,2.1,10819
Penshurst (NSW),1131.0,1701.0,522.0,73.0,33.0,49.6,15.2,2.1,13186
Oatley,973.0,1572.0,350.0,34.0,33.2,53.7,11.9,1.2,13064
Mortdale,967.0,1359.0,430.0,54.0,34.4,48.4,15.3,1.9,12728
Peakhurst,823.0,1420.0,444.0,42.0,30.2,52.0,16.3,1.5,13168
Hurstville Grove,195.0,440.0,83.0,15.0,26.6,60.0,11.3,2.0,11965
Lugarno,575.0,887.0,161.0,18.0,35.0,54.1,9.8,1.1,12421
Peakhurst Heights,256.0,340.0,80.0,5.0,37.6,49.9,11.7,0.7,13169
South Hurstville,380.0,694.0,240.0,32.0,28.2,51.6,17.8,2.4,13587
Blakehurst,454.0,956.0,201.0,28.0,27.7,58.3,12.3,1.7,10403
Kyle Bay,88.0,171.0,24.0,3.0,30.8,59.8,8.4,1.0,12227
Connells Point,251.0,439.0,96.0,18.0,31.2,54.6,11.9,2.2,11013
Carss Park,115.0,190.0,31.0,4.0,33.8,55.9,9.1,1.2,10837
Arncliffe,932.0,1202.0,387.0,83.0,35.8,46.2,14.9,3.2,10086
Wolli Creek,984.0,383.0,126.0,61.0,63.3,24.6,8.1,3.9,14353
Turrella,243.0,281.0,74.0,15.0,39.6,45.8,12.1,2.4,13982
Bardwell Valley,189.0,336.0,88.0,8.0,30.4,54.1,14.2,1.3,10196
Bardwell Park,201.0,342.0,71.0,12.0,32.1,54.6,11.3,1.9,10195
Bexley,1424.0,2656.0,772.0,96.0,28.8,53.7,15.6,1.9,10334
Kogarah,1522.0,1833.0,529.0,127.0,37.9,45.7,13.2,3.2,12181
Bexley North,360.0,563.0,172.0,23.0,32.2,50.4,15.4,2.1,10335
Allawah,575.0,690.0,246.0,52.0,36.8,44.1,15.7,3.3,10038
Beverley Park,200.0,361.0,78.0,15.0,30.6,55.2,11.9,2.3,10330
Kogarah Bay,173.0,299.0,79.0,16.0,30.5,52.7,13.9,2.8,12182
Kyeemagh,88.0,120.0,42.0,4.0,34.6,47.2,16.5,1.6,12226
Brighton-le-Sands,786.0,869.0,423.0,55.0,36.8,40.7,19.8,2.6,10569
Rockdale,1654.0,1676.0,473.0,138.0,42.0,42.5,12.0,3.5,13379
Monterey,415.0,577.0,216.0,29.0,33.5,46.6,17.5,2.3,12686
Banksia,306.0,439.0,163.0,10.0,33.3,47.8,17.8,1.1,10178
Sandringham (NSW),138.0,157.0,42.0,4.0,40.5,46.0,12.3,1.2,13478
Dolls Point,180.0,156.0,87.0,13.0,41.3,35.8,20.0,3.0,11267
Sans Souci,1023.0,1283.0,437.0,57.0,36.5,45.8,15.6,2.0,13489
Ramsgate,116.0,139.0,67.0,3.0,35.7,42.8,20.6,0.9,13309
Ramsgate Beach,151.0,162.0,88.0,6.0,37.1,39.8,21.6,1.5,13310
Concord,1228.0,2131.0,557.0,65.0,30.8,53.5,14.0,1.6,10999
Breakfast Point,699.0,450.0,155.0,21.0,52.8,34.0,11.7,1.6,10557
Cabarita (NSW),274.0,263.0,53.0,9.0,45.7,43.9,8.8,1.5,10736
Mortlake (NSW),137.0,115.0,38.0,3.0,46.8,39.2,13.0,1.0,12729
North Strathfield,419.0,568.0,142.0,34.0,36.0,48.8,12.2,2.9,13009
Concord West,450.0,891.0,214.0,23.0,28.5,56.5,13.6,1.5,11000
Sydney Olympic Park,243.0,125.0,51.0,25.0,54.7,28.2,11.5,5.6,13716
Liberty Grove,184.0,332.0,81.0,11.0,30.3,54.6,13.3,1.8,12315
Rhodes,1740.0,1034.0,262.0,112.0,55.3,32.8,8.3,3.6,13358
Drummoyne,1340.0,1299.0,370.0,59.0,43.7,42.3,12.1,1.9,11293
Russell Lea,397.0,739.0,162.0,21.0,30.1,56.0,12.3,1.6,13447
Rodd Point,120.0,223.0,32.0,13.0,30.9,57.5,8.2,3.4,13391
Abbotsford (NSW),662.0,614.0,230.0,29.0,43.1,40.0,15.0,1.9,10003
Chiswick,369.0,288.0,117.0,18.0,46.6,36.4,14.8,2.3,10910
Five Dock,823.0,1267.0,379.0,38.0,32.8,50.5,15.1,1.5,11530
Canada Bay,122.0,164.0,46.0,3.0,36.4,49.0,13.7,0.9,10785
Wareemba,144.0,218.0,61.0,6.0,33.6,50.8,14.2,1.4,14148
Balmain,1131.0,1151.0,326.0,36.0,42.8,43.5,12.3,1.4,10164
Birchgrove,378.0,419.0,76.0,4.0,43.1,47.8,8.7,0.5,10374
Woolwich,106.0,91.0,18.0,0.0,49.3,42.3,8.4,0.0,14412
Leichhardt (NSW),1355.0,1726.0,497.0,78.0,37.1,47.2,13.6,2.1,12297
Lilyfield,597.0,997.0,256.0,41.0,31.6,52.7,13.5,2.2,12325
Rozelle,1103.0,963.0,241.0,36.0,47.1,41.1,10.3,1.5,13435
Ashfield (NSW),2361.0,2341.0,817.0,201.0,41.3,40.9,14.3,3.5,10098
Summer Hill (Inner West - NSW),751.0,755.0,228.0,49.0,42.1,42.3,12.8,2.7,13687
Hurlstone Park,448.0,603.0,203.0,22.0,35.1,47.3,15.9,1.7,11963
Ashbury,242.0,542.0,113.0,20.0,26.4,59.1,12.3,2.2,10093
Burwood (NSW),1430.0,1395.0,547.0,148.0,40.6,39.6,15.5,4.2,10718
Croydon (NSW),878.0,1393.0,410.0,46.0,32.2,51.1,15.0,1.7,11134
Strathfield (NSW),2068.0,3013.0,776.0,219.0,34.0,49.6,12.8,3.6,13675
Croydon Park (NSW),868.0,1576.0,468.0,66.0,29.1,52.9,15.7,2.2,11135
Enfield (NSW),225.0,373.0,146.0,25.0,29.3,48.5,19.0,3.3,11421
Burwood Heights,80.0,116.0,38.0,3.0,33.8,48.9,16.0,1.3,10719
Haberfield,510.0,947.0,245.0,29.0,29.5,54.7,14.2,1.7,11828
Homebush West,764.0,982.0,250.0,71.0,37.0,47.5,12.1,3.4,11930
Homebush (NSW),600.0,848.0,211.0,54.0,35.0,49.5,12.3,3.2,11929
Strathfield South,242.0,527.0,158.0,26.0,25.4,55.3,16.6,2.7,13676
Chatswood,2319.0,3084.0,915.0,188.0,35.6,47.4,14.1,2.9,10892
North Willoughby,338.0,613.0,174.0,13.0,29.7,53.9,15.3,1.1,13016
Willoughby (NSW),501.0,998.0,199.0,18.0,29.2,58.2,11.6,1.0,14303
Artarmon,884.0,1280.0,317.0,56.0,34.8,50.5,12.5,2.2,10090
Roseville,848.0,1549.0,293.0,32.0,31.2,56.9,10.8,1.2,13412
Lane Cove North,1284.0,1386.0,337.0,64.0,41.8,45.1,11.0,2.1,12267
Chatswood West,150.0,237.0,37.0,7.0,34.8,55.0,8.6,1.6,10893
Lane Cove West,228.0,420.0,66.0,9.0,31.5,58.1,9.1,1.2,12268
Lane Cove,1126.0,1374.0,337.0,53.0,39.0,47.5,11.7,1.8,12266
Riverview (NSW),232.0,524.0,86.0,9.0,27.3,61.6,10.1,1.1,13370
Greenwich,581.0,694.0,138.0,21.0,40.5,48.4,9.6,1.5,11770
Northwood (NSW),100.0,151.0,17.0,9.0,36.1,54.5,6.1,3.2,13024
Longueville,187.0,347.0,49.0,6.0,31.7,58.9,8.3,1.0,12385
Linley Point,32.0,53.0,5.0,3.0,34.4,57.0,5.4,3.2,12341
St Leonards (NSW),902.0,408.0,110.0,44.0,61.6,27.9,7.5,3.0,13642
Naremburn,617.0,769.0,198.0,29.0,38.3,47.7,12.3,1.8,12898
Cammeray,821.0,793.0,232.0,32.0,43.7,42.2,12.4,1.7,10778
Castle Cove,237.0,416.0,69.0,7.0,32.5,57.1,9.5,1.0,10845
Castlecrag,246.0,490.0,68.0,12.0,30.1,60.0,8.3,1.5,10849
Northbridge (NSW),539.0,1001.0,154.0,10.0,31.6,58.7,9.0,0.6,13022
Middle Cove,109.0,226.0,35.0,3.0,29.2,60.6,9.4,0.8,12602
Willoughby East,107.0,328.0,46.0,6.0,22.0,67.4,9.4,1.2,14304
Hornsby Heights,521.0,1050.0,204.0,19.0,29.0,58.5,11.4,1.1,11937
Mount Colah,555.0,1196.0,241.0,23.0,27.5,59.4,12.0,1.1,12750
Asquith,279.0,518.0,119.0,15.0,30.0,55.6,12.8,1.6,10103
Hornsby,2054.0,3021.0,914.0,132.0,33.6,49.4,14.9,2.2,11936
Mount Kuring-Gai,145.0,269.0,51.0,3.0,31.0,57.5,10.9,0.6,12772
Cowan,48.0,105.0,19.0,0.0,27.9,61.0,11.0,0.0,11097
Berowra,397.0,797.0,114.0,11.0,30.1,60.4,8.6,0.8,10308
Brooklyn (NSW),79.0,79.0,29.0,0.0,42.2,42.2,15.5,0.0,10599
Berowra Heights,449.0,893.0,159.0,9.0,29.7,59.1,10.5,0.6,10310
Dangar Island,38.0,27.0,10.0,0.0,50.7,36.0,13.3,0.0,11199
Normanhurst,419.0,770.0,156.0,11.0,30.9,56.8,11.5,0.8,12976
Thornleigh,651.0,1331.0,297.0,34.0,28.1,57.5,12.8,1.5,13850
Westleigh,411.0,758.0,110.0,12.0,31.8,58.7,8.5,0.9,14260
Wahroonga,1453.0,2594.0,483.0,57.0,31.7,56.6,10.5,1.2,14085
Waitara,590.0,833.0,215.0,32.0,35.3,49.9,12.9,1.9,14086
East Killara,223.0,512.0,88.0,15.0,26.6,61.1,10.5,1.8,11355
Killara (NSW),898.0,1641.0,368.0,41.0,30.5,55.7,12.5,1.4,12129
Lindfield,809.0,1530.0,304.0,49.0,30.1,56.8,11.3,1.8,12339
Gordon (NSW),665.0,1162.0,278.0,28.0,31.2,54.5,13.0,1.3,11718
East Lindfield,273.0,619.0,87.0,8.0,27.7,62.7,8.8,0.8,11357
Roseville Chase,118.0,282.0,37.0,3.0,26.8,64.1,8.4,0.7,13413
Pymble,909.0,1869.0,292.0,28.0,29.3,60.3,9.4,0.9,13281
West Pymble,360.0,921.0,131.0,17.0,25.2,64.5,9.2,1.2,14250
St Ives (NSW),1666.0,2804.0,487.0,39.0,33.3,56.1,9.7,0.8,13639
St Ives Chase,283.0,563.0,67.0,0.0,31.0,61.7,7.3,0.0,13640
Turramurra,1053.0,1882.0,341.0,28.0,31.9,57.0,10.3,0.8,13980
South Turramurra,250.0,506.0,92.0,8.0,29.2,59.1,10.7,0.9,13598
North Turramurra,503.0,499.0,73.0,15.0,46.1,45.8,6.7,1.4,13013
Warrawee,273.0,487.0,74.0,10.0,32.3,57.7,8.8,1.2,14165
North Wahroonga,196.0,337.0,53.0,3.0,33.3,57.2,9.0,0.5,13015
Cremorne Point,335.0,230.0,58.0,11.0,52.8,36.3,9.1,1.7,11113
Cremorne (NSW),1441.0,1143.0,312.0,65.0,48.7,38.6,10.5,2.2,11112
Neutral Bay,1377.0,868.0,291.0,74.0,52.8,33.3,11.1,2.8,12934
Crows Nest (NSW),662.0,461.0,117.0,20.0,52.5,36.6,9.3,1.6,11131
Wollstonecraft,1174.0,790.0,207.0,55.0,52.7,35.5,9.3,2.5,14359
Waverton,443.0,261.0,87.0,26.0,54.2,31.9,10.6,3.2,14202
North Sydney,1079.0,553.0,173.0,51.0,58.1,29.8,9.3,2.7,13010
Mosman,3114.0,3511.0,807.0,86.0,41.4,46.7,10.7,1.1,12738
Kirribilli,629.0,204.0,81.0,19.0,67.4,21.9,8.7,2.0,12173
Kurraba Point,234.0,129.0,44.0,4.0,56.9,31.4,10.7,1.0,12217
Milsons Point,391.0,153.0,53.0,10.0,64.4,25.2,8.7,1.6,12629
McMahons Point,390.0,152.0,44.0,6.0,65.9,25.7,7.4,1.0,12547
Lavender Bay,143.0,67.0,14.0,6.0,62.2,29.1,6.1,2.6,12285
Seaforth (NSW),513.0,1215.0,184.0,20.0,26.6,62.9,9.5,1.0,13509
Balgowlah Heights,207.0,609.0,67.0,3.0,23.4,68.7,7.6,0.3,10154
Clontarf (NSW),149.0,291.0,34.0,0.0,31.4,61.4,7.2,0.0,10935
Balgowlah,765.0,1087.0,287.0,33.0,35.2,50.0,13.2,1.5,10153
Manly (NSW),2126.0,1407.0,363.0,65.0,53.7,35.5,9.2,1.6,12475
Fairlight,724.0,706.0,175.0,18.0,44.6,43.5,10.8,1.1,11482
Avalon Beach,964.0,1394.0,314.0,21.0,35.8,51.8,11.7,0.8,10111
Palm Beach (NSW),233.0,146.0,57.0,0.0,53.4,33.5,13.1,0.0,13132
Whale Beach,39.0,18.0,9.0,0.0,59.1,27.3,13.6,0.0,14267
Clareville,118.0,96.0,13.0,0.0,52.0,42.3,5.7,0.0,10923
Scotland Island,57.0,76.0,23.0,0.0,36.5,48.7,14.7,0.0,13505
Elanora Heights,368.0,716.0,125.0,7.0,30.3,58.9,10.3,0.6,11389
Ingleside,85.0,131.0,33.0,3.0,33.7,52.0,13.1,1.2,11979
Bayview (NSW),444.0,418.0,62.0,13.0,47.4,44.6,6.6,1.4,10237
Church Point,151.0,135.0,12.0,0.0,50.7,45.3,4.0,0.0,10915
Lovett Bay,13.0,8.0,0.0,0.0,61.9,38.1,0.0,0.0,12397
Mona Vale,1126.0,1412.0,340.0,23.0,38.8,48.7,11.7,0.8,12672
Newport (NSW),941.0,1268.0,350.0,31.0,36.3,49.0,13.5,1.2,12956
Bilgola Plateau,356.0,567.0,92.0,6.0,34.9,55.5,9.0,0.6,10351
Bilgola Beach,43.0,32.0,3.0,0.0,55.1,41.0,3.8,0.0,10350
Warriewood,624.0,1106.0,293.0,25.0,30.5,54.0,14.3,1.2,14173
North Narrabeen,467.0,881.0,198.0,10.0,30.0,56.6,12.7,0.6,12999
Beacon Hill,595.0,1199.0,232.0,21.0,29.1,58.6,11.3,1.0,10238
Narraweena,508.0,893.0,264.0,15.0,30.2,53.2,15.7,0.9,12910
Cromer (NSW),626.0,1158.0,230.0,15.0,30.9,57.1,11.3,0.7,11118
Oxford Falls,9.0,18.0,3.0,0.0,30.0,60.0,10.0,0.0,13106
Dee Why,2395.0,2387.0,855.0,100.0,41.7,41.6,14.9,1.7,11227
North Curl Curl,259.0,655.0,144.0,10.0,24.3,61.3,13.5,0.9,12988
Forestville (NSW),662.0,1278.0,251.0,24.0,29.9,57.7,11.3,1.1,11548
Killarney Heights,348.0,760.0,140.0,12.0,27.6,60.3,11.1,1.0,12130
Frenchs Forest,1039.0,2278.0,389.0,34.0,27.8,60.9,10.4,0.9,11568
Belrose,786.0,1285.0,238.0,11.0,33.9,55.4,10.3,0.5,10283
Davidson,299.0,461.0,66.0,3.0,36.1,55.6,8.0,0.4,11219
Curl Curl,174.0,365.0,52.0,8.0,29.0,60.9,8.7,1.3,11167
Freshwater (NSW),927.0,1144.0,263.0,23.0,39.3,48.5,11.2,1.0,11569
Manly Vale,557.0,782.0,254.0,32.0,34.3,48.1,15.6,2.0,12476
North Manly,212.0,493.0,92.0,13.0,26.2,60.9,11.4,1.6,12997
Queenscliff (NSW),499.0,316.0,88.0,14.0,54.4,34.5,9.6,1.5,13296
Brookvale,369.0,327.0,141.0,19.0,43.1,38.2,16.5,2.2,10601
Allambie Heights,536.0,1090.0,192.0,16.0,29.2,59.4,10.5,0.9,10036
North Balgowlah,196.0,667.0,106.0,5.0,20.1,68.5,10.9,0.5,12981
Narrabeen,1048.0,713.0,277.0,27.0,50.8,34.5,13.4,1.3,12902
Collaroy (NSW),872.0,972.0,258.0,32.0,40.9,45.5,12.1,1.5,10970
