,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Stanwell Park,132.0,222.0,31.0,3.0,34.0,57.2,8.0,0.8,13653
Stanwell Tops,46.0,76.0,15.0,0.0,33.6,55.5,10.9,0.0,13654
Thirroul,634.0,836.0,193.0,14.0,37.8,49.9,11.5,0.8,13848
Austinmer,254.0,344.0,74.0,4.0,37.6,50.9,10.9,0.6,10108
Coledale,125.0,181.0,34.0,3.0,36.4,52.8,9.9,0.9,10966
Wombarra,100.0,124.0,34.0,3.0,38.3,47.5,13.0,1.1,14363
Scarborough (NSW),27.0,47.0,12.0,4.0,30.0,52.2,13.3,4.4,13500
Coalcliff,24.0,25.0,3.0,0.0,46.2,48.1,5.8,0.0,10944
Woonona,1134.0,1556.0,537.0,39.0,34.7,47.6,16.4,1.2,14416
Russell Vale,156.0,197.0,76.0,3.0,36.1,45.6,17.6,0.7,13448
Wollongong,2086.0,1090.0,620.0,143.0,53.0,27.7,15.7,3.6,14358
Mount Saint Thomas,132.0,178.0,88.0,4.0,32.8,44.3,21.9,1.0,12791
