,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%)
Blackwall (NSW),543.0,35.0,148.0,4.0,74.4,4.8,20.3,0.5
Blairmount,113.0,6.0,0.0,0.0,95.0,5.0,0.0,0.0
Blakehurst,1695.0,120.0,101.0,6.0,88.1,6.2,5.2,0.3
Blaxland (NSW),2486.0,143.0,6.0,3.0,94.1,5.4,0.2,0.1
Blue Bay,207.0,107.0,99.0,6.0,49.4,25.5,23.6,1.4
Blue Haven,2004.0,32.0,6.0,0.0,98.1,1.6,0.3,0.0
Bolton Point,699.0,102.0,19.0,0.0,84.9,12.4,2.3,0.0
Bondi,388.0,459.0,2990.0,39.0,10.0,11.8,77.1,1.0
Bondi Beach,258.0,586.0,3795.0,39.0,5.5,12.5,81.1,0.8
Bondi Junction,358.0,966.0,2162.0,15.0,10.2,27.4,61.3,0.4
Bonnet Bay,696.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Bonnyrigg,2018.0,208.0,38.0,8.0,88.7,9.1,1.7,0.4
Bonnyrigg Heights,1830.0,47.0,0.0,0.0,97.5,2.5,0.0,0.0
Booker Bay,275.0,72.0,151.0,9.0,54.2,14.2,29.8,1.8
Boolaroo,366.0,0.0,23.0,4.0,93.1,0.0,5.9,1.0
Booragul,421.0,56.0,19.0,0.0,84.9,11.3,3.8,0.0
Bossley Park,3889.0,170.0,16.0,0.0,95.4,4.2,0.4,0.0
Botany,1219.0,886.0,820.0,35.0,40.9,29.7,27.5,1.2
Bow Bowing,482.0,3.0,0.0,0.0,99.4,0.6,0.0,0.0
Bradbury (NSW),2597.0,313.0,60.0,0.0,87.4,10.5,2.0,0.0
Broadmeadow,496.0,115.0,70.0,0.0,72.8,16.9,10.3,0.0
Bronte,911.0,408.0,1106.0,30.0,37.0,16.6,44.9,1.2
Brookvale,275.0,285.0,431.0,11.0,27.4,28.4,43.0,1.1
Budgewoi,1199.0,44.0,95.0,18.0,88.2,3.2,7.0,1.3
Buff Point,1268.0,29.0,8.0,0.0,97.2,2.2,0.6,0.0
Bulli,1612.0,293.0,82.0,5.0,80.8,14.7,4.1,0.3
Burwood (NSW),1651.0,398.0,2168.0,9.0,39.0,9.4,51.2,0.2
Burwood Heights,202.0,10.0,35.0,3.0,80.8,4.0,14.0,1.2
Busby,1128.0,17.0,52.0,0.0,94.2,1.4,4.3,0.0
Cabarita (NSW),243.0,163.0,279.0,6.0,35.2,23.6,40.4,0.9
Cabramatta,2566.0,1347.0,2519.0,5.0,39.8,20.9,39.1,0.1
Cabramatta West,1747.0,123.0,24.0,0.0,92.2,6.5,1.3,0.0
Cambridge Gardens,667.0,3.0,0.0,0.0,99.6,0.4,0.0,0.0
Cambridge Park,1729.0,438.0,24.0,3.0,78.8,20.0,1.1,0.1
Camden,886.0,152.0,183.0,6.0,72.2,12.4,14.9,0.5
Camden South,1442.0,76.0,0.0,0.0,94.8,5.0,0.0,0.0
Cammeray,821.0,378.0,1766.0,20.0,27.5,12.6,59.1,0.7
Campbelltown (NSW),2353.0,697.0,844.0,9.0,60.3,17.9,21.6,0.2
Camperdown (NSW),154.0,776.0,2262.0,0.0,4.8,24.2,70.7,0.0
Campsie,1929.0,888.0,4231.0,37.0,27.2,12.5,59.6,0.5
Canada Bay,307.0,71.0,99.0,0.0,64.4,14.9,20.8,0.0
Canley Heights,2077.0,853.0,3.0,6.0,70.5,28.9,0.1,0.2
Canley Vale,1592.0,545.0,720.0,4.0,55.5,19.0,25.1,0.1
Canterbury (NSW),1081.0,173.0,900.0,38.0,49.3,7.9,41.1,1.7
Canton Beach,413.0,114.0,3.0,48.0,71.5,19.7,0.5,8.3
Cardiff (NSW),1957.0,101.0,139.0,8.0,88.6,4.6,6.3,0.4
Cardiff Heights,363.0,78.0,6.0,0.0,81.2,17.4,1.3,0.0
Cardiff South,994.0,71.0,57.0,6.0,88.1,6.3,5.1,0.5
Caringbah,1531.0,1154.0,1860.0,9.0,33.6,25.3,40.8,0.2
Carlingford,5322.0,839.0,916.0,10.0,75.0,11.8,12.9,0.1
Carlton (NSW),1535.0,409.0,1380.0,17.0,45.7,12.2,41.1,0.5
Carramar (NSW),484.0,87.0,602.0,3.0,41.2,7.4,51.2,0.3
Carrington (Newcastle - NSW),513.0,193.0,90.0,3.0,64.2,24.2,11.3,0.4
Carss Park,348.0,64.0,15.0,8.0,80.0,14.7,3.4,1.8
Cartwright,524.0,39.0,275.0,0.0,62.5,4.7,32.8,0.0
