,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%),SSC_CODE
Saumarez Ponds,0.0,26.0,53.0,57.0,3.0,0.0,18.7,38.1,41.0,2.2,13495
Invergowrie,0.0,61.0,123.0,72.0,9.0,0.0,23.0,46.4,27.2,3.4,11983
Arding,0.0,15.0,33.0,19.0,6.0,0.0,20.5,45.2,26.0,8.2,10075
Castle Doyle,0.0,10.0,22.0,29.0,0.0,0.0,16.4,36.1,47.5,0.0,10846
Dangarsleigh,0.0,8.0,15.0,15.0,0.0,0.0,21.1,39.5,39.5,0.0,11200
Kellys Plains,0.0,9.0,30.0,21.0,3.0,0.0,14.3,47.6,33.3,4.8,12087
Yarrowyck,0.0,10.0,26.0,10.0,0.0,0.0,21.7,56.5,21.7,0.0,14492
Kentucky,0.0,8.0,24.0,27.0,3.0,0.0,12.9,38.7,43.5,4.8,12102
Kentucky South,4.0,17.0,19.0,12.0,0.0,7.7,32.7,36.5,23.1,0.0,12103
Balala,0.0,12.0,14.0,13.0,3.0,0.0,28.6,33.3,31.0,7.1,10144
Rocky River (Uralla - NSW),0.0,33.0,37.0,30.0,7.0,0.0,30.8,34.6,28.0,6.5,13390
Walcha,42.0,279.0,360.0,254.0,48.0,4.3,28.4,36.6,25.8,4.9,14093
Woolbrook,0.0,13.0,27.0,14.0,0.0,0.0,24.1,50.0,25.9,0.0,14400
Nowendoc,0.0,14.0,29.0,10.0,3.0,0.0,25.0,51.8,17.9,5.4,13026
Yarrowitch,0.0,21.0,23.0,24.0,3.0,0.0,29.6,32.4,33.8,4.2,14491
Stonehenge (NSW),0.0,6.0,17.0,19.0,0.0,0.0,14.3,40.5,45.2,0.0,13665
Glen Innes,224.0,989.0,728.0,365.0,131.0,9.2,40.6,29.9,15.0,5.4,11649
Emmaville,12.0,85.0,77.0,40.0,8.0,5.4,38.3,34.7,18.0,3.6,11414
Deepwater (NSW),14.0,69.0,72.0,24.0,6.0,7.6,37.3,38.9,13.0,3.2,11231
Dundee,0.0,15.0,26.0,18.0,3.0,0.0,24.2,41.9,29.0,4.8,11314
Red Range,0.0,19.0,22.0,22.0,6.0,0.0,27.5,31.9,31.9,8.7,13333
Shannon Vale,0.0,9.0,17.0,28.0,0.0,0.0,16.7,31.5,51.9,0.0,13526
Glencoe (NSW),0.0,26.0,31.0,16.0,7.0,0.0,32.5,38.8,20.0,8.8,11657
Inverell,340.0,1672.0,1509.0,731.0,226.0,7.6,37.3,33.7,16.3,5.0,11981
Ashford (NSW),11.0,86.0,89.0,51.0,15.0,4.4,34.1,35.3,20.2,6.0,10099
Tingha,24.0,82.0,96.0,65.0,17.0,8.5,28.9,33.8,22.9,6.0,13874
Yetman,4.0,26.0,28.0,19.0,3.0,5.0,32.5,35.0,23.8,3.8,14514
Bundarra,6.0,80.0,88.0,64.0,14.0,2.4,31.7,34.9,25.4,5.6,10671
Gilgai,5.0,52.0,96.0,65.0,13.0,2.2,22.5,41.6,28.1,5.6,11618
Bonshaw (NSW),0.0,7.0,14.0,9.0,0.0,0.0,23.3,46.7,30.0,0.0,10473
Coolatai,3.0,6.0,18.0,15.0,3.0,6.7,13.3,40.0,33.3,6.7,11028
Bukkulla,0.0,11.0,15.0,14.0,0.0,0.0,27.5,37.5,35.0,0.0,10648
Oakwood (NSW),0.0,11.0,33.0,23.0,3.0,0.0,15.7,47.1,32.9,4.3,13061
Nullamanna,0.0,6.0,25.0,22.0,3.0,0.0,10.7,44.6,39.3,5.4,13032
Elsmore,33.0,18.0,15.0,15.0,4.0,38.8,21.2,17.6,17.6,4.7,11408
Bingara,62.0,233.0,179.0,100.0,28.0,10.3,38.7,29.7,16.6,4.7,10365
Gravesend,3.0,27.0,40.0,38.0,0.0,2.8,25.0,37.0,35.2,0.0,11742
Auburn Vale,0.0,6.0,18.0,15.0,0.0,0.0,15.4,46.2,38.5,0.0,10107
Gum Flat,0.0,13.0,25.0,22.0,6.0,0.0,19.7,37.9,33.3,9.1,11796
Delungra,0.0,63.0,81.0,61.0,17.0,0.0,28.4,36.5,27.5,7.7,11234
Warialda,35.0,215.0,198.0,130.0,34.0,5.7,35.1,32.4,21.2,5.6,14149
Yallaroi,0.0,3.0,12.0,17.0,0.0,0.0,9.4,37.5,53.1,0.0,14456
Warialda Rail,0.0,11.0,21.0,10.0,0.0,0.0,26.2,50.0,23.8,0.0,14150
Upper Horton,0.0,13.0,23.0,18.0,4.0,0.0,22.4,39.7,31.0,6.9,14029
Tabulam,15.0,80.0,61.0,23.0,8.0,8.0,42.8,32.6,12.3,4.3,13723
Tenterfield,96.0,626.0,555.0,295.0,78.0,5.8,37.9,33.6,17.9,4.7,13792
Drake,3.0,77.0,39.0,15.0,4.0,2.2,55.8,28.3,10.9,2.9,11290
Liston,3.0,17.0,16.0,18.0,3.0,5.3,29.8,28.1,31.6,5.3,12346
Legume,0.0,14.0,28.0,14.0,7.0,0.0,22.2,44.4,22.2,11.1,12296
Urbenville,12.0,51.0,36.0,17.0,3.0,10.1,42.9,30.3,14.3,2.5,14057
Woodenbong,14.0,61.0,59.0,25.0,9.0,8.3,36.3,35.1,14.9,5.4,14382
Jennings,4.0,21.0,17.0,12.0,5.0,6.8,35.6,28.8,20.3,8.5,12008
Moree,289.0,1072.0,1090.0,574.0,253.0,8.8,32.7,33.3,17.5,7.7,12722
Pallamallawa,3.0,42.0,70.0,46.0,9.0,1.8,24.7,41.2,27.1,5.3,13131
Garah,0.0,22.0,42.0,34.0,6.0,0.0,21.2,40.4,32.7,5.8,11586
Boomi,3.0,20.0,23.0,23.0,0.0,4.3,29.0,33.3,33.3,0.0,10489
Ashley,0.0,34.0,48.0,32.0,8.0,0.0,27.9,39.3,26.2,6.6,10100
Boggabilla,49.0,106.0,80.0,40.0,7.0,17.4,37.6,28.4,14.2,2.5,10441
North Star,3.0,18.0,28.0,26.0,4.0,3.8,22.8,35.4,32.9,5.1,13008
Mungindi (NSW),14.0,73.0,70.0,38.0,23.0,6.4,33.5,32.1,17.4,10.6,12843
Gurley,3.0,11.0,29.0,32.0,3.0,3.8,14.1,37.2,41.0,3.8,11817
Biniguy,0.0,8.0,24.0,13.0,3.0,0.0,16.7,50.0,27.1,6.2,10369
Bellata,3.0,24.0,49.0,32.0,11.0,2.5,20.2,41.2,26.9,9.2,10266
Narrabri,167.0,844.0,998.0,577.0,132.0,6.1,31.1,36.7,21.2,4.9,12903
Wee Waa,58.0,240.0,236.0,151.0,36.0,8.0,33.3,32.7,20.9,5.0,14211
Merah North,3.0,11.0,10.0,24.0,0.0,6.2,22.9,20.8,50.0,0.0,12572
Maules Creek,0.0,9.0,18.0,13.0,0.0,0.0,22.5,45.0,32.5,0.0,12526
Baan Baa,3.0,10.0,19.0,25.0,5.0,4.8,16.1,30.6,40.3,8.1,10120
Tarriaro,0.0,3.0,14.0,17.0,0.0,0.0,8.8,41.2,50.0,0.0,13770
Bohena Creek,0.0,6.0,22.0,20.0,0.0,0.0,12.5,45.8,41.7,0.0,10444
Jacks Creek,0.0,9.0,21.0,15.0,0.0,0.0,20.0,46.7,33.3,0.0,11993
Gwabegar,3.0,16.0,14.0,17.0,0.0,6.0,32.0,28.0,34.0,0.0,11823
Gunnedah,212.0,1241.0,1298.0,682.0,200.0,5.8,34.2,35.7,18.8,5.5,11812
Curlewis (NSW),4.0,73.0,114.0,73.0,12.0,1.4,26.4,41.3,26.4,4.3,11169
Boggabri,15.0,152.0,130.0,104.0,20.0,3.6,36.1,30.9,24.7,4.8,10442
Carroll,0.0,36.0,36.0,28.0,9.0,0.0,33.0,33.0,25.7,8.3,10832
Piallaway,0.0,7.0,23.0,16.0,7.0,0.0,13.2,43.4,30.2,13.2,13196
Breeza,0.0,13.0,23.0,21.0,0.0,0.0,22.8,40.4,36.8,0.0,10561
Caroona,6.0,31.0,19.0,7.0,0.0,9.5,49.2,30.2,11.1,0.0,10823
Spring Ridge,3.0,28.0,31.0,27.0,8.0,3.1,28.9,32.0,27.8,8.2,13619
Emerald Hill,0.0,12.0,20.0,20.0,0.0,0.0,23.1,38.5,38.5,0.0,11412
Mullaley,3.0,18.0,25.0,19.0,0.0,4.6,27.7,38.5,29.2,0.0,12820
Kelvin,0.0,12.0,20.0,23.0,4.0,0.0,20.3,33.9,39.0,6.8,12091
Werris Creek,59.0,260.0,190.0,89.0,36.0,9.3,41.0,30.0,14.0,5.7,14238
Quirindi,91.0,480.0,453.0,251.0,51.0,6.9,36.2,34.2,18.9,3.8,13301
Wallabadah,4.0,53.0,58.0,47.0,6.0,2.4,31.5,34.5,28.0,3.6,14098
Currabubula,7.0,33.0,44.0,31.0,3.0,5.9,28.0,37.3,26.3,2.5,11172
Quipolly,0.0,8.0,22.0,23.0,0.0,0.0,15.1,41.5,43.4,0.0,13300
Willow Tree,5.0,37.0,31.0,41.0,3.0,4.3,31.6,26.5,35.0,2.6,14305
Blackville,0.0,7.0,13.0,13.0,0.0,0.0,21.2,39.4,39.4,0.0,10398
Hillvue,51.0,671.0,1006.0,450.0,78.0,2.3,29.7,44.6,19.9,3.5,11914
Calala,25.0,388.0,606.0,269.0,31.0,1.9,29.4,45.9,20.4,2.4,10748
Kingswood (Tamworth Regional - NSW),0.0,39.0,154.0,109.0,13.0,0.0,12.4,48.9,34.6,4.1,12164
South Tamworth,318.0,1136.0,752.0,282.0,183.0,11.9,42.5,28.2,10.6,6.9,13597
West Tamworth,329.0,838.0,528.0,167.0,139.0,16.4,41.9,26.4,8.3,6.9,14252
North Tamworth,172.0,765.0,631.0,250.0,137.0,8.8,39.1,32.3,12.8,7.0,13011
Tamworth,7.0,33.0,12.0,4.0,10.0,10.6,50.0,18.2,6.1,15.2,13746
East Tamworth,111.0,809.0,831.0,252.0,65.0,5.4,39.1,40.2,12.2,3.1,11363
Oxley Vale,64.0,457.0,498.0,191.0,52.0,5.1,36.2,39.5,15.1,4.1,13111
Nemingha,3.0,62.0,87.0,80.0,15.0,1.2,25.1,35.2,32.4,6.1,12926
Westdale (Tamworth Regional - NSW),25.0,261.0,373.0,140.0,30.0,3.0,31.5,45.0,16.9,3.6,14259
Kootingal,22.0,236.0,337.0,172.0,29.0,2.8,29.6,42.3,21.6,3.6,12194
Duri,0.0,37.0,66.0,67.0,4.0,0.0,21.3,37.9,38.5,2.3,11332
Bithramere,0.0,10.0,20.0,28.0,4.0,0.0,16.1,32.3,45.2,6.5,10381
Winton (NSW),0.0,12.0,32.0,28.0,0.0,0.0,16.7,44.4,38.9,0.0,14336
Rushes Creek,0.0,16.0,11.0,13.0,3.0,0.0,37.2,25.6,30.2,7.0,13445
Somerton (NSW),4.0,22.0,40.0,31.0,4.0,4.0,21.8,39.6,30.7,4.0,13572
Bective,0.0,10.0,17.0,33.0,0.0,0.0,16.7,28.3,55.0,0.0,10245
Attunga,0.0,49.0,78.0,74.0,3.0,0.0,24.0,38.2,36.3,1.5,10105
Garthowen,0.0,9.0,17.0,29.0,0.0,0.0,16.4,30.9,52.7,0.0,11593
Limbri,3.0,10.0,24.0,9.0,0.0,6.5,21.7,52.2,19.6,0.0,12327
Tintinhull,0.0,42.0,53.0,43.0,5.0,0.0,29.4,37.1,30.1,3.5,13879
Loomberah,0.0,27.0,67.0,76.0,3.0,0.0,15.6,38.7,43.9,1.7,12386
Moonbi,16.0,106.0,134.0,123.0,25.0,4.0,26.2,33.2,30.4,6.2,12699
Bendemeer,12.0,55.0,60.0,57.0,4.0,6.4,29.3,31.9,30.3,2.1,10289
Watsons Creek (NSW),0.0,20.0,16.0,12.0,4.0,0.0,38.5,30.8,23.1,7.7,14188
Halls Creek (NSW),0.0,3.0,25.0,20.0,3.0,0.0,5.9,49.0,39.2,5.9,11834
Barraba,48.0,246.0,182.0,87.0,49.0,7.8,40.2,29.7,14.2,8.0,10206
Upper Manilla,4.0,10.0,26.0,9.0,0.0,8.2,20.4,53.1,18.4,0.0,14037
Manilla,67.0,362.0,304.0,177.0,60.0,6.9,37.3,31.3,18.2,6.2,12474
Daruka,0.0,33.0,117.0,104.0,3.0,0.0,12.8,45.5,40.5,1.2,11218
Moore Creek,0.0,86.0,343.0,247.0,20.0,0.0,12.4,49.3,35.5,2.9,12710
Hallsville,3.0,32.0,75.0,74.0,8.0,1.6,16.7,39.1,38.5,4.2,11835
Nundle,10.0,73.0,71.0,39.0,8.0,5.0,36.3,35.3,19.4,4.0,13043
Ogunbil,0.0,16.0,18.0,22.0,3.0,0.0,27.1,30.5,37.3,5.1,13071
Dungowan,0.0,28.0,52.0,47.0,8.0,0.0,20.7,38.5,34.8,5.9,11321
Piallamore,0.0,9.0,39.0,38.0,0.0,0.0,10.5,45.3,44.2,0.0,13195
Woolomin,5.0,34.0,39.0,20.0,3.0,5.0,33.7,38.6,19.8,3.0,14408
Warral,4.0,24.0,60.0,52.0,3.0,2.8,16.8,42.0,36.4,2.1,14163
Timbumburi,0.0,3.0,20.0,21.0,3.0,0.0,6.4,42.6,44.7,6.4,13870
Windale,297.0,620.0,248.0,94.0,86.0,22.1,46.1,18.4,7.0,6.4,14315
Jewells,19.0,231.0,416.0,192.0,19.0,2.2,26.3,47.4,21.9,2.2,12024
Belmont North,115.0,680.0,907.0,465.0,60.0,5.2,30.5,40.7,20.9,2.7,10277
Belmont (NSW),339.0,1097.0,964.0,424.0,114.0,11.5,37.3,32.8,14.4,3.9,10276
Floraville,13.0,149.0,289.0,160.0,4.0,2.1,24.2,47.0,26.0,0.7,11535
Blacksmiths,49.0,314.0,245.0,117.0,35.0,6.4,41.3,32.2,15.4,4.6,10396
Pelican (NSW),21.0,116.0,115.0,77.0,19.0,6.0,33.3,33.0,22.1,5.5,13178
Marks Point,79.0,327.0,261.0,96.0,55.0,9.7,40.0,31.9,11.7,6.7,12492
Belmont South,41.0,162.0,132.0,66.0,11.0,10.0,39.3,32.0,16.0,2.7,10278
Kahibah,68.0,354.0,406.0,127.0,25.0,6.9,36.1,41.4,13.0,2.6,12048
Charlestown (NSW),327.0,1730.0,2003.0,796.0,126.0,6.6,34.7,40.2,16.0,2.5,10885
Whitebridge,30.0,262.0,412.0,204.0,34.0,3.2,27.8,43.7,21.7,3.6,14276
Gateshead,130.0,459.0,322.0,179.0,49.0,11.4,40.3,28.3,15.7,4.3,11594
Dudley,25.0,227.0,370.0,187.0,18.0,3.0,27.4,44.7,22.6,2.2,11300
Highfields (NSW),15.0,114.0,134.0,55.0,12.0,4.5,34.5,40.6,16.7,3.6,11902
Garden Suburb,16.0,152.0,280.0,153.0,5.0,2.6,25.1,46.2,25.2,0.8,11587
Cardiff (NSW),152.0,863.0,833.0,339.0,54.0,6.8,38.5,37.2,15.1,2.4,10809
Hillsborough (Lake Macquarie - NSW),8.0,69.0,93.0,53.0,5.0,3.5,30.3,40.8,23.2,2.2,11909
Warners Bay,183.0,1108.0,1135.0,505.0,77.0,6.1,36.8,37.7,16.8,2.6,14153
Argenton,56.0,190.0,184.0,81.0,23.0,10.5,35.6,34.5,15.2,4.3,10078
Glendale (NSW),98.0,414.0,441.0,205.0,43.0,8.2,34.5,36.7,17.1,3.6,11658
Elermore Vale,119.0,743.0,768.0,363.0,62.0,5.8,36.2,37.4,17.7,3.0,11394
Macquarie Hills,16.0,243.0,554.0,269.0,16.0,1.5,22.1,50.5,24.5,1.5,12434
Kotara,68.0,498.0,607.0,252.0,40.0,4.6,34.0,41.4,17.2,2.7,12200
Cardiff Heights,40.0,175.0,205.0,94.0,12.0,7.6,33.3,39.0,17.9,2.3,10810
Cardiff South,59.0,385.0,388.0,199.0,25.0,5.6,36.5,36.7,18.8,2.4,10811
New Lambton Heights,6.0,195.0,396.0,198.0,18.0,0.7,24.0,48.7,24.4,2.2,12943
Rankin Park,19.0,265.0,426.0,172.0,20.0,2.1,29.4,47.2,19.1,2.2,13315
Tingira Heights,11.0,168.0,310.0,179.0,26.0,1.6,24.2,44.7,25.8,3.7,13875
Mount Hutton (NSW),99.0,509.0,467.0,220.0,65.0,7.3,37.4,34.3,16.2,4.8,12766
Eleebana,33.0,458.0,929.0,537.0,30.0,1.7,23.0,46.8,27.0,1.5,11393
Redhead,78.0,471.0,479.0,259.0,53.0,5.8,35.1,35.7,19.3,4.0,13340
Caves Beach,67.0,410.0,611.0,319.0,45.0,4.6,28.2,42.1,22.0,3.1,10862
Nords Wharf,3.0,85.0,143.0,78.0,8.0,0.9,26.8,45.1,24.6,2.5,12975
Swansea (NSW),232.0,905.0,607.0,313.0,130.0,10.6,41.4,27.8,14.3,5.9,13711
Swansea Heads,9.0,41.0,96.0,55.0,7.0,4.3,19.7,46.2,26.4,3.4,13712
Catherine Hill Bay,3.0,14.0,23.0,13.0,7.0,5.0,23.3,38.3,21.7,11.7,10857
Cams Wharf,0.0,19.0,17.0,10.0,13.0,0.0,32.2,28.8,16.9,22.0,10784
Murrays Beach,0.0,43.0,135.0,26.0,3.0,0.0,20.8,65.2,12.6,1.4,12854
Valentine,34.0,513.0,894.0,498.0,46.0,1.7,25.8,45.0,25.1,2.3,14065
Croudace Bay,5.0,61.0,81.0,36.0,4.0,2.7,32.6,43.3,19.3,2.1,11128
Speers Point,65.0,422.0,503.0,248.0,44.0,5.1,32.9,39.2,19.3,3.4,13605
Lakelands (NSW),6.0,106.0,222.0,139.0,6.0,1.3,22.1,46.3,29.0,1.3,12256
Boolaroo,32.0,140.0,145.0,77.0,13.0,7.9,34.4,35.6,18.9,3.2,10482
Booragul,37.0,204.0,145.0,66.0,26.0,7.7,42.7,30.3,13.8,5.4,10495
Fennell Bay,37.0,215.0,221.0,124.0,24.0,6.0,34.6,35.6,20.0,3.9,11500
Marmong Point,6.0,93.0,108.0,70.0,5.0,2.1,33.0,38.3,24.8,1.8,12498
Woodrising,11.0,123.0,154.0,89.0,9.0,2.8,31.9,39.9,23.1,2.3,14391
Bolton Point,59.0,309.0,255.0,111.0,24.0,7.8,40.8,33.6,14.6,3.2,10449
Teralba,55.0,199.0,166.0,140.0,22.0,9.5,34.2,28.5,24.1,3.8,13793
Fassifern (NSW),13.0,79.0,87.0,43.0,4.0,5.8,35.0,38.5,19.0,1.8,11495
Balcolyn,11.0,135.0,136.0,72.0,10.0,3.0,37.1,37.4,19.8,2.7,10145
Yarrawonga Park,3.0,51.0,62.0,28.0,4.0,2.0,34.5,41.9,18.9,2.7,14487
Mirrabooka (NSW),10.0,103.0,102.0,53.0,3.0,3.7,38.0,37.6,19.6,1.1,12647
Sunshine (NSW),4.0,59.0,65.0,29.0,5.0,2.5,36.4,40.1,17.9,3.1,13694
Silverwater (Lake Macquarie - NSW),5.0,33.0,42.0,23.0,9.0,4.5,29.5,37.5,20.5,8.0,13546
Bonnells Bay,35.0,473.0,516.0,265.0,51.0,2.6,35.3,38.5,19.8,3.8,10468
Brightwaters,7.0,104.0,142.0,78.0,3.0,2.1,31.1,42.5,23.4,0.9,10570
Morisset Park,3.0,47.0,124.0,66.0,3.0,1.2,19.3,51.0,27.2,1.2,12724
Windermere Park,10.0,103.0,92.0,51.0,9.0,3.8,38.9,34.7,19.2,3.4,14321
Edgeworth,167.0,812.0,861.0,414.0,98.0,7.1,34.5,36.6,17.6,4.2,11381
Cameron Park,22.0,430.0,1236.0,625.0,43.0,0.9,18.3,52.5,26.5,1.8,10775
Cooranbong,76.0,655.0,642.0,426.0,63.0,4.1,35.2,34.5,22.9,3.4,11052
Wyee,34.0,252.0,258.0,229.0,47.0,4.1,30.7,31.5,27.9,5.7,14438
Morisset,159.0,650.0,270.0,171.0,73.0,12.0,49.1,20.4,12.9,5.5,12723
Wyee Point,6.0,80.0,142.0,125.0,14.0,1.6,21.8,38.7,34.1,3.8,14439
Mandalong,0.0,20.0,46.0,56.0,9.0,0.0,15.3,35.1,42.7,6.9,12465
Dora Creek,26.0,225.0,211.0,167.0,32.0,3.9,34.0,31.9,25.3,4.8,11277
Eraring,5.0,16.0,36.0,24.0,0.0,6.2,19.8,44.4,29.6,0.0,11429
Martinsville,0.0,17.0,50.0,45.0,6.0,0.0,14.4,42.4,38.1,5.1,12512
Blackalls Park,55.0,366.0,374.0,199.0,49.0,5.3,35.1,35.9,19.1,4.7,10390
Toronto,193.0,914.0,663.0,282.0,115.0,8.9,42.2,30.6,13.0,5.3,13918
Kilaben Bay,13.0,126.0,225.0,127.0,11.0,2.6,25.1,44.8,25.3,2.2,12125
Coal Point,8.0,140.0,295.0,176.0,23.0,1.2,21.8,46.0,27.4,3.6,10943
Awaba,3.0,34.0,46.0,48.0,7.0,2.2,24.6,33.3,34.8,5.1,10118
Carey Bay,21.0,130.0,118.0,49.0,19.0,6.2,38.6,35.0,14.5,5.6,10812
Buttaba,0.0,116.0,179.0,88.0,4.0,0.0,30.0,46.3,22.7,1.0,10723
Fishing Point,5.0,125.0,173.0,87.0,10.0,1.2,31.2,43.2,21.8,2.5,11526
Rathmines,18.0,224.0,285.0,175.0,21.0,2.5,31.0,39.4,24.2,2.9,13319
Wangi Wangi,39.0,385.0,426.0,194.0,56.0,3.5,35.0,38.7,17.6,5.1,14135
Arcadia Vale,13.0,152.0,224.0,109.0,17.0,2.5,29.5,43.5,21.2,3.3,10073
Balmoral (Lake Macquarie - NSW),5.0,61.0,129.0,64.0,3.0,1.9,23.3,49.2,24.4,1.1,10166
Holmesville,12.0,111.0,191.0,130.0,25.0,2.6,23.7,40.7,27.7,5.3,11924
Barnsley,9.0,137.0,224.0,193.0,17.0,1.6,23.6,38.6,33.3,2.9,10204
Seahampton,3.0,30.0,43.0,26.0,3.0,2.9,28.6,41.0,24.8,2.9,13511
West Wallsend,25.0,271.0,329.0,193.0,21.0,3.0,32.3,39.2,23.0,2.5,14253
Killingworth (NSW),3.0,33.0,72.0,100.0,5.0,1.4,15.5,33.8,46.9,2.3,12137
Wakefield,0.0,6.0,17.0,15.0,0.0,0.0,15.8,44.7,39.5,0.0,14088
Adamstown Heights,79.0,571.0,841.0,363.0,42.0,4.2,30.1,44.4,19.1,2.2,10017
Adamstown,236.0,899.0,873.0,322.0,66.0,9.8,37.5,36.4,13.4,2.8,10016
Kotara South,25.0,135.0,180.0,63.0,11.0,6.0,32.6,43.5,15.2,2.7,12201
Woodberry,76.0,412.0,368.0,158.0,40.0,7.2,39.1,34.9,15.0,3.8,14377
Beresfield,91.0,525.0,400.0,209.0,35.0,7.2,41.7,31.7,16.6,2.8,10301
Tarro,32.0,293.0,199.0,110.0,24.0,4.9,44.5,30.2,16.7,3.6,13771
Hexham (NSW),0.0,19.0,21.0,8.0,3.0,0.0,37.3,41.2,15.7,5.9,11898
Hamilton South,349.0,441.0,506.0,193.0,93.0,22.1,27.9,32.0,12.2,5.9,11841
Broadmeadow,66.0,300.0,206.0,78.0,25.0,9.8,44.4,30.5,11.6,3.7,10578
Hamilton East,31.0,109.0,143.0,66.0,12.0,8.6,30.2,39.6,18.3,3.3,11839
Newcastle West,48.0,158.0,63.0,11.0,19.0,16.1,52.8,21.1,3.7,6.4,12951
Hamilton North,36.0,144.0,131.0,51.0,3.0,9.9,39.5,35.9,14.0,0.8,11840
Hamilton (NSW),228.0,768.0,513.0,190.0,73.0,12.9,43.3,29.0,10.7,4.1,11838
New Lambton,314.0,1589.0,1465.0,530.0,106.0,7.8,39.7,36.6,13.2,2.6,12942
Lambton,174.0,750.0,676.0,288.0,60.0,8.9,38.5,34.7,14.8,3.1,12264
Jesmond,205.0,480.0,242.0,109.0,44.0,19.0,44.4,22.4,10.1,4.1,12023
Maryland (Newcastle - NSW),62.0,759.0,1107.0,631.0,65.0,2.4,28.9,42.2,24.0,2.5,12514
Fletcher (NSW),16.0,245.0,823.0,378.0,25.0,1.1,16.5,55.3,25.4,1.7,11533
Minmi,3.0,49.0,95.0,87.0,6.0,1.2,20.4,39.6,36.2,2.5,12638
Warabrook,38.0,276.0,221.0,138.0,15.0,5.5,40.1,32.1,20.1,2.2,14140
Mayfield West,104.0,277.0,266.0,106.0,18.0,13.5,35.9,34.5,13.7,2.3,12536
Mayfield (Newcastle - NSW),508.0,1542.0,1230.0,405.0,125.0,13.3,40.5,32.3,10.6,3.3,12530
Mayfield East,74.0,288.0,250.0,61.0,31.0,10.5,40.9,35.5,8.7,4.4,12534
Merewether Heights,10.0,132.0,238.0,91.0,8.0,2.1,27.6,49.7,19.0,1.7,12574
Merewether,301.0,1464.0,1674.0,742.0,112.0,7.0,34.1,39.0,17.3,2.6,12573
The Junction,50.0,161.0,170.0,54.0,16.0,11.1,35.7,37.7,12.0,3.5,13827
Cooks Hill,225.0,726.0,463.0,141.0,58.0,13.9,45.0,28.7,8.7,3.6,11019
Bar Beach,77.0,166.0,188.0,65.0,19.0,15.0,32.2,36.5,12.6,3.7,10187
Newcastle,148.0,671.0,347.0,76.0,51.0,11.4,51.9,26.8,5.9,3.9,12949
The Hill,70.0,392.0,309.0,92.0,34.0,7.8,43.7,34.4,10.3,3.8,13826
Newcastle East,85.0,176.0,124.0,41.0,22.0,19.0,39.3,27.7,9.2,4.9,12950
Carrington (Newcastle - NSW),79.0,347.0,277.0,82.0,42.0,9.6,42.0,33.5,9.9,5.1,10830
Shortland,136.0,615.0,524.0,242.0,51.0,8.7,39.2,33.4,15.4,3.3,13542
Birmingham Gardens,94.0,330.0,240.0,144.0,35.0,11.2,39.1,28.5,17.1,4.2,10377
Sandgate (NSW),4.0,25.0,20.0,11.0,5.0,6.2,38.5,30.8,16.9,7.7,13474
North Lambton,88.0,491.0,417.0,176.0,50.0,7.2,40.2,34.1,14.4,4.1,12993
Stockton (NSW),148.0,566.0,508.0,207.0,70.0,9.9,37.8,33.9,13.8,4.7,13662
Fern Bay,60.0,514.0,435.0,115.0,56.0,5.1,43.6,36.9,9.7,4.7,11501
Fullerton Cove,4.0,67.0,89.0,50.0,6.0,1.9,31.0,41.2,23.1,2.8,11575
Wallsend,469.0,1876.0,1674.0,701.0,191.0,9.5,38.2,34.1,14.3,3.9,14118
Georgetown (NSW),69.0,315.0,295.0,93.0,26.0,8.6,39.5,37.0,11.7,3.3,11603
Waratah West,105.0,397.0,380.0,170.0,47.0,9.6,36.1,34.6,15.5,4.3,14142
Waratah (NSW),236.0,713.0,539.0,203.0,90.0,13.3,40.0,30.3,11.4,5.1,14141
Wickham (NSW),49.0,210.0,153.0,51.0,17.0,10.2,43.8,31.9,10.6,3.5,14285
Maryville,48.0,258.0,245.0,56.0,14.0,7.7,41.5,39.5,9.0,2.3,12518
Tighes Hill,60.0,267.0,224.0,68.0,22.0,9.4,41.7,34.9,10.6,3.4,13863
Islington,107.0,364.0,256.0,71.0,23.0,13.0,44.3,31.2,8.6,2.8,11990
Ballina,510.0,1852.0,964.0,286.0,222.0,13.3,48.3,25.1,7.5,5.8,10162
West Ballina,86.0,548.0,406.0,145.0,75.0,6.8,43.5,32.2,11.5,6.0,14240
East Ballina,63.0,904.0,979.0,273.0,56.0,2.8,39.7,43.0,12.0,2.5,11345
Skennars Head,10.0,149.0,166.0,84.0,14.0,2.4,35.2,39.2,19.9,3.3,13554
Alstonville,124.0,944.0,829.0,319.0,78.0,5.4,41.2,36.1,13.9,3.4,10046
Wollongbar,20.0,323.0,509.0,175.0,25.0,1.9,30.7,48.4,16.6,2.4,14357
Wardell,5.0,113.0,110.0,38.0,17.0,1.8,39.9,38.9,13.4,6.0,14144
East Wardell,0.0,30.0,45.0,27.0,5.0,0.0,28.0,42.1,25.2,4.7,11365
Empire Vale,0.0,17.0,25.0,17.0,0.0,0.0,28.8,42.4,28.8,0.0,11416
Meerschaum Vale,0.0,26.0,66.0,33.0,0.0,0.0,20.8,52.8,26.4,0.0,12556
Dalwood (Ballina - NSW),4.0,11.0,32.0,29.0,3.0,5.1,13.9,40.5,36.7,3.8,11195
