,Italian,Australian,English,Assyrian,Croatian,Irish,Scottish,Indian,Filipino,German,Samoan,Chinese,Greek,Macedonian,Lebanese,Vietnamese,Turkish,Jewish,Armenian,Khmer (Cambodian,Serbian,Korean,Maltese,Tongan,Hungarian,South African,Russian,Bangladeshi,Cook Islander,Iraqi,Thai,Indonesian,Nepalese,Australian Aboriginal,Portuguese,Finnish,Pakistani,Syrian,Dutch,French,Italian (%),Australian (%),English (%),Assyrian (%),Croatian (%),Irish (%),Scottish (%),Indian (%),Filipino (%),German (%),Samoan (%),Chinese (%),Greek (%),Macedonian (%),Lebanese (%),Vietnamese (%),Turkish (%),Jewish (%),Armenian (%),Khmer (Cambodian (%),Serbian (%),Korean (%),Maltese (%),Tongan (%),Hungarian (%),South African (%),Russian (%),Bangladeshi (%),Cook Islander (%),Iraqi (%),Thai (%),Indonesian (%),Nepalese (%),Australian Aboriginal (%),Portuguese (%),Finnish (%),Pakistani (%),Syrian (%),Dutch (%),French (%)
Scarborough,,134,114,,,38,32,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,28.5,,,9.5,8.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schofields,,"1,346","1,077",,,282,236,,,,,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,27.6,22.1,,,5.8,4.8,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,
Scotland Island,,212,370,,,103,91,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,35.3,,,9.8,8.7,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seaforth,339,"2,161","2,779",,,816,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,23.5,30.3,,,8.9,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sefton,,730,598,,,,,,,,,630,,,"1,006",811,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,9.9,,,,,,,,,10.4,,,16.6,13.4,,,,,,,,,,,,,,,,,,,,,,,,
Seven Hills,,"5,113","4,521",,,"1,432","1,029","1,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,19.3,,,6.1,4.4,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shalvey,,"1,206","1,035",,,236,168,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,23.3,,,5.3,3.8,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shell Cove,,"1,478","1,517",,,373,283,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,28.3,,,7.0,5.3,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Shellharbour,144,"1,215","1,285",,,418,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,27.7,29.3,,,9.5,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelly Beach,,533,561,,,150,120,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,34.1,,,9.1,7.3,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shortland,,"1,674","1,471",,,361,365,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,30.1,,,7.4,7.5,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silverwater,,128,105,,,34,28,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,29.6,,,9.6,7.9,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithfield,"1,183","1,683","1,415",736,,,,,,,,,,,,836,,,,,,,,,,,,,,,,,,,,,,,,,9.2,13.1,11.0,5.7,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,
South Coogee,,"1,220","1,292",,,664,325,,,,,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,19.8,,,10.2,5.0,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Granville,,622,519,,,,,,,,,178,,,"1,629",,165,,,,,,,,,,,,,,,,,,,,,,,,,11.3,9.5,,,,,,,,,3.2,,,29.7,,3.0,,,,,,,,,,,,,,,,,,,,,,,
South Hurstville,,801,719,,,,,,,,,"1,315",430,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,12.4,,,,,,,,,22.7,7.4,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
South Penrith,,"4,884","4,505",,,"1,240",865,,,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,29.4,,,8.1,5.6,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Turramurra,,"1,014","1,168",,,324,308,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,28.4,,,7.9,7.5,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Wentworthville,,"1,096",997,,,267,,,,,,289,,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,14.9,,,4.0,,,,,,4.3,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,
Speers Point,,"1,471","1,326",,,354,316,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,30.8,,,8.2,7.4,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,,"1,819","1,697",,,436,395,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,30.2,,,7.8,7.0,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springwood,,"3,487","3,754",,,"1,249","1,040",,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,31.2,,,10.4,8.7,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Andrews,,"1,887","1,461",,,447,397,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,20.2,,,6.2,5.5,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Clair,,"6,922","5,516",,,"1,440","1,280",,"1,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,21.6,,,5.6,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Helens Park,,"2,607","2,021",,,545,454,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,24.2,,,6.5,5.4,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Huberts Island,,404,459,,,119,94,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,35.0,,,9.1,7.2,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Ives,,"3,743","5,208",,,"1,323","1,348",,,,,"1,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,25.8,,,6.5,6.7,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Ives Chase,,782,"1,069",,,231,291,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,19.2,26.2,,,5.7,7.1,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,
St Johns Park,447,398,390,,,,,,,,,"1,144",,,,"1,063",,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.0,5.9,,,,,,,,,17.2,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,
St Leonards,,578,805,,,291,,320,,,,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,15.1,,,5.4,,6.0,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Marys,,"3,382","2,814",,,792,621,,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,20.5,,,5.8,4.5,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Peters,,696,883,,,397,251,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,22.7,,,10.2,6.5,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanhope Gardens,,"1,941","1,751",,,439,,783,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,18.4,,,4.6,,8.2,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanmore,480,"2,108","2,300",,,"1,071",782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,19.9,21.7,,,10.1,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockton,,"1,772","1,536",,,434,408,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,28.3,,,8.0,7.5,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strathfield,,"2,298","1,958",,,,,"2,182",,,,"5,047",,,,,,,,,,"2,484",,,,,,,,,,,,,,,,,,,,8.6,7.3,,,,,8.2,,,,18.9,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,
Strathfield South,362,446,338,,,,,,,,,467,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,11.8,8.9,,,,,,,,,12.3,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Hill,,"1,734","1,711",,,760,570,,,,,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,19.5,,,8.7,6.5,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surry Hills,,"2,736","4,058",,,"1,790","1,174",,,,,"1,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,20.6,,,9.1,6.0,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutherland,,"3,397","3,422",,,"1,151",895,,,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.9,,,8.7,6.8,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swansea,,"2,150","2,088",,,447,513,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,33.4,,,7.1,8.2,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swansea Heads,,306,318,,,80,79,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,32.3,,,8.1,8.0,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydenham,,203,246,,,117,62,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,18.7,,,8.9,4.7,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney,,818,"1,583",,,,,,,,,"3,958",,,,,,,,,,888,,,,,,,,,941,,,,,,,,,,,5.1,9.9,,,,,,,,,24.7,,,,,,,,,,5.5,,,,,,,,,5.9,,,,,,,,,
Sylvania,,"2,941","3,040",,,896,745,,,,,,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,24.5,,,7.2,6.0,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylvania Waters,252,749,705,,,,,,,,,340,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,19.3,18.2,,,,,,,,,8.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacoma,,359,339,,,91,72,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,33.0,,,8.9,7.0,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacoma South,,108,129,,,35,32,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,35.1,,,9.5,8.7,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamarama,,313,458,,,223,107,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,23.7,,,11.5,5.5,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taren Point,,470,564,,,162,141,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,26.4,,,7.6,6.6,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarrawanna,269,598,614,,,187,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,23.4,24.0,,,7.3,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tascott,,630,683,,,216,146,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,30.0,,,9.5,6.4,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempe,,792,781,,,383,233,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,18.1,,,8.9,5.4,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teralba,,715,669,,,160,165,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,32.9,,,7.9,8.1,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrey Hills,,"1,218","1,276",,,308,292,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,31.3,,,7.6,7.2,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrigal,,"3,999","4,541",,,"1,290","1,049",,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,31.9,,,9.1,7.4,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Entrance,,"1,386","1,488",,,477,323,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,29.6,,,9.5,6.4,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Entrance North,38,610,530,,,172,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,32.8,28.5,,,9.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hill,,608,709,,,235,244,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,29.3,,,9.7,10.1,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Junction,,608,636,,,270,177,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,30.3,,,12.9,8.4,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thirroul,,"2,314","2,303",,,832,637,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,29.6,,,10.7,8.2,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thornleigh,,"2,749","2,600",,,824,685,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,24.1,,,7.6,6.3,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tighes Hill,,627,635,,,205,196,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,28.8,,,9.3,8.9,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tingira Heights,,954,831,,,185,234,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,31.5,,,7.0,8.9,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toongabbie,,"3,117","2,659",,,905,,"1,453",,,,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,16.6,,,5.7,,9.1,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toowoon Bay,,203,221,,,86,61,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,31.1,,,12.1,8.6,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,,"2,501","2,248",,,583,563,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,31.4,,,8.2,7.9,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toukley,,"1,752","1,728",,,466,406,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,31.9,,,8.6,7.5,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towradgi,284,"1,193","1,013",,,345,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,29.5,25.0,,,8.5,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tregear,,"1,414","1,098",,,217,201,,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,22.5,,,4.4,4.1,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuggerah,,428,399,,,80,82,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,30.2,,,6.1,6.2,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuggerawong,,532,517,,,160,113,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,32.3,,,10.0,7.0,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tumbi Umbi,,"2,235","2,050",,,543,463,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,31.4,,,8.3,7.1,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turramurra,,"3,436","4,229",,,"1,209","1,187",,,,,"1,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,28.3,,,8.1,7.9,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turrella,,266,196,,,,,,,,,141,,159,424,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,10.2,,,,,,,,,7.4,,8.3,22.2,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimo,,643,807,,,319,,202,,,,"2,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,9.9,,,3.9,,2.5,,,,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umina Beach,,"6,971","6,758",,,"2,069","1,487",,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,31.4,,,9.6,6.9,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unanderra,279,"2,078","1,884",,,422,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,28.7,26.0,,,5.8,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentine,,"2,498","2,423",,,650,630,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,32.3,,,8.7,8.4,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley Heights,,517,646,,,230,142,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,33.2,,,11.8,7.3,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaucluse,,"2,035","2,386",,,860,647,,,,,,,,,,,,,,,,,,,563,,,,,,,,,,,,,,,,17.0,20.0,,,7.2,5.4,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,
Villawood,,686,624,,,,,,,,,396,,,880,875,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,10.4,,,,,,,,,6.6,,,14.7,14.6,,,,,,,,,,,,,,,,,,,,,,,,
Voyager Point,68,369,308,,,,71,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,21.8,18.2,,,,4.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wahroonga,,"5,051","6,079",,,"1,874","1,701",,,,,"1,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,27.1,,,8.4,7.6,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waitara,,808,"1,044",,,,,497,,,,968,,,,,,,,,,397,,,,,,,,,,,,,,,,,,,,12.6,16.3,,,,,7.7,,,,15.1,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,
Wakeley,,384,307,609,,,,,,,,621,,,,679,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,5.8,11.6,,,,,,,,11.8,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,
Wallsend,,"5,185","4,824",,,"1,147","1,199",,,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,30.0,,,7.1,7.4,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wamberal,,"2,578","2,779",,,828,712,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,32.5,,,9.7,8.3,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warabrook,,798,706,,,211,181,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,26.0,,,7.8,6.7,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waratah,,"1,840","1,587",,,523,428,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,25.5,,,8.4,6.9,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waratah West,,"1,014","1,010",,,319,272,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,28.0,,,8.9,7.5,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wareemba,453,335,355,,,159,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,17.3,18.3,,,8.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warilla,,"2,368","2,416",,,546,539,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,29.8,,,6.7,6.6,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warners Bay,,"3,212","3,162",,,830,792,,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,31.8,,,8.4,8.0,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrawee,,867,"1,075",,,323,303,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,27.6,,,8.3,7.8,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrawong,575,"1,016","1,053",,,,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,326,,,,,,10.0,17.7,18.3,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,5.7,,,,,
Warriewood,216,"2,261","2,441",,,648,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,27.2,29.4,,,7.8,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrimoo,,"1,097",994,,,280,261,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,30.1,,,8.5,7.9,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warwick Farm,,611,550,,,,,407,,,,,,,,331,,,,,287,,,,,,,,,,,,,,,,,,,,,12.2,11.0,,,,,8.1,,,,,,,,6.6,,,,,5.7,,,,,,,,,,,,,,,,,,,
Watanobbi,,"1,672","1,483",,,367,292,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,30.0,,,7.4,5.9,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterloo,,"1,576","2,025",,,867,557,,,,,"1,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,15.7,,,6.7,4.3,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watsons Bay,,273,355,,,137,74,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,27.6,,,10.7,5.8,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wattle Grove,,"2,786","2,087",,,632,467,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,19.9,,,6.0,4.4,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waverley,174,"1,039","1,360",,,641,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,18.3,23.9,,,11.3,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waverton,,709,960,,,369,291,,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,25.5,,,9.8,7.7,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wentworthville,,"1,549","1,471",,,,,"2,162",,,,905,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,12.0,,,,,17.7,,,,7.4,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Werrington,,"1,302","1,161",,,286,208,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,23.9,,,5.9,4.3,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werrington County,,"1,586","1,385",,,411,298,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,28.2,,,8.4,6.1,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werrington Downs,,"1,504","1,266",,,332,237,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,29.2,,,7.7,5.5,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Gosford,,506,517,,,158,105,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,28.7,,,8.8,5.8,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Hoxton,"1,286","1,430","1,105",,,,,583,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,13.0,10.0,,,,,5.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Pennant Hills,,"4,163","4,393",,,"1,449","1,217",,,,,"2,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,21.6,,,7.1,6.0,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Pymble,,"1,774","1,889",,,676,495,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,26.9,,,9.6,7.0,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Ryde,,"2,083","2,161",,,,,824,,,,"2,186",,,,,,,,,,823,,,,,,,,,,,,,,,,,,,,14.5,15.1,,,,,5.7,,,,15.3,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,
West Wallsend,,896,704,,,138,166,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,31.4,,,6.2,7.4,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Wollongong,229,"1,516","1,285",,,477,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,25.9,22.0,,,8.2,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westleigh,,"1,611","1,711",,,481,483,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,27.8,,,7.8,7.9,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westmead,,"1,406","1,390",,,401,,"4,677",,,,"1,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.8,,,2.6,,29.8,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetherill Park,797,752,569,374,,,,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,10.7,8.1,5.3,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whalan,,"2,020","1,707",,,375,304,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,22.9,,,5.0,4.1,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitebridge,,"1,170","1,093",,,321,295,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,31.1,,,9.1,8.4,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wickham,,344,360,,,130,121,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,28.1,,,10.2,9.5,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
