,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Cabarita (NSW),0.0,3.0,55.0,435.0,197.0,6.0,3.3,2.7,0.0,0.4,7.9,62.5,28.3,0.9,--,--,10736
Mortlake (NSW),3.0,33.0,134.0,156.0,54.0,14.0,2.6,2.4,0.8,8.4,34.0,39.6,13.7,3.6,--,--,12729
North Strathfield,0.0,50.0,690.0,596.0,229.0,36.0,2.7,2.7,0.0,3.1,43.1,37.2,14.3,2.2,--,--,13009
Concord West,3.0,74.0,332.0,785.0,666.0,43.0,3.2,3.0,0.2,3.9,17.4,41.3,35.0,2.3,--,--,11000
Sydney Olympic Park,3.0,225.0,330.0,60.0,17.0,12.0,1.8,2.2,0.5,34.8,51.0,9.3,2.6,1.9,--,--,13716
Liberty Grove,0.0,0.0,279.0,388.0,53.0,9.0,2.7,2.9,0.0,0.0,38.3,53.2,7.3,1.2,--,--,12315
Rhodes,17.0,1074.0,2838.0,593.0,94.0,85.0,1.9,2.4,0.4,22.8,60.4,12.6,2.0,1.8,--,--,13358
Drummoyne,8.0,280.0,1947.0,1532.0,770.0,92.0,2.7,2.3,0.2,6.0,42.1,33.1,16.6,2.0,--,--,11293
Russell Lea,3.0,87.0,484.0,693.0,485.0,27.0,3.0,2.7,0.2,4.9,27.2,39.0,27.3,1.5,--,--,13447
Rodd Point,0.0,3.0,108.0,213.0,142.0,10.0,3.1,2.8,0.0,0.6,22.7,44.7,29.8,2.1,--,--,13391
Abbotsford (NSW),0.0,117.0,891.0,797.0,309.0,45.0,2.7,2.3,0.0,5.4,41.3,36.9,14.3,2.1,--,--,10003
Chiswick,0.0,144.0,735.0,200.0,117.0,19.0,2.3,2.2,0.0,11.9,60.5,16.5,9.6,1.6,--,--,10910
Five Dock,51.0,161.0,1261.0,1319.0,535.0,66.0,2.7,2.6,1.5,4.7,37.2,38.9,15.8,1.9,--,--,11530
Canada Bay,0.0,5.0,174.0,179.0,93.0,7.0,2.9,2.6,0.0,1.1,38.0,39.1,20.3,1.5,--,--,10785
Wareemba,0.0,9.0,250.0,184.0,119.0,13.0,2.8,2.6,0.0,1.6,43.5,32.0,20.7,2.3,--,--,14148
Balmain,96.0,596.0,1523.0,1303.0,602.0,69.0,2.5,2.3,2.3,14.2,36.4,31.1,14.4,1.6,--,--,10164
Birchgrove,9.0,133.0,380.0,467.0,249.0,16.0,2.7,2.4,0.7,10.6,30.3,37.2,19.9,1.3,--,--,10374
Woolwich,0.0,34.0,54.0,67.0,126.0,4.0,3.2,2.6,0.0,11.9,18.9,23.5,44.2,1.4,--,--,14412
Leichhardt (NSW),56.0,527.0,2199.0,1954.0,586.0,103.0,2.5,2.5,1.0,9.7,40.5,36.0,10.8,1.9,--,--,12297
Lilyfield,14.0,261.0,920.0,1124.0,435.0,62.0,2.6,2.5,0.5,9.3,32.7,39.9,15.4,2.2,--,--,12325
Rozelle,25.0,533.0,1268.0,1176.0,383.0,64.0,2.4,2.3,0.7,15.5,36.8,34.1,11.1,1.9,--,--,13435
Ashfield (NSW),102.0,981.0,4357.0,1788.0,942.0,375.0,2.4,2.5,1.2,11.5,51.0,20.9,11.0,4.4,--,--,10098
Summer Hill (Inner West - NSW),23.0,484.0,1429.0,577.0,306.0,54.0,2.3,2.3,0.8,16.8,49.7,20.1,10.7,1.9,--,--,13687
Hurlstone Park,4.0,74.0,574.0,669.0,347.0,29.0,2.8,2.6,0.2,4.4,33.8,39.4,20.4,1.7,--,--,11963
Ashbury,3.0,3.0,155.0,527.0,343.0,16.0,3.3,3.1,0.3,0.3,14.8,50.3,32.8,1.5,--,--,10093
Burwood (NSW),62.0,623.0,2208.0,1315.0,900.0,174.0,2.6,2.8,1.2,11.8,41.8,24.9,17.0,3.3,--,--,10718
Croydon (NSW),22.0,225.0,972.0,1215.0,953.0,73.0,2.9,2.9,0.6,6.5,28.1,35.1,27.5,2.1,--,--,11134
Strathfield (NSW),69.0,503.0,2771.0,1737.0,2609.0,333.0,3.0,3.0,0.9,6.3,34.5,21.7,32.5,4.2,--,--,13675
Croydon Park (NSW),12.0,218.0,1237.0,1361.0,945.0,82.0,2.9,2.8,0.3,5.7,32.1,35.3,24.5,2.1,--,--,11135
Enfield (NSW),0.0,50.0,322.0,336.0,260.0,25.0,2.9,2.7,0.0,5.0,32.4,33.8,26.2,2.5,--,--,11421
Burwood Heights,0.0,0.0,78.0,84.0,111.0,7.0,3.4,3.1,0.0,0.0,27.9,30.0,39.6,2.5,--,--,10719
Haberfield,4.0,73.0,338.0,930.0,778.0,46.0,3.2,2.8,0.2,3.4,15.6,42.9,35.9,2.1,--,--,11828
Homebush West,11.0,226.0,1753.0,461.0,162.0,102.0,2.2,2.8,0.4,8.3,64.6,17.0,6.0,3.8,--,--,11930
Homebush (NSW),11.0,157.0,1168.0,518.0,344.0,63.0,2.5,2.9,0.5,6.9,51.7,22.9,15.2,2.8,--,--,11929
Strathfield South,8.0,50.0,328.0,459.0,302.0,13.0,3.0,2.9,0.7,4.3,28.3,39.6,26.0,1.1,--,--,13676
Chatswood,93.0,1485.0,3399.0,2182.0,1521.0,206.0,2.5,2.6,1.0,16.7,38.3,24.6,17.1,2.3,--,--,10892
North Willoughby,0.0,61.0,527.0,436.0,420.0,30.0,2.9,2.8,0.0,4.1,35.8,29.6,28.5,2.0,--,--,13016
Willoughby (NSW),27.0,147.0,598.0,777.0,661.0,35.0,2.9,2.8,1.2,6.5,26.6,34.6,29.4,1.6,--,--,14303
Artarmon,18.0,277.0,2044.0,687.0,514.0,54.0,2.4,2.5,0.5,7.7,56.9,19.1,14.3,1.5,--,--,10090
Roseville,6.0,138.0,563.0,912.0,1559.0,44.0,3.4,3.0,0.2,4.3,17.5,28.3,48.4,1.4,--,--,13412
Lane Cove North,54.0,698.0,2128.0,1044.0,572.0,74.0,2.4,2.4,1.2,15.3,46.6,22.8,12.5,1.6,--,--,12267
Chatswood West,0.0,5.0,35.0,183.0,251.0,11.0,3.6,3.0,0.0,1.0,7.2,37.7,51.8,2.3,--,--,10893
Lane Cove West,8.0,96.0,176.0,308.0,325.0,14.0,3.0,2.8,0.9,10.4,19.0,33.2,35.1,1.5,--,--,12268
Lane Cove,48.0,475.0,1765.0,1116.0,795.0,72.0,2.6,2.4,1.1,11.1,41.3,26.1,18.6,1.7,--,--,12266
Riverview (NSW),4.0,13.0,49.0,276.0,602.0,5.0,3.8,3.2,0.4,1.4,5.2,29.1,63.4,0.5,--,--,13370
Greenwich,26.0,173.0,610.0,599.0,627.0,33.0,2.9,2.5,1.3,8.4,29.5,29.0,30.3,1.6,--,--,11770
Northwood (NSW),0.0,0.0,6.0,73.0,196.0,3.0,4.0,3.1,0.0,0.0,2.2,26.3,70.5,1.1,--,--,13024
Longueville,0.0,4.0,24.0,148.0,471.0,10.0,4.0,3.2,0.0,0.6,3.7,22.5,71.7,1.5,--,--,12385
Linley Point,0.0,0.0,5.0,30.0,72.0,5.0,3.9,2.9,0.0,0.0,4.5,26.8,64.3,4.5,--,--,12341
St Leonards (NSW),103.0,959.0,973.0,366.0,70.0,38.0,1.7,2.0,4.1,38.2,38.8,14.6,2.8,1.5,--,--,13642
Naremburn,5.0,227.0,785.0,806.0,362.0,40.0,2.6,2.5,0.2,10.2,35.3,36.2,16.3,1.8,--,--,12898
Cammeray,14.0,479.0,1223.0,864.0,363.0,50.0,2.4,2.2,0.5,16.0,40.9,28.9,12.1,1.7,--,--,10778
Castle Cove,0.0,3.0,70.0,214.0,535.0,11.0,3.8,3.0,0.0,0.4,8.4,25.7,64.2,1.3,--,--,10845
Castlecrag,0.0,10.0,68.0,266.0,565.0,10.0,3.7,3.1,0.0,1.1,7.4,28.9,61.5,1.1,--,--,10849
Northbridge (NSW),9.0,81.0,294.0,585.0,1022.0,27.0,3.5,3.0,0.4,4.0,14.6,29.0,50.6,1.3,--,--,13022
Middle Cove,0.0,0.0,34.0,156.0,237.0,4.0,3.6,3.0,0.0,0.0,7.9,36.2,55.0,0.9,--,--,12602
Willoughby East,0.0,3.0,57.0,203.0,286.0,6.0,3.5,3.2,0.0,0.5,10.3,36.6,51.5,1.1,--,--,14304
Hornsby Heights,0.0,11.0,71.0,768.0,1135.0,27.0,3.7,3.1,0.0,0.5,3.5,38.2,56.4,1.3,--,--,11937
Mount Colah,0.0,24.0,123.0,933.0,1147.0,31.0,3.6,3.1,0.0,1.1,5.4,41.3,50.8,1.4,--,--,12750
Asquith,0.0,31.0,172.0,456.0,414.0,16.0,3.3,3.0,0.0,2.8,15.8,41.9,38.0,1.5,--,--,10103
Hornsby,100.0,635.0,3840.0,1972.0,1464.0,148.0,2.6,2.6,1.2,7.8,47.1,24.2,17.9,1.8,--,--,11936
Mount Kuring-Gai,0.0,11.0,54.0,211.0,268.0,13.0,3.5,3.0,0.0,2.0,9.7,37.9,48.1,2.3,--,--,12772
Cowan,0.0,0.0,18.0,101.0,90.0,3.0,3.4,3.0,0.0,0.0,8.5,47.6,42.5,1.4,--,--,11097
Berowra,3.0,15.0,71.0,557.0,830.0,16.0,3.6,3.1,0.2,1.0,4.8,37.3,55.6,1.1,--,--,10308
Brooklyn (NSW),4.0,17.0,51.0,102.0,75.0,23.0,3.0,2.5,1.5,6.2,18.8,37.5,27.6,8.5,--,--,10599
Berowra Heights,5.0,18.0,74.0,777.0,832.0,13.0,3.6,3.0,0.3,1.0,4.3,45.2,48.4,0.8,--,--,10310
Dangar Island,0.0,3.0,33.0,49.0,30.0,3.0,2.9,2.3,0.0,2.5,28.0,41.5,25.4,2.5,--,--,11199
Normanhurst,44.0,90.0,138.0,694.0,722.0,27.0,3.3,2.8,2.6,5.2,8.0,40.5,42.1,1.6,--,--,12976
Thornleigh,3.0,86.0,212.0,1199.0,1152.0,43.0,3.4,3.0,0.1,3.2,7.9,44.5,42.7,1.6,--,--,13850
Westleigh,0.0,6.0,26.0,420.0,986.0,20.0,3.8,3.0,0.0,0.4,1.8,28.8,67.6,1.4,--,--,14260
Wahroonga,4.0,180.0,654.0,1653.0,2898.0,69.0,3.6,2.9,0.1,3.3,12.0,30.3,53.1,1.3,--,--,14085
Waitara,3.0,437.0,1281.0,421.0,126.0,52.0,2.1,2.4,0.1,18.8,55.2,18.1,5.4,2.2,--,--,14086
East Killara,0.0,3.0,7.0,156.0,702.0,20.0,4.2,3.3,0.0,0.3,0.8,17.6,79.1,2.3,--,--,11355
Killara (NSW),0.0,183.0,789.0,965.0,1532.0,36.0,3.3,2.9,0.0,5.2,22.5,27.5,43.7,1.0,--,--,12129
Lindfield,43.0,165.0,650.0,1028.0,1400.0,51.0,3.3,2.8,1.3,4.9,19.5,30.8,42.0,1.5,--,--,12339
Gordon (NSW),4.0,162.0,555.0,800.0,995.0,31.0,3.2,2.9,0.2,6.4,21.8,31.4,39.1,1.2,--,--,11718
East Lindfield,0.0,11.0,120.0,249.0,761.0,19.0,3.8,3.1,0.0,0.9,10.3,21.5,65.6,1.6,--,--,11357
Roseville Chase,0.0,3.0,25.0,156.0,312.0,7.0,3.8,3.1,0.0,0.6,5.0,31.0,62.0,1.4,--,--,13413
Pymble,0.0,88.0,383.0,829.0,2110.0,47.0,3.7,3.1,0.0,2.5,11.1,24.0,61.0,1.4,--,--,13281
West Pymble,0.0,21.0,80.0,550.0,971.0,16.0,3.7,3.2,0.0,1.3,4.9,33.6,59.3,1.0,--,--,14250
St Ives (NSW),3.0,144.0,935.0,1579.0,3106.0,67.0,3.5,2.9,0.1,2.5,16.0,27.1,53.2,1.1,--,--,13639
St Ives Chase,0.0,0.0,9.0,212.0,740.0,9.0,4.0,3.2,0.0,0.0,0.9,21.9,76.3,0.9,--,--,13640
Turramurra,8.0,222.0,554.0,1119.0,2070.0,51.0,3.5,2.9,0.2,5.5,13.8,27.8,51.4,1.3,--,--,13980
South Turramurra,0.0,3.0,28.0,332.0,590.0,11.0,3.8,3.1,0.0,0.3,2.9,34.4,61.2,1.1,--,--,13598
North Turramurra,3.0,25.0,267.0,516.0,611.0,42.0,3.4,2.5,0.2,1.7,18.2,35.2,41.7,2.9,--,--,13013
Warrawee,0.0,19.0,166.0,249.0,526.0,16.0,3.6,3.0,0.0,1.9,17.0,25.5,53.9,1.6,--,--,14165
North Wahroonga,0.0,0.0,8.0,149.0,481.0,6.0,4.0,3.0,0.0,0.0,1.2,23.1,74.7,0.9,--,--,13015
Cremorne Point,30.0,144.0,408.0,291.0,155.0,17.0,2.5,2.1,2.9,13.8,39.0,27.8,14.8,1.6,--,--,11113
Cremorne (NSW),48.0,800.0,2170.0,1217.0,560.0,83.0,2.3,2.1,1.0,16.4,44.5,24.9,11.5,1.7,--,--,11112
Neutral Bay,102.0,1116.0,2008.0,1070.0,256.0,77.0,2.1,2.0,2.2,24.1,43.4,23.1,5.5,1.7,--,--,12934
Crows Nest (NSW),60.0,561.0,801.0,521.0,117.0,25.0,2.0,2.1,2.9,26.9,38.4,25.0,5.6,1.2,--,--,11131
Wollstonecraft,15.0,585.0,1744.0,1094.0,207.0,67.0,2.3,2.1,0.4,15.8,47.0,29.5,5.6,1.8,--,--,14359
Waverton,3.0,129.0,661.0,409.0,122.0,17.0,2.4,2.1,0.2,9.6,49.3,30.5,9.1,1.3,--,--,14202
North Sydney,186.0,1022.0,1244.0,689.0,155.0,67.0,1.9,2.0,5.5,30.4,37.0,20.5,4.6,2.0,--,--,13010
Mosman,62.0,1639.0,3420.0,2674.0,3019.0,207.0,2.8,2.4,0.6,14.9,31.0,24.3,27.4,1.9,--,--,12738
Kirribilli,83.0,547.0,806.0,310.0,93.0,48.0,1.9,1.8,4.4,29.0,42.7,16.4,4.9,2.5,--,--,12173
Kurraba Point,16.0,111.0,301.0,166.0,78.0,12.0,2.3,2.1,2.3,16.2,44.0,24.3,11.4,1.8,--,--,12217
Milsons Point,8.0,309.0,341.0,336.0,17.0,19.0,2.0,1.9,0.8,30.0,33.1,32.6,1.7,1.8,--,--,12629
McMahons Point,26.0,330.0,347.0,257.0,88.0,15.0,2.1,1.9,2.4,31.0,32.6,24.2,8.3,1.4,--,--,12547
Lavender Bay,18.0,131.0,128.0,99.0,51.0,28.0,2.1,1.9,4.0,28.8,28.1,21.8,11.2,6.2,--,--,12285
Seaforth (NSW),0.0,42.0,197.0,755.0,1160.0,31.0,3.6,3.2,0.0,1.9,9.0,34.6,53.1,1.4,--,--,13509
Balgowlah Heights,3.0,7.0,49.0,276.0,681.0,11.0,3.8,3.2,0.3,0.7,4.8,26.9,66.3,1.1,--,--,10154
Clontarf (NSW),0.0,8.0,22.0,117.0,373.0,12.0,3.9,3.2,0.0,1.5,4.1,22.0,70.1,2.3,--,--,10935
Balgowlah,5.0,198.0,1095.0,1086.0,579.0,46.0,2.7,2.5,0.2,6.6,36.4,36.1,19.2,1.5,--,--,10153
Manly (NSW),139.0,1195.0,2711.0,1726.0,613.0,146.0,2.3,2.2,2.1,18.3,41.5,26.4,9.4,2.2,--,--,12475
Fairlight,0.0,203.0,789.0,900.0,361.0,40.0,2.7,2.4,0.0,8.9,34.4,39.2,15.7,1.7,--,--,11482
Avalon Beach,10.0,122.0,497.0,1177.0,1426.0,72.0,3.3,2.8,0.3,3.7,15.0,35.6,43.2,2.2,--,--,10111
Palm Beach (NSW),0.0,20.0,73.0,200.0,286.0,9.0,3.5,2.3,0.0,3.4,12.4,34.0,48.6,1.5,--,--,13132
Whale Beach,0.0,11.0,7.0,24.0,55.0,0.0,3.5,2.1,0.0,11.3,7.2,24.7,56.7,0.0,--,--,14267
Clareville,0.0,4.0,30.0,96.0,156.0,0.0,3.5,2.5,0.0,1.4,10.5,33.6,54.5,0.0,--,--,10923
Scotland Island,3.0,11.0,35.0,103.0,58.0,7.0,3.0,2.6,1.4,5.1,16.1,47.5,26.7,3.2,--,--,13505
Elanora Heights,0.0,30.0,102.0,446.0,731.0,18.0,3.7,3.2,0.0,2.3,7.7,33.6,55.1,1.4,--,--,11389
Ingleside,0.0,14.0,28.0,87.0,157.0,7.0,3.7,3.1,0.0,4.8,9.6,29.7,53.6,2.4,--,--,11979
Bayview (NSW),16.0,172.0,326.0,272.0,611.0,40.0,3.1,2.3,1.1,12.0,22.7,18.9,42.5,2.8,--,--,10237
Church Point,0.0,7.0,31.0,128.0,186.0,5.0,3.5,2.6,0.0,2.0,8.7,35.9,52.1,1.4,--,--,10915
Lovett Bay,3.0,0.0,3.0,15.0,14.0,3.0,3.1,2.5,7.9,0.0,7.9,39.5,36.8,7.9,--,--,12397
Mona Vale,9.0,242.0,853.0,1312.0,1247.0,84.0,3.1,2.7,0.2,6.5,22.8,35.0,33.3,2.2,--,--,12672
Newport (NSW),18.0,207.0,729.0,1058.0,1225.0,100.0,3.1,2.7,0.5,6.2,21.8,31.7,36.7,3.0,--,--,12956
Bilgola Plateau,0.0,16.0,54.0,419.0,657.0,8.0,3.7,3.0,0.0,1.4,4.7,36.3,56.9,0.7,--,--,10351
Bilgola Beach,0.0,6.0,3.0,30.0,51.0,3.0,3.6,2.5,0.0,6.5,3.2,32.3,54.8,3.2,--,--,10350
Warriewood,3.0,67.0,545.0,866.0,889.0,40.0,3.2,2.9,0.1,2.8,22.6,35.9,36.9,1.7,--,--,14173
North Narrabeen,8.0,77.0,260.0,753.0,702.0,47.0,3.3,3.0,0.4,4.2,14.1,40.8,38.0,2.5,--,--,12999
Beacon Hill,0.0,39.0,99.0,841.0,1213.0,44.0,3.7,3.2,0.0,1.7,4.4,37.6,54.2,2.0,--,--,10238
Narraweena,26.0,189.0,391.0,801.0,718.0,74.0,3.1,2.8,1.2,8.6,17.8,36.4,32.7,3.4,--,--,12910
Cromer (NSW),9.0,199.0,317.0,835.0,1106.0,56.0,3.3,2.9,0.4,7.9,12.6,33.1,43.9,2.2,--,--,11118
Oxford Falls,3.0,0.0,11.0,7.0,15.0,0.0,3.5,3.0,8.3,0.0,30.6,19.4,41.7,0.0,--,--,13106
Dee Why,56.0,1524.0,4936.0,1164.0,775.0,213.0,2.2,2.3,0.6,17.6,56.9,13.4,8.9,2.5,--,--,11227
North Curl Curl,3.0,42.0,114.0,373.0,633.0,26.0,3.6,3.3,0.3,3.5,9.6,31.3,53.1,2.2,--,--,12988
Forestville (NSW),13.0,242.0,256.0,958.0,1231.0,52.0,3.3,2.9,0.5,8.8,9.3,34.8,44.7,1.9,--,--,11548
Killarney Heights,0.0,7.0,46.0,334.0,985.0,11.0,4.0,3.2,0.0,0.5,3.3,24.2,71.2,0.8,--,--,12130
Frenchs Forest,0.0,66.0,155.0,1535.0,2309.0,63.0,3.7,3.2,0.0,1.6,3.8,37.2,55.9,1.5,--,--,11568
Belrose,5.0,80.0,274.0,813.0,1597.0,83.0,3.6,2.9,0.2,2.8,9.6,28.5,56.0,2.9,--,--,10283
Davidson,0.0,3.0,16.0,195.0,681.0,8.0,4.0,3.1,0.0,0.3,1.8,21.6,75.4,0.9,--,--,11219
Curl Curl,9.0,35.0,141.0,238.0,289.0,30.0,3.2,3.0,1.2,4.7,19.0,32.1,38.9,4.0,--,--,11167
Freshwater (NSW),5.0,412.0,1373.0,673.0,723.0,64.0,2.6,2.5,0.2,12.7,42.2,20.7,22.2,2.0,--,--,11569
Manly Vale,17.0,325.0,1057.0,474.0,385.0,42.0,2.5,2.5,0.7,14.1,46.0,20.6,16.7,1.8,--,--,12476
North Manly,0.0,34.0,130.0,378.0,380.0,20.0,3.4,3.2,0.0,3.6,13.8,40.1,40.3,2.1,--,--,12997
Queenscliff (NSW),0.0,205.0,780.0,274.0,136.0,26.0,2.3,2.2,0.0,14.4,54.9,19.3,9.6,1.8,--,--,13296
Brookvale,24.0,335.0,572.0,224.0,101.0,31.0,2.1,2.3,1.9,26.0,44.4,17.4,7.8,2.4,--,--,10601
Allambie Heights,77.0,145.0,172.0,810.0,974.0,57.0,3.3,3.0,3.4,6.5,7.7,36.2,43.6,2.6,--,--,10036
North Balgowlah,0.0,19.0,104.0,390.0,573.0,13.0,3.6,3.3,0.0,1.7,9.5,35.5,52.1,1.2,--,--,12981
Narrabeen,60.0,633.0,1875.0,515.0,321.0,102.0,2.2,2.0,1.7,18.1,53.5,14.7,9.2,2.9,--,--,12902
Collaroy (NSW),10.0,273.0,1085.0,607.0,808.0,59.0,2.8,2.6,0.4,9.6,38.2,21.4,28.4,2.1,--,--,10970
Collaroy Plateau,0.0,12.0,89.0,505.0,756.0,22.0,3.7,3.3,0.0,0.9,6.4,36.5,54.6,1.6,--,--,10971
Wheeler Heights,3.0,17.0,42.0,332.0,481.0,22.0,3.6,3.2,0.3,1.9,4.7,37.0,53.6,2.5,--,--,14268
Terrey Hills,0.0,33.0,58.0,233.0,554.0,9.0,3.7,3.1,0.0,3.7,6.5,26.3,62.5,1.0,--,--,13804
Duffys Forest,0.0,3.0,11.0,12.0,114.0,3.0,4.3,3.4,0.0,2.1,7.7,8.4,79.7,2.1,--,--,11301
Ellis Lane,0.0,0.0,6.0,36.0,213.0,3.0,4.2,3.2,0.0,0.0,2.3,14.0,82.6,1.2,--,--,11405
Grasmere,0.0,42.0,155.0,68.0,327.0,19.0,3.4,2.6,0.0,6.9,25.4,11.1,53.5,3.1,--,--,11739
Camden,9.0,95.0,272.0,513.0,317.0,21.0,2.9,2.3,0.7,7.7,22.2,41.8,25.8,1.7,--,--,10770
Camden Park (NSW),0.0,0.0,3.0,55.0,572.0,3.0,4.2,3.5,0.0,0.0,0.5,8.7,90.4,0.5,--,--,10772
Cawdor (NSW),0.0,3.0,7.0,22.0,96.0,3.0,4.0,3.0,0.0,2.3,5.3,16.8,73.3,2.3,--,--,10863
Camden South,0.0,12.0,79.0,724.0,740.0,26.0,3.5,2.8,0.0,0.8,5.0,45.8,46.8,1.6,--,--,10773
Harrington Park,0.0,9.0,17.0,223.0,2710.0,24.0,4.1,3.5,0.0,0.3,0.6,7.5,90.8,0.8,--,--,11859
Elderslie (Camden - NSW),7.0,50.0,96.0,534.0,1219.0,32.0,3.6,3.0,0.4,2.6,5.0,27.6,62.9,1.7,--,--,11391
Narellan,3.0,16.0,96.0,635.0,485.0,33.0,3.3,2.7,0.2,1.3,7.6,50.1,38.2,2.6,--,--,12896
Kirkham,0.0,0.0,0.0,12.0,168.0,7.0,4.4,3.6,0.0,0.0,0.0,6.4,89.8,3.7,--,--,12171
Mount Annan,4.0,25.0,50.0,823.0,2528.0,43.0,3.8,3.3,0.1,0.7,1.4,23.7,72.8,1.2,--,--,12745
Currans Hill,3.0,13.0,44.0,726.0,850.0,20.0,3.5,3.1,0.2,0.8,2.7,43.8,51.3,1.2,--,--,11175
Gregory Hills,0.0,3.0,35.0,173.0,1228.0,14.0,3.9,3.1,0.0,0.2,2.4,11.9,84.5,1.0,--,--,11774
Narellan Vale,0.0,8.0,28.0,750.0,1371.0,32.0,3.7,3.2,0.0,0.4,1.3,34.3,62.6,1.5,--,--,12897
Spring Farm (NSW),0.0,8.0,34.0,420.0,938.0,22.0,3.7,2.9,0.0,0.6,2.4,29.5,66.0,1.5,--,--,13612
Airds,0.0,37.0,25.0,695.0,141.0,39.0,3.1,2.8,0.0,3.9,2.7,74.2,15.0,4.2,--,--,10022
Bradbury (NSW),12.0,59.0,165.0,1639.0,1041.0,63.0,3.3,2.8,0.4,2.0,5.5,55.0,34.9,2.1,--,--,10543
St Helens Park,3.0,10.0,69.0,1105.0,811.0,39.0,3.4,3.1,0.1,0.5,3.4,54.2,39.8,1.9,--,--,13637
Wedderburn (NSW),0.0,0.0,13.0,41.0,113.0,3.0,4.0,3.3,0.0,0.0,7.6,24.1,66.5,1.8,--,--,14209
Woodbine (NSW),0.0,6.0,18.0,461.0,345.0,8.0,3.5,3.1,0.0,0.7,2.1,55.0,41.2,1.0,--,--,14378
Campbelltown (NSW),27.0,279.0,1519.0,1754.0,968.0,149.0,2.8,2.4,0.6,5.9,32.3,37.4,20.6,3.2,--,--,10780
Leumeah,20.0,110.0,712.0,1619.0,896.0,84.0,3.0,2.7,0.6,3.2,20.7,47.1,26.0,2.4,--,--,12308
Blair Athol (NSW),0.0,3.0,5.0,184.0,562.0,11.0,3.9,3.7,0.0,0.4,0.7,24.1,73.5,1.4,--,--,10400
Raby,0.0,4.0,74.0,993.0,780.0,31.0,3.5,3.0,0.0,0.2,3.9,52.8,41.4,1.6,--,--,13303
Eagle Vale,4.0,8.0,53.0,1045.0,637.0,22.0,3.4,3.1,0.2,0.5,3.0,59.1,36.0,1.2,--,--,11341
Eschol Park,0.0,7.0,16.0,542.0,273.0,21.0,3.4,3.0,0.0,0.8,1.9,63.1,31.8,2.4,--,--,11441
Blairmount,0.0,0.0,14.0,27.0,68.0,5.0,3.7,3.5,0.0,0.0,12.3,23.7,59.6,4.4,--,--,10401
Kearns,0.0,3.0,19.0,336.0,454.0,14.0,3.7,3.2,0.0,0.4,2.3,40.7,55.0,1.7,--,--,12079
Claymore,0.0,6.0,7.0,460.0,110.0,27.0,3.2,3.3,0.0,1.0,1.1,75.4,18.0,4.4,--,--,10924
Holsworthy,3.0,4.0,28.0,764.0,606.0,19.0,3.5,3.4,0.2,0.3,2.0,53.7,42.6,1.3,--,--,11926
Ingleburn,12.0,68.0,891.0,2552.0,1354.0,120.0,3.1,2.9,0.2,1.4,17.8,51.1,27.1,2.4,--,--,11978
Macquarie Links,0.0,0.0,0.0,52.0,317.0,7.0,4.2,3.5,0.0,0.0,0.0,13.8,84.3,1.9,--,--,12435
Denham Court,23.0,84.0,39.0,40.0,362.0,20.0,3.6,3.0,4.0,14.8,6.9,7.0,63.7,3.5,--,--,11235
Bardia,6.0,9.0,5.0,137.0,294.0,14.0,3.7,3.3,1.3,1.9,1.1,29.5,63.2,3.0,--,--,10194
Edmondson Park,4.0,0.0,17.0,57.0,498.0,6.0,4.0,3.7,0.7,0.0,2.9,9.8,85.6,1.0,--,--,11383
Ruse,0.0,12.0,48.0,1003.0,757.0,45.0,3.5,2.9,0.0,0.6,2.6,53.8,40.6,2.4,--,--,13443
Kentlyn,5.0,15.0,16.0,30.0,143.0,6.0,3.9,3.4,2.3,7.0,7.4,14.0,66.5,2.8,--,--,12101
Minto Heights,0.0,4.0,4.0,15.0,76.0,3.0,4.1,3.4,0.0,3.9,3.9,14.7,74.5,2.9,--,--,12643
Macquarie Fields,18.0,75.0,670.0,2551.0,955.0,128.0,3.1,2.9,0.4,1.7,15.2,58.0,21.7,2.9,--,--,12433
Glenfield (NSW),7.0,36.0,454.0,1361.0,980.0,63.0,3.2,3.0,0.2,1.2,15.6,46.9,33.8,2.2,--,--,11664
Long Point (Campbelltown - NSW),0.0,0.0,0.0,17.0,43.0,0.0,4.1,3.0,0.0,0.0,0.0,28.3,71.7,0.0,--,--,12381
St Andrews (NSW),0.0,12.0,37.0,1033.0,649.0,30.0,3.4,3.1,0.0,0.7,2.1,58.7,36.9,1.7,--,--,13631
Bow Bowing,0.0,3.0,5.0,257.0,222.0,13.0,3.5,3.2,0.0,0.6,1.0,51.4,44.4,2.6,--,--,10526
Minto,8.0,70.0,529.0,1875.0,1246.0,98.0,3.2,3.1,0.2,1.8,13.8,49.0,32.6,2.6,--,--,12642
Rosemeadow,9.0,41.0,112.0,1338.0,863.0,48.0,3.4,3.1,0.4,1.7,4.6,55.5,35.8,2.0,--,--,13410
Ambarvale,3.0,17.0,164.0,1323.0,730.0,61.0,3.4,3.0,0.1,0.7,7.1,57.6,31.8,2.7,--,--,10049
Menangle Park,0.0,0.0,4.0,42.0,32.0,0.0,3.4,3.0,0.0,0.0,5.1,53.8,41.0,0.0,--,--,12569
