,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
Chittaway Bay,795.0,186.0,86.0,401.0,53.4,12.5,5.8,26.9
Chittaway Point,322.0,87.0,25.0,169.0,53.3,14.4,4.1,28.0
Church Point,587.0,61.0,29.0,258.0,62.9,6.5,3.1,27.7
Claremont Meadows,1362.0,230.0,53.0,697.0,58.4,9.9,2.3,29.9
Claymore,685.0,377.0,59.0,984.0,32.4,17.9,2.8,46.6
Clontarf,833.0,81.0,55.0,304.0,65.1,6.3,4.3,23.8
Clovelly,1571.0,370.0,182.0,1511.0,43.2,10.2,5.0,41.6
Coal Point,866.0,104.0,69.0,296.0,64.6,7.8,5.1,22.1
Coledale,362.0,79.0,40.0,222.0,51.3,11.2,5.7,31.4
Collaroy,5608.0,1067.0,647.0,3312.0,52.7,10.0,6.1,31.1
Colyton,3205.0,725.0,282.0,1999.0,51.6,11.7,4.5,32.2
Como,1740.0,192.0,141.0,725.0,62.2,6.9,5.0,25.9
Concord,5936.0,784.0,778.0,3367.0,54.6,7.2,7.2,31.0
Concord West,2629.0,372.0,413.0,1466.0,53.9,7.6,8.5,30.0
Condell Park,3917.0,581.0,423.0,2098.0,55.8,8.3,6.0,29.9
Coniston,751.0,173.0,117.0,513.0,48.3,11.1,7.5,33.0
Connells Point,1433.0,128.0,129.0,571.0,63.0,5.6,5.7,25.1
Coogee,4095.0,1286.0,468.0,5929.0,34.7,10.9,4.0,50.3
Cooks Hill,627.0,302.0,147.0,1143.0,28.3,13.6,6.6,51.5
Copacabana,1053.0,272.0,78.0,580.0,53.5,13.8,4.0,29.5
Cordeaux Heights,2343.0,179.0,56.0,802.0,69.2,5.3,1.7,23.7
Corrimal,3820.0,926.0,591.0,2358.0,49.7,12.0,7.7,30.7
Cranebrook,4814.0,1121.0,215.0,2836.0,53.6,12.5,2.4,31.6
Cremorne,3419.0,1228.0,601.0,3766.0,37.9,13.6,6.7,41.8
Cremorne Point,726.0,194.0,90.0,604.0,45.3,12.1,5.6,37.7
Cringila,1004.0,174.0,118.0,601.0,52.9,9.2,6.2,31.6
Cromer,3195.0,465.0,351.0,1425.0,58.7,8.5,6.5,26.2
