,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Hickeys Creek,21.0,5.0,7.0,84.0,15.9,3.8,5.3,63.6,11899
Belmore River,18.0,9.0,0.0,229.0,6.9,3.4,0.0,87.4,10280
Austral Eden,12.0,0.0,0.0,124.0,8.3,0.0,0.0,86.1,10110
Crescent Head,154.0,86.0,79.0,1073.0,10.1,5.6,5.2,70.1,11114
Fishermans Reach,26.0,6.0,15.0,94.0,16.0,3.7,9.3,58.0,11524
Clybucca,13.0,3.0,3.0,108.0,9.3,2.1,2.1,77.1,10940
Bellimbopinni,4.0,0.0,3.0,90.0,3.2,0.0,2.4,72.0,10272
Collombatti,65.0,23.0,18.0,451.0,10.0,3.5,2.8,69.6,10979
Kundabung,88.0,34.0,23.0,405.0,13.9,5.4,3.6,63.8,12209
Sherwood (Kempsey - NSW),17.0,12.0,0.0,111.0,11.9,8.4,0.0,77.6,13537
Bellbrook,38.0,10.0,9.0,201.0,14.0,3.7,3.3,74.2,10270
Macksville,187.0,123.0,76.0,1944.0,7.2,4.7,2.9,74.8,12430
North Macksville,45.0,26.0,14.0,465.0,7.4,4.3,2.3,76.9,12995
Way Way,27.0,12.0,12.0,171.0,11.2,5.0,5.0,71.0,14203
Scotts Head,94.0,49.0,49.0,639.0,10.5,5.5,5.5,71.4,13508
Gumma,30.0,18.0,10.0,378.0,6.5,3.9,2.2,81.8,11801
Nambucca Heads,805.0,354.0,230.0,4324.0,12.7,5.6,3.6,68.4,12887
Hyland Park,58.0,30.0,22.0,285.0,13.6,7.0,5.2,66.7,11968
Bowraville,86.0,59.0,29.0,844.0,7.7,5.3,2.6,75.3,10537
Valla Beach,184.0,91.0,52.0,911.0,14.1,7.0,4.0,69.9,14068
South Arm (Nambucca - NSW),22.0,20.0,8.0,251.0,7.1,6.4,2.6,80.4,13575
Newee Creek,45.0,23.0,20.0,257.0,11.4,5.8,5.1,65.2,12952
Congarinni North,23.0,17.0,11.0,282.0,6.1,4.5,2.9,75.4,11006
Congarinni,30.0,17.0,11.0,252.0,9.3,5.3,3.4,78.3,11005
Talarm,23.0,10.0,3.0,164.0,10.6,4.6,1.4,75.9,13728
Warrell Creek,16.0,14.0,8.0,208.0,6.2,5.5,3.1,81.2,14170
Eungai Creek,58.0,32.0,15.0,287.0,13.6,7.5,3.5,67.5,11458
Eungai Rail,14.0,19.0,3.0,163.0,6.5,8.8,1.4,75.8,11459
Allgomera,14.0,3.0,7.0,92.0,10.9,2.3,5.5,71.9,10040
Yarranbella,17.0,17.0,6.0,133.0,9.0,9.0,3.2,70.7,14478
Utungun,14.0,16.0,7.0,126.0,8.2,9.4,4.1,73.7,14062
Upper Taylors Arm,7.0,0.0,3.0,98.0,5.8,0.0,2.5,81.7,14045
Taylors Arm,13.0,9.0,10.0,99.0,8.5,5.9,6.5,64.7,13776
Argents Hill,23.0,15.0,14.0,151.0,10.4,6.8,6.3,68.0,10079
Missabotti,51.0,21.0,8.0,196.0,17.5,7.2,2.7,67.1,12649
South West Rocks,442.0,238.0,162.0,3416.0,9.6,5.2,3.5,74.2,13600
Arakoon,52.0,19.0,25.0,297.0,12.4,4.5,6.0,70.9,10069
Jerseyville,19.0,11.0,0.0,74.0,17.8,10.3,0.0,69.2,12022
Lord Howe Island,58.0,30.0,25.0,224.0,15.2,7.9,6.5,58.6,12387
Lake Cathie,404.0,223.0,148.0,2559.0,11.5,6.4,4.2,73.2,12243
Bonny Hills,325.0,198.0,127.0,2157.0,11.0,6.7,4.3,72.7,10470
North Haven (NSW),187.0,89.0,58.0,1167.0,11.2,5.3,3.5,69.6,12992
Kendall,93.0,41.0,29.0,857.0,8.2,3.6,2.5,75.2,12096
West Haven,170.0,50.0,44.0,711.0,15.3,4.5,4.0,63.9,14245
Laurieton,253.0,111.0,68.0,1390.0,12.8,5.6,3.4,70.1,12283
Kew (NSW),143.0,62.0,40.0,716.0,13.0,5.7,3.6,65.3,12109
Herons Creek,18.0,12.0,10.0,189.0,7.3,4.9,4.1,76.8,11897
Upsalls Creek,6.0,4.0,3.0,83.0,5.6,3.7,2.8,76.9,14049
Logans Crossing,19.0,5.0,5.0,97.0,14.5,3.8,3.8,74.0,12373
Lorne (NSW),42.0,9.0,11.0,180.0,15.8,3.4,4.2,67.9,12390
Lakewood,171.0,61.0,62.0,823.0,14.4,5.1,5.2,69.2,12259
Dunbogan,151.0,66.0,44.0,675.0,15.2,6.6,4.4,68.0,11310
Johns River,38.0,5.0,9.0,205.0,11.7,1.5,2.8,63.3,12037
Camden Head,21.0,6.0,12.0,103.0,13.9,4.0,7.9,68.2,10771
Port Macquarie,6900.0,2792.0,1982.0,29896.0,15.4,6.2,4.4,66.7,13246
Lake Innes,54.0,24.0,34.0,286.0,12.6,5.6,7.9,66.8,12251
Fernbank Creek,23.0,3.0,12.0,95.0,16.9,2.2,8.8,69.9,11505
Riverside (NSW),61.0,8.0,9.0,206.0,18.8,2.5,2.8,63.6,13367
Thrumster,82.0,40.0,16.0,263.0,19.7,9.6,3.8,63.2,13852
North Shore (NSW),43.0,16.0,18.0,238.0,11.7,4.4,4.9,64.9,13006
Telegraph Point,71.0,26.0,35.0,437.0,11.6,4.3,5.7,71.5,13781
Blackmans Point,27.0,9.0,8.0,105.0,16.1,5.4,4.8,62.5,10395
Gum Scrub,13.0,10.0,7.0,82.0,10.4,8.0,5.6,65.6,11797
Cooperabung,30.0,24.0,12.0,183.0,10.4,8.3,4.2,63.3,11046
Rollands Plains,10.0,10.0,4.0,123.0,6.2,6.2,2.5,76.9,13392
Upper Rollands Plains,5.0,8.0,4.0,111.0,3.4,5.5,2.8,76.6,14043
Pembrooke,6.0,9.0,4.0,94.0,4.7,7.1,3.1,74.0,13180
Frazers Creek,19.0,6.0,7.0,140.0,10.7,3.4,4.0,79.1,11560
Mortons Creek,23.0,7.0,18.0,199.0,8.5,2.6,6.6,73.2,12731
Brombin,7.0,11.0,0.0,81.0,6.4,10.1,0.0,74.3,10593
Long Flat (NSW),9.0,0.0,0.0,94.0,7.6,0.0,0.0,79.7,12377
Byabarra,38.0,15.0,10.0,231.0,11.4,4.5,3.0,69.6,10727
Ellenborough,15.0,7.0,8.0,128.0,7.8,3.6,4.2,66.7,11401
Comboyne,43.0,26.0,18.0,330.0,9.4,5.7,3.9,72.2,10992
Wauchope,478.0,299.0,217.0,4784.0,7.6,4.7,3.4,75.8,14197
Yippin Creek,18.0,8.0,13.0,134.0,9.3,4.1,6.7,69.1,14515
Rosewood (Port Macquarie-Hastings - NSW),30.0,8.0,5.0,165.0,13.5,3.6,2.2,74.0,13414
Beechwood,64.0,31.0,16.0,472.0,10.6,5.1,2.6,77.9,10248
Redbank (NSW),34.0,22.0,12.0,295.0,9.0,5.8,3.2,77.8,13336
Crosslands,40.0,23.0,12.0,446.0,7.0,4.0,2.1,78.5,11127
King Creek,173.0,98.0,59.0,1125.0,11.1,6.3,3.8,71.9,12145
Sancrox,64.0,38.0,28.0,394.0,11.2,6.6,4.9,68.8,13471
Gloucester,221.0,143.0,99.0,2305.0,7.4,4.8,3.3,77.6,11685
Craven,6.0,7.0,3.0,98.0,4.8,5.6,2.4,79.0,11107
Stratford (NSW),12.0,8.0,5.0,113.0,7.9,5.3,3.3,74.3,13672
Forbesdale,9.0,3.0,3.0,154.0,5.2,1.7,1.7,89.5,11539
Barrington (NSW),34.0,9.0,7.0,281.0,9.3,2.5,1.9,77.2,10216
Bowman,23.0,4.0,18.0,80.0,15.8,2.7,12.3,54.8,10531
Diamond Beach,96.0,50.0,32.0,654.0,10.9,5.7,3.6,74.2,11251
Manning Point,24.0,12.0,10.0,165.0,9.6,4.8,4.0,66.0,12478
Mitchells Island,52.0,23.0,12.0,340.0,11.2,5.0,2.6,73.3,12652
Oxley Island,15.0,11.0,11.0,258.0,4.5,3.3,3.3,78.2,13109
Old Bar,520.0,248.0,174.0,3114.0,11.9,5.7,4.0,71.1,13073
Black Head,157.0,60.0,32.0,571.0,18.4,7.0,3.7,66.9,10384
Red Head,63.0,27.0,18.0,374.0,12.5,5.3,3.6,73.9,13329
Rainbow Flat,103.0,41.0,20.0,477.0,15.4,6.1,3.0,71.5,13305
Hallidays Point,82.0,29.0,23.0,364.0,15.7,5.6,4.4,69.7,11832
Wallabi Point,81.0,33.0,40.0,508.0,11.7,4.8,5.8,73.5,14099
Koorainghat,28.0,10.0,6.0,139.0,14.4,5.1,3.1,71.3,12191
Tallwoods Village,136.0,45.0,40.0,445.0,19.5,6.5,5.7,63.9,13737
Taree,1555.0,758.0,442.0,12086.0,9.6,4.7,2.7,74.6,13764
Cundletown,153.0,86.0,60.0,1583.0,7.4,4.2,2.9,76.8,11161
Taree South,45.0,26.0,15.0,205.0,14.1,8.2,4.7,64.3,13765
Pampoolah,37.0,14.0,10.0,283.0,9.5,3.6,2.6,72.6,13142
Glenthorne,14.0,11.0,7.0,172.0,5.9,4.6,2.9,72.3,11680
Tinonee,107.0,65.0,34.0,789.0,9.7,5.9,3.1,71.8,13876
Harrington,360.0,142.0,116.0,2239.0,11.8,4.7,3.8,73.6,11858
Wherrol Flat,36.0,25.0,9.0,219.0,11.1,7.7,2.8,67.8,14271
Coopernook,33.0,30.0,25.0,409.0,6.1,5.6,4.7,76.2,11047
Moto,10.0,6.0,3.0,101.0,7.1,4.3,2.1,71.6,12742
Moorland (NSW),46.0,21.0,13.0,364.0,9.3,4.3,2.6,74.0,12714
Hannam Vale,23.0,17.0,13.0,120.0,12.4,9.1,7.0,64.5,11849
Stewarts River,14.0,6.0,3.0,84.0,12.2,5.2,2.6,73.0,13659
Upper Lansdowne,61.0,37.0,31.0,388.0,10.8,6.6,5.5,68.8,14033
Lansdowne (Mid-Coast - NSW),45.0,24.0,15.0,475.0,7.6,4.0,2.5,79.7,12273
Kundle Kundle,20.0,16.0,3.0,141.0,10.3,8.2,1.5,72.3,12211
Killabakh,27.0,19.0,8.0,186.0,10.2,7.2,3.0,70.5,12128
Cedar Party,34.0,25.0,5.0,271.0,9.6,7.0,1.4,76.1,10870
Marlee,26.0,11.0,7.0,144.0,11.7,4.9,3.1,64.6,12494
Elands,27.0,12.0,3.0,128.0,13.2,5.9,1.5,62.7,11388
Bobin,20.0,9.0,3.0,103.0,12.3,5.6,1.9,63.6,10427
Mount George (NSW),30.0,10.0,12.0,197.0,10.4,3.5,4.2,68.4,12761
Killawarra (NSW),14.0,8.0,0.0,139.0,8.1,4.7,0.0,80.8,12132
Burrell Creek,31.0,16.0,8.0,142.0,14.2,7.3,3.7,65.1,10709
Bootawa,22.0,10.0,9.0,102.0,12.7,5.8,5.2,59.0,10504
Mondrook,14.0,3.0,7.0,135.0,8.2,1.8,4.1,78.9,12676
Hillville,53.0,17.0,12.0,206.0,17.4,5.6,3.9,67.5,11913
Kimbriki,14.0,15.0,5.0,88.0,10.3,11.0,3.7,64.7,12139
Belbora,5.0,0.0,5.0,82.0,4.4,0.0,4.4,72.6,10256
Krambach,28.0,17.0,23.0,266.0,7.4,4.5,6.1,70.6,12202
Possum Brush,29.0,3.0,10.0,96.0,19.1,2.0,6.6,63.2,13251
Dyers Crossing,41.0,24.0,13.0,234.0,12.2,7.1,3.9,69.6,11338
Firefly,31.0,21.0,16.0,188.0,11.4,7.7,5.9,69.1,11521
Coralville,23.0,12.0,6.0,79.0,15.5,8.1,4.1,53.4,11064
Wingham,455.0,250.0,150.0,4143.0,8.5,4.7,2.8,77.1,14332
Thurgoona,981.0,452.0,322.0,6503.0,11.3,5.2,3.7,75.1,13856
East Albury,833.0,345.0,221.0,4291.0,13.7,5.7,3.6,70.3,11344
Wirlinga,21.0,9.0,5.0,100.0,15.6,6.7,3.7,74.1,14337
North Albury,766.0,275.0,217.0,4135.0,12.6,4.5,3.6,68.3,12977
Lavington,2023.0,560.0,335.0,8482.0,16.2,4.5,2.7,68.0,12287
Glenroy (Albury - NSW),436.0,177.0,105.0,2400.0,13.3,5.4,3.2,73.1,11678
Hamilton Valley,47.0,22.0,14.0,423.0,8.4,3.9,2.5,75.7,11842
Albury,692.0,295.0,184.0,3162.0,14.4,6.1,3.8,65.8,10027
South Albury,247.0,80.0,74.0,840.0,18.0,5.8,5.4,61.0,13573
West Albury,507.0,192.0,120.0,2662.0,13.2,5.0,3.1,69.1,14239
Splitters Creek,34.0,10.0,18.0,202.0,12.7,3.7,6.7,75.7,13610
Jindera,172.0,100.0,89.0,1719.0,7.7,4.5,4.0,77.3,12032
Holbrook,114.0,86.0,41.0,1317.0,6.6,5.0,2.4,76.6,11920
Table Top,118.0,73.0,53.0,1091.0,8.3,5.1,3.7,76.4,13722
Little Billabong,8.0,10.0,6.0,87.0,6.7,8.4,5.0,73.1,12350
Gerogery,33.0,24.0,15.0,444.0,5.9,4.3,2.7,78.9,11605
Brocklesby,11.0,7.0,3.0,140.0,6.3,4.0,1.7,80.0,10584
Walla Walla,49.0,37.0,20.0,672.0,5.9,4.4,2.4,80.8,14097
Glenellen,3.0,4.0,8.0,108.0,2.4,3.2,6.3,85.7,11663
Burrumbuttock,29.0,5.0,14.0,277.0,8.1,1.4,3.9,76.9,10716
Walbundrie,3.0,6.0,3.0,132.0,2.0,4.0,2.0,87.4,14092
Morven (Greater Hume Shire - NSW),4.0,11.0,5.0,109.0,2.8,7.8,3.5,77.3,12737
Culcairn,142.0,54.0,52.0,1099.0,9.6,3.7,3.5,74.5,11147
Henty (NSW),99.0,36.0,40.0,984.0,8.0,2.9,3.2,79.6,11892
Mullengandra,9.0,3.0,4.0,99.0,7.4,2.5,3.3,81.8,12823
Bowna,7.0,4.0,6.0,87.0,6.5,3.7,5.6,80.6,10534
Bungowannah,20.0,0.0,5.0,131.0,12.6,0.0,3.1,82.4,10686
Woomargama,13.0,9.0,3.0,132.0,8.1,5.6,1.9,82.5,14413
Springdale Heights,278.0,105.0,72.0,1427.0,13.7,5.2,3.5,70.1,13622
Hay (NSW),204.0,90.0,44.0,1753.0,8.5,3.7,1.8,72.9,11874
Hay South,32.0,16.0,9.0,268.0,9.1,4.6,2.6,76.4,11875
Gol Gol,131.0,45.0,44.0,1214.0,8.6,2.9,2.9,79.5,11693
Buronga,143.0,54.0,37.0,866.0,11.7,4.4,3.0,71.0,10696
Wentworth (NSW),122.0,53.0,26.0,1043.0,8.5,3.7,1.8,72.4,14225
Coomealla,58.0,23.0,17.0,583.0,7.0,2.8,2.0,70.1,11041
Dareton,27.0,14.0,5.0,374.0,5.3,2.8,1.0,73.9,11206
Curlwaa,25.0,11.0,11.0,305.0,6.3,2.8,2.8,77.0,11170
Euston,130.0,27.0,32.0,520.0,15.5,3.2,3.8,62.1,11468
Pomona (NSW),4.0,3.0,3.0,115.0,2.6,1.9,1.9,74.7,13240
Tooleybuc,40.0,10.0,12.0,177.0,14.1,3.5,4.2,62.3,13902
Balranald,84.0,40.0,20.0,1073.0,6.3,3.0,1.5,80.0,10168
Corowa,492.0,248.0,144.0,4138.0,9.0,4.5,2.6,75.5,11080
Mulwala,199.0,84.0,46.0,1648.0,9.2,3.9,2.1,76.2,12830
Balldale,12.0,9.0,3.0,109.0,7.7,5.8,1.9,70.3,10159
Rand,4.0,4.0,0.0,180.0,2.0,2.0,0.0,90.0,13311
Oaklands,28.0,11.0,9.0,285.0,8.0,3.1,2.6,81.2,13059
Howlong,287.0,113.0,89.0,2011.0,10.3,4.1,3.2,72.4,11950
Urana,22.0,7.0,10.0,263.0,5.7,1.8,2.6,68.5,14052
Deniliquin,651.0,284.0,187.0,5905.0,8.3,3.6,2.4,75.1,11237
Mayrung,10.0,3.0,3.0,110.0,6.9,2.1,2.1,76.4,12537
Mathoura,73.0,37.0,28.0,742.0,7.7,3.9,3.0,78.4,12522
Barham,112.0,49.0,48.0,1158.0,7.4,3.2,3.2,76.6,10199
Wakool,12.0,17.0,11.0,246.0,4.0,5.6,3.7,81.7,14090
Moulamein,37.0,13.0,6.0,363.0,7.8,2.7,1.3,76.3,12743
Koraleigh,31.0,10.0,12.0,270.0,8.7,2.8,3.4,76.1,12195
Conargo,7.0,3.0,8.0,77.0,5.8,2.5,6.7,64.2,10998
Murray Downs,12.0,8.0,3.0,201.0,4.5,3.0,1.1,75.8,12852
Moama,585.0,200.0,189.0,4713.0,9.5,3.2,3.1,76.5,12654
Warragoon,4.0,0.0,3.0,99.0,3.5,0.0,2.6,86.8,14159
Blighty,8.0,3.0,7.0,118.0,5.7,2.1,5.0,84.3,10412
Barooga,171.0,68.0,68.0,1340.0,9.4,3.7,3.7,73.7,10205
Tocumwal,288.0,124.0,88.0,1944.0,10.7,4.6,3.3,72.5,13886
Finley,225.0,122.0,67.0,1834.0,8.9,4.8,2.7,72.6,11520
Berrigan,87.0,53.0,27.0,933.0,6.9,4.2,2.2,74.3,10318
Jerilderie,110.0,46.0,19.0,703.0,10.7,4.5,1.8,68.4,12014
Armidale,3779.0,1201.0,896.0,15588.0,16.2,5.1,3.8,66.7,10085
Guyra,121.0,54.0,41.0,1639.0,6.0,2.7,2.0,80.7,11822
South Guyra,22.0,13.0,8.0,267.0,6.5,3.9,2.4,79.5,13586
Llangothlin,3.0,5.0,3.0,113.0,2.3,3.8,2.3,85.6,12364
Ben Lomond (NSW),10.0,0.0,9.0,110.0,6.9,0.0,6.2,75.9,10286
Black Mountain (NSW),44.0,7.0,13.0,215.0,14.4,2.3,4.3,70.5,10387
Thalgarrah,27.0,11.0,13.0,120.0,15.0,6.1,7.2,66.7,13810
Hillgrove (Armidale Regional - NSW),14.0,8.0,11.0,125.0,8.3,4.7,6.5,74.0,11907
Ebor,9.0,7.0,7.0,122.0,5.6,4.3,4.3,75.3,11372
Uralla (NSW),194.0,128.0,75.0,2155.0,7.1,4.7,2.7,78.5,14051
Saumarez Ponds,34.0,20.0,20.0,340.0,7.7,4.5,4.5,76.9,13495
Invergowrie,98.0,54.0,28.0,532.0,12.7,7.0,3.6,68.9,11983
Arding,13.0,8.0,4.0,171.0,6.4,4.0,2.0,84.7,10075
Castle Doyle,27.0,8.0,11.0,111.0,16.8,5.0,6.8,68.9,10846
Dangarsleigh,11.0,0.0,6.0,118.0,7.3,0.0,4.0,78.1,11200
Kellys Plains,12.0,6.0,11.0,125.0,7.6,3.8,7.0,79.1,12087
Yarrowyck,9.0,7.0,4.0,100.0,6.8,5.3,3.0,75.2,14492
Kentucky,14.0,8.0,14.0,113.0,8.4,4.8,8.4,68.1,12102
Kentucky South,5.0,4.0,4.0,96.0,4.2,3.3,3.3,80.0,12103
Balala,16.0,10.0,7.0,77.0,11.3,7.0,4.9,54.2,10144
Rocky River (Uralla - NSW),29.0,5.0,14.0,191.0,11.2,1.9,5.4,73.5,13390
Walcha,147.0,76.0,76.0,1944.0,5.8,3.0,3.0,76.3,14093
Woolbrook,9.0,5.0,3.0,140.0,4.9,2.7,1.6,76.5,14400
Nowendoc,12.0,7.0,0.0,106.0,8.6,5.0,0.0,76.3,13026
Yarrowitch,5.0,6.0,0.0,124.0,2.9,3.5,0.0,72.5,14491
Stonehenge (NSW),6.0,4.0,4.0,99.0,4.9,3.3,3.3,81.1,13665
Glen Innes,466.0,223.0,165.0,4631.0,7.6,3.6,2.7,75.2,11649
Emmaville,48.0,13.0,15.0,392.0,9.3,2.5,2.9,76.1,11414
Deepwater (NSW),42.0,22.0,12.0,306.0,9.7,5.1,2.8,70.5,11231
Dundee,11.0,3.0,0.0,125.0,7.4,2.0,0.0,83.9,11314
Red Range,12.0,9.0,5.0,145.0,6.5,4.8,2.7,78.0,13333
Shannon Vale,8.0,3.0,5.0,116.0,5.3,2.0,3.3,77.3,13526
Glencoe (NSW),17.0,14.0,5.0,118.0,9.2,7.6,2.7,63.8,11657
Inverell,838.0,422.0,276.0,9179.0,7.2,3.6,2.4,78.7,11981
Ashford (NSW),54.0,17.0,9.0,497.0,8.3,2.6,1.4,76.8,10099
Tingha,48.0,25.0,17.0,641.0,5.8,3.0,2.0,77.1,13874
Yetman,12.0,11.0,13.0,153.0,5.8,5.3,6.3,73.9,14514
Bundarra,31.0,17.0,22.0,523.0,4.6,2.5,3.3,77.4,10671
Gilgai,44.0,24.0,25.0,543.0,6.1,3.3,3.4,74.7,11618
Bonshaw (NSW),8.0,0.0,7.0,95.0,6.2,0.0,5.5,74.2,10473
Coolatai,5.0,10.0,7.0,90.0,3.7,7.4,5.2,66.7,11028
Bukkulla,3.0,4.0,4.0,119.0,2.1,2.8,2.8,84.4,10648
Oakwood (NSW),4.0,11.0,3.0,131.0,2.5,6.7,1.8,80.4,13061
Nullamanna,7.0,3.0,3.0,133.0,4.5,1.9,1.9,85.3,13032
Elsmore,157.0,3.0,0.0,109.0,45.2,0.9,0.0,31.4,11408
Bingara,76.0,34.0,39.0,1111.0,5.4,2.4,2.7,78.3,10365
Gravesend,10.0,9.0,7.0,267.0,3.1,2.8,2.2,82.2,11742
Auburn Vale,3.0,3.0,3.0,106.0,2.4,2.4,2.4,84.8,10107
Gum Flat,12.0,3.0,8.0,158.0,5.6,1.4,3.8,74.2,11796
Delungra,24.0,20.0,14.0,504.0,3.7,3.1,2.2,78.5,11234
Warialda,74.0,41.0,35.0,1295.0,4.7,2.6,2.2,81.6,14149
Yallaroi,3.0,0.0,3.0,91.0,2.7,0.0,2.7,82.0,14456
Warialda Rail,0.0,3.0,4.0,106.0,0.0,2.5,3.4,89.8,14150
Upper Horton,10.0,4.0,3.0,137.0,5.8,2.3,1.7,79.2,14029
Tabulam,62.0,31.0,19.0,319.0,13.4,6.7,4.1,69.0,13723
Tenterfield,296.0,149.0,106.0,3002.0,7.3,3.7,2.6,73.9,13792
Drake,57.0,23.0,5.0,194.0,16.6,6.7,1.5,56.6,11290
Liston,22.0,8.0,4.0,90.0,15.9,5.8,2.9,65.2,12346
Legume,11.0,3.0,6.0,112.0,7.4,2.0,4.0,75.2,12296
Urbenville,25.0,17.0,6.0,198.0,8.0,5.4,1.9,63.3,14057
Woodenbong,30.0,20.0,12.0,283.0,8.0,5.3,3.2,75.7,14382
Jennings,21.0,10.0,3.0,111.0,12.9,6.1,1.8,68.1,12008
Moree,646.0,232.0,192.0,7003.0,6.9,2.5,2.1,75.3,12722
Pallamallawa,16.0,6.0,9.0,348.0,3.6,1.3,2.0,77.7,13131
Garah,8.0,3.0,11.0,258.0,2.6,1.0,3.6,84.0,11586
Boomi,13.0,7.0,3.0,151.0,6.3,3.4,1.5,73.7,10489
Ashley,22.0,6.0,16.0,288.0,6.1,1.7,4.5,80.2,10100
Boggabilla,22.0,15.0,15.0,830.0,2.2,1.5,1.5,83.8,10441
North Star,23.0,3.0,11.0,171.0,9.9,1.3,4.7,73.4,13008
Mungindi (NSW),54.0,7.0,12.0,437.0,9.1,1.2,2.0,73.9,12843
Gurley,8.0,0.0,0.0,201.0,3.4,0.0,0.0,86.6,11817
Biniguy,0.0,11.0,6.0,98.0,0.0,7.4,4.1,66.2,10369
Bellata,6.0,4.0,10.0,295.0,1.7,1.2,2.9,85.0,10266
Narrabri,393.0,214.0,153.0,6060.0,5.2,2.8,2.0,79.6,12903
Wee Waa,103.0,61.0,47.0,1531.0,4.9,2.9,2.2,73.3,14211
Merah North,22.0,3.0,7.0,136.0,11.6,1.6,3.7,71.6,12572
Maules Creek,7.0,6.0,3.0,91.0,6.2,5.4,2.7,81.2,12526
Baan Baa,3.0,6.0,3.0,129.0,1.8,3.6,1.8,77.2,10120
Tarriaro,4.0,0.0,3.0,105.0,3.4,0.0,2.6,89.7,13770
Bohena Creek,4.0,3.0,0.0,135.0,2.4,1.8,0.0,81.3,10444
Jacks Creek,14.0,3.0,6.0,100.0,11.1,2.4,4.8,79.4,11993
Gwabegar,11.0,6.0,5.0,124.0,6.6,3.6,3.0,74.3,11823
Gunnedah,686.0,291.0,233.0,7748.0,7.0,3.0,2.4,79.6,11812
Curlewis (NSW),32.0,32.0,13.0,632.0,4.1,4.1,1.7,81.5,11169
Boggabri,45.0,38.0,25.0,896.0,4.0,3.4,2.2,79.4,10442
Carroll,11.0,11.0,14.0,264.0,3.3,3.3,4.2,78.3,10832
Piallaway,7.0,3.0,4.0,102.0,5.2,2.2,3.0,75.6,13196
Breeza,4.0,3.0,3.0,131.0,2.7,2.0,2.0,87.3,10561
Caroona,0.0,3.0,0.0,179.0,0.0,1.5,0.0,88.6,10823
Spring Ridge,14.0,10.0,8.0,197.0,5.9,4.2,3.3,82.4,13619
Emerald Hill,12.0,3.0,3.0,100.0,8.7,2.2,2.2,72.5,11412
Mullaley,10.0,0.0,0.0,140.0,6.3,0.0,0.0,88.6,12820
Kelvin,3.0,11.0,3.0,141.0,1.7,6.3,1.7,81.0,12091
Werris Creek,80.0,50.0,40.0,1200.0,5.1,3.2,2.6,76.5,14238
Quirindi,214.0,128.0,76.0,2748.0,6.2,3.7,2.2,79.8,13301
Wallabadah,35.0,11.0,15.0,320.0,8.3,2.6,3.6,76.2,14098
Currabubula,19.0,22.0,14.0,247.0,5.7,6.6,4.2,74.2,11172
Quipolly,10.0,3.0,0.0,139.0,6.0,1.8,0.0,82.7,13300
Willow Tree,12.0,7.0,10.0,239.0,3.9,2.3,3.2,77.1,14305
Blackville,3.0,3.0,11.0,82.0,2.5,2.5,9.3,69.5,10398
Hillvue,453.0,239.0,152.0,5190.0,7.1,3.7,2.4,81.2,11914
Calala,284.0,163.0,106.0,3154.0,7.2,4.1,2.7,80.2,10748
Kingswood (Tamworth Regional - NSW),50.0,29.0,23.0,833.0,4.9,2.8,2.2,81.0,12164
South Tamworth,521.0,209.0,133.0,5012.0,7.9,3.2,2.0,76.4,13597
West Tamworth,483.0,173.0,116.0,3829.0,9.3,3.3,2.2,73.6,14252
North Tamworth,624.0,202.0,148.0,3637.0,12.1,3.9,2.9,70.6,13011
Tamworth,37.0,5.0,7.0,102.0,21.3,2.9,4.0,58.6,13746
East Tamworth,540.0,237.0,184.0,4010.0,10.1,4.4,3.4,75.0,11363
Oxley Vale,315.0,138.0,89.0,2882.0,8.4,3.7,2.4,76.8,13111
Nemingha,24.0,20.0,20.0,569.0,3.6,3.0,3.0,84.8,12926
Westdale (Tamworth Regional - NSW),263.0,76.0,64.0,2130.0,9.5,2.8,2.3,77.1,14259
Kootingal,120.0,64.0,80.0,1755.0,5.6,3.0,3.8,82.5,12194
Duri,33.0,15.0,21.0,413.0,6.2,2.8,3.9,77.5,11332
Bithramere,12.0,6.0,0.0,138.0,7.1,3.5,0.0,81.2,10381
Winton (NSW),6.0,3.0,7.0,175.0,2.7,1.3,3.1,78.1,14336
Rushes Creek,3.0,3.0,3.0,80.0,2.9,2.9,2.9,76.2,13445
Somerton (NSW),14.0,7.0,6.0,206.0,4.9,2.5,2.1,72.8,13572
Bective,11.0,11.0,3.0,164.0,5.2,5.2,1.4,77.4,10245
Attunga,23.0,8.0,16.0,478.0,4.0,1.4,2.8,83.4,10105
Garthowen,7.0,6.0,9.0,123.0,4.5,3.8,5.8,78.8,11593
Limbri,12.0,7.0,3.0,77.0,11.0,6.4,2.8,70.6,12327
Tintinhull,30.0,17.0,12.0,316.0,7.6,4.3,3.0,79.6,13879
Loomberah,25.0,10.0,18.0,432.0,4.9,2.0,3.5,84.4,12386
Moonbi,71.0,45.0,43.0,850.0,6.3,4.0,3.8,75.6,12699
Bendemeer,41.0,19.0,14.0,369.0,8.3,3.8,2.8,74.4,10289
Watsons Creek (NSW),9.0,3.0,3.0,73.0,8.0,2.7,2.7,65.2,14188
Halls Creek (NSW),7.0,6.0,0.0,102.0,5.3,4.6,0.0,77.9,11834
Barraba,100.0,53.0,26.0,1053.0,7.1,3.8,1.9,75.1,10206
Upper Manilla,13.0,4.0,5.0,81.0,10.5,3.2,4.0,65.3,14037
