,Less than $650 gross weekly income,More than $3000 gross weekly income,Less than $650 gross weekly income (%),More than $3000 gross weekly income (%),SSC_CODE
Jannali,--,--,18.5,23.9,12001
Oyster Bay,--,--,10.2,41.5,13112
Como (NSW),--,--,9.1,40.9,10996
Kareela,--,--,11.4,34.4,12073
Kirrawee,--,--,18.8,22.2,12172
Sutherland (NSW),--,--,16.0,15.4,13701
Loftus,--,--,12.1,28.8,12371
Engadine,--,--,11.9,23.2,11422
Yarrawarrah,--,--,7.4,32.3,14485
Woronora Heights,--,--,5.0,45.7,14422
