,Personal,Family,Household,Personal (%),Family (%),Household (%),SSC_CODE
Kanimbla (NSW),678.0,1583.0,1458.0,--,--,--,12065
Capertee,437.0,871.0,756.0,--,--,--,10802
Running Stream,566.0,1093.0,1025.0,--,--,--,13441
Mudgee,623.0,1587.0,1256.0,--,--,--,12812
Putta Bucca,790.0,2187.0,2187.0,--,--,--,13278
Bombira,926.0,2437.0,2166.0,--,--,--,10457
Burrundulla,752.0,1833.0,1906.0,--,--,--,10717
Spring Flat,835.0,1774.0,1531.0,--,--,--,13613
Kandos,420.0,917.0,698.0,--,--,--,12057
Rylstone,474.0,1136.0,856.0,--,--,--,13457
Ilford,504.0,1142.0,924.0,--,--,--,11971
Clandulla,425.0,1275.0,900.0,--,--,--,10916
Charbon,374.0,762.0,716.0,--,--,--,10883
Lue,504.0,1281.0,825.0,--,--,--,12420
Gulgong,523.0,1343.0,1086.0,--,--,--,11794
Dunedoo,520.0,1125.0,871.0,--,--,--,11316
Leadville,519.0,949.0,850.0,--,--,--,12290
Cassilis (NSW),550.0,1205.0,1101.0,--,--,--,10844
Tallawang,493.0,1208.0,1145.0,--,--,--,13731
Beryl,455.0,1375.0,1312.0,--,--,--,10327
Stubbo,515.0,1458.0,1109.0,--,--,--,13682
Cope,532.0,1708.0,1125.0,--,--,--,11057
Yarrawonga (NSW),451.0,1147.0,942.0,--,--,--,14486
Piambong,667.0,2042.0,1833.0,--,--,--,13197
Cooks Gap,491.0,1333.0,1096.0,--,--,--,11018
Frog Rock,454.0,1541.0,1093.0,--,--,--,11570
Cooyal,587.0,2031.0,1906.0,--,--,--,11055
St Fillans,492.0,1625.0,1218.0,--,--,--,13634
Eurunderee,843.0,2071.0,1774.0,--,--,--,11467
