,People,Male,Female,Median age,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied),Average people per household,Median weekly household income,Median monthly mortgage repayment,Median weekly rent
Redfern,11482.0,6437.0,5045.0,37.0,7709.0,4022.0,249.0,2114.0,6424.0,1.9,1083.0,2016.0,255.0
Redhead,3336.0,1679.0,1657.0,44.0,3062.0,345.0,9.0,908.0,1373.0,2.5,839.0,1500.0,230.0
Regents Park,4986.0,2463.0,2523.0,35.0,4136.0,2284.0,23.0,1256.0,1847.0,2.9,849.0,1538.0,204.0
Regentville,714.0,353.0,361.0,32.0,651.0,105.0,0.0,196.0,255.0,2.9,1146.0,1658.0,220.0
Revesby,11854.0,5761.0,6093.0,38.0,10527.0,3473.0,41.0,3196.0,4527.0,2.7,996.0,1800.0,230.0
Revesby Heights,1322.0,619.0,703.0,38.0,1197.0,195.0,0.0,357.0,489.0,2.7,1193.0,1733.0,275.0
Rhodes,1668.0,818.0,850.0,32.0,1128.0,644.0,36.0,424.0,779.0,2.4,1565.0,2383.0,375.0
Riverstone,6096.0,3032.0,3064.0,33.0,5410.0,906.0,19.0,1633.0,2301.0,2.9,981.0,1600.0,210.0
Riverview,3344.0,1834.0,1510.0,36.0,3009.0,691.0,24.0,813.0,1040.0,3.1,2332.0,2500.0,408.0
Riverwood,9837.0,4752.0,5085.0,40.0,8063.0,4236.0,51.0,2528.0,4309.0,2.4,620.0,1625.0,110.0
Rockdale,13988.0,7115.0,6873.0,32.0,9555.0,7405.0,140.0,3408.0,5587.0,2.6,1048.0,1755.0,270.0
Rocky Point,252.0,126.0,126.0,37.0,232.0,20.0,0.0,71.0,106.0,2.5,924.0,1517.0,230.0
Rodd Point,1244.0,590.0,654.0,42.0,1155.0,304.0,0.0,366.0,510.0,2.6,1381.0,2167.0,411.0
Rooty Hill,12267.0,5908.0,6359.0,33.0,10269.0,5160.0,70.0,3117.0,3893.0,3.2,1146.0,1753.0,220.0
Rose Bay,8929.0,4169.0,4760.0,36.0,6772.0,3177.0,112.0,2142.0,4257.0,2.3,1605.0,2500.0,360.0
Rosebery,7428.0,3741.0,3687.0,35.0,5895.0,3434.0,46.0,2029.0,2961.0,2.7,1159.0,2000.0,336.0
Roselands,10162.0,4936.0,5226.0,35.0,8642.0,3559.0,45.0,2653.0,3876.0,2.9,971.0,1733.0,200.0
Rosemeadow,7415.0,3576.0,3839.0,29.0,6521.0,1894.0,24.0,1927.0,2390.0,3.2,1093.0,1396.0,195.0
Roseville,8259.0,3994.0,4265.0,39.0,7288.0,2296.0,100.0,2185.0,2958.0,2.9,2173.0,2600.0,351.0
Roseville Chase,1562.0,771.0,791.0,40.0,1396.0,414.0,16.0,422.0,548.0,3.0,2125.0,2600.0,471.0
Rouse Hill,6474.0,3245.0,3229.0,31.0,5707.0,1439.0,32.0,1716.0,2029.0,3.3,1808.0,2200.0,343.0
Rozelle,6873.0,3269.0,3604.0,35.0,5274.0,1964.0,98.0,1793.0,3438.0,2.2,2070.0,2500.0,385.0
Ruse,5625.0,2868.0,2757.0,34.0,5066.0,1028.0,9.0,1609.0,1986.0,2.9,1245.0,1408.0,215.0
Rushcutters Bay,2235.0,1179.0,1056.0,37.0,1249.0,697.0,89.0,283.0,1521.0,1.4,987.0,1733.0,230.0
Russell Lea,5068.0,2388.0,2680.0,39.0,4493.0,1308.0,37.0,1358.0,2106.0,2.5,1503.0,2100.0,320.0
Russell Vale,1287.0,616.0,671.0,37.0,1187.0,147.0,0.0,356.0,515.0,2.6,935.0,1606.0,200.0
Rydalmere,1417.0,737.0,680.0,41.0,1258.0,398.0,14.0,326.0,539.0,2.5,1016.0,2000.0,140.0
Ryde,20381.0,9818.0,10563.0,38.0,17284.0,7175.0,145.0,5340.0,8466.0,2.5,1109.0,1907.0,230.0
Sadleir,2825.0,1401.0,1424.0,33.0,2453.0,888.0,14.0,732.0,1008.0,2.9,586.0,1300.0,130.0
San Remo,4014.0,1985.0,2029.0,33.0,3607.0,407.0,6.0,1100.0,1573.0,2.8,784.0,1300.0,190.0
Sandringham,1236.0,577.0,659.0,44.0,1118.0,295.0,5.0,347.0,559.0,2.5,1191.0,2125.0,299.0
Sans Souci,8574.0,4033.0,4541.0,43.0,7507.0,2315.0,35.0,2361.0,3893.0,2.4,1016.0,2000.0,250.0
Saratoga,3675.0,1801.0,1874.0,41.0,3228.0,474.0,3.0,998.0,1507.0,2.6,1065.0,1560.0,230.0
Scarborough,346.0,173.0,173.0,38.0,309.0,49.0,0.0,94.0,159.0,2.7,1224.0,1733.0,270.0
Schofields,3908.0,1958.0,1950.0,33.0,3519.0,851.0,9.0,1085.0,1433.0,3.0,1128.0,1690.0,230.0
Scotland Island,642.0,324.0,318.0,38.0,507.0,198.0,7.0,179.0,337.0,2.7,1733.0,2000.0,320.0
Seaforth,6357.0,3161.0,3196.0,39.0,5465.0,1743.0,74.0,1713.0,2321.0,3.0,2088.0,2800.0,423.0
Sefton,5390.0,2661.0,2729.0,35.0,4587.0,2180.0,19.0,1372.0,1923.0,2.9,874.0,1625.0,220.0
