,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%)
Ramsgate Beach,693.0,80.0,89.7,10.3
Randwick,11029.0,962.0,92.0,8.0
Rankin Park,883.0,67.0,92.9,7.1
Redfern,5367.0,467.0,92.0,8.0
Redhead,1339.0,78.0,94.5,5.5
Regents Park (NSW),1426.0,86.0,94.3,5.7
Regentville,197.0,13.0,93.8,6.2
Revesby,4368.0,235.0,94.9,5.1
Revesby Heights,451.0,24.0,94.9,5.1
Rhodes,2171.0,291.0,88.2,11.8
Riverstone,2117.0,126.0,94.4,5.6
Riverview (Lane Cove - NSW),954.0,58.0,94.3,5.7
Riverwood,3789.0,194.0,95.1,4.9
Rockdale,4690.0,230.0,95.3,4.7
Rocky Point (NSW),94.0,10.0,90.4,9.6
Rodd Point,469.0,25.0,94.9,5.1
Rooty Hill,3804.0,160.0,96.0,4.0
Rose Bay (NSW),3700.0,455.0,89.0,11.0
Rosebery (NSW),2952.0,114.0,96.3,3.7
Roselands,3646.0,217.0,94.4,5.6
Rosemeadow,2347.0,70.0,97.1,2.9
Roseville,2981.0,202.0,93.7,6.3
Roseville Chase,499.0,21.0,96.0,4.0
