ss,low_income,high_income,p_income,f_income,h_income,chinese_p,owner,mortgage,rent,rental,rent_distress,repay,repay_distress,house,semi,unit,ssc,POA_CODE_2016
Balmain,14,45,1342,3673,2550,0.9,26.9,28.6,42.1,600,13.5,3000,5.4,8.6,55,35.4,10164,2041
Birchgrove,8.3,52.2,1515,3918,3225,0.9,37.5,31,29.8,650,8.9,3000,5.6,3.6,77.3,18.7,10374,2041
Woolwich,7.6,51.8,1242,3903,3211,6.1,54.3,21.6,20.6,470,8.5,2500,5.2,67.7,6.2,23.7,14412,2110
Leichhardt,12.9,36.9,1092,2847,2256,2,23.4,34.2,40.1,560,14.5,3000,6,35.1,41.2,21.7,12297,2040
Lilyfield,18.5,39.9,1133,3166,2310,2,27.1,33.8,36.4,498,12.7,3000,5.3,20.9,55.5,22.9,12325,2040
Hurlstone Park,16.9,24.2,762,2051,1780,3.1,37.9,30,29.5,415,12.8,2299,6,57.2,14.3,25,11963,2193
Ashbury,13,33.1,743,2324,2157,4.8,49.7,36.9,11.6,560,3.1,2500,6.9,89.2,8.6,1.7,10093,2193
Burwood,24.6,16.6,478,1498,1398,45.7,24.4,17.7,53.8,520,30.1,2167,6.9,26.8,10.8,61.1,10718,2134
Strathfield,16.5,28.4,662,1985,1892,18.2,30.1,23.1,41.7,500,17.7,2301,7.9,47.3,4.8,47.1,13675,2135
Enfield,19.1,17.9,640,1850,1595,17.1,33,32.8,30.8,450,13.7,2167,10.7,43.8,31.1,24.8,11421,2136
Burwood Heights,17.8,23.3,621,2059,1863,17.7,44.4,29.7,21.5,530,7.4,2500,8.6,60.8,16.8,22.3,10719,2136
Strathfield South,15.9,22.7,705,2048,1809,12.8,32.3,33.4,32.6,490,13.6,2300,10.1,59.2,16.2,23.1,13676,2136
Chatswood,17.8,27.2,737,2099,1881,35.2,26.9,22.5,47.1,600,23.4,2500,7.1,29.6,4.6,65.6,10892,2067
Willoughby,12,44.2,1071,3211,2548,8.399999999999999,33.3,36.7,27.5,575,9.6,3000,7.1,61.7,11.8,25.6,14303,2068
Artarmon,14.8,34.2,1028,2493,2183,18.1,24.2,23.7,49.6,541,16.3,2483,5.3,22.4,8.7,68.4,10090,2064
Roseville,9.4,47.7,998,3244,2832,14.5,41.3,35.1,21.7,630,8.5,3000,7.9,73.4,3.1,23.2,13412,2069
Lane Cove North,11.9,30.6,1104,2580,2161,11.1,20.6,33.2,43,500,14.8,2400,7.1,24.1,6.4,69.4,12267,2066
Riverview,7.3,59.7,995,3915,3692,4.1,46.4,41.2,10.7,728,2.8,4000,8.5,95.4,1,0.6,13370,2066
Greenwich,8.5,44.2,1205,3417,2555,5.1,36.7,29.2,30.9,550,9.5,2800,4.9,49.6,4.3,45.3,11770,2065
Northwood,5.6,66.1,1387,4264,4152,4.5,52.2,36,10,1000,3.5,3250,6.5,95.1,2.1,2.8,13024,2066
Longueville,7.1,66.6,1402,4380,4050,4.7,56.3,34.3,7.6,983,2,4333,8.5,98.8,0.5,0.8,12385,2066
St Leonards,8.2,37.8,1386,2823,2327,18,13.8,20.8,63.3,580,19.4,2500,5.4,4.4,1,94,13642,2065
Naremburn,10.8,45.2,1292,3372,2627,6,28.6,33.3,35.9,625,9.6,3000,6.3,38.7,20.1,41,12898,2065
Cammeray,10.6,40.2,1385,3318,2361,3.0999999999999996,26.7,28.3,43.1,580,14.2,2670,5.5,24.4,15.8,59.1,10778,2062
Castle Cove,9.4,47.8,978,3162,2797,15.8,50.7,34.1,11.6,923,4,3113,7,92.8,1.2,5.6,10845,2069
Castlecrag,8.4,61,1262,4024,3799,7.4,47.5,38.7,12,950,5.3,3991,8.6,96.5,1.5,1.2,10849,2068
Northbridge,8.4,53.4,1155,3784,3344,7,47.6,30.8,19.4,680,7.5,3500,6.7,76.6,8.3,14.2,13022,2063
Middle Cove,9,52.7,1027,3663,3250,8.8,46.3,40.9,10,923,6,3467,7.8,97,2.1,0.9,12602,2068
Willoughby East,10.3,56.5,1089,3963,3654,5.1,43.7,42.2,12.5,837,3.3,3000,6.6,94.6,5.4,0,14304,2068
Hornsby Heights,9,33,838,2421,2273,4.6,38.3,51.4,8.7,580,3.1,2500,10,97.8,2.1,0,11937,2077
Mount Colah,9,34.2,828,2397,2268,4.3,36.5,48.6,13.3,545,4.9,2400,8.7,95.2,4.1,0.3,12750,2079
Asquith,12,28.5,787,2199,2029,9,37.6,40.2,20.2,528,7.3,2400,8.9,83.4,11.4,4.1,10103,2077
Hornsby,16.3,18.6,746,1931,1696,18.299999999999997,22.9,31.2,43.3,455,18.3,2150,7.9,36.5,6.3,56.7,11936,2077
Berowra,9.1,34.6,850,2511,2355,1.6,36.4,48.9,12.3,550,3.4,2331,8.5,94,5.8,0,10308,2081
Berowra Heights,9.5,29.3,824,2334,2138,0.9,39,47.9,11.4,550,4.3,2383,10.2,95.9,3,0.8,10310,2082
Normanhurst,17.8,33.4,744,2574,2140,8.7,36.5,40.2,20.3,428,7.6,2600,7.2,76.9,16,6.6,12976,2076
Thornleigh,11.3,34.8,830,2463,2262,9.2,33.9,44,19.9,510,7.2,2500,7.6,81.1,16.9,1.6,13850,2120
Westleigh,8.6,39.1,847,2694,2457,6.3,47.1,44.1,6.6,643,2.2,2448,6.6,96.5,3.5,0,14260,2120
Wahroonga,10.5,43.5,912,3005,2584,9.8,39.8,40.9,16.3,600,5.6,3000,8.9,76.2,5.6,17.9,14085,2076
East Killara,13.4,43.4,739,2620,2524,34.8,48.3,35.6,13,920,5,3100,10.4,99.7,0.3,0,11355,2071
Lindfield,12.1,43.5,982,3077,2513,17.6,38.5,33.4,25.4,554,9.8,3000,7.3,59.7,2.3,37.4,12339,2070
Gordon,13.4,38.8,857,2629,2313,22.5,37.9,30.2,29.5,650,12.3,2800,7.9,56.6,4,39.3,11718,2072
East Lindfield,10.5,50.6,919,3429,3047,18.5,47.6,33.1,11.7,975,3.7,3500,7.9,89.2,0.3,10.6,11357,2070
Roseville Chase,5.7,50.7,1014,3553,3029,9.399999999999999,46.5,43.9,8.2,730,3.5,3800,10.5,96,4,0,13413,2069
Pymble,8.1,51.2,1025,3368,3090,15.3,41.2,39.6,17.3,660,6.5,3100,10,80.4,2.2,17,13281,2073
West Pymble,11.1,47.9,936,3273,2855,7.5,41.4,45.5,10.9,700,3.7,3000,8.8,96.5,2.1,1.2,14250,2073
St Ives,10.7,42.4,932,2839,2477,12.399999999999999,42.4,40.5,15.2,680,6.2,3000,9.5,70.1,9.5,20.2,13639,2075
St Ives Chase,7.3,48.8,935,3051,2938,11.399999999999999,45.9,45.8,7.5,950,3.2,3142,9.9,96.7,1.8,1.5,13640,2075
Turramurra,10.8,45.3,960,3164,2657,9.4,40.2,39,17.6,590,6.7,3000,7.8,73.9,3.9,22,13980,2074
South Turramurra,9.3,43.5,861,2842,2564,5.8,43.2,47,8.2,725,4.1,3000,8.1,98.2,1.8,0,13598,2074
North Wahroonga,8.7,46.2,897,2955,2702,7.4,48.6,42.6,7.6,775,1.7,3033,8.3,93.7,5.4,0.9,13015,2076
Neutral Bay,10.4,37.3,1356,3098,2301,5,23.5,21.4,52.9,550,15.3,2500,4.5,7.3,11.1,81,12934,2089
Crows Nest,8.7,38,1352,3060,2312,4.7,20.2,25.9,52.4,550,16,2800,6,10.6,31.1,57.1,11131,2065
