,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Quaama,281.0,0.47700000000000004,0.523,54.0,75.0,1.8,0.5,141.0,1.9,806.0,1083.0,200.0,1.8,13285
Cobargo,776.0,0.47500000000000003,0.525,53.0,210.0,1.9,0.6,387.0,2.2,760.0,989.0,200.0,1.8,10951
Dignams Creek,85.0,0.47700000000000004,0.523,53.0,17.0,1.0,0.2,41.0,2.3,899.0,867.0,210.0,2.1,11255
Yowrie,117.0,0.551,0.449,54.0,36.0,1.7,0.6,68.0,2.1,817.0,1300.0,235.0,2.0,14520
Wandella (NSW),141.0,0.541,0.459,55.0,46.0,1.6,0.2,72.0,2.3,860.0,1000.0,0.0,2.3,14128
Greendale (Bega Valley - NSW),77.0,0.533,0.467,51.0,23.0,2.0,0.5,42.0,2.2,1156.0,1192.0,195.0,1.9,11758
Angledale,154.0,0.523,0.47700000000000004,45.0,45.0,2.1,0.9,64.0,2.4,1160.0,1083.0,260.0,2.4,10056
Verona,288.0,0.443,0.557,51.0,90.0,1.5,0.5,132.0,2.2,959.0,1500.0,205.0,2.0,14073
Wapengo,69.0,0.48,0.52,59.0,21.0,1.6,0.5,49.0,1.8,883.0,433.0,0.0,1.6,14139
Nelson (Bega Valley - NSW),8.0,0.375,0.625,12.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12921
Murrah,51.0,0.479,0.521,60.0,11.0,1.0,0.2,45.0,1.6,875.0,1300.0,0.0,1.9,12849
Tanja,157.0,0.506,0.494,56.0,51.0,1.8,0.5,97.0,2.2,1062.0,1307.0,185.0,1.7,13749
Coolagolite,278.0,0.52,0.48,53.0,80.0,1.4,0.3,147.0,2.2,977.0,1300.0,200.0,2.1,11023
Brogo,503.0,0.525,0.47500000000000003,55.0,140.0,1.7,0.5,308.0,2.2,977.0,1083.0,150.0,2.0,10589
Coopers Gully,166.0,0.521,0.479,44.0,45.0,2.0,0.8,69.0,2.4,1458.0,1300.0,180.0,2.1,11048
Stony Creek (Bega Valley - NSW),143.0,0.48200000000000004,0.518,46.0,38.0,2.0,0.6,62.0,2.7,1292.0,1733.0,0.0,2.2,13668
Numbugga,125.0,0.47600000000000003,0.524,50.0,37.0,1.8,0.7,60.0,2.5,900.0,1200.0,0.0,2.0,13038
Morans Crossing,71.0,0.48600000000000004,0.514,42.0,20.0,2.3,0.8,27.0,3.0,850.0,1667.0,185.0,1.8,12721
Buckajo,295.0,0.529,0.47100000000000003,45.0,90.0,1.9,0.6,128.0,2.4,1363.0,1733.0,160.0,2.4,10629
Kameruka,118.0,0.504,0.49600000000000005,43.0,36.0,2.3,0.9,52.0,2.6,1325.0,1733.0,280.0,2.5,12054
Greigs Flat,151.0,0.543,0.457,42.0,41.0,1.8,0.7,68.0,2.4,1221.0,2075.0,0.0,2.2,11775
New Buildings,37.0,0.5529999999999999,0.44700000000000006,58.0,12.0,0.0,0.0,26.0,1.5,575.0,1155.0,0.0,1.8,12940
Mount Darragh,26.0,0.5910000000000001,0.409,60.0,12.0,1.0,0.2,22.0,1.8,725.0,0.0,0.0,1.9,12753
Rocky Hall,45.0,0.47600000000000003,0.524,59.0,8.0,1.0,0.3,27.0,1.3,825.0,0.0,0.0,1.7,13386
Broulee,1717.0,0.46799999999999997,0.532,51.0,437.0,1.8,0.6,1228.0,2.2,1002.0,1517.0,270.0,1.6,10608
Tomakin,1001.0,0.519,0.48100000000000004,56.0,266.0,1.7,0.5,686.0,2.1,1018.0,1517.0,264.0,1.7,13890
Mossy Point,569.0,0.49700000000000005,0.503,50.0,169.0,1.6,0.6,432.0,2.3,1380.0,1450.0,300.0,1.7,12741
Belowra,9.0,0.5,0.5,60.0,4.0,0.0,0.0,8.0,2.0,900.0,0.0,0.0,1.0,10282
Cadgee (NSW),43.0,0.478,0.522,55.0,17.0,0.0,0.0,22.0,2.0,900.0,0.0,0.0,2.0,10744
Bodalla,739.0,0.508,0.49200000000000005,50.0,218.0,1.8,0.6,365.0,2.5,957.0,1300.0,173.0,2.0,10434
Eurobodalla,92.0,0.5,0.5,51.0,23.0,1.4,0.5,49.0,2.1,1062.0,1083.0,200.0,2.1,11463
Wamban,90.0,0.518,0.48200000000000004,56.0,25.0,2.0,0.1,52.0,2.0,928.0,1042.0,180.0,1.8,14120
Nerrigundah,25.0,0.536,0.46399999999999997,60.0,5.0,0.0,0.0,11.0,1.5,749.0,0.0,0.0,2.2,12931
Deua River Valley,76.0,0.539,0.461,54.0,21.0,1.4,0.3,57.0,1.7,762.0,550.0,0.0,1.7,11245
Tinpot,9.0,0.5,0.5,62.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,13877
Narooma,2605.0,0.508,0.49200000000000005,57.0,664.0,1.8,0.4,1696.0,1.9,777.0,1268.0,210.0,1.5,12900
Merricumbene,19.0,0.706,0.294,49.0,4.0,1.0,0.5,17.0,1.0,1125.0,0.0,0.0,2.0,12582
Eden,3151.0,0.489,0.511,51.0,789.0,1.8,0.5,1562.0,2.2,852.0,1387.0,230.0,1.6,11375
Boydtown,70.0,0.539,0.461,63.0,22.0,1.0,0.1,46.0,1.9,833.0,1733.0,175.0,1.9,10542
South Durras,341.0,0.503,0.49700000000000005,52.0,81.0,2.0,0.5,367.0,2.3,1148.0,1300.0,200.0,1.8,13580
Cockwhy,17.0,0.375,0.625,36.0,6.0,1.5,1.0,4.0,3.5,1625.0,0.0,0.0,3.0,10956
Depot Beach,21.0,0.409,0.5910000000000001,58.0,6.0,1.0,0.5,49.0,2.0,762.0,0.0,0.0,1.0,11242
Durras North,27.0,0.636,0.364,60.0,10.0,0.0,0.0,58.0,1.6,1062.0,0.0,0.0,1.4,11335
East Lynne,95.0,0.495,0.505,47.0,29.0,1.8,0.5,52.0,2.2,850.0,1100.0,200.0,1.9,11359
Buckenbowra,15.0,0.368,0.632,43.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,3.0,10631
Currowan,53.0,0.544,0.456,53.0,17.0,1.5,0.6,29.0,2.1,1125.0,1343.0,0.0,2.4,11181
Runnyford,19.0,0.4,0.6,57.0,11.0,0.0,0.0,15.0,1.5,899.0,0.0,0.0,1.3,13442
Mogo (Eurobodalla - NSW),322.0,0.5,0.5,45.0,82.0,1.8,0.7,146.0,2.3,938.0,1344.0,160.0,1.9,12660
Jeremadra,168.0,0.49700000000000005,0.503,47.0,54.0,1.6,0.7,78.0,2.6,1028.0,1294.0,130.0,2.1,12012
Woodlands (Eurobodalla - NSW),73.0,0.44700000000000006,0.5529999999999999,50.0,13.0,2.0,0.8,34.0,2.3,1125.0,867.0,0.0,1.7,14387
Bimbimbie,118.0,0.525,0.47500000000000003,38.0,27.0,1.5,0.5,41.0,2.0,1228.0,1733.0,350.0,1.9,10361
Kiora,54.0,0.533,0.467,47.0,12.0,1.5,0.4,25.0,2.2,1042.0,1525.0,150.0,2.0,12166
Mogendoura,183.0,0.484,0.516,55.0,60.0,1.6,0.4,88.0,2.4,937.0,2167.0,230.0,2.0,12657
Turlinjah,157.0,0.525,0.47500000000000003,49.0,44.0,1.6,0.6,59.0,2.7,1350.0,1579.0,150.0,2.3,13975
Potato Point,135.0,0.533,0.467,61.0,41.0,1.0,0.1,158.0,1.8,1142.0,1473.0,0.0,1.7,13253
Kianga (NSW),777.0,0.48200000000000004,0.518,60.0,223.0,1.7,0.4,450.0,2.1,873.0,1463.0,270.0,1.6,12119
Tuross Head,2241.0,0.488,0.512,59.0,683.0,1.7,0.4,1743.0,2.0,893.0,1300.0,270.0,1.6,13979
Pambula Beach,654.0,0.45299999999999996,0.547,51.0,195.0,1.7,0.5,455.0,2.2,1260.0,1636.0,310.0,1.7,13141
Merimbula,3544.0,0.47700000000000004,0.523,55.0,900.0,1.6,0.4,2274.0,2.0,945.0,1400.0,250.0,1.5,12575
Tura Beach,3158.0,0.47200000000000003,0.528,57.0,920.0,1.8,0.5,1629.0,2.2,1064.0,1452.0,330.0,1.7,13973
South Pambula,483.0,0.49700000000000005,0.503,42.0,134.0,2.0,0.9,181.0,2.7,1120.0,1359.0,270.0,2.1,13595
Pambula,970.0,0.46299999999999997,0.537,50.0,241.0,2.0,0.7,443.0,2.2,843.0,1300.0,255.0,1.6,13140
Broadwater (Bega Valley - NSW),117.0,0.5,0.5,44.0,34.0,2.0,0.8,55.0,2.7,1275.0,1517.0,200.0,2.1,10579
Bald Hills (NSW),263.0,0.489,0.511,45.0,68.0,1.7,0.7,107.0,2.5,1347.0,1700.0,350.0,2.1,10147
Millingandi,446.0,0.507,0.493,61.0,128.0,1.8,0.3,257.0,1.9,770.0,1500.0,200.0,1.5,12622
Mirador,377.0,0.503,0.49700000000000005,48.0,125.0,1.7,0.7,158.0,2.6,1437.0,1907.0,405.0,2.1,12644
Berrambool,456.0,0.49200000000000005,0.508,52.0,122.0,1.8,0.4,247.0,2.1,913.0,1387.0,260.0,1.6,10312
Moruya,3982.0,0.5,0.5,51.0,1083.0,1.8,0.5,1942.0,2.2,873.0,1387.0,230.0,1.7,12734
Moruya Heads,976.0,0.49100000000000005,0.509,50.0,275.0,1.8,0.5,549.0,2.2,1042.0,1311.0,280.0,1.8,12735
Bergalia,171.0,0.509,0.49100000000000005,49.0,49.0,1.8,0.7,69.0,2.5,1395.0,1854.0,0.0,1.9,10302
Coila,52.0,0.633,0.36700000000000005,62.0,13.0,1.4,0.4,29.0,1.9,850.0,2817.0,280.0,2.0,10962
Congo,245.0,0.516,0.484,46.0,58.0,1.8,0.7,156.0,2.2,1013.0,1615.0,295.0,1.9,11008
Bingie,196.0,0.51,0.49,57.0,59.0,1.6,0.4,111.0,2.2,979.0,1582.0,195.0,2.1,10367
Meringo,103.0,0.495,0.505,53.0,33.0,2.0,0.5,59.0,2.5,1218.0,1821.0,215.0,2.1,12576
Bermagui,1536.0,0.48600000000000004,0.514,56.0,417.0,1.9,0.5,1114.0,2.1,843.0,1300.0,235.0,1.6,10307
Dalmeny,1937.0,0.469,0.531,57.0,519.0,1.9,0.5,1091.0,2.2,901.0,1300.0,240.0,1.7,11191
Cuttagee,55.0,0.44799999999999995,0.552,62.0,18.0,0.0,0.0,38.0,1.8,900.0,0.0,0.0,1.9,11183
Barragga Bay,94.0,0.484,0.516,59.0,32.0,1.4,0.4,84.0,2.2,1187.0,905.0,208.0,1.6,10210
Wallaga Lake,548.0,0.507,0.493,62.0,157.0,1.9,0.3,376.0,1.9,768.0,1100.0,236.0,1.6,14102
Central Tilba,288.0,0.484,0.516,57.0,78.0,1.5,0.3,157.0,2.0,909.0,1420.0,200.0,2.0,10877
Corunna,63.0,0.557,0.443,60.0,22.0,1.4,0.3,36.0,2.1,1041.0,1500.0,0.0,1.6,11085
Tilba Tilba,95.0,0.516,0.484,54.0,31.0,2.1,0.6,43.0,2.6,900.0,1696.0,220.0,1.9,13864
North Narooma,622.0,0.48600000000000004,0.514,60.0,204.0,1.6,0.4,365.0,2.2,1039.0,1300.0,250.0,1.8,12998
Akolele,173.0,0.49700000000000005,0.503,33.0,31.0,2.2,0.8,87.0,2.6,687.0,1475.0,165.0,1.7,10023
Mystery Bay,191.0,0.524,0.47600000000000003,59.0,50.0,1.4,0.2,142.0,2.0,928.0,1600.0,280.0,1.6,12883
Goulburn,22419.0,0.5,0.5,40.0,5611.0,1.8,0.7,9922.0,2.3,1155.0,1517.0,260.0,1.7,11725
Run-o-Waters,471.0,0.479,0.521,46.0,144.0,1.6,0.7,176.0,2.8,1843.0,2059.0,263.0,2.6,13440
Marulan,1178.0,0.515,0.485,41.0,323.0,2.0,0.7,582.0,2.6,1143.0,1517.0,280.0,2.1,12513
Windellama,357.0,0.552,0.44799999999999995,50.0,87.0,1.8,0.5,281.0,2.3,814.0,1733.0,75.0,2.1,14318
Crooked Corner,61.0,0.614,0.386,56.0,17.0,2.0,0.6,37.0,1.6,1093.0,385.0,0.0,2.3,11122
Bigga,245.0,0.537,0.46299999999999997,55.0,54.0,1.8,0.5,211.0,2.1,866.0,923.0,50.0,2.0,10346
Tirrannaville,237.0,0.504,0.49600000000000005,48.0,68.0,2.0,0.7,113.0,2.5,1575.0,1800.0,180.0,2.1,13883
Lake Bathurst,228.0,0.5650000000000001,0.435,46.0,53.0,1.8,0.5,114.0,2.3,1649.0,1571.0,300.0,2.4,12239
Quialigo,253.0,0.534,0.466,45.0,71.0,2.0,0.9,120.0,2.8,1471.0,1688.0,298.0,2.3,13297
Laggan,358.0,0.528,0.47200000000000003,47.0,101.0,2.0,0.8,204.0,2.7,1509.0,1257.0,205.0,2.8,12235
Lost River,75.0,0.47100000000000003,0.529,52.0,19.0,2.0,0.8,40.0,2.4,1499.0,1322.0,0.0,2.6,12391
Narrawa,86.0,0.516,0.484,46.0,26.0,1.7,0.5,61.0,2.3,1291.0,0.0,50.0,3.5,12908
Grabben Gullen,253.0,0.525,0.47500000000000003,48.0,55.0,1.8,0.6,120.0,2.5,956.0,1153.0,150.0,2.3,11731
Wheeo,77.0,0.514,0.48600000000000004,44.0,20.0,2.1,1.0,38.0,2.9,939.0,1367.0,0.0,2.9,14270
Parkesbourne,170.0,0.574,0.42600000000000005,52.0,59.0,1.6,0.4,84.0,2.4,1875.0,2167.0,213.0,2.1,13152
Yarra,173.0,0.509,0.49100000000000005,45.0,51.0,1.6,0.5,73.0,2.4,1624.0,2034.0,165.0,2.6,14468
Breadalbane (NSW),100.0,0.495,0.505,40.0,22.0,1.8,0.9,42.0,2.6,1624.0,1571.0,0.0,2.4,10555
Wollogorang,67.0,0.625,0.375,49.0,18.0,1.6,0.5,25.0,2.4,1812.0,0.0,190.0,3.0,14354
Crookwell,2641.0,0.493,0.507,50.0,714.0,1.8,0.6,1292.0,2.2,1001.0,1343.0,220.0,2.0,11123
Tuena,59.0,0.614,0.386,63.0,19.0,2.1,0.5,54.0,1.7,687.0,0.0,0.0,1.6,13949
Fullerton,48.0,0.522,0.478,58.0,13.0,1.0,0.1,65.0,1.8,939.0,1000.0,0.0,1.7,11574
Peelwood,34.0,0.5479999999999999,0.452,56.0,9.0,2.0,0.4,45.0,1.4,575.0,0.0,58.0,3.0,13175
Limerick,43.0,0.47500000000000003,0.525,53.0,11.0,0.0,0.0,22.0,2.0,1312.0,0.0,0.0,1.5,12331
Bungonia,367.0,0.488,0.512,49.0,106.0,1.9,0.6,282.0,2.3,1025.0,1560.0,220.0,2.1,10685
Collector,313.0,0.484,0.516,37.0,85.0,1.8,0.9,124.0,2.8,1786.0,2118.0,285.0,2.2,10972
Middle Arm,362.0,0.52,0.48,47.0,111.0,1.8,0.8,167.0,2.7,1812.0,1950.0,250.0,2.7,12599
Chatsbury,91.0,0.455,0.545,49.0,24.0,2.0,0.2,52.0,2.9,1850.0,1550.0,114.0,2.6,10891
Myrtleville,72.0,0.43200000000000005,0.568,49.0,23.0,2.0,0.3,42.0,2.7,1292.0,2096.0,0.0,2.5,12882
Taralga,467.0,0.524,0.47600000000000003,46.0,97.0,2.2,0.7,251.0,2.2,1050.0,1114.0,135.0,2.0,13759
Tarlo,164.0,0.515,0.485,51.0,54.0,1.6,0.5,86.0,2.2,1781.0,2084.0,191.0,2.2,13767
Biala,59.0,0.533,0.467,40.0,11.0,1.4,0.7,37.0,2.2,1375.0,0.0,50.0,2.5,10336
Merrill,31.0,0.48600000000000004,0.514,42.0,9.0,1.5,0.6,17.0,2.0,1687.0,683.0,0.0,1.9,12584
Gurrundah,55.0,0.46399999999999997,0.536,43.0,12.0,1.4,0.5,35.0,2.3,1125.0,1863.0,200.0,2.5,11820
Cullerin,38.0,0.5710000000000001,0.429,51.0,11.0,2.1,0.7,14.0,2.4,2062.0,1688.0,165.0,2.0,11151
Wayo,119.0,0.544,0.456,52.0,29.0,2.0,0.2,72.0,2.4,1325.0,1631.0,0.0,2.8,14204
Woodhouselee,15.0,0.47100000000000003,0.529,53.0,4.0,0.0,0.0,21.0,1.4,1375.0,988.0,0.0,2.0,14386
Kingsdale,175.0,0.56,0.44,46.0,51.0,2.0,0.8,78.0,2.5,1937.0,2167.0,320.0,2.5,12155
Bannister (NSW),120.0,0.517,0.483,49.0,33.0,2.0,0.7,67.0,2.9,1562.0,1302.0,190.0,2.2,10183
Pejar,50.0,0.5,0.5,53.0,17.0,2.0,0.8,29.0,2.7,1562.0,1706.0,100.0,3.0,13176
Roslyn,92.0,0.462,0.538,53.0,32.0,1.0,0.1,53.0,2.7,1208.0,1200.0,180.0,2.3,13416
Pomeroy,115.0,0.429,0.5710000000000001,39.0,30.0,2.1,1.2,45.0,3.1,1437.0,2200.0,60.0,2.5,13239
Yalbraith,19.0,0.5,0.5,47.0,3.0,1.0,0.5,21.0,2.0,599.0,0.0,0.0,1.5,14454
Golspie,58.0,0.55,0.45,55.0,17.0,1.0,0.2,57.0,1.6,1062.0,834.0,0.0,2.8,11695
Wiarborough,20.0,0.6920000000000001,0.308,61.0,3.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,3.0,14284
Wombeyan Caves,57.0,0.549,0.451,57.0,7.0,0.0,0.0,68.0,1.7,900.0,0.0,0.0,2.2,14366
Stonequarry,21.0,0.522,0.478,33.0,6.0,2.0,2.0,9.0,4.0,2750.0,0.0,0.0,2.0,13666
Richlands (NSW),34.0,0.611,0.389,46.0,16.0,1.0,0.3,30.0,1.9,1375.0,0.0,0.0,1.7,13359
Curraweela,47.0,0.628,0.37200000000000005,51.0,11.0,1.4,0.5,61.0,2.1,1024.0,1529.0,0.0,2.0,11179
Big Hill (NSW),44.0,0.574,0.42600000000000005,45.0,10.0,1.0,0.3,46.0,1.4,1624.0,2084.0,0.0,1.7,10342
Brayton,173.0,0.528,0.47200000000000003,48.0,43.0,1.6,0.4,102.0,2.3,1125.0,2123.0,70.0,2.1,10554
Bannaby,36.0,0.515,0.485,52.0,8.0,1.0,0.3,50.0,1.6,774.0,1100.0,0.0,2.2,10182
Greenwich Park,120.0,0.513,0.48700000000000004,47.0,36.0,1.8,0.4,79.0,2.5,899.0,2481.0,275.0,2.4,11771
Tallong,813.0,0.532,0.46799999999999997,48.0,243.0,2.1,0.7,383.0,2.7,1176.0,1779.0,250.0,2.3,13733
Carrick (NSW),136.0,0.538,0.462,47.0,32.0,2.1,0.8,76.0,2.4,1542.0,2051.0,200.0,2.2,10828
Brisbane Grove,131.0,0.49200000000000005,0.508,42.0,32.0,1.7,0.8,47.0,2.8,1625.0,1650.0,260.0,2.4,10577
Binda,280.0,0.541,0.459,46.0,70.0,2.2,0.8,169.0,2.3,944.0,1300.0,25.0,2.3,10363
Towrang,171.0,0.511,0.489,44.0,47.0,1.9,0.9,84.0,2.6,1274.0,1560.0,231.0,2.6,13930
Mummel,112.0,0.474,0.526,43.0,28.0,1.8,0.6,48.0,2.5,1937.0,1725.0,0.0,1.9,12835
Baw Baw (NSW),260.0,0.521,0.479,48.0,72.0,1.5,0.6,103.0,2.6,1442.0,1939.0,350.0,2.6,10234
Boxers Creek,226.0,0.524,0.47600000000000003,43.0,63.0,1.8,0.7,92.0,2.9,1194.0,1907.0,260.0,2.5,10541
Gundary,270.0,0.528,0.47200000000000003,42.0,74.0,1.9,1.0,109.0,3.2,1455.0,2392.0,275.0,2.6,11806
Yass,6506.0,0.479,0.521,41.0,1691.0,1.9,0.8,2751.0,2.5,1470.0,1763.0,300.0,1.9,14493
Wee Jasper,100.0,0.5920000000000001,0.408,54.0,22.0,1.6,0.4,74.0,2.1,949.0,2080.0,250.0,2.0,14210
Mullion,84.0,0.511,0.489,51.0,29.0,1.6,0.5,40.0,2.5,2218.0,1521.0,165.0,2.2,12825
Cavan (NSW),47.0,0.511,0.489,42.0,13.0,3.0,0.6,31.0,2.7,1624.0,0.0,250.0,2.4,10861
Uriarra,30.0,0.44,0.56,26.0,7.0,0.0,0.0,7.0,0.0,2249.0,0.0,0.0,3.0,14058
Narrangullen,27.0,0.68,0.32,25.0,7.0,0.0,0.0,8.0,0.0,1125.0,0.0,200.0,2.0,12907
Woolgarlo,26.0,0.41700000000000004,0.583,60.0,8.0,3.0,0.8,13.0,3.1,1124.0,0.0,0.0,2.0,14401
Bookham,161.0,0.519,0.48100000000000004,48.0,44.0,1.7,0.6,80.0,2.4,1268.0,1000.0,60.0,2.6,10478
Burrinjuck,19.0,0.643,0.35700000000000004,51.0,4.0,0.0,0.0,13.0,2.0,962.0,0.0,0.0,2.0,10714
Binalong,543.0,0.516,0.484,44.0,149.0,1.7,0.6,275.0,2.3,1104.0,1257.0,198.0,2.0,10362
Jugiong,222.0,0.523,0.47700000000000004,48.0,59.0,1.6,0.5,124.0,2.1,1268.0,1083.0,100.0,2.3,12044
Berremangra,81.0,0.5,0.5,45.0,26.0,2.0,0.6,40.0,2.4,1375.0,1261.0,0.0,3.0,10314
Galong,224.0,0.578,0.42200000000000004,45.0,56.0,2.2,0.7,140.0,2.2,814.0,986.0,115.0,1.8,11580
Manton (NSW),294.0,0.488,0.512,45.0,81.0,1.9,0.8,110.0,3.0,2031.0,1993.0,300.0,2.5,12481
Bango,96.0,0.552,0.44799999999999995,49.0,32.0,1.4,0.4,42.0,2.3,2139.0,2492.0,0.0,2.7,10176
Yass River,350.0,0.483,0.517,43.0,103.0,1.8,0.7,161.0,2.6,2558.0,2600.0,300.0,2.4,14494
Rye Park,258.0,0.508,0.49200000000000005,49.0,70.0,2.1,0.7,126.0,2.6,1149.0,1300.0,148.0,2.8,13455
Dalton,195.0,0.508,0.49200000000000005,49.0,51.0,2.1,0.7,99.0,2.3,1171.0,1127.0,0.0,2.1,11194
Broadway,39.0,0.512,0.488,37.0,9.0,2.0,0.6,18.0,2.0,1312.0,2420.0,0.0,2.4,10581
Blakney Creek,60.0,0.493,0.507,43.0,15.0,1.8,0.8,26.0,2.4,1333.0,1452.0,0.0,2.3,10404
Bevendale,41.0,0.455,0.545,53.0,7.0,1.0,0.2,41.0,1.3,725.0,0.0,0.0,1.5,10329
Gundaroo,1146.0,0.508,0.49200000000000005,41.0,325.0,2.0,0.9,448.0,2.8,2493.0,2167.0,375.0,2.5,11805
Laverstock,26.0,0.5860000000000001,0.414,40.0,11.0,1.0,0.5,14.0,2.7,1625.0,0.0,0.0,2.0,12286
Bowning,573.0,0.508,0.49200000000000005,45.0,166.0,1.8,0.7,251.0,2.3,1389.0,1517.0,200.0,2.3,10535
Kangiara,48.0,0.478,0.522,44.0,14.0,1.0,0.2,22.0,2.1,1937.0,1200.0,0.0,3.4,12063
Bellmount Forest,114.0,0.479,0.521,46.0,35.0,1.7,0.8,47.0,2.6,2750.0,2300.0,390.0,2.6,10274
Oolong,61.0,0.509,0.49100000000000005,43.0,16.0,1.8,0.9,23.0,2.6,1958.0,0.0,50.0,2.0,13087
Lerida,24.0,0.41700000000000004,0.583,43.0,9.0,2.0,1.0,13.0,3.0,2125.0,0.0,0.0,3.2,12306
Jerrawa,73.0,0.507,0.493,51.0,25.0,1.6,0.6,43.0,2.3,1312.0,1559.0,0.0,2.0,12018
Gunning,659.0,0.5,0.5,42.0,175.0,1.8,0.7,319.0,2.3,1493.0,1517.0,231.0,2.1,11813
Lade Vale,128.0,0.519,0.48100000000000004,48.0,36.0,2.2,0.8,59.0,2.5,1974.0,1753.0,475.0,2.4,12232
Good Hope,165.0,0.494,0.506,42.0,40.0,1.9,0.8,70.0,2.6,1541.0,1500.0,240.0,2.4,11700
Boambolo,53.0,0.434,0.5660000000000001,39.0,17.0,2.6,0.8,23.0,2.1,2250.0,0.0,283.0,2.1,10423
Wallaroo (NSW),707.0,0.48200000000000004,0.518,44.0,186.0,1.8,1.0,261.0,3.0,2266.0,2313.0,348.0,2.8,14112
Murrumbateman,3219.0,0.5,0.5,40.0,903.0,2.1,1.1,1111.0,3.1,2822.0,2383.0,351.0,2.5,12860
Springrange,295.0,0.502,0.498,40.0,78.0,2.3,1.0,100.0,3.2,2559.0,2500.0,215.0,2.7,13625
Jeir,259.0,0.47100000000000003,0.529,44.0,73.0,2.0,0.9,91.0,2.9,2963.0,2167.0,350.0,2.8,12004
Marchmont,229.0,0.461,0.539,39.0,68.0,2.2,1.0,82.0,2.9,2555.0,2782.0,190.0,2.4,12487
Nanima,165.0,0.549,0.451,42.0,51.0,1.7,1.0,66.0,2.8,2874.0,2383.0,420.0,2.5,12891
Young,10295.0,0.48200000000000004,0.518,40.0,2600.0,2.0,0.7,4549.0,2.4,966.0,1300.0,225.0,1.8,14518
Barwang,80.0,0.5579999999999999,0.44200000000000006,45.0,24.0,2.0,0.9,38.0,2.8,1792.0,1300.0,0.0,2.3,10220
Kingsvale,172.0,0.48600000000000004,0.514,48.0,56.0,2.2,0.7,86.0,2.3,1136.0,1272.0,170.0,2.2,12161
Burrangong,237.0,0.47200000000000003,0.528,45.0,64.0,2.0,0.9,100.0,2.3,936.0,1300.0,200.0,2.1,10706
Godfreys Creek,76.0,0.616,0.384,55.0,23.0,2.4,0.4,58.0,2.1,1125.0,1286.0,0.0,2.8,11691
Wyangala,182.0,0.5720000000000001,0.428,57.0,53.0,1.2,0.3,168.0,1.9,831.0,910.0,100.0,2.0,14434
Hovells Creek,40.0,0.537,0.46299999999999997,47.0,6.0,2.0,0.7,27.0,2.2,1083.0,0.0,1.0,2.6,11945
Mount Collins,12.0,0.6,0.4,60.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,12751
Nubba,76.0,0.47200000000000003,0.528,43.0,24.0,2.5,0.6,41.0,2.8,1875.0,1408.0,200.0,2.3,13030
Wombat,225.0,0.526,0.474,45.0,59.0,1.7,0.7,101.0,2.4,1218.0,1343.0,150.0,2.1,14364
McMahons Reef,57.0,0.466,0.534,46.0,13.0,2.3,1.1,18.0,2.4,1437.0,0.0,0.0,3.5,12548
Cunningar,145.0,0.479,0.521,56.0,47.0,1.2,0.3,65.0,2.2,1224.0,1170.0,150.0,2.4,11164
Beggan Beggan,98.0,0.433,0.5670000000000001,36.0,28.0,2.4,1.0,34.0,3.4,1875.0,1600.0,0.0,2.5,10254
Harden,2030.0,0.46799999999999997,0.532,50.0,528.0,2.0,0.6,1019.0,2.2,829.0,867.0,180.0,1.6,11851
Boorowa,1641.0,0.508,0.49200000000000005,48.0,428.0,1.8,0.6,865.0,2.3,973.0,1172.0,180.0,2.0,10503
Murrumburrah,110.0,0.519,0.48100000000000004,45.0,33.0,1.6,0.6,52.0,2.5,1062.0,1257.0,150.0,2.2,12863
Taylors Flat,59.0,0.507,0.493,56.0,19.0,1.0,0.1,79.0,1.7,860.0,1157.0,0.0,2.0,13778
Rugby,73.0,0.573,0.42700000000000005,51.0,21.0,1.0,0.3,52.0,2.1,1024.0,1539.0,0.0,1.8,13438
Frogmore,132.0,0.493,0.507,47.0,37.0,2.2,0.6,104.0,2.1,939.0,1800.0,25.0,2.2,11571
Reids Flat,85.0,0.547,0.45299999999999996,53.0,24.0,1.6,0.6,91.0,1.9,575.0,467.0,130.0,1.7,13347
Maimuru,137.0,0.48100000000000004,0.519,39.0,34.0,2.1,0.8,61.0,2.7,1303.0,1300.0,120.0,2.4,12444
Berthong,46.0,0.667,0.33299999999999996,42.0,10.0,2.0,0.4,33.0,2.0,1375.0,0.0,78.0,2.0,10326
Memagong,92.0,0.456,0.544,39.0,27.0,2.0,0.8,49.0,2.9,1437.0,2100.0,50.0,2.7,12565
Milvale,67.0,0.58,0.42,46.0,21.0,2.4,0.6,42.0,2.3,1218.0,0.0,0.0,2.3,12631
Morangarell,42.0,0.5479999999999999,0.452,49.0,14.0,1.0,0.2,26.0,1.8,1812.0,0.0,0.0,2.8,12720
Weedallion,13.0,0.667,0.33299999999999996,43.0,3.0,0.0,0.0,11.0,1.4,850.0,0.0,0.0,4.0,14212
