mass_var,dist_spec,target_key,source,target,dist,mass_source,mass_target,gravity,gravity_rank
n_hospitals,radial_distance,2145,2016,2145,0.2648176163055076,0.1,8,11,39
n_hospitals,radial_distance,2145,2017,2145,0.2690493389231368,0.1,8,11,39
n_hospitals,radial_distance,2145,2018,2145,0.27783326230940236,0.1,8,10,29
n_hospitals,radial_distance,2145,2019,2145,0.28911805947187175,0.1,8,10,29
n_hospitals,radial_distance,2145,2020,2145,0.2605192824446351,0.1,8,12,45
n_hospitals,radial_distance,2145,2021,2145,0.2855239522629214,0.1,8,10,29
n_hospitals,radial_distance,2145,2022,2145,0.3065423013476807,0.1,8,9,22
n_hospitals,radial_distance,2145,2023,2145,0.309149240472337,0.1,8,8,12
n_hospitals,radial_distance,2145,2024,2145,0.32025776231157704,2,8,156,164
n_hospitals,radial_distance,2145,2025,2145,0.29909839780475717,1,8,89,150
n_hospitals,radial_distance,2145,2026,2145,0.3275274337931242,0.1,8,7,7
n_hospitals,radial_distance,2145,2027,2145,0.2894543725523554,0.1,8,10,29
n_hospitals,radial_distance,2145,2028,2145,0.2969566039657039,0.1,8,9,22
n_hospitals,radial_distance,2145,2029,2145,0.32080234329518176,0.1,8,8,12
n_hospitals,radial_distance,2145,2030,2145,0.327599547339309,0.1,8,7,7
n_hospitals,radial_distance,2145,2031,2145,0.30708732237389846,5,8,424,189
n_hospitals,radial_distance,2145,2032,2145,0.2964376645312807,0.1,8,9,22
n_hospitals,radial_distance,2145,2033,2145,0.28281721160779444,0.1,8,10,29
n_hospitals,radial_distance,2145,2034,2145,0.32024738519038937,0.1,8,8,12
n_hospitals,radial_distance,2145,2035,2145,0.3107786166099652,0.1,8,8,12
n_hospitals,radial_distance,2145,2036,2145,0.32525714782929804,1,8,76,146
n_hospitals,radial_distance,2145,2037,2145,0.24033670474601868,0.1,8,14,62
n_hospitals,radial_distance,2145,2038,2145,0.22754907282993206,0.1,8,15,67
n_hospitals,radial_distance,2145,2039,2145,0.22540533062740079,0.1,8,16,74
